Author,Institution,Venue,Year,AdjustedCount
David P. MacKinnon,Arizona State University,Journal of the American Statistical Association,1994,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1995,2.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1980,0.5
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1987,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1981,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1986,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1982,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1983,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1985,2.0
Erkan Nane,Auburn University,Annals of Probability,2009,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2005,0.5
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1992,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2004,0.8333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1983,1.5
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1995,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2010,0.5
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series B",1989,0.5
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1997,1.3333333333333333
Charles J. Colbourn,Arizona State University,Combinatorica,1995,0.3333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",2013,0.25
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1984,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,1997,1.0
Charles J. Colbourn,Arizona State University,Combinatorica,1991,0.2
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1991,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2007,0.3333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1996,0.3333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1989,1.0
Charles J. Colbourn,Arizona State University,Annals of Mathematics,1980,0.5
Charles J. Colbourn,Arizona State University,Annals of Mathematics,1988,0.3333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",2000,0.5
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2017,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1991,0.25
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series B",1988,1.0
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1998,1.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1988,0.3333333333333333
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1990,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1994,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series B",2003,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1987,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series B",2002,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1993,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1984,0.3333333333333333
Gary Gruenhage,Auburn University,Journal of the American Statistical Association,1975,0.5
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1975,2.0
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series B",1976,0.3333333333333333
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1991,0.25
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1979,0.5
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1976,0.5
Charles C. Lindner,Auburn University,Combinatorica,2010,0.25
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1981,1.0
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1988,0.3333333333333333
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1972,1.0
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1974,1.0
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1992,0.5
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2009,1.0
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2007,1.0
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2010,1.0
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2015,1.0
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2006,1.0
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2010,0.3333333333333333
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2003,1.2499999999999998
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1991,0.75
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2011,0.3333333333333333
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2007,0.5
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1993,0.3333333333333333
Kevin T. Phelps,Auburn University,Combinatorica,1991,0.2
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2013,1.0
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1978,1.0
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2008,0.3333333333333333
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1992,0.5
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1976,1.0
Kevin T. Phelps,Auburn University,Combinatorica,1984,0.5
Kevin T. Phelps,Auburn University,Combinatorica,1995,0.3333333333333333
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2005,0.3333333333333333
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1986,1.0
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2002,0.5
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2006,0.3333333333333333
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",2003,0.5
Olav Kallenberg,Auburn University,Annals of Probability,1978,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1987,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1976,1.0
Olav Kallenberg,Auburn University,Annals of Probability,2013,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1991,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1974,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1975,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1999,2.0
Olav Kallenberg,Auburn University,Annals of Probability,1996,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1981,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1988,1.0
Olav Kallenberg,Auburn University,Annals of Probability,2008,1.0
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2011,0.3333333333333333
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2004,1.0
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2013,0.5
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2012,0.5
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2005,0.5
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2015,0.5
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2014,0.5
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series A",1986,0.5
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series B",1988,1.0
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series A",1983,1.0
Dean G. Hoffman,Auburn University,Combinatorica,2010,0.25
Dean G. Hoffman,Auburn University,Combinatorica,1991,0.2
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series B",1981,0.5
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series A",2015,0.25
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2019,0.6666666666666666
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2004,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2008,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",1996,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series A",1991,0.3333333333333333
Hal A. Kierstead,Arizona State University,Combinatorica,1996,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2020,1.0
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",1995,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series A",1996,1.0
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series A",1994,0.3333333333333333
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2009,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2006,0.2
Hal A. Kierstead,Arizona State University,Combinatorica,2009,0.5
Junshan Lin,Auburn University,Journal of Computational Physics,2014,0.3333333333333333
Junshan Lin,Auburn University,Journal of Computational Physics,2019,0.5
Lina J. Karam,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2000,0.5
Yin Sun,Auburn University,IEEE Transactions on Information Theory,2009,0.5
Yin Sun,Auburn University,IEEE Transactions on Information Theory,2017,0.4
