Author,Institution,Venue,Year,AjustedCount
Prathima Agrawal,Auburn University,MobiSys,2006,0.25
Prathima Agrawal,Auburn University,HPDC,1997,0.5
Prathima Agrawal,Auburn University,DAC,1987,0.16666666666666666
Prathima Agrawal,Auburn University,DAC,1985,0.4583333333333333
Prathima Agrawal,Auburn University,ISCA,1986,0.5
Prathima Agrawal,Auburn University,DAC,1984,0.3333333333333333
Prathima Agrawal,Auburn University,DAC,1981,0.3333333333333333
Prathima Agrawal,Auburn University,MICRO,1990,0.3333333333333333
Prathima Agrawal,Auburn University,HPDC,1993,0.3333333333333333
Huan Liu,Arizona State University,WWW,2017,0.16666666666666666
Huan Liu,Arizona State University,KDD,2008,1.290909090909091
Huan Liu,Arizona State University,CVPR,2007,0.3333333333333333
Huan Liu,Arizona State University,KDD,2012,1.0833333333333333
Huan Liu,Arizona State University,ICRA,1993,0.25
Huan Liu,Arizona State University,VLDB,1995,0.6666666666666666
Huan Liu,Arizona State University,KDD,2002,0.75
Huan Liu,Arizona State University,KDD,2009,0.5
Huan Liu,Arizona State University,WWW,2005,0.2
Huan Liu,Arizona State University,WWW,2013,0.25
Huan Liu,Arizona State University,KDD,2000,1.0833333333333333
Huan Liu,Arizona State University,KDD,2011,1.1666666666666665
Huan Liu,Arizona State University,KDD,2013,0.5
Huan Liu,Arizona State University,ICML,2003,0.5
Huan Liu,Arizona State University,ICML,1996,0.5
Huan Liu,Arizona State University,ICML,2007,0.5
Huan Liu,Arizona State University,IJCAI,2013,0.5
Huan Liu,Arizona State University,WWW,2016,0.3333333333333333
Huan Liu,Arizona State University,IJCAI,2016,0.25
Huan Liu,Arizona State University,IJCAI,2017,0.8333333333333333
Huan Liu,Arizona State University,KDD,1998,0.3333333333333333
Huan Liu,Arizona State University,KDD,2007,0.5
Huan Liu,Arizona State University,ICML,2006,0.5
Huan Liu,Arizona State University,KDD,2015,0.3333333333333333
Huan Liu,Arizona State University,KDD,1999,0.25
Huan Liu,Arizona State University,KDD,2018,0.5833333333333333
Huan Liu,Arizona State University,SIGIR,2018,0.25
Huan Liu,Arizona State University,KDD,2017,0.6666666666666666
Huan Liu,Arizona State University,KDD,2006,0.3333333333333333
Huan Liu,Arizona State University,SIGIR,2014,0.3333333333333333
Huan Liu,Arizona State University,KDD,2003,0.25
Huan Liu,Arizona State University,KDD,2019,0.45
Huan Liu,Arizona State University,CVPR,2016,0.2
Huan Liu,Arizona State University,IJCAI,2018,0.3333333333333333
Huan Liu,Arizona State University,KDD,2010,0.25
Huan Liu,Arizona State University,KDD,2001,0.5
Huan Liu,Arizona State University,WWW,2019,0.6666666666666666
Guoliang Xue,Arizona State University,ICS,1993,1.0
Guoliang Xue,Arizona State University,ICS,1992,0.3333333333333333
Gail-Joon Ahn,Arizona State University,ICSE,2006,0.2
Gail-Joon Ahn,Arizona State University,S&P,2010,0.3333333333333333
Gail-Joon Ahn,Arizona State University,S&P,2016,0.41666666666666663
Gail-Joon Ahn,Arizona State University,CCS,2018,0.6000000000000001
Gail-Joon Ahn,Arizona State University,CCS,2016,0.25
Gail-Joon Ahn,Arizona State University,CCS,2019,0.14285714285714285
Gail-Joon Ahn,Arizona State University,S&P,2019,0.16666666666666666
Gail-Joon Ahn,Arizona State University,MobiSys,2020,0.14285714285714285
Gail-Joon Ahn,Arizona State University,ISCA,2004,0.5
Gail-Joon Ahn,Arizona State University,USENIX,2019,0.25
Vishwani D. Agrawal,Auburn University,DAC,1981,0.3333333333333333
Vishwani D. Agrawal,Auburn University,DAC,1983,0.5
Vishwani D. Agrawal,Auburn University,DAC,1992,0.3333333333333333
Vishwani D. Agrawal,Auburn University,DAC,1985,0.3333333333333333
Vishwani D. Agrawal,Auburn University,DAC,1980,0.2
Vishwani D. Agrawal,Auburn University,HPDC,1993,0.3333333333333333
Vishwani D. Agrawal,Auburn University,ICCAD,1996,0.3333333333333333
Chaitali Chakrabarti,Arizona State University,MICRO,2007,0.125
Chaitali Chakrabarti,Arizona State University,MICRO,2008,0.09090909090909091
Chaitali Chakrabarti,Arizona State University,MICRO,2010,0.3333333333333333
Chaitali Chakrabarti,Arizona State University,HPCA,2018,0.1
Chaitali Chakrabarti,Arizona State University,HPCA,2013,0.2
Chaitali Chakrabarti,Arizona State University,MICRO,2014,0.2
Alvin Lim,Auburn University,UbiComp,2014,0.3333333333333333
Sandeep K. S. Gupta,Arizona State University,HPDC,2010,0.3333333333333333
Munawar Hafiz,Auburn University,ICSE,2016,0.41666666666666663
Munawar Hafiz,Auburn University,ICSE,2013,0.5
Munawar Hafiz,Auburn University,FSE,2014,0.5333333333333333
Munawar Hafiz,Auburn University,ICSE,2009,0.5
Sarma Vrudhula,Arizona State University,ICCAD,1998,0.5
Sarma Vrudhula,Arizona State University,ICCAD,2004,0.8333333333333333
Sarma Vrudhula,Arizona State University,ICCAD,1996,0.5
Sarma Vrudhula,Arizona State University,ICCAD,2005,0.5
Sarma Vrudhula,Arizona State University,HPCA,2016,0.3333333333333333
Sarma Vrudhula,Arizona State University,ICCAD,2019,0.3333333333333333
Sarma Vrudhula,Arizona State University,ICCAD,2012,0.3333333333333333
Anh Nguyen,Auburn University,CVPR,2019,0.7857142857142857
Anh Nguyen,Auburn University,CVPR,2020,0.6666666666666666
Anh Nguyen,Auburn University,CVPR,2017,0.4
Anh Nguyen,Auburn University,CVPR,2015,0.6666666666666666
Anh Nguyen,Auburn University,IROS,2017,0.25
Anh Nguyen,Auburn University,NeurIPS,2016,0.2
