Shaoen Wu,2980487748_https://scholar.google.com/citations?hl=en&user=oR6tS5AAAAAJ
Paul Gestwicki,270534608_https://scholar.google.com/citations?hl=en&user=MRPWzcbkD_8C
Fu-Shing Sun,2940043721
Michael Holmes,2104500333
Kevin Klinger,2622293916
Junhong Xu,2758779101
Jensen Zhao,2116743993
Yi-Hua Weng,2124461530
A. Imon,662249346
Lyle Franklin,2222654901
Khuloud Ahmad,2118647711
Dolores Zage,423989433
Melody Alexander,2102499015
Jeffry Grigsby,2136575831
Allen Truell,281204614
Lan Lin,2466165761
Bill Rogers,2433471635
David Largent,20726826_https://scholar.google.com/citations?hl=en&user=YWuCrQMAAAAJ
Youfa Wang,2123406763
James Nyce,1613223439
Tom McConnell,2321361862
Hamed Zolbanin,211219041
Shangyu Zhu,2589002726
Matthew Smith,2606284914
Wayne Zage,1429334986
Hanqing Guo,2759628023
M. Ali,2235387992
Shangyue Zhu,2758990492
Fred Kitchens,235543444
Erdoğan Kumcu,1971358999
Hildegund Calvert,2101092529
Jeffrey Green,2098006418
Abera Zegeye,2109483672
Courtenay Stone,2610040146
Chun-Hung Tzeng,2704993113
Sara Wilhoite-Mathews,290930575
Mark Myring,2099938255
Manoj Athavale,2171983131
Rod Davis,2983684070
Joseph Morris,2119259874
Susan Taylor,2125036624
Kuo-Ting Huang,2954000839
Riui Chen,2565785142
Huseyin Ergin,2127976473
Leonard Kaminsky,1807624787
Scott Popplewell,2030026720
John Fillwalk,224278491
Luzi Wang,2232141621
Douglas Bernstein,2167704511
Chris Lüer,2515737766
Jennifer George-Palilonis,132646761
Craig Webster,2312179316
Joshua Sefchek,2562539350
Gail Ring,2595451492
Lynne Stallings,2502652243
David Morris,2523798200
Irene Livshits,2125707849
Darrell Butler,2095595791
Thomas Holtgraves,685234121
Kimberly Zoder-Martell,2444144622
Megumi Hamada,2143949442
W. Finch,1980507797
Tianguang Gao,2681211114
Rojin Vishkaie,2805528761
Christopher Dibble,2100254699
Thomas Charles,2280513651
Thomas Harris,2238244830
Jnd Gupta,2646843443
Rm Wachter,2974492614
Qiwei Liu,2885395013
Inga Hill,2156644042
James Jones,2105697568
Tarek Mahfouz,2251666002
Ai-Chu Ding,2911524549
Bradley Anderson,2117042062
Benjamin Dean,2665209768
C. Nelson,2984573715
J.N.D. Gupta,2594294303
Bo Chang,2504414005
Eric Ballenger,2915007977
Yufeng Xue,2326365589
Korey Paul,2517476651
Jerrell Cassady,2084752562
Alison Kozlowski,2598806235
Courtney Stanford,2948107844
Frank Groom,1245716438
Saeed AlQarni,2885173677
Cynthia Thomas,2158170081
Vanessa Wyss,2116582168
David Call,2623596728
Jennifer Palilonis,254191083
Yasemin Tunc,2224766284
Jocelyn Bolin,2141949071
J. Hill,2227545967
Philip Parli-Horne,2230737373
Erika Johnson,2615787503
Gerald DeHondt,2792168110
Logeshbabu Sampath,2477137722
Charles Ray,2132039954
Elmar Hashimov,2226682881
Mary Seig,2091512469
Ron West,2491639876
Caleb Wilson,2793348454
Jody Britten,1992129015
Jerrel Cassady,2165281077
Xueying Kong,2809653888
Kate Shively,2809268698
Andrew Haddad,2806922668
Kathryn Shafer,1972840880
Cathy Siebert,2104057553
Bridget Gelms,2228125331
Ann Burke,2686962362
Brett Clement,2709626381
Jay Bagga,1054508223
Nicki Baker,2116203450
F.L. Kitchens,2974200376
Ione DeOllos,281589099
Diana Saiki,1888469619
Gail Bader,2145547799
Tai-Lin Han,2700924301
Zhixin Yang,2920850994
Stacey Schetzsle,2188664918
Samuel Hsieh,2286149136
Nazim Ahmed,2134042431
Scott Hall,2309300444
Jennifer Bott,2044014298
Jane Ellery,2290001578
John Merbler,39773452
Sarah Chaney,2228261901
Elizabeth Imafuji,2229941718
Laura Romano,2467257068
Aaron Kageza,2889796681
Hanging Guo,2919895373
Hangqing Guo,2783945862
Cheng-Huang Yen,2679886956
Qiannong Gu,2506345122
Jia He,2306308991
Mohammad Behforouz,512548467
Kristine Burns,2488392690
Antonieta Ângulo,2246510259
Catherine Chen,2505206859
Sheila Smith,2149672093
Ranjith Wijesinghe,2226645046
James Hammons,2721583820
Aron Kageza,2919244250
Mahesh Daas,2323330408
Carrie Arnold,2124327651
Cecil Bohanon,1586371028
Ray Montagno,12254206
Leidig-Farmen Pamela,2343106624
H. Tzeng,2007483815
J. Zhang,2974031086
W. Zage,2974049305
Kristie Fleckenstein,2674907785
Yuan Quan,2904636458
Matthew Marvel,2171617911
Iie Member,2943803198
Jeff Zhang,2096124504
River Lin,2556301130
Xin Sun,2912739447
William LaFollette,1513861260
Carolyn Walker,2119591522
Sungwon Chung,3035097424
Vinayak Tanksale,2000833177
Qing Liao,2482638041
Nadeen Thompson,2171863724
Robert Brinkley,2575853568
Gary Pavlechko,2686805411
Josh McGuire,2413052111
Katherine Hostetler,2092668710
James Poole,2796719322
James McElhinney,2123197539
Bizhan Nasseh,2279145984
George Yeamans,666661660
Nan Zhang,2899066227
Wenjun Shi,2904849442
Saeed ALI-AlQarni,2965639541
Mary Vercellotti,2640718591
Cindy Johanek,2239463794
Ann Williams,2494533698
Betty Spillers,2555124341
Terry Arndt,2582736701
Tara Kingsley,2628240459
Daniel Eisinger,2332038863
Steven Putt,2408114558
Yijun Gan,2899565790
Lien Shen,2400463600
Audrey Robbins,2079220764
Mellisa Holtzman,2084894948
Paul Ranieri,2176658630
David Concepción,2639136694
Sean Burns,2970176768
Robert Willey,2138564698
Jeffrey Gray,2156948013
Steve Jones,2435239697
Lisa Jarrell,2487519225
Maria Finch,2163571064
Melissa Singh,2652914876
Tung Liu,2127262397
Yong Zhang,2307222463
Sanglim Yoo,2746825665
Carolee Sormunen,92273464
Nate Sutter,2236139182
Rebecca VanMeter,2488387532
Richard Sartiano,2410453749
Ramarathnam Ravichandran,2632459361
D.W. Marlow,2973717266
Rebecca Adams,2138129527
Clinton Fuelling,2001475557
Liu Li,2606826671
H. Khan,2491773362
Jason Yang,2268545761
Marilyn Chalupa,2564594899
Pierre Atchade,1983335806
J. Dye,2143400537
Erika Espinoza,2957488192
Darby Siscoe,2957637373
Danielle Behrens,2957772567
Biju Bajracharya,2946163024
Paul Buis,2002312519
John Beekman,2103150355
Elizabeth Riddle,2288606168
Jill Coleman,2140834441
Ola Felemban,2626795190
David Brown,2231710236
Ryan Jeske,2975463463
Roy McCormick,2224475632
D. Dobbs,2990142130
Kate Rader,2990349726
Isaac Walling,2990442240
Drew Lazar,2529437493
Matthew Stuve,1265948717
Iman Hussein,3013911474
Kristin Barry,2525684475
kelly Blair,2784288791
Holmes Finch,2108760471
Andrew Davis,2138539305
Raymond Dean,3037487048
James Kerestes,2892789447
Joel Whitesel,2704980961
Baijian Yang,2673326382
Jessica Kirby,2551959069
Dorice Hankemeier,614295077
Seongmi Lim,2612083644
Mary Spillman,1996023401
Jörn Seemann,2633169144
Stephan Jones,2436571872
Rahmatullah Imon,2181474964
Thawatchai Jitpaiboon,2052597365
John Caviness,2898701570
Natalee Seely,2770680596
Emily Hoffman,3031079657
Maureen McCarthy,2148480140
I. Livshits,2808372873
Jonathan Cummins,2346076208
Brandon Patterson,2612929979
Susan Wilczynski,2571333971
Michael Rutledge,2663656317
Morgan Sanchez,2804289532
Valerie Birk,2804684585
Ty Stratton,2804985554
Lawrence Judge,2053242864
Elizabeth Wanless,2121770750
R. Gimblett,3027067664
Cameron Crane,2631791781
Rachel Beatty,2770028474
Richard Bellaver,2974559749
Alexander Schrameyer,2523775974
Nile Brandt,2524184976
Tracy Graves,2524398935
David Hua,2653716666
S. Arumugam,2854179597
Brandi Kaiser,2543829747
Kaleb Stumbaugh,2227668763
Robert Yadon,2919982991
Tom Harris,2420104915
Jon Clausen,2234033357
Tamara Montag-Smit,2550293269
Richard Leigh,2595268018
Joanna Wallace,2169354632
Donna Hill,2559779488
Wei Ma,2478573973
Susanna Benko,2633636190
Justin Miller,2681152062
Robert Sammelson,2787433599
Jay Gillette,2275986398
Arlene Ignico,636958474
Marchal Armstead,2224471174
Katharine Leigh,2489896963
Keith Kothman,2295255521
Jesse Allison,2662943233
Scot Ober,2271904043
C.L. Scott,2509723229
Kelley McGrath,2620494274
I.-H. Lee,2429695985
B.R. Horn,2484208903
Malorie Stowe,2656388503
Jiansheng Yang,2319942176
Linda Putman,2222117819
Kirsten Nicholson,2164571747
Heather Schilling,1986775272
Melkote Shivaswamy,2061673430
W. Newbold,2098802734
Renmei Xu,2608022457
Aaron Bruewer,1227900798
Asghar Minai,2718721497
Michael Hanley,2143337846
Walter Grondzik,1838681309
Zhihui Yang,2337232676
Julie Biddle,2123314661
Nicole Bell,2124491004
Penny Craig,2125723583
Megan Noel,2593829813
Leland Yarger,2633331055
Judith Acsw,2911772227
Deborah Doty,2647246571
Chia-Kun Lee,2604187494
Joshua Vermillion,2416661955
Mark Cardillo,2329286764
James Walters,2644394129
Betty Brown,2101710848
George Mundrake,245214425
William Brown,2500458504
D. Zage,2974030408
Leila Floriani,2505780676
Patricia Nelson,2102404686
Barbara Booher,2224202149
Frank Owens,2160220174
Gail Wickersham,2164044523
Henry Tzeng,2698260517
Laurie Mullen,2107966068
Barbara Wills,2229543168
Herbert Stahlke,673842177
Dale Hibner,2095919892
Peter McAllister,2293825936
R.F. Bellaver,2022609677
Jatinda Gupta,2967215294
Stanley Hodge,2313622554
Julie Smith,2672064482
Nancy Saunders,2242708455
Greg Siering,2512877159
H.F.W. Stahlke,2599045784
J.M. Nyce,2702270455
J. McGrew,2229400605
Phillip Howard,2315223917
Casey Tucker,2231401827
Leah Boyle,2573277606
Dennis Kramer,2578996023
Kwang-Kyu Ko,2243454848
R.L. Pace,2109700893
R. Wilhelm,2529839358
Diane Calvin,2477216837
David Marini,2278897369
David Caucci,2487360979
David Perkins,2501423656
R.A. Kaenel,2504192016
Judith Gray,2139348330
Chung-Hung Tzeng,2692881992
Kallman Kallman,2231226277
Patrick Callahan,2109440464
Pam Deavers-Claspell,2228313153
M.C. Gemignani,2654765403
Pam Claspell,2230091598
Kathy Sawyer,2656315100
Vincent Pedraza,2223637190
John Raab,2227516743
Mohd Mustaffa,2655128967
C Tzeng,2577472332
Michael Gemignani,2974083917
Val Silbey,2494404701
T. Willoughby,2109665567
Nikki Assmann,2170765146
Rex Reynolds,2599276550
Ahmed Anter,https://scholar.google.com/citations?hl=en&user=fOgQj54AAAAJ
Engy Ahmed,https://scholar.google.com/citations?hl=en&user=WG652NwAAAAJ
Atef Hashem,https://scholar.google.com/citations?hl=en&user=misDVO0AAAAJ
Ibrahim Eldesoky,https://scholar.google.com/citations?hl=en&user=rBs5CsUAAAAJ
RI Mohamed,https://scholar.google.com/citations?hl=en&user=Nhz3O28AAAAJ
Koura AM,https://scholar.google.com/citations?hl=en&user=Z41wKroAAAAJ
Alhassan Mabrouk,https://scholar.google.com/citations?hl=en&user=Bw1oeXUAAAAJ
