Mark Crovella,91397146_https://scholar.google.com/citations?hl=en&user=vrHhOlUAAAAJ
Stan Sclaroff,689201655_https://scholar.google.com/citations?hl=en&user=nXBQn7gAAAAJ
Azer Bestavros,298297050_https://scholar.google.com/citations?hl=en&user=S5B0QmMAAAAJ
Kate Saenko,1580821723
John Byers,2101152111_https://scholar.google.com/citations?hl=en&user=jIp_uw0AAAAJ
Christos Cassandras,1985148420
Venkatesh Saligrama,1195575240
Calin Belta,286378265
George Kollios,2217777545_https://scholar.google.com/citations?hl=en&user=0VFi-vAAAAAJ
Thomas Little,2148313978
Murad Taqqu,1973004261
Prakash Ishwar,2103211980
Stephen Grossberg,2118172733
Janusz Konrad,2044374293
Bobak Nazer,2023725001
Anukool Lakhina,2023160985
Leonid Reyzin,236344266_https://scholar.google.com/citations?hl=en&user=1KRXBIwAAAAJ
H. Stanley,2135798086
David Starobinski,126420993
Ibrahim Matta,1964805173_https://scholar.google.com/citations?hl=en&user=_mj1-BQAAAAJ
Margrit Betke,307121351_https://scholar.google.com/citations?hl=en&user=tu39-p8AAAAJ
Gail Carpenter,2156571513
Ayse Coskun,2156246060
Sharon Goldberg,2107369746_https://scholar.google.com/citations?hl=en&user=lJ8qjPAAAAAJ
Ioannis Paschalidis,1549817177
Marshall Alstyne,2215605866
Evimaria Terzi,2110675235_https://scholar.google.com/citations?hl=en&user=j6KFCRAAAAAJ
Martin Herbordt,285617995
Jeffrey Considine,2132851987
Ari Trachtenberg,2009866924
Eric Kolaczyk,274731230
Mark Karpovsky,241114161
Shugao Ma,2296308377
Sean Andersson,2148278593
John Baillieul,2003877030
Michael Caramanis,275971995
Ethan Heilman,2125285108
Ran Canetti,687553606_https://scholar.google.com/citations?hl=en&user=-PWcE1YAAAAJ
Ajay Joshi,2132108897
Robert Carter,2290350645
Manuel Egele,1922185186
Chrysanthos Dellarocas,2805732015
Michalis Potamias,80813837
Huijuan Xu,2478118378
Steve Moulton,2304288837
Gianluca Stringhini,1838332414
Richard West,2133364262
David Rosen,2123751117
Uri Eden,1988472959
Carlos Cunha,2152774120
William Karl,2439131115
David Castanon,2207882010
Hua Wang,2994955161
Sarah Bargal,2252677450_https://scholar.google.com/citations?hl=en&user=zjlFcrEAAAAJ
Murat Alanyali,51522978
Eric Schwartz,1774337966
Nikos Triandopoulos,75077956
J.B. Carruthers,2012295088
Alex Olshevsky,2001213951
Vivek Goyal,1800868064
Quan Yuan,2106531096
John Henderson,1978997944
W. Johnson,2810997718
Frank Guenther,231646703
M. Sharif,2172292998
Abdelsalam Heddaya,2088508779
Orran Krieger,2708841052
Behzad Golshan,2056540169
Tsuneya Ikezu,306560493
Natalya Markuzon,2354118271
S. Ray,2611313053
Mayank Varia,2924161847
Xu Ding,2159506783
Jason Tourville,293655462
Michel Kinsy,2807516778
Assaf Kfoury,608748435_https://scholar.google.com/citations?hl=en&user=VpdYemsAAAAJ
Alina Ene,2169939988
Douglas Densmore,2019068271
Ata Turk,2895137705
Adam Smith,2132461468_https://scholar.google.com/citations?hl=en&user=fkGi-JMAAAAJ
Jonathan Alon,2026057712
Yue Zhang,2345680160
Kun He,2140412901
Hongwei Xi,2150811865
Sulaiman Mirdad,328952368
Madhusudana Shashanka,2045336667
Konrad Kulikowski,121290868
Alison Kendler,2952956993
Andrei Lapets,9052716
Elliot Saltzman,1966125435
W. Karl,2229173943
Claus Hilgetag,346545156
Justin Foster,2230864925
Joseph Wang,2130642316
Mark Friedl,2972240605
Zhen Wang,2167955471
Carol Neidle,1991436162
Jonathan Appavoo,11980393_https://scholar.google.com/citations?hl=en&user=Z1Kl2REAAAAJ
John Day,2686518065
Jason Hennessey,1982247841
Alexander Taubin,2952673585
Dror Kenett,2241682550
I.Ch. Paschalidis,2053198652
J. Alon,2326202917
Timothy Gardner,2110472788
Yilei Chen,2296208451
Lei Tian,2338155035
Chen Yang,2303869675
Michel Machado,2170059406
Pirooz Vakili,664201829
Xingchao Peng,2156149490
Roberto Tron,2080579369
J.R. Perkins,2310394349
P. Balasubramanian,2572000948
Nan Ma,2308422748
Paola Sebastiani,1942584594
Yongfeng Gu,2184602404
Jie Meng,2110897001
Lou Chitkushev,1496928590_https://scholar.google.com/citations?hl=en&user=qHA6VSIAAAAJ
Massimiliano Versace,1999206429
Jonathan Wu,2124198210
Brian Kulis,2234508751
Adam Bradley,2160852299
Michael Hasselmo,44051740
Mark Kramer,2150064987
David Boas,2087503904
Benjamin Lubin,2595975830
Yushan Chen,2105617088
Tom VanCourt,2010573450
Can Hankendi,290847795
Mehrnoosh Sameki,170730058
Alex Lang,2112482110
Lorenzo Orecchia,2762208036_https://scholar.google.com/citations?hl=en&user=dT7yOrwAAAAJ
Ashwin Thangali,908028456
Jiayi Sheng,2222165776
Ye Li,2311650769
Sandor Vajda,2031281642
Simon Kasif,101464240_https://scholar.google.com/citations?hl=en&user=SBNZBMUAAAAJ
Donghyun Kim,2768774269_https://scholar.google.com/citations?hl=en&user=UsqNPH4AAAAJ
John Fiala,2138186504
Nancy Kopell,2996970484
Hao Chen,2304661675
Wenchao Li,2138346357
Curtis Madsen,2310968483
Pankil Butala,1976338291
Maja Bystrom,2039471819
Yuting Chen,2308385343
Liang Guo,2322297039
Ozan Tuncer,2222249457
Aanchal Malhotra,2230403656
Liying Tang,2170576762
Thomas Kunz,2159134829
Tiansheng Zhang,2114956841
Ennio Mingolla,240458666
Bryan Plummer,2294961777
Vitaly Ablavsky,2050445218
Eric Missimer,1806396506_https://scholar.google.com/citations?hl=en&user=saNGBfEAAAAJ
Fatih Cakir,2013235856
Gonca Gürsun,13848708
Andrew Hagedorn,2169292172
Michael Dietze,2085781854
Gitae Kim,2152235047
Curtis Woodcock,2115592444
Ajjen Joshi,2227937734
Tong Geng,2890684017
John Murray-Bruce,328927868
Alphan Ulusoy,2170847944
Diane Theriault,1855073674_https://scholar.google.com/citations?hl=en&user=KtVvmOYAAAAJ
Anatoli Gorchetchnikov,121341598
Mark Gaynor,2111542792
Sepideh Pourazarm,2018406839
Renato Mancuso,2133363414
Stormy Attaway,1215806270
Lev Levitin,2059112879
Keyong Li,2153875734
Lake Bu,2225727226
Oded Ghitza,2558533128
Mark Kon,731473246
Bowen Zhang,2150338809
Joyce Wong,2122643124
A. Litvin,2628830718
Yuting Zhang,2650201174
S. Nawab,1975282040
Iman Haghighi,2486379740
Jesse Shore,2163138422
J. Storck,2973660894
Ahmed Sanaullah,2541963853
Caroline Moore-Kochlacs,1863566629
Wei Li,2306363969
Kevin Leahy,2026199819
Qinxun Bai,2162838124
Chiyan Chen,2146375107
Man Yeung,2111506360
Shuai Wang,2441435922
Ann McKee,2109585919
Swapnil Bhatia,2111158527
Henghui Zhu,2513492337
Ahmad Khalil,2101370047
Jasmin Léveillé,2137016903
Miloš Popović,2102318730
William Koch,2561590268
Ronald Killiany,589325846
Leonid Levin,2138747406
Jacob Harer,2918199413
Tarik Borogovac,253587566
Gulrukh Ahanger,2082364816
Sclaroff Sclaroff,2224560582
Chester Curme,1650478344
Adam Avakian,2117619973
Kam Lai,2223434979
Canan Corlu,1982881088
John Gancarz,2049133032
Saul Youssef,2873190456
Zhuoqun Cheng,2226655971
Daniel Bullock,2139019432
Karim Mattar,2120933764
William Liberti,1657269896
Om Thakkar,2779556100
Feng Nan,2109305684
Hanxiao Wang,2401875210
Dora Erdos,2035702190_https://scholar.google.com/citations?hl=en&user=DqkzGdYAAAAJ
L. Perkins,2529987503
R. Ungrangsi,2779974289
Charles Saunders,2913227711
Joel Tenenbaum,2006755128
Charalampos Mavroforakis,2225642637
