Christos Faloutsos,2198983026
Takeo Kanade,2140539176
Martial Hebert,2101365550
Mahadev Satyanarayanan,416104820_https://scholar.google.com/citations?hl=en&user=0y6JDD4AAAAJ
Katia Sycara,2068240882_https://scholar.google.com/citations?hl=en&user=VWv6a9kAAAAJ
Abhinav Gupta,2099263982
Eric Xing,351197510_https://scholar.google.com/citations?hl=en&user=5pKTRxEAAAAJ
Edmund Clarke,2129477832
Hui Zhang,2588683129
Lorrie Cranor,368046975
Tom Mitchell,2151014374
Manuela Veloso,2108671403_https://scholar.google.com/citations?hl=en&user=2FbkAzYAAAAJ
Alexander Hauptmann,2113269357
Brad Myers,2117127927
David Andersen,2130397481_https://scholar.google.com/citations?hl=en&user=wUArfPgAAAAJ
Jose Moura,2101613840
David Garlan,2256096860_https://scholar.google.com/citations?hl=en&user=saLJmksAAAAJ
Srinivasan Seshan,2093924322
Yiming Yang,2159253281_https://scholar.google.com/citations?hl=en&user=MlZq4XwAAAAJ
Anind Dey,2111246749
Jason Hong,2141131632
Jaime Carbonell,2100444261_https://scholar.google.com/citations?hl=en&user=wlqqttEAAAAJ
Alan Black,2138706875
Gregory Ganger,2791808
Ragunathan Rajkumar,2117976905
Ruslan Salakhutdinov,2031945151
Ozan Tonguz,684697679
Jodi Forlizzi,2068668851
Garth Gibson,2235094860
Tuomas Sandholm,2070867630_https://scholar.google.com/citations?hl=en&user=0DpK1EMAAAAJ
Eduard Hovy,2046588481
Scott Hudson,2171298838
Kenneth Koedinger,311794911
J. Broch,2172273337
Luis Ahn,2110197654
J. Bagnell,1515167117
Chris Harrison,2123491528
Norman Sadeh,100648250_https://scholar.google.com/citations?hl=en&user=X57uzqcAAAAJ
Peter Steenkiste,3029129842
Fernando Torre,2101970311
Nicolas Christin,2167982539
Radu Marculescu,158891262
Robert Kraut,1975391153
Larry Pileggi,561713960
Jessica Hodgins,601642093_https://scholar.google.com/citations?hl=en&user=vswo4rQAAAAJ
Jamie Callan,2148123616
David Brumley,2157466369_https://scholar.google.com/citations?hl=en&user=O-29z5AAAAAJ
Kathleen Carley,2098520675
Vyas Sekar,2293201185
Lujo Bauer,2151574249
Guy Blelloch,149058271_https://scholar.google.com/citations?hl=en&user=Z6nLCukAAAAJ
Laura Dabbish,1231469998
Bhiksha Raj,2166106843
Carolyn Rosé,2152131012
James Herbsleb,202682525
Alessandro Acquisti,233060415
Srinivasa Narasimhan,2055799763
Florian Metze,2605370055
Kamal Nigam,2111663429
John Anderson,2148669659
Mor Harchol-Balter,2101141533_https://scholar.google.com/citations?hl=en&user=Ooc7UNUAAAAJ
Jie Yang,2311887646
