Andrew Duchowski,26822819_https://scholar.google.com/citations?hl=en&user=xYK0xy4AAAAJ
Ardalan Vahidi,1826619429
Richard Brooks,2101853064
Hongxin Hu,2102996759_https://scholar.google.com/citations?hl=en&user=fQQXj1oAAAAJ
Michael Pursley,339075816
Darren Dawson,2134059763
John McGregor,2223841746
James Wang,2299283204
Sebastien Goasguen,2664017675
Ian Walker,2105094433
Adam Hoover,2164519777
Kuang-Ching Wang,2101799296
H. Borhan,2229635663
Walter Ligon,2110797209
Jason Thatcher,2099622633
Jacob Sorber,722127324
Jim Martin,2574294713
Ze Li,2161989889
Murali Sitaraman,2301897086_https://scholar.google.com/citations?hl=en&user=kLWmLJwAAAAJ
Pradip Srimani,2089465206
Robert Geist,2226039008
Kelly Caine,2344536602
Joshua Summers,2118506162
John Wagner,2104033893
Roy Pargas,713696692
Philip Miller,2274376894
Sabarish Babu,2134717306
Anand Gramopadhye,260005090
Feng Luo,2692719734
Guoxin Liu,2107011276
Ilya Safro,59919527_https://scholar.google.com/citations?hl=en&user=QYesEdIAAAAJ
Pierluigi Pisu,1897513782
Liuhua Chen,2149545816
Stephen Hedetniemi,1255050494
Georges Fadel,438971674
Kapil Madathil,1994545679
Amy Apon,130559541
Brian Malloy,2120309843
Yiru Shen,2777277016
Jim Bottum,2178093157
Donald House,2099950273
Bart Knijnenburg,2997894517
Sophie Jörg,1981315312
Joel Greenstein,2131131399
John Gowdy,2100845115
Chin-Fu Chen,2513768889
Timothy Burg,2098321421
Eric Muth,2085009044
James Westall,692878297
Michael Murphy,2124559150
Karl Rasche,2159885990
Lu Yu,2296262365
Robert Schalkoff,172046497
Lianyu Zhao,2130004267
Sriram Rangarajan,2231679911
Zhidian Du,2134247560
Karan Sapra,2011359848
Rapeeporn Payattakool,2279895389
Yongqiang Wang,2608528603
Melissa Smith,2102228867
Scott Mason,2133792097
Sandra Hedetniemi,2026892218
Harlan Russell,2132160844
Emil Alexov,2007271094
Larry Hodges,2993587238
T.C. Royster,2304983586
Yue Wang,2695451979
Gregory Mocko,702755910
A. Rivera-Rodriguez,2066521818
Shannon Canty,2341552489
Yuhua Lin,2162577086
Paul Wilson,2079274693
Rong Ge,2159412321
Timothy Davis,2160863694
Salil Banerjee,2123764063
Joseph Hammond,2156926478
Michael Fenn,2308471578
Heather Harton,1996483509
Rajendra Singh,2117291262
Ryan Izard,2151596682
Mary Kurz,2980045844
Robert Peck,2167233297
Jamie Lyle,2134139478
Jeffrey Bertrand,2166680737
Wayne Goddard,2105016980
Sabri Gurbuz,1757216803
Linh Ngo,1965513441
Zoran Filipi,245935622
Lei Tang,2272406760
Yujie Dong,2142529427
Eric Patterson,2139327371
Beshah Ayalew,1976521327
Yangyang He,2792147301
D.L. Noneaker,2974405619
Shuhong Gao,2188705904
Y. Fang,3009207705
Andrej Ivanco,2123671288
Yingjie Lao,2119973686
Brian Dean,2460132639_https://scholar.google.com/citations?hl=en&user=Arl0IwUAAAAJ
Stanley Birchfield,2974126614
Hongda Li,2312089421_https://scholar.google.com/citations?hl=en&user=qbaT2VMAAAAJ
Guneet Bedi,2230875626
Jonathan Maier,2171559299
D. Dawson,2477444554
Zekeriya Tufekci,2063532245
Edward Duffy,2134000117
S. Fayazi,2066231116
Heshan Sun,2170062325
M. Harrold,2230265014
Michael Wilson,2483453588
Jenna Scisco,688766177
DongBin Lee,2721406209
Hampton Smith,2152508015
Lin Wang,2291894149
Mohammad Bhuiyan,2167517630
John Ballato,740970557
Johnell Brooks,2151109966
Timo Heister,2032750884
Ioannis Karamouzas,139974619
Brian Melloy,1976795450
Oluwakemi Hambolu,2229741035
Mashrur Chowdhury,2132645132_https://scholar.google.com/citations?hl=en&user=8wf3_40AAAAJ
Jie Zhang,2716490105
Yunyi Jia,2114730795
Ke Xu,2665331319
Sally Wahba,2007492950
David Jacobs,2113171912_https://scholar.google.com/citations?hl=en&user=FcTT8FsAAAAJ
Christopher Pagano,2065273468
Chuan Li,2984856810
A.K. Ghosh,2127996602
Allen Rawls,2226817296
Juan Deng,2705241750
Jon Oakley,2605142454
Sarah Matzko,2155992595
Andrew Robb,2186439357
Zifan Liu,2583106009
Timothy Scott,2489986932
Gene Eidson,1990410124
G. Ali,2225353361
Kevin Taaffe,829019819
Russell Purvis,2018541103
Marharyta Petukh,1861032145
Ilker Ozcelik,2077612383
Yvon Feaster,1438025072
Alison Leonard,2501528948
D.H. Hutchens,743063532
Mehdi Rahmani-Andebili,2302777461
Mark Smotherman,2082255682
Bhargav Golla,2232396638_https://scholar.google.com/citations?hl=en&user=Z-A6ENcAAAAJ
Steven Hearndon,2554379799
David Frazier,2308927789
J. Schwier,2011891280
Mikel Cole,2125414777
Byron Lowens,2224359907
Lauren Dukes,2126866441
Yifang Li,2617545353
Jason Ellis,2479677498
Thomas Hawkins,2171557022
Nishant Vishwamitra,2585664741
Steven Boyd,2150350811
P.Y. Govindaraju,2609297772
Kevin Freeman,2497400626
Siddhartha Borkotoky,2225351085
Jessica Merino,2161206988
Nathan McNeese,1766312263
Shawn Witham,2002628105
Subhra Sarkar,2122530856
Frank Volny,159983730
Nalin Pradeep,2972877683
Philip Roth,2147505877
Long Cheng,2120514659
Michael Sawyer,2132532460
Paul Foy,2030681401
Bipul Luitel,2311646883
Roberto Merco,2885185513
Zhe Zhang,2600570217
R. Stolen,2252901693
Apoorva Kapadia,2107270909
Christopher Post,2462277408
Jerome McClendon,2134089233
H. Sol,2918214250
Dhaval Parmar,2082482844
Nicole Tobias,2230646210
Nicholas Smith,2503745772
Damitha Bandara,1991756077
F. Zhang,2304811093
K.F. Poole,2048871569
Sam Bryfczynski,2823176473
Yu-Shan Sun,2304227503_https://scholar.google.com/citations?hl=en&user=Gp9XhVoAAAAJ
Prashanth Adurthi,2285120704
Ruslan Shaydulin,2766797779
Frederick Block,2973637525
