Zhiqiang Gao,2636837050_https://scholar.google.com/citations?hl=en&user=3Vqkg-EAAAAJ
Wenbing Zhao,2100758111
Dan Simon,2101765531
Chansu Yu,2098526574
Toshinori Munakata,2019492468
Dawei Du,2157639819
Ye Zhu,2973652694
Nigamanth Sridhar,2155455650_https://scholar.google.com/citations?hl=en&user=PV9BI2gAAAAJ
Roanna Lun,1910733660
Haodong Wang,3017300205
Hanz Richter,2239907408
A. Waren,2117146862
Aaron Radke,2009580166
Selma Vonderwell,1993623063
David McIntyre,2161417059
Patrick Wachira,2158381358
Joan Niederriter,2344310747
L.Q. Gao,2580273514
Janche Sang,2157623862
Rick Rarick,2875216194
Connor Gordon,2512003864
Lili Dong,2940479415
Abou-Bakar Fofana,2510099497
Honglei Zhang,2115700305
Carolyn Lin,2277029285
Fuqin Xiong,2154080691
Sanchita Mal-Sarkar,162736191
Antonie Bogert,141940061
Qinling Zheng,2145530819
Iftikhar Sikder,361261903
Robert Miklosovic,2341796558
Gang Tian,2311066087
Qing Wu,2759233946
Bharat Vyakaranam,2337184251
Victor Matos,2156591153
Y. Hou,2426336406
William McCartney,2063649885
Robert Schumaker,2306554012
Timothy Arndt,2287576379
Gholamreza Khademi,2587580008
Nisargkumar Soni,2421057901
khilesh Vangala,2435916667
Nikhileshwara Vennapusa,2439780566
Guna Janapati,2441429511
Weiwen Wang,2308280189
M.M. Fenske,2706640546
F. Villaseca,2155017298
Seyed Fakoorian,2380722108
Marius Boboc,2017486984
Chunming Yang,2582762903
Hanieh Mohammadi,2257887098
Kiran Gavini,2423219048
Gondal Krishna,2438405014
Satwic Mudigulam,2440230034
Holly Warner,2261783822
Gao Zhiqiang,2017069769
Glenn Goodman,2120519482
Beth Ekelman,2503737104
Mehdi Jalalpour,2065832005
Mamdouh Babi,2265610510
Hai Feng,2227620446
Mandi Goodsett,1612950801
Fangjun Jiang,2150604524
Injazz Chen,2120475632
Conor McLennan,1966364182
Sun Chung,2130873545
Hadis Mohammadi,2230484142
Wankun Zhou,2699962574
Suhua Wei,2807719788
V.M. Peri,2108697148
F.J. Goforth,2553515049
Cheryl Bracken,1991784905
R.J. Eucker,2343562144
Leo Jeffres,2298029252
Chaitrali Joshi,2434245911
Mrunal Chauhan,2440611176
Eric Schearer,1222795069
Lubo Song,2121675783
Anil Vikram,2105963719
Thijs Heus,2467124367
Yao Zhang,2309715750
Wendy Regoeczi,218995009
R. Mushini,2647752656
George Thomas,2320557444
Alan Benander,2012656503
Taylor Barto,1968340970
Deborah Deborah,2225691989
Michael Pechura,2280473570
Karla Hamlen,2089335544
Abbed Babaei,2131476424
Nigmanath Sridhar,2225225612
Yongjian Fu,2156633756
Barbara Benander,2032148599
Jonathan Gurary,2343761300
Srikiran Kosanam,3040467289
Francis Wolff,2779484344
Vijay Konangi,2187853999
Song Cui,2168717589
Manohar Bathula,2073179139
Pong Chu,2141624919
Lori Peterson,2146189719
Shang-Che Lin,2420212399
Paul Skalski,2067196537
Jason Halloran,2120753132
Walter Rom,2157773520
Kimberly Neuendorf,2159379757
Han Zhang,2715454534
Brian Blake,2364320871
Donald Ebeigbe,2421451623
Myong-Hun Chang,2152897286
Elham Akbari,2437066405
Raymond Henry,2102616064
Ishu Pradhan,2113569785
Nilesh Patel,2316189789
Joe Gotschall,2342573536
Mehrdad Ramezanali,2342644953
Sujay Bajracharya,2955241597
Linda Francis,2131536826
Robert Scherer,2097137876
Ben Blake,2055073606
Debbie Jackson,2118497159
Tianning Shen,2715912306
Jason Tatsumi,2220315039
James Flynn,2114242093
Paul Lozovyy,287484073
Yuanchao Lu,2628876649
Narasimhaiah Gorla,2661475424
Ann Reinthal,2609640863
Xiang Li,2640021187
Richard Rarick,2090862430
Phillip Emerson,2152436891
Chia-Shin Chung,2680836725
Gary Pettey,1276233220
Sudeep Mallick,2305174116
Marsha Miles,2215510890
Mohamed Abdelhady,2582191715
F.E. Villaseca,2344811483
John Zeller,2154283159
John Sustersic,2258515999
Derek Wolf,2531547416
Lih-Ching Wang,2697556225
Nicholas Ruffing,2341983690
V. Padaraju,2772282727
M. Bbela,2774428416
