Qun Li,2663653257_https://scholar.google.com/citations?hl=en&user=hHKC6FEAAAAJ
Denys Poshyvanyk,67342874_https://scholar.google.com/citations?hl=en&user=gyLFs0IAAAAJ
Gang Zhou,2701788513_https://scholar.google.com/citations?hl=en&user=fOznM_YAAAAJ
Evgenia Smirni,2308692200_https://scholar.google.com/citations?hl=en&user=1Ed4HYUAAAAJ
Shanhe Yi,2111369169
Cheng Li,2468988169_https://scholar.google.com/citations?hl=en&user=ByYN4IsAAAAJ
Steven Gianvecchio,244474101
Kevin Moran,2337296193
Christopher Vendome,2229158785
Weizhen Mao,2168303293
Carlos Bernal-Cardenas,2230368832
Malcom Gethers,2104440431
Michele Tufano,2231495793
Yunlian Jiang,2117195575
Bogdan Dit,2101338685
Martin White,2435672918
Bruce Lowekamp,2385352515
Zi Chu,2096268463
Xu Liu,2963801903
Ge Peng,2100594183_https://scholar.google.com/citations?hl=en&user=DhS7cuAAAAAJ
Kai Tian,2188295356
Zhang Xu,2311094721
Scott McCoy,2129527818
Matthew Keally,2063904852
Adwait Jog,2006476705
Nan Zheng,2334579514
Xin Qi,3038052239
Qi Zhang,2548570655
Pieter Peers,2025958750
Qing Yang,2269338031
David Nguyen,2222309343
Rajiv Kohli,2136265803
Meghan Revelle,2006722965
Ryan Shipley,2285587024
Zhenming Liu,2881157430
Zijiang Hao,2230198931
Dmitry Evtyushkin,253140105
Ji Xue,2478060880
Lawrence Leemis,1978968716
Wei Wei,2442006374
Boyang Li,2124185167
Ziyu Guo,2153962965
Qi Luo,2239981666
Peter Kemper,2109077946
Aaron Paloski,2222989205
Xin Chen,2677005630
Alma Riska,2303426871
Bin Ren,3035216418
Gexin Yu,2435447711
Radu Siminiceanu,2953126945
Lele Ma,2765510578
Shuangquan Wang,2124311259
Evan Moritz,2170051110
Shansi Ren,2165682535
Fangli Xu,2786054758
Zhen Ren,2638762166
David Coppit,2092337867
Chon Abraham,2097217677
Mark Hofer,2139750527
Robert Marmorstein,2039329391
Anke Zuylen,278655574
Yue Li,2616138596
Denys Poshynanyk,2614170367
A. Radovic,2020653215
Yutao Tang,2222068090
Cody Watson,2883433130
D.A. Bryan,2974840900
Andreas Stathopoulos,1975698505_https://scholar.google.com/citations?hl=en&user=2M8BWDkAAAAJ
Nancy Carter,2148992749
Richard Bonett,2735776768
Judi Harris,2572035729
Shasha Wen,2540373368
Phil Kearns,2301039297
Jianhua Sun,2505760168
Julie Agnew,2242865514
Edmund Novak,2081206693
Mingzhou Zhou,2137416262
Andrew Holtzhauer,2230842761
Ariel BenYishay,2616507484
Aaron Koehl,2171058399
Bin Nie,2599368297
Duy Le,2144626624
Hongyang Zhao,2101673586_https://scholar.google.com/citations?hl=en&user=4R9syLAAAAAJ
Yongsen Ma,2789781736
He Sun,2430809780
Daniel Graham,2228496628
Michael Curcio,2785595482
James Dzierwa,2974836773
Seth Goodman,2658888673
Daniel Runfola,2777422524
Stephen Park,2329380477
William Stewart,2289228722
R.E. Noonan,2622405335
L.J. Morell,2973994345
S.K. Park,2924904042
Xin Ruan,2574428267
Woosub Jung,2795347443
Virginia Torczon,1967887859
Trevor Savage,2064996216
Kevin Barker,2974126799
Mohamed Ibrahim,2613011513
Andriy Kot,2169065536
Judith Harris,2096116863
Xing Gao,2907095845
Rex Kincaid,1974685800
Frans Schalekamp,1583385990
Hang Zhao,2963592068
Jiawei Wen,2540612359
Andrew Peck,3017397861
Grace Grimsley,3017560736
Graham Melville,3017577155
Elizabeth Dowker,3017624301
Heather Baier,3018536441
Austin Anderson,3018567525
Maddy Mulder,3018997053
Joshua Panganiban,3019130972
Rachel Layko,3019217976
Sydney Fuhrig,3019716584
Hannah Slevin,3020078431
Sylvia Shea,3020500791
Matt Crittenden,3020763359
David Murray,2098255661
Xiaodan Zhu,2791602973
W. Collins,2296485054
Panagiotis Foteinos,780939593
M. LaMar,2167836547
Carlos Cárdenas,2227498827
David Goldenberg,2237811607
Jonathan Palmer,2135050049
Du Shen,2603438152
Robert Noonan,2153571134
Vesselin Diev,2025494126
T.S. Papatheodorou,2973874601
Ruth Lamprecht,2041180691
Stephen Shellman,1809480214
Kostas Orginos,1998092139
Li Qun,2424412157
Jason Chen,2100058227
Shengye Wan,2741137083
Peter Vishton,216177668
Gurunath Kadam,2794951583_https://scholar.google.com/citations?hl=en&user=Ai-Ub5IAAAAJ
Adwait Nadkarni,2127327684
Ronald Hess,2155812862
Wei Niu,2943560078_https://scholar.google.com/citations?hl=en&user=w1RoaOMAAAAJ
Haonan Wang,2583958594
Jianing Zhao,2509734997
Samuel Klock,2226386107
Elizabeth Schwartz,2404673825
Ken Blakely,2229823141
Eric Billet,2631837183
Christopher Ball,2160209500
J. Palmer,2974623486
Yanxia Qu,2308302462
Xiadong Zhang,2974013663
Zeyi Tao,2903845340
Andrew Caniff,2231265193
Mark Hinders,2281190703
R.L. McGregor,2481479810
Wei Sun,2637983761
Sam Klock,2709504702
Seyed Iranmanesh,2155656768
D. Nico,2228649277
Kyle Wallace,2637551011
Shiwei Zhang,2111477534
Pengfei Su,2913863676
George Simmons,2226087902
Sunil Manandhar,2902530492
Jeremy Stoddard,1985989460
M. Zangrilli,2974812680
R.A. Dutton,2974380449
Hongyuan Liu,2899470634
John Drew,2145963015
D.L. Palumbo,2696944827
Probir Roy,2342565006
Haiyan Zhu,2111977705
Jaleo Velasco-Madden,2232061437
Karen Locke,2174542849
Xing Du,2723968624
Chi-Kwong Li,2115140831
Brendan Otten,2734982574
Daniel Park,2736036912
Yu Chen,3007638077
Jaime Settle,2147218233
David Bryan,2126329904
S. Goldenberg,3015249669
Salma Elsayed-Ali,2941727681
Inga Carboni,1949359514
Benjamin Brush,2165789983
James Bradley,2243690659
Gigi Kelly,2153991491
Henry Krakauer,2000636163
Wirawan Purwanto,2046439668
Eric Walter,2128816076
Zhonghui Lv,2898722227
Anne Hudley,2172914433
Dan Jelf,2786891413
Stefan Kubricht,2973384113
J Rosendale,2230251787
T. Broadbent,2508932362
M. Revelle,2973666335
D. Coppit,2974702031
Robert Painter,2542787267
Joshua Gluckman,2293520613
J. Dzierwa,2544766064
Harvey Langholtz,1558977348
