Tracy Camp,2164180442_https://scholar.google.com/citations?hl=en&user=8TyIlFgAAAAJ
Vanessa Davies,2145874058
Michael Wakin,1967645246
Dejun Yang,2431922560_https://scholar.google.com/citations?hl=en&user=tkoI1M4AAAAJ
Qi Han,2104888217
Kathryn Johnson,2419744749
Brad Williams,2302773395
Marcelo Simões,2136468279
Tyrone Vincent,2107765173
William Navidi,666866762
Michael Colagrosso,404710294
Gongguo Tang,2295282018
Stuart Kurkowski,2974110878
Kevin Moore,2116166974
M. Simoes,2235135723
Atef Elsherbeni,247141462
Raghu Krishnapuram,2019833766
Bo Wu,2143723884
William Hoff,2159284459_https://scholar.google.com/citations?hl=en&user=XvoGQx4AAAAJ
Barbara Moskal,307752813
Reed Maxwell,2149368350
Doug Hakkarinen,2064911906
Tom Williams,2097222119_https://scholar.google.com/citations?hl=en&user=qg_aiScAAAAJ
John Spear,2188271139
Qiuwei Li,2230763218
Yunho Jeong,2108278069
Hao Zhang,2682475807
Paul Sava,730907961
Teresa Davies,2097883596
Randy Haupt,1974581103
Dehui Yang,2130304345
Alexandra Newman,2120769894
Christer Karlsson,2171981952
Ronald Miller,2126892707
B. Williams,2985468456
Payam Nayeri,1864674512
Jian Lin,2650861953
Chong Ding,2134250794
Tissa Illangasekare,49846879
Shuang Li,2435431427
Dinesh Mehta,2161253175
Hui Liu,2305163410
Chuan Yue,2154369995_https://scholar.google.com/citations?hl=en&user=r4nMOKsAAAAJ
Liyu Yi,2661067357
Naveen Thomas,2442942183
Youye Xie,2767502573
Cyndi Rader,2309605365
Salman Mohagheghi,2305165379
Wendy Fisher,2549662545
Kai Liu,2808095264
D. Griffiths,2407364416
Mohammad Babakmehr,2226308708
Marc Rubin,2165777386
Yu-Shu Wu,2107226611
Yongjian Zhao,2486718261
Willy Hereman,2211686773
B. Asbury,2668297418
L. Ozdemir,2676439707
Timothy Taylor,2782871905
Songpo Li,2507931303
Rui Liu,2590956401
Chia Lim,2128420419
Farnaz Harirchi,2225004793
Daniel Mawhirter,2826935578_https://scholar.google.com/citations?hl=en&user=sTsFnkcAAAAJ
Khoi Nguyen,2973644832
Fei Han,2430048878
Brian Thomas,2168646212
Michael McGrath,2304926431
Vladan Stevanović,2096884907
Yuhui Zhang,2584078732_https://scholar.google.com/citations?hl=en&user=hVghUu4AAAAJ
Andrzej Szymczak,1945542515
Anuj Goyal,2111344060
Jeff Squier,2873456896
Christine Liebe,2962805017
Brandon Rodriguez,2293808554
John Blitch,2156996401
Eileen Poeter,101690090
Ozkan Celik,2161050935
Cong Wang,2311327220
Jeremy Webb,2518645422
Lyujian Lu,2805050760
Xinshuo Yang,2970457371
Paul Martin,2144762362
T.T. Nguyen,2974658679
Steffen Rebennack,143002401
Hossein Kazemi,2087985747
Barbara Olds,2079386645
Mahadevan Ganesh,2124080025
Ahmadreza Hedayat,2564828165
Erich Hoover,1992688257
Eric Chandler,2070341122
Michael Young,2098782489
N. Mushell,2276186214
Kerri Stone,2573851409
Dana Martin,2735441980
Frank Kowalski,1569509182
Susan Kowalski,2162876304
Philip Winterfeld,2028252695
Robert Underwood,2109923155
Na Yu,2130459563
Dawn Vitek,1915387310
Charles Durfee,1993912596
Erica Block,2105024979
Michael Greco,2238476560
Tracy Gardner,2126078764
Hao Huang,2973426891
Hyongdoo Jang,2129771140
John Stockwell,2768829988
Keith Hellman,2145093386
J.P. Luck,2974897629
Xinhua Yang,2206926400
Arta Doci,2054568479
Na Wang,2119105239
Carl Mitcham,2291584228
El-Sharif Omer,2019664830
Nhan Tran,2805094026
W. Lambert,2523783899
Andrea Brickey,2677698228
David Marr,2059276814
Saad Elbeleidy,2919779682
Chris Aldrich,2133771010
Lodewijk Brand,2890935125
Anton Filatov,2296611062
Erkan Topal,2075150848
H. Duzgun,1991730515
Jr. Stockwell,2172871864
Levente Sipeki,2742600137
B. Hoff,2138920309
Marios Karaoulis,2021641517
Diego Gómez-Gualdrón,2595322436
Josh Rands,2805275591
John Steele,2067125150
Neil Dantam,270208492_https://scholar.google.com/citations?hl=en&user=J-6Ch9sAAAAJ
M. Forrester,2292712856
Jennifer Ryan,3011317341
Yan Feng,2572532342
Erdal Ozkan,2150262290
Lauren Baker,2979463444
Yi Xiong,2237009378
Luming Liang,2664328244
Jennifer Miskimins,2082309175
Fadel Lashhab,739181777
Ryan Jackson,2930470526
E. Krohne,2486251358
Peiling Yao,2500725403
Brian Zaharatos,2308356134
Christopher Sullivan,2995142643
Raghu Krisnapuram,2018079738
Anthony Petrella,2306773729
D. Hakkarinen,2973523590
Luis Tenorio,2146762244
Chad Kembel,1254736634
Christopher Poupore,2487517153
Julie Krausea,2501095587
Eric Chiu,2625276154
Ronilson Rocha,2188350959
Alfred Eustes,2120785952
S. Mann,2421635521
K. Hellman,2718301366
Kamel Alboaouh,2888302008
J.M. Steinbis,2177114971
Alyn Rockwood,2666788946
Stephen Kennicutt,2582009177
Stephen New,2916038336
Lin Guo,2311634636
X. Luo,2132669398
Yaoguo Li,2143704854
Kevin Barnhart,2165101205
Julie Krause,2145369695
Mohammed Hadi,2129815694
Mostafa Sharifzadeh,2028470002
Vineet Pandey,2184814105
Abdulhakeem Alsaleem,2587068176
Xu Zhou,2560795654
C. Novara,3001972924
Ning Wu,2883281327
Briana Lucero,2109240859
Colin Marshall,2726288101
Michael Brown,2728331209
Chris Walsh,2599690403
Daniel Schemmel,2765137284
Vahid Rezaei,2093533583
Anne Silverman,2345402638
Yating Wang,2283974350
Ruchen Wen,2962534789
T. Illangaskare,2267098933
T. Sakaki,2973245033
S. Medasani,2646873878
M.D. Weiss,2973743988
Weiping Pei,2855451301
Michael Maestas,2809964529
Manavendra Misra,2671555003
Tim Kaiser,2600994943
Timo Lohmann,2386399459
R. Masoudi,2607870595
Dendy Sloan,2699283693
Marte Gutierrez,2170395920
Ray Zhang,2158076823
John Scales,1987226748
Feng Gao,2306968231
Josh Thomas,2222783710
Robert Kee,2146267934
Lisa Dunn,2167732068
Tonya Lauriski-Karriker,241439468
D. Sloan,2652232941
Prasanth Suresh,2888592071
Julius Campbell,2627666277
Jason Luck,2304979044
Jon Leydens,2012161447
Roel Snieder,2176072895
Jae Lee,2147059044
Connor Holmes,2925594340_https://scholar.google.com/citations?hl=en&user=Ju0qKrQAAAAJ
A. Norton,2511842496
A. Rockwood,2973935552
Peng Gao,2982958386
Richard Relue,2233349012
Brian Reily,2495904339
Kevin Roth,2137717668
Jered Dean,2291799956
Ebru Bozdağ,2149037230
Michael Pavelich,468549691
Moamar Sayed-Mouchaweh,2662405151
E. Dejnozkova,379733659
D. Heil,2674261900
Daniel Gaydos,2902444042
Douglas Nychka,2810134032
Samuel Dyas,2341963331
Baoniu Han,2694950528
Sarah Verros,2564257070
Moein Choobineh,650780006
Brianna Buljung,2142088329
Pankaj Sen,2166764276
Christian Debrunner,1007276217
Colin Bell,2502383508
S.A. Walker,2120661624
Anthony Dean,2150835432
David Hershberger,2708931988
Adewole Ayoade,2167770875
Mohammad Saadatzi,2938644946
Hari Om,2971260629
Chris Debrunner,2644146508
Jordan Pease,2120650555
Thyago Mota,2125713256
William Wingle,2117685033
Christopher Braun,2164682353
David Busse,2267114807
Ahmad Alyoubi,2223394520
Doug Cook,2487429372
Brian Hoenes,2041018023
Amanreet Bajwa,2223127353
Cericia Martinez,2142759462
Ami Desai,2170876539
Jean Bell,2122334020
Aaron Porter,2138499690
Andrew Neill,2286136550
Qiang He,2303921451
Tina Kouri,2115638108
Abdennebi Hasnaoui,2222428573
Mark Kuchta,2278060297
Linda Yang,2552120138
Ramona Graves,2102281157
Marshall Sweatt,2026099335
W. Yearsley,2284785735
Ken Larner,2298354522
Allan Haas,2160391765
Matthew Bussing,2928513195
Elizabeth Boyle,2931038052
Sebastian Cabrol,2934403935
R.R. Murphy,2974310856
Roman Tankelevich,2015881844
Florian Gerber,2997495128
Jeehoon Bae,3021944986
Peter Weddle,2316616202
Matthew Sanders,2764241485
Abdelsalam Masoud,2153305180
M. Colagrosso,2973284481
Tzahi Cath,1060540490
Mengistu Geza,1947242244
Hyung Kim,2889078751
Hua Wang,2940676730
Jürgen Brune,2507712849
Robert Jones,2766391485
Douglas Hakkarinen,2974480582
Philip Loden,2058593522
Lisa Porta,2284857665
Andrew Squelch,2228855602
Mustapha Kchikach,2302696980
Y. Fu,2687479707
Cory Jensen,2623951305
Ryan O'Hayre,1155251024
Chuancheng Duan,2338956427
Debora Oliveira,2617060115
Shiling Pei,2304651367
Hongyan Liu,2552312354
Yi Qin,2911368715
Caner Karacaer,2476879501
Taylor Sallee,2546484972
Kevin Emery,2547006779
Masami Nakagawa,2155197533
Manika Prasad,2680785896
Michel Gangnet,2642816768
Sabine Coquillart,2986572357
G. Leong,2144151746
Branden Kappes,2160432693
N. Park,2692278245
T. Norick,148940752
D. Linder,2101513754
R. Enficiaud,2561125396
Xia Jiang,2227794061
Zhao Liang,2537727576
Bananeh Ansari,2119491248
A. Chaghajerdi,2650888108
Adam Short,2346124573
Zachary Mimlitz,2560806041
Michael Teter,2679462081
Ziling Zhang,2988502302
Haoxuan Yang,2965314898
Geoff Brennecka,1978165707
Martin Cowell,2311544157
Allee Zarrini,2803944014
Yaswanth Velaga,2907741578
Manuel Lopez-Santillana,2790307459
Qin Zhu,2982398909
A. Balch,2172355492
Robert Woolsey,2162323919
James Hoffman,2156760884
Oliver Chase,2230489495
Hunter Williams,2805495010
Jeongmin Lee,2591749668
Richard Wendlandt,2046119111
Eric Duviella,2595402829
Arnaud Doniec,2595528861
Justin Chichester,1582337767
Tor Vestad,1983346435
Robert Applegate,2103957165
Hisham Sager,2229980149
Tao Xiong,2974529857
Sana Sahbani,2788319877
T. Retheim,2344324541
R.S. Thompson,2237827281
Andrew Petruska,1508367616
