Huan Liu,2122391114_https://scholar.google.com/citations?hl=en&user=Dzf46C8AAAAJ
Guoliang Xue,2146561703_https://scholar.google.com/citations?hl=en&user=9gBvN78AAAAJ
Junshan Zhang,2108674926
Gail-Joon Ahn,2281944180
Martin Reisslein,226801178
Chaitali Chakrabarti,2158276390
Sandeep Gupta,2147421545
Xi Fang,2103732863
Dijiang Huang,2123831698
Sarma Vrudhula,575643483_https://scholar.google.com/citations?hl=en&user=2UF8gNsAAAAJ
Johnny Saldaña,2131412257
Subbarao Kambhampati,1354405940
Andreas Spanias,324895184
Yinong Chen,2230658069
Sethuraman Panchanathan,2055909567_https://scholar.google.com/citations?hl=en&user=GKTKZ8kAAAAJ
Huiji Gao,2166899337
Stephen Yau,2145542476
Jae-sun Seo,2106230293
Daniel Bliss,2143332333
Lina Karam,2182807125
Chitta Baral,2010516145_https://scholar.google.com/citations?hl=en&user=9Yd716IAAAAJ
Andréa Richa,2158679270
Kai Shu,2108363897
Nima Tajbakhsh,1924660746
Jianming Liang,2251339526
Danielle McNamara,2220320017
Hanghang Tong,2224718883
Aviral Shrivastava,2132397919
Arunabha Sen,2144225379
Georgios Fainekos,397384292
Bertan Bakkaloglu,284291632
Lei Ying,2310275295
K. Candan,674992784_https://scholar.google.com/citations?hl=en&user=keO-0s0AAAAJ
Pavan Turaga,1979730653
Ayan Banerjee,2117006664
Charles Colbourn,2157907216
Yanchao Zhang,2122331757
Cihan Tepedelenlioglu,1939205173
John Fowler,2158994311
Yalin Wang,2474858325_https://scholar.google.com/citations?hl=en&user=F4tTgLQAAAAJ
Karam Chatha,1792526077
Antonia Papandreou-Suppappola,297891418
Craig Enders,2238663370
Wenping Wang,2306100056
Georgios Varsamopoulos,1947780642
Yufei Ma,2231684182
Ross Maciejewski,2142123371_https://scholar.google.com/citations?hl=en&user=nChgOjEAAAAJ
Lawrence Clark,2098282815
Gerald Farin,1998847866
Anna Scaglione,2100697702
Jae Shin,2478045272
Teresa Wu,2101421733
Pai-Yu Chen,2578581475
Sule Ozev,236455989
Kuai Xu,2136491944
Hessam Sarjoughian,29956401_https://scholar.google.com/citations?hl=en&user=2gggOEIAAAAJ
Ziyang Liu,2143636956
Sayfe Kiaei,2036302789
Paulo Shakarian,102302551
Daniel Rivera,2141982914
Angelia Nedic,243043980
Ying-Cheng Lai,2476563404
Geoffrey Barbier,2151048714
Umit Ogras,2508662217
Oliver Kosut,218058999
Kurt VanLehn,1971303852_https://scholar.google.com/citations?hl=en&user=hjYT3JYAAAAJ
Joohyung Lee,2130192778
George Runger,2005957266
Feng Wang,2682599191
Ahmed Alkhateeb,2137322436
Jennie Si,2059594490
Jingrui He,2129983034
Abinash Mohanty,2104116507
Tianyi Xing,2167116285
Kai Zhu,2239189061
Bo Wang,2665764017
Qinghui Tang,2117263930
Violet Syrotiuk,121550177
Kuldeep Kulkarni,1977767797
Xufei Wang,2121550591_https://scholar.google.com/citations?hl=en&user=3Y-Ix1EAAAAJ
Adam Doupé,2093562960
Carole-Jean Wu,2583235982
Nong Ye,2006074418
Hasan Davulcu,51646520
Naveen Suda,1976545103
Xin Sun,2307905883
Liang Wu,2666048107
Suhas Lohit,2225564687
Yezhou Yang,2146031795
Lalitha Sankar,1981287124
Xiang Zhang,2617633869_https://scholar.google.com/citations?hl=en&user=5_1nStYAAAAJ
Charles Redman,2026016539
Troy McDaniel,2150794226
Sarath Sreedharan,2283534570
Marco Santello,1852467665
Ruozhou Yu,2222494178
Douglas Cochran,2251811481
Lei Yuan,2243895322_https://scholar.google.com/citations?hl=en&user=WO80oyAAAAAJ
Zongwei Zhou,2750079513
Vijay Vittal,2306526623
Visar Berisha,2185889079
Sharon Crook,1926087992
Gregory Nielson,2113934472
Kewei Cheng,2563279133
Zoé Lacroix,263865610
Wenwen Li,2143444144
Rui Liu,2714438802
Rida Bazzi,1488634745
Ruocheng Guo,2288386125
Partha Dasgupta,2475704237
Rachel Ginn,2151311391
Constantine Balanis,2040777828
Gang Qian,2133291980
Shamanth Kumar,2166799513
Robert Trevino,2143986394
Suzanne Dietrich,2079206143
Jia Yu,2405792428
Yilin Wang,2138254152
Qian Sun,2620185474
T. Painter,2974622675
T. Raghu,2304487773
David MacKinnon,2145836500
Jiachun Liao,2562916791
Chun-Jen Chung,2588244271
Samuel Dodge,2136093279
Yasin Silva,2170457501
Jing Li,2675013321
Matthew Buman,722337499
Shihui Yin,2935039233
Craig Birtcher,3556940
Heni Amor,2131715014
Rod Roscoe,2250439127
Spring Berman,2100901078
Ankur Chowdhary,2501727879
Mohamed Sarwat,2099338096_https://scholar.google.com/citations?hl=en&user=kOc0x0MAAAAJ
Zhibin Zhou,2115080422
Ehtesham Haque,2132250144
K. Andra,2055440349
Hao Yan,2104501861
Sze Yong,2116012053
Akhilesh Thyagaturu,2408397574
Panagiotis Artemiadis,222980158
Guanqiu Qi,2222707912
Bin Hao,2134703548
Robert Atkinson,2148681657
Eric Nunes,2290077588
David Kaufman,2126504175
Mahfuzur Siddiquee,2883582199
Michael Goul,2426261500
Ghazaleh Beigi,2306170405
Qingyang Li,2222994316
Yu Wang,2303644744
Bin Wang,2482643364
Mohammad Abbasi,2073951928
Brian Proulx,2163952306
Jyothi Velamala,2305663806
Darryl Morrell,2144877867
Qihong Shao,2637199035
J. Benton,2172636117
Dajun Qian,2054181740
Ganapati Bhat,2566726058
Le Xu,2126642366
Nancy Cooke,2159452523
Suhas Ranganath,2154873622
Zahra Derakhshandeh,2274850433
Lydia Manikonda,2135370274
Angel Jannasch-Pennell,2141579793
Anshuman Razdan,2038364924
Chun Fan,2299951937
Deepak Kadetotad,2056850831
Zheshen Wang,2955521582
Jinxue Zhang,2153786028
Jingchao Sun,2131308974
Wonkyu Han,2119527611
Shyamprasad Chikkerur,2224556567
Georgios Trichopoulos,1695928941
Cesar Martin,2148219427
Sreekar Krishna,2143140909
Fariaz Karim,2989526421
Marco Janssen,2219136117
Vinay Vashishtha,2227077376
Matthew Peet,1972371135
Brian Nelson,2129954536
Vinay Hanumaiah,1561234309
David Birchfield,2230203206
Michele Pfund,1970829791
Goran Konjevod,266947894
Jie Zhang,2609635222_https://scholar.google.com/citations?hl=en&user=eE6LpdoAAAAJ
Qiao Wang,2608410931
Jennifer Christen,2282546789
Douglas Montgomery,2162908903
Yan Shoshitaishvili,17507962
Kyle Lund,2136603609
Todd Ingalls,2144149603
Lingjun Li,2145369696_https://scholar.google.com/citations?hl=en&user=K-s2BRsAAAAJ
Zhijie Wang,2281054133
Pankaj Khatkar,2089861279
Sungwook Yoon,2104489522
R. Paul,2989282506
Alex Chiriyath,2223293648
Liangyue Li,2144246580
Bingnan Xiao,2131815756
Liang Sun,2307986493
Chen Chen,2311808467
Joseph Davidson,2168339251
Erin Walker,2952446476
Sandeep Pisharody,2309154647
Qiang Chen,2465801792
Jeanette Nangreave,2068212925
Vinay Venkataraman,2163482083
Kevin Gary,2186567572
Akhil Arunkumar,2049302622
Srenivas Varadarajan,2141305786
Yili Hong,2121645648
Yu Zhang,2310781215
Qian Huang,2199646632
Ming Zhao,2568390203
Arun Das,2405154088_https://scholar.google.com/citations?hl=en&user=B7-PH2EAAAAJ
I-Han Hsiao,2087536447
Srividya Bansal,2112198628
Rita Chattopadhyay,2112113198
Erica Snow,2135540736
Robert Greenes,2057858025
Thanassis Rikakis,1871837333
Asim Roy,2160451354
Jan Jorgensen,2313901195
David Allee,2013709653
Dong Zheng,2898086007
Yafeng Lu,2095885931_https://scholar.google.com/citations?hl=en&user=gV4bQpsAAAAJ
Wenlong Zhang,2096924848
Hemanth Venkateswara,324580237
Gerald Mackulak,1068203346
Ruoyu Wu,2165729263
T.R. Farley,2974046494
Haiyan Wang,2660335811
Marthony Taguinod,2228054390
Sharon Osborn-Popp,2990334612
Eleonora Vig,3016131400
Stephanie Forrest,2159603389
Qian Xu,2464746924
Zhibin Cao,2100958189
G. Konjevod,2973613018
Rong Pan,2148166327
Michael O'Keeffe,2130741227
Michael Kozicki,149510650
Ming Yang,2617236148
A. Stefanov,2343167845
Xiao Wei,2306124612
Uday Kulkarni,1990846679
Jana Shakarian,1998103275
Shahrzad Shirazipourazad,315270855
Ajay Vinze,2207498061
Arindam Mitra,2902670214
Harsh Dani,2564483380
Yunus Emre,2078129349
Bardh Hoxha,2026200857
Bryan Paul,2223794012
Jon Wetzel,2124496873
Aditya Gujja,2229191567
Ericsson Marin,2561337654
Roger Schvaneveldt,2098808958
Yi Wang,2603402273
Julie Liss,2144737594
Ming Tu,2119013674
Karthik Elamvazhuthi,2224093907
Fengbo Ren,2197137451
Hailian Li,2626762315
Michelene Chi,2144068047
Chandarasekaran Ramamurthy,2091557250
Zihan Xu,2100770557
James Collofello,2126294460
G. Auwera,2479485533
Hans Mittelmann,14601562
Tahora Nazer,2564014091
Yann-Hang Lee,2336007162
Wu Li,2145720147
Sugumar Murugesan,2158252750
Steven Corman,683719744
Hai Huang,2231743389
Siyuan Wei,2161894845
Joseph Hilbe,92761670
Adam Carberry,2302746850
Chengen Yang,2102360258
Yu-Tsung Wang,2630374203
Yiming Jing,2230172592
Jay Elston,2113498748
Jennifer Kitchen,2190307233
V. Annamalai,2553321243
Anisha Mazumder,2117745967
Huijun Wu,2891063806
Tao Yang,2688435411
Pritam Gundecha,1214756773
Zahra Abbasi,1891877378
Connie Borror,1923841233
Nico Franz,1913716787
Xue Zhang,2166868600
Dazhi Huang,2146369304
Prasanth David,2145681553
Keith Holbert,1962372931
Jinxuan Wu,2343565916
Sailik Sengupta,2225296427
Seung Hong,2404124535
Amy Johnson,2149597833
Timothy Takahashi,2134673812
Matthew Scotch,2096932817
Sara Brownell,2775899923
Ketul Sutaria,777797593
Adel Dokhanchi,1874319025
Si Zhang,2639107922
Jon Helton,2084969779
Huan Song,2919684989
Harvey Thornburg,2064804217
K. Srinivasan,2973941444
Shanshan Wang,2663285049
Muhong Zhang,2110212503
Paul Steinbart,2603893856
B. Kulapala,148575479
George Karady,260697233
Tejaswi Upadhaya,2077792590
Swetha Jayaraman,2233883744
Xinyu Zhou,2159043252
Yeganeh Safaei,2513578878
Ronald Greeley,2098175532
Ender Yilmaz,2256016331
Elham Shaabani,2070833751
Wen Zhang,2444485911_https://scholar.google.com/citations?hl=en&user=vC03Tp8AAAAJ
H. An,2973850751
James Bell,2156768027
Armando Rodriguez,2113502694
Terri Hedgpeth,2049754202
Gaurav Singla,2231645000
Bin Gu,2512075880
Javier Gonzalez-Sanchez,2021215779
Sen Yang,2617528270
Wei Shi,2307939909
Rui Zheng,2067845108
Mohit Shah,2129425884
Mark Ison,1981235276
Kai Xu,2399421614
Rony Ferzli,2073102776
Mustafa Demir,2275475427
Hanqing Jiang,2185207511
Gerald Heydt,2608394992
Hugh Barnaby,2407031784
Ashish Amresh,317551622
Joshua Daymude,2318676459_https://scholar.google.com/citations?hl=en&user=CQNOJjgAAAAJ
Mohammad Khayatian,2559233404
Kostas Tsakalis,2997686997
Edward Shortliffe,1755464439
Tino Copani,2185610480
Shin-Ying Lee,2588715337
F. Karim,2397548706
Joydeep Banerjee,2161970116
Xiaocong Jin,2464512589
Ruibin Feng,2899549385
Minkyu Kim,2308436432
Ujjwal Gupta,2277442851
Gabriele Valentini,2152601804
Benjamin Shao,2245751164
Ziyad Alharbi,2733278066
M. Balakrishnan,2164720813
Chakravarthy Gopalan,2697070829
M. Park,2697858044
Raju Balakrishnan,2189748698
Panagiotis Polygerinos,329570424
Thomas Seager,2310064809
Barry O'Brien,2162480523
Sudheendra Murthy,2145559514
D. Fertonani,2194211621
A. Fotheringham,https://scholar.google.com/citations?hl=en&user=AIcXcUIAAAAJ
WT Tsai,https://scholar.google.com/citations?hl=en&user=m-OhR9MAAAAJ
Mohamed Tolba,https://scholar.google.com/citations?hl=en&user=T0ct7pIAAAAJ
Qiang Zhang,https://scholar.google.com/citations?hl=en&user=88s55KAAAAAJ
El-Sayed El-Horbaty,https://scholar.google.com/citations?hl=en&user=Mx3fDcsAAAAJ
Tarek Gharib,https://scholar.google.com/citations?hl=en&user=CmIWTDUAAAAJ
Dr. Abdel-Aziz,https://scholar.google.com/citations?hl=en&user=bLQgyukAAAAJ
Mostafa Aref,https://scholar.google.com/citations?hl=en&user=1T9LU2YAAAAJ
Mostafa Mostafa,https://scholar.google.com/citations?hl=en&user=2jPhe3oAAAAJ
Md Siddiquee,https://scholar.google.com/citations?hl=en&user=Wjo6pwIAAAAJ
Ahmed Shawish,https://scholar.google.com/citations?hl=en&user=0MzP7_IAAAAJ
Hala Ebied,https://scholar.google.com/citations?hl=en&user=qYY1Kd0AAAAJ
Karim Emara,https://scholar.google.com/citations?hl=en&user=qm2sNVUAAAAJ
Fadi Almasalha,https://scholar.google.com/citations?hl=en&user=jKBvnjUAAAAJ
Srijith Ravikumar,https://scholar.google.com/citations?hl=en&user=wzg4boAAAAAJ
Manal Tantawi,https://scholar.google.com/citations?hl=en&user=WEEZVTgAAAAJ
Eman Shaaban,https://scholar.google.com/citations?hl=en&user=ysJTatUAAAAJ
Marco Alfonse,https://scholar.google.com/citations?hl=en&user=g0yYunAAAAAJ
khaled ElBahnasy,https://scholar.google.com/citations?hl=en&user=0E9jh7gAAAAJ
Hanan ElNaghy,https://scholar.google.com/citations?hl=en&user=Aa4CRSUAAAAJ
Walaa Gad,https://scholar.google.com/citations?hl=en&user=i-yARpYAAAAJ
Michael Bartholomew,https://scholar.google.com/citations?hl=en&user=VwYPZtEAAAAJ
Sherine Rady,https://scholar.google.com/citations?hl=en&user=S-RFMUYAAAAJ
Prof.El-Sayed El-Horbaty,https://scholar.google.com/citations?hl=en&user=iysMcTUAAAAJ
Mohamed Eliemy,https://scholar.google.com/citations?hl=en&user=vLmnJeQAAAAJ
Sherin Moussa,https://scholar.google.com/citations?hl=en&user=fB_MVIQAAAAJ
Ayman Al-Dmour,https://scholar.google.com/citations?hl=en&user=Jjg2jKwAAAAJ
Doaa Hegazy,https://scholar.google.com/citations?hl=en&user=LNBKRhQAAAAJ
D. Khattab,https://scholar.google.com/citations?hl=en&user=v-Q-Cd8AAAAJ
Ahmad Altamimi,https://scholar.google.com/citations?hl=en&user=iMsFxX8AAAAJ
Wenji Li,https://scholar.google.com/citations?hl=en&user=RoQuo1YAAAAJ
Naglaa Reda,https://scholar.google.com/citations?hl=en&user=YiHtSnoAAAAJ
Dina Sharafeldeen,https://scholar.google.com/citations?hl=en&user=MaNLJIwAAAAJ
Mona Sabry,https://scholar.google.com/citations?hl=en&user=dz7j2hkAAAAJ
Sarah Hosni,https://scholar.google.com/citations?hl=en&user=s0wi9qIAAAAJ
Kaushik Sarkar,https://scholar.google.com/citations?hl=en&user=ZaCBpBsAAAAJ
Alshaimaa Abo-alian,https://scholar.google.com/citations?hl=en&user=_nRkIzgAAAAJ
Abdelaziz Abdelhamid,https://scholar.google.com/citations?hl=en&user=rrrlKY4AAAAJ
Anupam Panwar,https://scholar.google.com/citations?hl=en&user=ycpqGSUAAAAJ
Nehal Magdy,https://scholar.google.com/citations?hl=en&user=21tjbrkAAAAJ
Kevin Burger,https://scholar.google.com/citations?hl=en&user=YqQNcvMAAAAJ
Ahmed Raouf,https://scholar.google.com/citations?hl=en&user=dCx04OgAAAAJ
Kaustav Basu,https://scholar.google.com/citations?hl=en&user=7qGALWkAAAAJ
Haiam A.Abdul-Azim,https://scholar.google.com/citations?hl=en&user=FvNgmm4AAAAJ
Mehrdad Zakershahrak,https://scholar.google.com/citations?hl=en&user=Y_-UFnUAAAAJ
Yousef Alqasrawi,https://scholar.google.com/citations?hl=en&user=67THl4EAAAAJ
Eman Bahgat,https://scholar.google.com/citations?hl=en&user=ErAfKf0AAAAJ
Mohamed Gawish,https://scholar.google.com/citations?hl=en&user=aim0masAAAAJ
Hewayda Lotfy,https://scholar.google.com/citations?hl=en&user=80oPBx0AAAAJ
Hazem Qattous,https://scholar.google.com/citations?hl=en&user=TE2vQcQAAAAJ
Marwa Shams,https://scholar.google.com/citations?hl=en&user=vJiwjzwAAAAJ
Passant Kandil,https://scholar.google.com/citations?hl=en&user=hfk4tqoAAAAJ
Isra'a Zriqat,https://scholar.google.com/citations?hl=en&user=nKUVWaEAAAAJ
Bassem Youssef,https://scholar.google.com/citations?hl=en&user=pvyDElYAAAAJ
Arash Tadayon,https://scholar.google.com/citations?hl=en&user=99cEX5wAAAAJ
Heba Khaled,https://scholar.google.com/citations?hl=en&user=YHILjugAAAAJ
Donia Gamal,https://scholar.google.com/citations?hl=en&user=Yuz6Qa4AAAAJ
Sally S.Ismail,https://scholar.google.com/citations?hl=en&user=Rcyprh0AAAAJ
Shahinaz Altabbakh,https://scholar.google.com/citations?hl=en&user=fvoKuOoAAAAJ
Avinash Ankur,https://scholar.google.com/citations?hl=en&user=T9303J8AAAAJ
Sizhe Wang,https://scholar.google.com/citations?hl=en&user=bucEAU0AAAAJ
Jadiel Armas,https://scholar.google.com/citations?hl=en&user=HqXtokAAAAAJ
Ahmed Elmasry,https://scholar.google.com/citations?hl=en&user=KyLhiioAAAAJ
Aya Al-Sakran,https://scholar.google.com/citations?hl=en&user=yshk_AgAAAAJ
Grant Marshall,https://scholar.google.com/citations?hl=en&user=q-ht6BsAAAAJ
Amira Ali,https://scholar.google.com/citations?hl=en&user=WuyObeUAAAAJ
Huda Amin,https://scholar.google.com/citations?hl=en&user=45t_ucgAAAAJ
Samer Shorman,https://scholar.google.com/citations?hl=en&user=298XQ2cAAAAJ
Yuhan Sun,https://scholar.google.com/citations?hl=en&user=0Fm_QbwAAAAJ
Ghada M.Farouk,https://scholar.google.com/citations?hl=en&user=k9kgI8gAAAAJ
Fatma Najib,https://scholar.google.com/citations?hl=en&user=hx1Vr1EAAAAJ
Kanchan Chowdhury,https://scholar.google.com/citations?hl=en&user=LwBkhP0AAAAJ
Naglaa Fathy,https://scholar.google.com/citations?hl=en&user=NSE-wlEAAAAJ
Raghda Fouad,https://scholar.google.com/citations?hl=en&user=QuYeJQoAAAAJ
Sara Ebrahim,https://scholar.google.com/citations?hl=en&user=5JbcwNwAAAAJ
Randa Abdelmoneem,https://scholar.google.com/citations?hl=en&user=BZP5YgkAAAAJ
Mahmoud Ezzat,https://scholar.google.com/citations?hl=en&user=khnEWNwAAAAJ
Hisham Ogbah,https://scholar.google.com/citations?hl=en&user=RkYw3OUAAAAJ
Amr Amin,https://scholar.google.com/citations?hl=en&user=Gxflnq4AAAAJ
Nagwa Moustafa,https://scholar.google.com/citations?hl=en&user=Ansk13YAAAAJ
Duyan Ta,https://scholar.google.com/citations?hl=en&user=JY0LAyEAAAAJ
Om Thakkar,https://scholar.google.com/citations?hl=en&user=Ri-g8AYAAAAJ
Naman Shah,https://scholar.google.com/citations?hl=en&user=q4v6iroAAAAJ
Radwa Reda,https://scholar.google.com/citations?hl=en&user=CbFrqZYAAAAJ
Nora Youssef,https://scholar.google.com/citations?hl=en&user=yvMhxwkAAAAJ
Nouran Ayman,https://scholar.google.com/citations?hl=en&user=1Xl9U0MAAAAJ
Mohammad Abdel-Rahman,https://scholar.google.com/citations?hl=en&user=6D9A2owAAAAJ
Thomas Wheeler,https://scholar.google.com/citations?hl=en&user=pw4owt8AAAAJ
Radwa Saeed,https://scholar.google.com/citations?hl=en&user=uRmXhu8AAAAJ
