Randal Beard,2122296097
Brad Hutchings,2038886306
Michael Goodrich,2166828809_https://scholar.google.com/citations?hl=en&user=7LTGov4AAAAJ
David Embley,1973718029
Kent Seamons,2176732160_https://scholar.google.com/citations?hl=en&user=XY4ky-YAAAAJ
Charles Graham,2273810523
Michael Wirthlin,668076346
Dah-Jye Lee,2138534384
Dan Olsen,2148302434
Tony Martinez,2145260682_https://scholar.google.com/citations?hl=en&user=R1JyT9AAAAAJ
Barry Lunt,1999182264
Thomas Sederberg,95146524_https://scholar.google.com/citations?hl=en&user=mveYvw8AAAAJ
Timothy McLain,342834034
Brent Nelson,2164236465
James Archibald,2133519179
Kevin Seppi,459388977_https://scholar.google.com/citations?hl=en&user=xLQan5cAAAAJ
Travis Oliphant,2168032284
Yiu-Kai Ng,2135939557_https://scholar.google.com/citations?hl=en&user=HhIElBEAAAAJ
William Barrett,2164492743
Bryan Morse,2108810827_https://scholar.google.com/citations?hl=en&user=COQLAncAAAAJ
Douglas Dean,2288809231
Michael Jensen,2164899170
David Wiley,2096260927
Q.H. Spencer,2032290095
John Hilton,2124521021
Michael Rice,2122275584
Dan Ventura,2117320897_https://scholar.google.com/citations?hl=en&user=iSsKAqQAAAAJ
Mark Clement,2462012332_https://scholar.google.com/citations?hl=en&user=8sFevmEAAAAJ
Sean Warnick,2267516987_https://scholar.google.com/citations?hl=en&user=k7WBrxoAAAAJ
Stephen Liddle,2164745172
Quinn Snell,2002178533
Christophe Giraud-Carrier,2181238288_https://scholar.google.com/citations?hl=en&user=jHWj2yYAAAAJ
Deryle Lonsdale,1973295198
Randall Davies,2106096526
Daniel Zappala,740363620_https://scholar.google.com/citations?hl=en&user=Q9DsCL4AAAAJ
Jacob Crandall,2111278495_https://scholar.google.com/citations?hl=en&user=FHGBC58AAAAJ
Nick Ball,2521994594
David Long,2138214963
Joseph Ekstrom,2241405101
Eric Ringger,2689141620
D. Wilson,2112528266
Eric Mercer,1968905911_https://scholar.google.com/citations?hl=en&user=8q6dJhYAAAAJ
Jordan Cox,2116815535
Christopher Lavin,2154821173
Mark Davies,2141160170
R. Franklin,2631084967
D. Carver,2687204897
Anthony Vance,2408333344
