Jon Kleinberg,2261367123_https://scholar.google.com/citations?hl=en&user=VX7d5EQAAAAJ
Serge Belongie,305618809_https://scholar.google.com/citations?hl=en&user=ORr4XJYAAAAJ
Thorsten Joachims,245171893_https://scholar.google.com/citations?hl=en&user=5tk1PV8AAAAJ
Daniel Huttenlocher,677134955
Lillian Lee,2124867291_https://scholar.google.com/citations?hl=en&user=oJESe-cAAAAJ
Kilian Weinberger,2003907699_https://scholar.google.com/citations?hl=en&user=jsxk8vsAAAAJ
Ramin Zabih,2040103212_https://scholar.google.com/citations?hl=en&user=8Lp0W54AAAAJ
Claire Cardie,229573375_https://scholar.google.com/citations?hl=en&user=ex9BQiIAAAAJ
Steven Strogatz,224018203
Lang Tong,2124988241
Emin Sirer,223610748
Elaine Shi,2152052458
Nate Foster,2102579274_https://scholar.google.com/citations?hl=en&user=AH5j40kAAAAJ
Kenneth Birman,2094398115
Christoph Studer,2153121925
Joseph Halpern,716715026_https://scholar.google.com/citations?hl=en&user=FsBCAfgAAAAJ
Kavita Bala,2050228312
Ashutosh Saxena,2139397739_https://scholar.google.com/citations?hl=en&user=J6iSjTcAAAAJ
Robbert Renesse,2894178576_https://scholar.google.com/citations?hl=en&user=uJbM58UAAAAJ
Gerard Salton,2101230262
Robert Kleinberg,2006104002_https://scholar.google.com/citations?hl=en&user=zkvW8FQAAAAJ
Ari Juels,46726047_https://scholar.google.com/citations?hl=en&user=uf0D-uoAAAAJ
Rafael Pass,2091057165
Stephen Wicker,2226571936
Andrew Myers,2141746463_https://scholar.google.com/citations?hl=en&user=ovlpa_IAAAAJ
Ray Zimmerman,2272090407
Fred Schneider,2106636992
Bart Selman,1966117383_https://scholar.google.com/citations?hl=en&user=pJ28HA0AAAAJ
Éva Tardos,2009277913
Carla Gomes,2108126638
G. Suh,2134762469
Chris Buckley,2304167133
Sheila Hemami,1656196416
Donald Greenberg,2086033821
Thomas Ristenpart,197246800_https://scholar.google.com/citations?hl=en&user=MGVrVSIAAAAJ
Phoebe Sengers,223531715
Tanzeem Choudhury,2345003782
Sean Bell,2112546962
Saul Teukolsky,44052906
Vitaly Shmatikov,8790322
Yu Sun,2953300345
John Hopcroft,2922741509
Xun Huang,2720322089
Dan Cosley,1964096501
