Eugene Agichtein,2283615530_https://scholar.google.com/citations?hl=en&user=3BX3vWcAAAAJ
Li Xiong,1969262224
Vaidy Sunderam,1976270982
Maryam Alavi,2192357399
Anandhi Bharadwaj,2136045979
David Gutman,2037707580
Jun Kong,2677734795
Gari Clifford,2149492741
Qiao Li,2617713558
Weicheng Jiang,2114346390
Lee Cooper,2971795753
Yandong Liu,2309858515
Jinho Choi,2125846880
Qiaoling Liu,2192738642
Xiaofeng Yang,2140629443
Walter Curran,2131473987
Tian Liu,2619719889
Yang Lei,2753281088
Ashish Sharma,2250301456
Tianwei Yu,2108580996
Dmitry Lagun,826397576
Pawel Jurczyk,1994397895
Tonghe Wang,2791187099
Alessandro Veneziani,2257190847_https://scholar.google.com/citations?hl=en&user=xjvr4yEAAAAJ
Dean Jones,2134339138
Jinfei Liu,2280101196
R. Taylor,2617265203
Robert Gross,2104215332
Hui Mao,2136808325
Shamim Nemati,2136241170
Benn Konsynski,2516354938
Slawomir Goryczka,1776002509
James Lu,2155462634
Joyce Ho,2616953138
Elizabeth Krupinski,2108019833
Phillip Wolff,2108469457
Dawid Kurzyniec,68912584
Yu Wang,2595793754
Ilya Nemenman,2048718143
Zhaohui Qin,2161222319
Lars Ruthotto,1104975669
Layla Pournajaf,46893780_https://scholar.google.com/citations?hl=en&user=Kl2PL6wAAAAJ
Hao Wu,2708669200
Babak Mahmoudi,1991280257
Alexis Carter,2250407334
Andrew Young,2171653178
Dannon Baker,3037977824
Denis Savenkov,2074277926
Jaroslaw Slawinski,2154456869
Dieter Jaeger,2166098209
Srini Tridandapani,1968177793
Ali Ahmadvand,2309218483_https://scholar.google.com/citations?hl=en&user=PPcWdn4AAAAJ
Hui-Kuo Shu,2460284034
Allan Levey,2019515940
Sibo Tian,2756160476
Sharath Cholleti,337724212
Francesco Evangelista,2159365796
Michael Epstein,2160945096
C. Hawkins,2129758300
Pretesh Patel,2535154680
Michael Prietula,2609346992
Rongmei Lin,2586161624
Claire-Anne Gutekunst,2008529718
Bonggun Shin,2632838519
Carlos Moreno,2162064542
Karan Uppal,2008063814
Haoran Li,2669931576
Adam Prater,2232769223
Ashesh Jani,2723691872
Eric Overby,2444600489
Xue Dong,2799422247
Marina Piccinelli,2559743303
Hyunsuk Shim,2120536464
James Gardner,2141197164
Astrid Prinz,2031050481
Andrew Post,2070656859
Juncheng Yang,2140045542
Ying Guo,2589852477
Yingzi Liu,2912435172
Jingjing Gao,2152607849
David Cutler,2129099409
Michael Zwick,2438787187
Shun Cheung,2950231863
Timothy Buchman,2917383241
Alton Farris,2281918616
Thomas Wingo,2617026690
Kristin Higgins,2174051004
Jason Choi,2954297600_https://scholar.google.com/citations?hl=en&user=y4ZQRBwAAAAJ
Timothy Lee,2518245391
Tracy Faber,2076686693
Steven Wolf,2122042867
Sanjay Agravat,2119727124
Ronald Calabrese,2102100108
Samuel Jenness,1976811464
Robert Lyles,2145954789
Eduard Schreibmann,1894737674
Samuel Sober,567292829
Stefan Boettcher,1965416076
Shuai Yuan,2118020308
Falgun Chokshi,2067660621
Lizhi Liu,2620472102
Mar Sanchez,2147561453
Joseph Manns,2254110926
Amit Shah,2107714512
Yabo Fu,2980124299
Xiaojun Jiang,2125995902
Opal Ousley,2478077662
Jiwoong Jeong,2887039626
Jack McDowell,2128738348
Dominic Thomas,2143707371
Pankaj Chopra,2106537107
Marijn Brummer,1905115712
R.R.J. Lewine,2973976457
M.E. Brummer,2974509739
Daniel Dilks,2305689987
Michele Benzi,696533411
David Bray,3004331365
Jennifer Mulle,1988518477
Viren Patel,2163867946
Stephen Warren,2196075464
Howard Rees,2109021931
Stephan Hamann,3018140735
Elaine Walker,2160488416
Sarah Pitman,2518324432
Michelangelo Grigni,146707026_https://scholar.google.com/citations?hl=en&user=61uuS7YAAAAJ
Zhuo Chen,2100030352
Nathan Call,1770495550
Jeanne Kowalski,2618184564
Lena Ting,2120004058
Robert DeHaan,2293924847
James Nagy,2344522768_https://scholar.google.com/citations?hl=en&user=fMdqZFsAAAAJ
Xiaofeng Xu,2230025980
Panagiotis Adamopoulos,2048563838
Gopal Sarma,2110490118
W. Pittard,2061885089
Andrea Crowell,1977308366
Haoyu Zhang,2767461503
Dongsheng Wang,2568640525
Arthur Stillman,1989273376
Ling Ma,2562238641
H. Johnston,2504765725
Tomasz Wrzosek,1967751884
Tim Fox,2117658929
Otis Smart,2319120157
Pawel Jastreboff,2154675730
Senthil Ramamurthy,2164151425
Davide Fossati,1620476046
Yunchuan Kong,2784394846
Stewart Varner,2517414268
Dorian Arnold,2886563543
Adeboye Osunkoya,765855814
Payam Karisani,2788153661
Sahar Harati,2231542013
Krishnankutty Sathian,2035436856
Harshita Sahijwani,2566097775
David Kleinbaum,2304350319
Svjetlana Miocinovic,85307007
Yuna Park,2120824385
Caroline Holmes,2413840277
Andrea Pack,2418171773
Xiangyang Tang,2632229615
Sarah Fankhauser,2467746311
Andrei Zholud,1964361841
Sergei Urazhdin,2203071267
David Yu,2117965208
Vahid Serpooshan,201812097
Pradeeban Kathiravelu,1955088506
Ziyi Li,2762054911
Chesnal Arepalli,1969076215
John Lester,2707308448
Ernest Garcia,2137605652
Quinlyn Soltow,143893637
Frederick Strobel,2305624388
Janet Cellar,2467822113
James Lah,63168628
Kristy Hwang,2128493512
Habib Samady,315315849
Elizabeth Roke,2560007262
Eric Sarin,1899798048
Xiuxiu He,2921526414
William Dunn,2122601407
Nabile Safdar,2076086339
Magdalena Slawinska,2569335937
Daniel Garcia-Ulloa,2402126682
Michael Borich,2167118960
Mohamed Amgad,2942105594
Blair Rossetti,2649637542
Donald Lee,2116009131
Richard Duszak,2163652137
Jonathan Glass,2161057457
Jonathan Bodnar,2340698570
Amy Chen,2107984444
John Votaw,2179512972
Dottie Clower,2628210673
Garrett Alexander,2905789463
Shriprasad Deshpande,2616911349
Erwin Meir,2014272973
Adam Marcus,2100689096
Jun Zhou,2920108852
Dhananjaya Somanna,2254651895
Suprateek Kundu,2480136971
Liquan Bai,2895875815
Zhengwen Zhou,2504704423
Tomasz Jurczyk,1855457802
Mitchel Klein,2778112513
Zhen Tian,2979871065
Jennifer Johnson,2167348018
A. Janssens,3021060519
Behavior Syndrome,3022687022
Imon Banerjee,3007325961
Jeremy Edgerton,2138193851
Steven Moyer,2303844220
Michael Nalisnik,2181495229
Stella Lourenco,2169866489
Aaron Krowne,2304215623
Karen Conneely,1961360826
Varun Kilaru,2055703260
Alicia Smith,2143388493
Shuai Zheng,2311036589
Patricia Brennan,2063024204
Frederik Kamps,2103994104
Cassandra Hendrix,2492133970
Ruomeng Cui,2340698935
Joseph Harms,2903665329
Donna Brogan,2095982236
Kevin Maher,2525490017
Avani Wildani,1988229724
Peter Rossi,2157138766
Cristobal Niedermayr,2566270626
Anca Doloc-Mihu,110451916
Xu Wang,2655154133
David Hofmann,2614122291
Tom Clark,2123527371
G. Hentschel,2465745118
Dominik Drzewiecki,1482429966
Tim Morris,2574746272
Christopher Elder,2105703597
Young-Mi Go,2012669990
Yikai Wang,2109307115
C. Tuthill,2875464177
Hee Cho,2769252920
David Lloyd,2571524791
Jacob Billings,2304436228
A. Buice,2507040047
David Rye,1981954433
Andrew Persichetti,2054101877
Roberto Franzosi,2312692078
Jacqueline Fairley,2140329905
Charles Forrest,2505658933
Ming-fai Fong,2109025141
Ymir Vigfusson,2763474144
Lance Waller,2024443674
Cengiz Günay,2010283174
Valerie Summet,2228981523
Thomas Ziegler,2076362962
Jonathan Rupp,2803804267
Bo Wang,2916835070
Aimee Reiss,2129509722
Elizabeth Hammel,2307316570
Erin Williams,2498006822
Erin McLeod,2642643437
Frederick Bowman,2763981216
Thomas Wichmann,2228418684
Yangyang Zhu,2242473711
Nealen Laxpati,1279441876
Abeed Sarker,2977249569
Hao Ding,3036172087
Carlos Rio,2075417198
Stuart Zola,720223294
Peter Wilson,2893860185
Han He,2968990033
K. Mewes,2974623529
T.Q. Robbie,2974897172
Michael Garber,2165544316
Rachel Conn,2984281459
Brianna Vey,2781655271
Jingjing Yang,2609773236
Jonathan Nye,2330110177
Hesen Peng,2100326466
Howard Chang,2150662500
Viraj Master,2090719161
David Molony,2683018654
Sanghoon Lee,2912840415
Xiang Cheng,2433623552
Donald Bliwise,227414314
Sandra Grijalva,2767316137
Navid Tonekaboni,3022857827
Arshed Quyyumi,2017199091
Nima Ghasemzadeh,2470327189
James Little,2413754646
John Oshinski,153282935
Michael Zhai,2467678593
Peng Jin,1948858008
David Schuster,2117994774
Stephen O'Connell,2133601584
A Dhabaan,2003440054
Jonathan Beitler,2027591177
Susan Bauer-Wu,2776976400
Bhakti Dwivedi,2307755790
Preetha Ram,2154845316
Lily Yang,2116730947
Jung Sung,2304370009
Elizabeth Leslie,2997356288
Christopher Verdery,2222972080
Rongrong Guo,2562282265
Kenneth Hardcastle,2953063271
Raymond Dingledine,2466160206
Xia Lin,2307196946
Ghazal Shafai-Erfani,2913834989
Phebe Kemmer,2033525280
Zhuxuan Jin,2776069182
Teresa Madsen,2045947162
Luma Halig,1264299263
William Mann,2602506320
Alex Kotlar,2326259396
Katherine Schafer-Hales,2343651632
Lakshminarayan Ravichandran,1968525421
Chunyu Ma,2766817524
Robert Pike,2430665032
Jessica Cooper,2122381036
Michael Treadway,2125266125
Amanda Arulpragasam,2311223716
Makiah Nuutinen,2802176242
Brian Ciliax,1689552088
Yijian Huang,2116611956
David Smith,2467186497
Huan He,2913829867
A. Tiwana,2678579505
Qioaling Liu,2973256680
Hao Gao,2165619906
Akshatha Pai,2203698190
Yvan Bamps,238875245
Ramnath Chellappa,2780528087
Mo Salama,2276306988
Jennifer Doty,2566991282
Ben Li,2600252033
Mohammed Al-Garadi,2995488405
Tae Oh,2709256451
Stamatios Lerakis,1706690306
Itai Pinkoviezky,1749351577
Baohua Zhou,2682642090
Nathan Coraor,2846627017
Gregory Kuster,3037494010
A. Dilks,2887959628
Yue Hou,2573389153
Eric Lee,2901765548
Sameer Halani,2272600675
Jose Vega,2327777568
Lindsay Collin,2103782398
Timothy Lash,2461554310
Mohamed Salama,2526805994
Sergey Volokhin,2791091622
Zhengjia Chen,2136242396
Cassie Mitchell,2098430968
Jeffrey Switchenko,2027002713
Peter Nieh,2126808205
Guoyi Zhang,2593008418
Piotr Wendykier,274225995
Shuzhao Li,3000506965
C.M. Epstein,2974226645
Carson Wick,2305853831
James Bailey,2953204885
David Stephens,2152974547
Michael Solomon,2514247403
Young-sup Yoon,2424960132
Laura Akerman,2768771479
Cristina Trevino,2509511673
Alejandra Fernandez,2935703800
Mihir Ghetiya,3032121247
Keith Wilkinson,2142426431
Stacy Ladd,2796295544
Simon Lacey,2561855237
Vladislav Ayzenberg,1891672741
Gerald Kane,2951352281
Amita Manatunga,760577782
Warren Ma,2224084521
Limin Peng,2115131916
Fadlo Khuri,24945368
Shawn Hochman,1920728274
Yousuf Khalifa,2124840316
Candace Chisolm,2102121724
VS Sunderam,https://scholar.google.com/citations?hl=en&user=6k7bp8IAAAAJ
TING LI,https://scholar.google.com/citations?hl=en&user=Ak6rAqEAAAAJ
Shaojun Yu,https://scholar.google.com/citations?hl=en&user=9mhHPMkAAAAJ
Sergio Gramacho,https://scholar.google.com/citations?hl=en&user=Wlz2zGEAAAAJ
Hejie Cui,https://scholar.google.com/citations?hl=en&user=r0Vh6GEAAAAJ
Ameen Kazerouni,https://scholar.google.com/citations?hl=en&user=VQ55l3sAAAAJ
Jiaying Lu,https://scholar.google.com/citations?hl=en&user=wS9maWYAAAAJ
