Taghi Khoshgoftaar,2962931351_https://scholar.google.com/citations?hl=en&user=-PgNSCAAAAAJ
Xingquan Zhu,2618356905
Mihaela Cardei,260765963
Eduardo Fernandez,2161860611
Borko Furht,1965685158_https://scholar.google.com/citations?hl=en&user=z1BEGM8AAAAJ
Xiaoyuan Su,2121537871
Amri Napolitano,1976683113
Randall Wald,2166374335
Fei Dai,2949908967
Oge Marques,2111825984_https://scholar.google.com/citations?hl=en&user=ZgWULzYAAAAJ
Imad Mahgoub,2008709912
Hari Kalva,2993637265
Hailan Li,2636652715
Jason Hulse,2166804830
Maryam Najafabadi,1970183292
J. Hulse,2229481295
Keiko Hashizume,2159420897
Karl Weiss,2475751630
C. Seiffert,1972520777
Dingding Wang,2657986969
Hanqi Zhuang,2147131133
Aaron Richter,2145912961
Tamara Dinev,2037183895
Ionut Cardei,2046969345_https://scholar.google.com/citations?hl=en&user=6MZuZB4AAAAJ
Shi Zhong,2690715318
Valentine Aalo,284495706
David Dittman,2101661854
Julie Carmigniani,715569843
Shihong Huang,3020676251_https://scholar.google.com/citations?hl=en&user=c2XTHWgAAAAJ
Mohammad Ilyas,2066988646
Joseph Prusa,2015110724
Elias Bou-Harb,255174501
Jianmin Chen,2712346731
Maria Larrondo-Petrie,83918571
Velibor Adzic,1304684317
Reza Azarderakhsh,1894102080
Tawfiq Hasanin,2034424307
Dimitris Pados,1969609936
Spyros Magliveras,76430789
Jahyun Goo,2105066685
Ankur Agarwal,2251107602
Sara Landset,1904230452
Michael Slavik,2168082600
Rainer Steinwandt,11703263
Hamzah Najada,266297780
Matthew Herland,2034709932
Paul Hart,2200667820
Richard Zuech,2071463781
Ming Gao,2302950708
Robin Vallacher,2314963854
Yuan Wang,2098520996
Michael Crawford,2216403338
Feng-Hao Liu,2726697083
Tiranuch Anantvalee,2974732312
KwangSoo Yang,2112569861
Yufei Tang,2157380943
Edoardo Persichetti,1978558600
Richard Bauder,2560250299
Michael VanHilst,1438645915
Amir Jalali,2562086811
Naser Peiravian,2225821632
Abhijit Pandya,2125688064
Yinying Yang,2657138069
Somnath Bhattacharya,2194393070
Anthony Marcus,2152574745
Yogesh Malhotra,2131211149
Connor Shorten,2953545650
Zvi Roth,280169093
Nurgun Erdol,1952029705
Shyam Nath,2973235833
M.O. Pervaiz,1255058607
George Sklivanitis,2030635999
Stuart Galup,53229716
Andres Folleco,2115802102
Mehrdad Nojoumian,1952447852_https://scholar.google.com/citations?hl=en&user=6TVu590AAAAJ
Adriana Garcia,2477524810
Xangdong Xie,2162113627
Stella Batalama,49571465
Pradeep Korgaonkar,705400385
Madiha Syed,2107813801
Justin Johnson,2981111613
Clifford Kemp,2229556858
J. Teitelbaum,2683358835
Sahar Sohangir,2677802258_https://scholar.google.com/citations?hl=en&user=M_Y5VOgAAAAJ
Mirela Fonoage,1978841235
Ahmad Shanab,2099012378
Anil Bilgihan,2062678909
Maria Petrie,2334168663
Pierre-Philippe Beaujean,2105605286
Ravi Behara,2118532757
Jason Hallstrom,2153955860
Alireza Fazelpour,2230277838
Behnaz Ghoraani,74101866
Jack Burdick,2591925212
Mirela Marta,2115129372
Nelly Delessy,2019377778
Luis Rivera,2339084697
C. Huang,2146063549
William Glenn,2167435380
Constantine Mukasa,2317476555
Daniel Raviv,2254964821
R. Sudhakar,2103980353
Karl Ellenrieder,1965180794
Hung Bui,2339366241
M. Golawala,2230334557
Monika Rathod,2117727699
Wael Awada,1998413377
Xiuqi Li,2652610340
Hongbo Su,2121484676
Marco Conti,2935188250
Sam Hsu,2097188168
Shanaz Tiwari,2615745565
Ali Zilouchian,2291778986
Sudhagar Nagarajan,2398180749
Chad Calvert,2102738088
Manhar Dhanak,2003649829
Armando Sinisterra,2026766077
Steven Bressler,2298925985
Lofton Bullard,2153187212
Anna Pomeranets,2787096374
Ivan Bertaska,288552897
Aleksandar Stevanovic,1986629887
Tami Sorgente,322598716
Armin Fuchs,2191186342
Di Wang,2312141638
Kuo-Sheng Lee,2912387989
Ray Garcia,2303662303
Zhaoquan Li,2231340716
Ahmed Badi,2129535912
T. Piboongungon,2053478100
Kemei Du,2224160674
Dan Zhou,2674030030
C.-D. Iskander,2974522726
Saurin Parikh,2294069718
Abdulrahman Alnaim,2897016864
Ahmed Alwakeel,2897933856
Joffrey Leevy,2899140431
Koray Karabina,187458728
John Sloan,2133740838
David Kumar,2127593934
Bassem Alhalabi,2034700101
Wei Tang,2627418668
Nataliia Neshenko,2787299793
Konstantinos Tountas,2042341400
Shi Bai,2120112376
Aleksandar Colic,2145382698
Ivar Jacobson,2138320137
Nivedita Sairam,2634528575
Ramesh Teegavarapu,10357463
Mihai Fonoage,2046824378
Pierre Rebours,674012279
Heiko Janker,2050184172
Brian Heredia,2226440000
Neal Coulter,2144588738
Jamil Ibriq,186478041
Yueshi Wu,2147879961
Jiannan Zhai,2304793182
Robert Lubarsky,50973863
Mohammad Pervaiz,3039389076
G. Leon,2580355690
G.L. Hamza-Lup,95709583
Julia Higgs,2257142307
Redjem Bouhenguel,1969632006
Perambur Neelakanta,2037892474
Elnaz Limouchi,2524541555
Alan Kersten,2200795660
Bing Wu,2634278322
Yuandan Lin,2461087322
James Mulcahy,2123293559
Jose Hurtado,2338405289
Saeed Rajput,2131554821
Robert Pinsker,2040233082
James Jakubow,283473910
Robert Cerveny,2791889540
Brian Ramos,2117434470
Anni Vuorenkoski,3000894761
Xiaojing Yuan,2310935891
Man Wu,2984820843
Wolfgang Tichy,2120930289
Christopher Baechle,2606985832
Lixin Liu,2306038783
Manira Rani,2149341272
Wilhelm Klinger,2048454538
William Miller,2234695599
George Young,3037427019
Mahdi Esfahanian,2069476035
Dennis Drown,2169912954
Feng Liu,2907257581
Ilaria Serra,2185329493
Y. Rho,2149394581
Whitney Andrews,2889375712
M. Marta,2973755119
Kehan Gao,2974519898
Vedang Joshi,2133661566
Ralph Cafolla,2281072200
C. Chayawan,2309663175
Feijun Song,2506387535
Gabriel Alsenas,1989379651
Esad Akar,2888860362
Steve Glass,2611427856
Moises Levy,2593356334
Eric Golinko,2744344103
Jian Cao,2778465746
Waseem Asghar,1910565731
Khoshgoftaar Khoshgoftaar,2225464375
Arny Ambrose,2251923967
Jennifer Boxen,2614641167
Joel Gibson,2301345430
Jose Alvarez,2967708952
Sameer Hinduja,2017332506
Na Gao,2111229937
Jason Blankenship,2726899421
Nandini Sundaresh,2481101698
Pak-Cheung An,2530653970
Edin Muharemagic,1241336440
Charles Wheelus,2692293930
Baiyuan Li,2119798615
Erik Engeberg,2004311611
T. Holroyd,2305205613
Abu Kamal,2184132045
Kuanchih Wang,2098528556
James VanZwieten,2119247530
Óscar Salas,2155230494
D. Mitsova-Boneva,2578919555
A. Esnard,2974267169
Angela Robinson,2884819065
Debojit Biswas,2733510276
Hesong Huang,2627400025
Patrick Jacobs,2480101483
Amalya Mihnea,2227516356
Salvatore Morgera,2297594615
J. James,2116590195
Wilker Altidor,50857108
Lina Altoaimy,2231924130
Lester LeBlanc,2336828459
Haiying Huang,2488127740
P. Carrillo,2974133491
Haiyan Song,2336339879
E. Gudes,2942628885
Ingrid Buckley,2043036490
H. Kalva,2974233933
Yves-Thierry Jean-Charles,2973500821
Juciana Barbosa,2974585296
Caiyun Zhang,2222236757
Arash Golchubian,2562772071
M. Shroff,2473039483
Qiming Luo,2499328894
K. Ganesan,2628333027
C.D. Huang,2105478847
Gabriel Castaneda,2542499552
Jane Strudwick,12755384
Raymond Westwater,1988828183
K. Gao,2974396165
Patrick Hughes,3013358590
R. Lancaster,2709513586
Betty Tuller,2082141427
M. VanHilst,2973477748
E.B. Fernandez,2973970969
Lauri Rebar,945609728
Elan Barenholtz,2062104496
Chul Yoo,2892715111
Syed Ahson,2098098272
Robert Cooper,2146123010
Howard Hock,1525750404
Catalina Aranzazu-Suescun,2770509487
Morteza Pour,2885030254
Ke Huang,2305751479
Dragan Radulovic,2612071353
Paul Gorday,2938297462
Amy Kornblau,1970412197
Yifeng Shao,2311341042
K.R. Nair,2440281839
Nikola Mitrovic,2014043379
Paula Carrillo,2973976839
Guanghui Guo,2495130390
Edmund Gerstein,2501808603
G.K. Raghavan,2824313502
B. Petjanski,2796719659
Chi-Tay Tsai,2616332853
Joseph Furner,2651302844
C. Castelluccia,2973983519
Chris Holder,2582872867
Dereje Yimam,2293076275
Jingjun Zhang,2973718697
Teresa Dyke,2513605379
Dawn Smith,2515316468
Mirjana Pavlovic,1993797397
Iana Zankina,2285724768
Janet Weinthal,2626804579
Praveen Sanigepalli,3035847236
Lun-Ching Chang,2167326958
Ali Ibrahim,2509082475
Nitish Barman,2108385176
Sarah PhD,2892812366
Roberta Weber,2132653415
Janell Duhaney,2058033727
Qing Dai,2121685113
Taghi Khosgoftaar,2949651084
Marilyn Parker,2558775408
G.A. Pajunen,585114869
Bibb Latané,2321233523
R.S. Behara,2778857314
Qing Hu,2938947008
Mary Saunders,2109424097
Joseph Caruso,2343639188
Natalie Israel,2550846986
Matthew Lovelace,2551515003
Kimberly Rowland,2582225936
Alyse Ergood,2224486046
Lin Huang,2692739051
Zhabiz Gharibshah,2963200344
Shervin Shahrdar,2888836406
Timur Tavtilov,2225892499
Paul Morris,2770057121
Osamah Al-Omair,2965716998
Branko Petljanski,11494059
Ali Danesh,2721569889
Brad Lewter,2227172580
Ramaswamy Narayanan,2118254579
Isaac Elishakoff,2097919414
O.C. Ugweje,2420787896
Prisca Augustyn,2113903161
C. Vasudevan,2664316310
David Wilson,2345906042
Prasanth Ganesan,2547817547
Deepti Pappusetty,1750687311
Monica Rosselli,2892713533
Caryn Conley,3004032920
Mario Galluscio,2786715449
Ohoud Alzamzami,2519023714
H.B. More,2572944123
A.S. Pandya,2974634907
Kristy Padron,2597919239
Muhammad Shoaib,2296116068
Oren Masory,124200288
Thomas Sonderman,2745165470
Rashad Jillani,1230868439
Q. Luo,2974346542
Thomas Fernandez,2344319510
Aaron Hutchinson,2773932406
Jillian Powers,2276077454
Erik Lundberg,1976029141
Perry Schoon,2142098083
Nancy Romance,274450665
W. Tang,2303696355
P. Aghaee,2553596150
S. Nike-Ravesh,2554184527
Abbas Zadegan,2810696267
W. Awada,2684228794
Kevin Wagner,2149144602
D.T. Anderson,2239288294
G.J.S. Rae,2707186838
Frank Caimi,2106882326
Benjamin Metzger,2617015401
Angela Herzberg,2157993268
Catalina Suescun,2516038946
R. Jillani,2973281685
Tsung-Chow Su,2240951038
Aritra Ghosh,2140264656
Clyde Carryl,2229205704
Georgios Kalantzis,2012849390
Ola Ajaj,39211317
S.M. Smith,2650186728
Eric Chiang,2153640644
P. Cholmondeley,2514405788
Juncheng Huang,2426738631
Patrick Morrison,2303516095
R. Hochman,2071136594
T. Sutaria,2283242646
A. Humos,2256589591
Anni Dalgleish,2028311667
Ricardo Castellanos,2226470088
Dolores Groff,2021510814
M.E. Abushadi,2546781203
William Rhodes,2794121986
He Wu,2097081003
Yu Wang,2305303078
Victor Ponce,2489510195
Ann Musgrove,2135987089
Y. Morel,2974448213
Christopher Lo,2674331991
M.K. Hamzal,2222547886
E. Shufro,2228310989
Lynn Grande,2228022426
Broc Dunlap,2972469830
S. Pattaramalai,2974718562
Haicheng Tao,2427959556
Paul Peluso,2048543638
E.A. Carlson,2029469267
Guojun Wang,2699936788
A. Fonseca,2945492126
Nelly Delessy-Gassant,2708990958
Hanqi Zuang,2651095397
Ali Ali,2545951648
Vishesh Ved,2532024607
Tinghui Xu,2267340556
Archana Naik,2592192270
Napat Taweewitchakreeya,2227434005
KellyEmily Fell,2900924837
J LeveilleeRaymond,2901852222
A. Salameh,2974587956
Mehdi Kaighobadi,2424883909
Justin White,2254010341
Yanjun Li,2767033449
Corey Park,2884555545
K. Maalaoui,2571987779
Moaed Abd,2891439905
Sophia Banton,666834963
Luis Zapata-Rivera,2786862646
eduardo fernandez-buglioni),https://scholar.google.com/citations?hl=en&user=OAfHG7QAAAAJ
Ravi Shankar,https://scholar.google.com/citations?hl=en&user=4nMakAEAAAAJ
Riki Patel,https://scholar.google.com/citations?hl=en&user=0uXC8nUAAAAJ
