Yi Pan,2163480178
Zhipeng Cai,2983046403_https://scholar.google.com/citations?hl=en&user=tq-LVzIAAAAJ
Upkar Varshney,1779239237
Yingshu Li,2123094837
Alexander Zelikovsky,2081029678
Richard Baskerville,2288381087
Yan-Qing Zhang,2699239008_https://scholar.google.com/citations?hl=en&user=sfciqWgAAAAJ
Scott Crossley,2155955995
Xiaojun Cao,2078208051_https://scholar.google.com/citations?hl=en&user=ViyBLNcAAAAJ
Balasubramaniam Ramesh,2135001462
Sushil Prasad,2102678168_https://scholar.google.com/citations?hl=en&user=WdZpkD0AAAAJ
Jessica Turner,2555338877
Xiaolin Hu,2109352242_https://scholar.google.com/citations?hl=en&user=zeU19nAAAAAJ
William Robinson,2139792760
Ying Zhu,2489418703_https://scholar.google.com/citations?hl=en&user=sz_Z3igAAAAJ
Veda Storey,704091698
Ephraim McLean,2119616653
Mark Keil,2293235762
Yang Wang,2665772703
Rafal Angryk,586699529
Zaobo He,2113635136
Anu Bourgeois,2113271585
Robert Harrison,2113495520_https://scholar.google.com/citations?hl=en&user=px5AJoYAAAAJ
Roger Bakeman,1965712902
Daniel Robey,2076228660
Xiaoyuan Suo,2117124523
G.S. Owen,2653564117
Vijay Vaishnavi,239281247
Rajshekhar Sunderraman,290991845_https://scholar.google.com/citations?hl=en&user=pXsiqKwAAAAJ
Berkay Aydin,2155808976
Xiaojing Ye,2114681622
Michael Gallivan,1974730230
Florian Enescu,2018996403
Duane Truex,437840324
Yiwei Wu,2122048300
Michael Weeks,1983151670
Saeid Belkasim,674106355_https://scholar.google.com/citations?hl=en&user=2pmavOcAAAAJ
Xu Zheng,3034761610
Qian Hu,2150513384
Wei Li,2944822559_https://scholar.google.com/citations?hl=en&user=tHTIu_EAAAAJ
Richard Welke,2973499044
Song Tan,2266151433
Ji Li,2492102687
Hassan Babaie,2088521539
Dustin Kempton,2135599234
Dinesh Agarwal,2488381088
Ute Römer,1975240581
Sara Weigle,2607730470
Phang Tai,2163906140
Mingsen Xu,2668961680
Christi Howard,2278886383
G. Owen,2660078783
Zhisheng Yan,2106697306
Debraj De,2137073598
Kristopher Kyle,2239159279
Chinh Vu,2091158244
Lauren Margulieux,284629691
Melody Moore,2128157759
Soukaina Boubrahimi,2547137645_https://scholar.google.com/citations?hl=en&user=zjWK5KgAAAAJ
Goutham Kamath,2395270279_https://scholar.google.com/citations?hl=en&user=lQiSAlkAAAAJ
Ashwin Ashok,1973694398
Martin Fraser,2228636419
Lei Shi,2618030059_https://scholar.google.com/citations?hl=en&user=XOF8ieUAAAAJ
Danyang Zheng,2740756275
Yun Zhu,2683099112
Yu-Ping Chen,2125600312
Karen Loch,1193090174
Zhuojun Duan,2766740138
Alex Koohang,2021978949
Meng Han,2786854737
Gwen Frishkoff,2952885267
Raj Sunderraman,2065696468
Alireza Aghasi,2501829543
A. Borthick,376746200
Long Ma,2248902585
Feng Tan,2107007415
Vecheslav Volkov,2661477775
Xi He,2580123755
Ji Cai,2510077462
Suzanne Pawlowski,2714953270
Brendan Calandra,2139726822
Yanqing Zhang,2547251892
Jyoti Islam,2805347539
Ruizhe Ma,2584629143_https://scholar.google.com/citations?hl=en&user=LOsL_7gAAAAJ
Sunny Shakya,2237019088
Pan Yi,2140348887
Yubao Wu,2097850430
Xuezheng Fu,2136453421
Michael McDermott,2128647146
Liang Zhao,2637585018
Rafik Aliev,2798347749
Liang Cheng,2974260545
Fasheng Qiu,2661819278
Jeffrey Chastine,2304020943
Mark Stockman,2121761166
Igor Belykh,788513245
Bo Jin,2306540404
Evelyn Brannock,2046721297
Shah Hamdi,2398078868_https://scholar.google.com/citations?hl=en&user=naRVOVoAAAAJ
YouJin Kim,2635839428
James Senn,648773906
Jung Shim,2894190799
Pavel Skums,1214473962
Matthew Turner,2059510867
Hae-Jin Hu,2169820675
Art Vandenberg,2157373810
Danial Aghajarian,2515964468
Marco Valero,2194769801
Eric Friginal,338752369
Shihao Ji,3035589238
Stefanie Markham,2123476568
Andrey Shilnikov,339797625
Yi Sun,2663802009
Mukeshwar Dhamala,2572632690
Thomas Whalen,2116436136
Haidong Xue,2119180338
Evrim Guler,2645772074
Robert Clewley,1973462568
Guolin Lai,2107471231
Irene Weber,2014203112
Andrew Rosen,2230966589
Bismita Srichandan,99102689
Guantao Chen,2161756954
Janaka Balasooriya,2034154264
K. King,2640904738
Vijay Akkineni,2036955393
Anh Nguyen,2622827845
Yichuan Zhao,2947001698
G. Zhang,2715370466
Chengzong Peng,2744248650
Song Guo,2293742672
Ziyue Chen,2793068808
Ke Gao,2241290504
Kuldeep Kumar,3038131147
Petrus Martens,2123895379
Ben Miller,2146168445
J.A. Senn,2973278426
Azim Ahmadzadeh,2783572247_https://scholar.google.com/citations?hl=en&user=EFSi5FoAAAAJ
Yan Huang,2431133274
David Washburn,2186225025
M. Syeda,2707575258
Maryam Jalalitabar,2666765619
Yi Liang,2947280226_https://scholar.google.com/citations?hl=en&user=nCIwo4kAAAAJ
C.T. Vu,3037886957
Lucjan Strekowski,278219597
Tammy Sugarman,2087066604
Yi Zhao,2672891910
Myungjae Kwak,2154792223
Sushant Mahajan,2769631057
S. Pellicer,2135616372
Rachel Gurvitch,1960659151
Xiaxia Yu,1983874492
Ayush Shrestha,1985003857
Fan Bai,2295953176
Telvis Calhoun,2616253960
Mark Schaefer,2125190983
Hui Liu,2950415838
Andrea Scarantino,266362617
Dhara Shah,2509452935
Dajun Dai,2230319641
Brendan Benshoof,2343483105
Daphne Greenberg,2123955097
Doug Goans,30399403
Jong Lee,2114119808
Mahfuzur Rahman,2982380157
Xueting Liao,2771868807
Edward Rigdon,670532140
Sergey Knyazev,2707689372
Nisar Hundewale,2779708053
Gulsah Altun,2974624682
Fengpan Zhao,2946682260
U. Varshney,2973815809
Diane Belcher,2178872359
Srilaxmi Malladi,2040060383
Geert Vries,2115164852
Na'el Abu-halaweh,2038075853
Sunsook Jung,2135465703
Vadym Apalkov,2997495092
Piyaphol Phoungphol,2180285042
Guolong Chen,2627171319
Olga Glebova,1225750170
Haibin Wang,2337476753
Saide Zhu,2893418744
Jingwu He,2164331406
Yueming Duan,2164942640
Ross Gagliano,2128883636
Min Kim,2330738260
Zhibo Wang,2499802157
Madhuri Siddula,2795550427
Jennifer Jones,2102512999
William Cotterman,323049823
Saurav Karmakar,2071139286
W.P. Deshmukh,2096652593
Gena Bennett,2328521696
Wanjira Kinuthia,2003090061
Bijan Fazlollahi,188060667
Janani Balaji,2466387496
Janette Hill,2798393958
Xioajun Cao,2398196482
Tawfiq Alashoor,2197454549
Zejin Ding,2155297680
John Murphy,2979860362
Ghi Im,2287484578
Irina Ilioaea,2511063149
Tim Sass,2604423933
Bing Li,2509907993
Shrikant Pawar,2332440341
Guy Leach,2343150129
Minghao Wang,2689995061
Harry Dangel,2001157334
Jacqueline Laures-Gore,1987168642
Jacalyn Lund,2116181471
Sunsook Junk,2342076156
N. Hundewale,2705535352
Sanghoon Lee,2310279976
Zening Fu,2440079439
Mohamed Masoud,2503468675
Guoliang Liu,2642134309
Juan Banda,2567275870
Sanish Rai,2170187414
David Maimon,1605064991
Xiannong Fu,2125897449
J. Morris,2100020229
X. Fu,2973647702
Y. Li,2973939836
Hailong Hou,2108382339
Wael Jabr,2778377812
