Michael Mitzenmacher,1988080645_https://scholar.google.com/citations?hl=en&user=e8aRmAsAAAAJ
Matt Welsh,2149657484
H. Kung,2573500036
Hanspeter Pfister,2102290556_https://scholar.google.com/citations?hl=en&user=VWX-GMAAAAAJ
David Parkes,2101135606_https://scholar.google.com/citations?hl=en&user=JUn8PgwAAAAJ
David Brooks,2112153251_https://scholar.google.com/citations?hl=en&user=vXHA_XYAAAAJ
Gu-Yeon Wei,2131562478
Bruce Fischl,610238476
David Cox,2141185672
Gary King,2150076515
Robert Wood,2135851181
Alexander Rush,2701382563
Krzysztof Gajos,728065937_https://scholar.google.com/citations?hl=en&user=MnnERiQAAAAJ
Konrad Lorincz,2158860012
Jayashree Kalpathy-Cramer,101509324
Salil Vadhan,173843361_https://scholar.google.com/citations?hl=en&user=dqVjyRQAAAAJ
Steven Gortler,2470554607
Todd Zickler,341066788_https://scholar.google.com/citations?hl=en&user=oizZKrsAAAAJ
Mercè Crosas,906928525
Yiling Chen,2157501213
David Malan,2031220304
Stuart Shieber,1985347978
Finale Doshi-Velez,2426295800
Sydney Cash,2010431758
Isaac Kohane,2277076782
George Whitesides,1234242328
Quanzheng Li,2135999815
Yoon Kim,2516971438
Bor-rong Chen,2107542972
Ender Konukoglu,176115050
Na Li,2672814094
Radhika Nagpal,2151774571
Victor Shnayder,128767967_https://scholar.google.com/citations?hl=en&user=eTQ2UugAAAAJ
Leslie Valiant,2000097935
Barbara Grosz,328532754
Elizabeth Gerstner,2306989981
Michael Smith,2557995223
Chris Dede,2001100365
Stratos Idreos,2188856032
Lawrence Wald,2128679588
Yaron Singer,2155009540
Shawn Murphy,2113367105
Robert Howe,2157803585
Greg Morrisett,683339272
Geoffrey Werner-Allen,332465740
William Press,2911029152
Jukka-Pekka Onnela,2164983246
Stephen Chong,2105167831
Edoardo Airoldi,242635728
Nils Gehlenborg,257767137
Dustin Tingley,2240983957
Jonathan Polimeni,2010669855
Kawin Setsompop,65410196
M. Westover,2037513643
Georges Fakhri,2112398608
Brad Chapman,2464865069
Conor Walsh,2346645366
George Church,2111535815
Yue Lu,2502858328
Yutaka Miyamoto,2949537379
Bradley McDanel,2223911731
Jeff Lichtman,2108520779
Eddie Kohler,2114981089_https://scholar.google.com/citations?hl=en&user=VMihW8oAAAAJ
Sebastian Gehrmann,2673408709
Akira Hirano,2222351093
Flavio Calmon,2045317311
Brandon Reagen,111321973
Kiran-Kumar Muniswamy-Reddy,272990089
Samuel Gershman,2134078776
Matti Hämäläinen,2077316967
Dario Vlah,74482515
Rohan Murty,2121229962
Martin Nowak,2113748339
Stephen Cauley,2629487429
John Quackenbush,1867087864
Shervin Malmasi,2070717499
Bruce Rosen,2465133517
Lovekesh Vig,840169865
Surat Teerapittayanon,234765988
Vijay Reddi,2016151996
Sae Lee,2227012142
Mannudeep Kalra,2295703629
Mark Daly,2426470670
Patrick Purdon,336820568
Paul Whatmough,2602825765
Michael Rabin,2144633556
Eric Balkanski,891959641
Shane Greenstein,2115536384
Hiroyuki Yoshida,2178503427
Yoshiaki Sone,2042949712
Hyunkwang Lee,2399859124
Randy Buckner,729227638
David Holland,2097332691
Ralph Weissleder,2050256035
Paolo Ciccarese,2040449641
Kyungsang Kim,2099536326
Donhee Ham,2126975523
Dougal Maclaurin,2435990468
Guillermo Tearney,198274569
Scott Armstrong,2101452600
Demba Ba,2103424377
Jelani Nelson,2132089697
Heidi Rehm,2061926211
Stephen Haggarty,131636938
Richard Zeckhauser,571786997
Francis Doyle,2167853686
Osamu Akashi,1129940926
Synho Do,2125991845
Brett Bouma,2172289266
Wonyoung Kim,2102022967
Gregory Sharp,2497028863
Michele Coscia,2105560137
Atsushi Takahara,2232484634
Ariel Rabinovic,2629284116
Takeru Inoue,2149223087
André Kouwe,2061072744
Charalampos Tsourakakis,750472553
Milton Weinstein,2099023245
Hidehiko Takara,1951936297
James Mickens,2082563121
Jun Liu,2097653880
Karim Lakhani,2016939207
Walter Fontana,2030824032
Yuntian Deng,2123267846
Michael Kurtz,2157705164
Alberto Pepe,2042229455
T.R.F. Fulford-Jones,11152381
Scott Kuindersma,2044133976
Gabriel Kreiman,181130058
Peter Sorger,2426515289
James Robins,1811258128
Youngjune Gwon,2265411386
Katia Bertoldi,1947363426
Wataru Imajuku,1990450056
Xiang Li,2068388382
Geoff Allen,2504978542
Nikos Makris,2039141734
Milind Tambe,2237142500
Donald Rubin,2121086604
Uri Braun,2112625431
Jeffrey Brown,2118546387
Martin Aryee,2307370699
Chia Shen,2136381082
Maria Franceschini,1937817742
Johanna Beyer,2140258171
Anastasia Yendiki,125802956
Yizong Cheng,2503526613
Jack Yang,2615614272
Tomoaki Kumagai,2245200674
Hakho Lee,2149791600
Niv Dayan,2502119341
Ashish Panda,2263009899
Bruce Schneier,605106185
Curtis Huttenhower,1531017582
Roger Brockett,2222326457
Eyal Dassau,2019500635
Janne Näppi,2117818475
Namwook Kim,2164243155
Daryush Mehta,2172200190
Robert Adolf,2529629544
Yasushi Takatori,2949171285
Madhu Sudan,466258520_https://scholar.google.com/citations?hl=en&user=D-RwB3YAAAAJ
Jim Waldo,2521661706
Martin Luessi,1972995589
Tianxi Cai,2156482873
P. Balamuralidhar,2810751888
William Lotter,2344385981
H. Rosas,2119286472
Efthimios Kaxiras,2164013849
Jun Mashino,43464760
Joshua Mandel,2129776876
Stefan Carp,2165750562
Shing-Tung Yau,2106526481
Jeremiah Liu,2761452335
Minlan Yu,2105723458
Daniel Jacob,2143071619
Julian Goldman,2115582934
Saketh Rama,2515257495
Toshikazu Sakano,2035744306
Ning Guo,2303606117
Alberto Accomazzi,2692098784
A. Nawoj,2568459851
A. Clavel,2570756076
Michael Behrisch,1999354499
Hongyao Ma,2490508603
Van Wedeen,1991290014
Udit Gupta,2342971965
Ruonan Li,2169249859
Jonghye Woo,2042683777
Matthew Rosen,2245476487
Bertrand Schneider,2142162519
Kimihiro Mizutani,2128046586
Akihide Sano,1970558380
Geoff Werner-Allen,2231128237
Giovanni Parmigiani,209153739
Carliss Baldwin,2121653420
Yukako Yagi,1970944151
Andrew Beam,2329376550
Andrew Ross,2595608731
Federico Capasso,2109627382
Peter Hallinan,2147590623
D. Cohen,2974670546
Carolyn Grant,2099028068
Vasileios Nakos,2754847912
Yusuke Asai,2111678710
Verena Kaynig,2704439673
Jie Yang,2675260499
Stuart Schechter,2950762993
Miriam Cha,2056058574
Peter Macko,1265675910
Yukio Tsukishima,2047162900
Ben Adida,290449749
Benjamin Neale,2013033188
Shelley Fried,2127546065
Mauricio Santillana,2154222003
Dufan Wu,2668019487
Tatsuya Fujii,2171927338
Oren Rippel,175540777
Stephen Murray,2098960480
Toru Mano,2129446571
Lincoln Greenhill,2152664262
Swagat Kumar,2322718000
Ian Rose,2290857473
Thaddeus Jones,2228089563
Ken Hiraga,2101894841
Lakshminarayanan Mahadevan,2224647905
Shahein Tajmir,2669205258
Pamela Silver,2147902741
Patrick Swieskowski,347837503
Avraham Shinnar,2778686918
Shoshana Zuboff,1944249924
Jorge Aguilera-Iparraguirre,2314615284
Timothy Hirzel,2534668999
David Salat,583925930
Aedín Culhane,2070038328
Hyunsung Park,2100130096
Matthew Johnson,2517210667
Jon Bennett,2141518246
Yan-Cheng Chang,2680454710
N. Huggins,2278152851
Cynthia Dwork,208343995_https://scholar.google.com/citations?hl=en&user=pxeyQ_QAAAAJ
Latanya Sweeney,2250362998
Manos Athanassoulis,1824192596
Randy Gollub,721924656
Ran Basat,2223425858
Takafumi Tanaka,2600136810
Blackford Middleton,2104242221
Benjamin Vakoc,2304519315
Pavlos Protopapas,2198308759
Alan MacCormack,2069195093
Martin Villiger,2041501143
Cengiz Pehlevan,2342560760
Woodward Yang,2226512271
Darin Dougherty,2137355351
Xueyuan Han,2802341221
Hao Wang,2762912271
