Alan Yuille,2065104188_https://scholar.google.com/citations?hl=en&user=FJ-huxgAAAAJ
Sanjeev Khudanpur,1996119148
René Vidal,2155853947
Gregory Hager,2070051019_https://scholar.google.com/citations?hl=en&user=ivApfKcAAAAJ
Daniel Povey,2779265140
Matthew Green,2248595014
Mark Dredze,2023626662
Jerry Prince,2152659900
Randal Burns,2114772878_https://scholar.google.com/citations?hl=en&user=rTJTJJ4AAAAJ
Russell Taylor,2131329962_https://scholar.google.com/citations?hl=en&user=Ph16U5wAAAAJ
Benjamin Durme,2113965177_https://scholar.google.com/citations?hl=en&user=wIujAJoAAAAJ
Andreas Terzis,2298659980
Nitish Thakor,1998807425
Alexander Szalay,2423119866
Ralph Etienne-Cummings,2083138768
Ernst Niebur,243644666
David Yarowsky,2042800127_https://scholar.google.com/citations?hl=en&user=gaO-vS4AAAAJ
Trac Tran,2099826114
Jason Eisner,2023211357_https://scholar.google.com/citations?hl=en&user=tjb2UccAAAAJ
Aviel Rubin,2112283555_https://scholar.google.com/citations?hl=en&user=KWez2_sAAAAJ
Elizabeth Stuart,2156387745
Aaron Carass,11391556
Hynek Hermansky,316105680
Baruch Awerbuch,74094003
Joseph Herring,2136274990
Susan Hohenberger,2244632657
Christina Garman,2070727672
Shinji Watanabe,2255063064
Andreas Andreou,2171570281
Daniel Garcia-Romero,2154831416
Frederick Jelinek,2019534230
Matt Post,2147781739
Steven Salzberg,1904680277
Peter Kazanzides,2034236236
Iulian Iordachita,1209546023
David Snyder,2254062345
Guoguo Chen,2140519279
Vijayaditya Peddinti,2026037954
Michael Kazhdan,1552135752_https://scholar.google.com/citations?hl=en&user=soUq_eQAAAAJ
Raman Arora,2136297185_https://scholar.google.com/citations?hl=en&user=Spe0xdkAAAAJ
Michael Miller,2171310586
Najim Dehak,142824529
Zhishuai Zhang,2664543709
Cihang Xie,2122712300
Chenxi Liu,2230308995
Yair Amir,2167289893
Yuyin Zhou,2585112712
Theresa Wilson,2162597567
Jeffrey Siewerdsen,2205162176
Gregory Sell,2486481274
Paul McNamee,2298810520
Andrew Jaffe,2119650636
Vladimir Braverman,56582539_https://scholar.google.com/citations?hl=en&user=DTthB48AAAAJ
Jeffrey Leek,2161415841
Gregory Chirikjian,268136995
Carey Priebe,2144812577
Jan Trmal,1269793602
Delip Rao,2139697824
Emad Boctor,2310477595
Jin Kang,2118381412
Kevin Duh,2046721439
Austin Reiter,2308932685
Pegah Ghahremani,2096980368
Joshua Vogelstein,1980017490
Louis Whitcomb,1661877008
Rizwan Chaudhry,2281054694
Vishal Patel,2118029367
Vimal Manohar,2228867283
Abhishek Jain,2114441477
Matthew Bolitho,2039067726
Debashree Ray,2949836184
Tal Linzen,817205692
Kasper Hansen,2297140104
Alan McCree,1977186047
Mehran Armand,2159616990
Adam Stubblefield,1989862221
Omar Zaidan,73373514
Colin Lea,2165633741
Xin Jin,2598385656
Peter Gehlbach,700590262
Sridevi Sarma,2148134574
Yan Wang,2604823062
Jesús Villalba,2108722367
Ciprian Crainiceanu,89886145
Glen Coppersmith,1269862033
Gerald Masson,2160194013
Leslie Cope,1466289435
Philipp Koehn,2647056301
James Mayfield,2992250115
Juri Ganitkevitch,272438685
Dennice Gayme,1973594428
Rachel Rudinger,2010729824
Weichao Qiu,2105897739
Wei Shen,2007372778
Anton Deguet,1966464446
Courtney Napoles,2132533637
Siyuan Qiao,2274776727
Brian Caffo,252723055
Xuchen Yao,2166542573
Donald Geman,225184724
Suchi Saria,1206765324_https://scholar.google.com/citations?hl=en&user=FZLHMv8AAAAJ
Herbert Rubens,1966620363
David Holmer,2077131583
Vassil Panayotov,2231881178
Andrew Feinberg,2042589299
Laurent Younes,1961840802
Jonathan Weese,2148428730
Christine Ladd-Acosta,2159374500
Yinzhi Cao,2122648457
Javad Fotouhi,2307373814
Ilya Shpitser,632386501_https://scholar.google.com/citations?hl=en&user=ZyKrSZcAAAAJ
Junghoon Lee,2157017432
Adam Poliak,2605126189
Craig Harman,2101779857
Philippe Burlina,2010875763
Tamás Budavári,224955584
Scott Smith,2113752898_https://scholar.google.com/citations?hl=en&user=bRjJOrMAAAAJ
Ani Thakar,2037468557
Nathan Crone,1760810769
Luke Osborn,2227922929
Mounya Elhilali,2077078856
Thomas Louis,2277453775
Nanxin Chen,2117872926
Joseph Stayman,2229518199
Daniel Robinson,2265721581
Ali Uneri,2122805960
Xingde Li,2150237937
Jong Lim,2173139625
Myron Brown,2149913880
Philippe Pouliquen,74744199
Dzung Pham,2098146076
Enrique Mallada,2028838133
James Handa,2097210223
Soumyadipta Acharya,2156247537
Fopefolu Folowosele,2097327698
Amod Jog,2145747418
Lucas Ballard,2152188672
Rebecca Knowles,2500428601
Yiming Wang,2518456246
Yi Chen,2617477732
R. McCoy,2758499626
Noah Cowan,2097846247
Jonathan Shapiro,2308511989
James Spall,703010377
Jr. Campbell,2974329229
