George Thiruvathukal,45013011_https://scholar.google.com/citations?hl=en&user=Ls7yS0IAAAAJ
Lu Hong,2150602404
Ronald Greenberg,2599690178_https://scholar.google.com/citations?hl=en&user=8KbOOO4AAAAJ
Nenad Jukic,1965124226
Konstantin Läufer,2075941647_https://scholar.google.com/citations?hl=en&user=Rs0f_nMAAAAJ
Dmitriy Dligach,2625526828
Francisco Fernández-Navarro,2035472000
Chandra Sekharan,1209509424_https://scholar.google.com/citations?hl=en&user=nx6rSEwAAAAJ
Mike Hewitt,2577454305
Linda Salchenberger,1248365900
Rafal Goebel,2407537446
Nicholas Lash,2477385467
E. Cinar,2500394507
Morteza Yazdani,2121644303
Pablo Millán,2120992989
Christopher Colby,2305908207
Rosemarie Parse,1247677979
William Honig,2648903907_https://scholar.google.com/citations?hl=en&user=QIIX4SoAAAAJ
Peyman Mazidi,2525524331
Logan Ludwig,2096033514
Mary Malliaris,1536975454
Robert Seal,2145789954
Terri Pigott,1926708812
Luis Orihuela,1707418655
Svetlozar Nestorov,2135512025
Gina Kuffel,2607558684
Abhishek Sharma,2489241387
Gregory Baltas,2905195530
Radhakrishnan Jagadeesan,2600768081
Frederick Barnhart,2481980595
Francisco Fernandez,2897953817
Gezinus Hidding,950429463
Jeannette Pierce,2254814582
Timothy McDonald,2923495895
Lara Smetana,1968121240
Daniel Graham,2146687044
James Zydiak,452394312
Mariano Carbonero-Ruz,2302931039
John Nicholas,2097480792
Reuben Keller,2557536933
I. Androwich,2974632673
Meghan Dougherty,2623551543
José Salinas-Pérez,2320930900
I. Jurado,2951529289
Nicholas Baltas,2895988151
Mercedes Torres-Jiménez,189978279
Mónica Paz-Marín,1971314703
Andrea Best,2274420082
S. Agnew,2977951770
Carlos García-Alonso,2951423634
Jane Currie,2798557872
Joseph Kaylor,1997795471
Mencía Gutiérrez-Colosía,2013314764
Nerea Almeda,2593842369
María Ortiz,2610546600
Julienne Grant,2158008382
Mark Torrez,2125971007
Natasha Turman,2147998592
John Dugan,2188095481
Charles Webber,2106816418
Cesraea Rumpf,2046050025
Courtney Irby,2155447228
Todd Fuist,2196742280
Annmarie Altena,2313358306
C.L. Jackson,2330917501
Patrick Polasek,2685262845
David Becerra-Alonso,2195866366
Anastasios Malliaris,2032028483
Patricia Rick,2885426908
Santhoshi Bhatt,2223100236
Fabio Gómez-Estern,2647094435
Jennifer Jemc,2776957822
Hagop Bouroudjian,2775820820
Carlos Perales-Gonzalez,2806630045
Michael Bednar,2122158640
David Alonso,2544315375
Rachel Shefner,1481690508
Maria Udo,2160879720
Fred Bryant,2344837754
Nelda Hislop,2481258047
Jeffry Mallow,620513833
Ryan Williams,2617310664
David Kamerer,2159978364
Bogdan Czejdo,2974472855
Richard Snow,2643714949
Dolphy Abraham,2668454749
Mark Albert,2166909315
Huaiying Lin,2266751715
Xiang Gao,2299626516
François Modave,2483587533
Vicente Fernández-Rodríguez,2580257889
Bart Wojewnik,2482166779
Maria Rodero-Cosano,2035603370
Gregory Matthews,2103059744
Qunfeng Dong,2129724660
Mike Hewit,2540892568
Therese Pigott,2012293058
T. Rao,2530046181
Shaik Akbar,2688228697
Michelle Turner,2536297170
Timothy O'Brien,2137084665
Matthew Sag,2023351441
Richard Block,2331201474
Hong Ma,2485778337
Ida Androwich,1993316250
James Welsh,2442390188
Romey Christo,2887808488
Margarita Zisselsberger,2313546558
Antonio Ariza-Montes,2488370863
Faruk Güder,1991838069
Kashi Revanna,1435078143
Ruichen Rong,2972644500
Michael Zhao,2972924897
Hancy Jose,2903778962
M. Avinaash,2223552453
K. Bhargav,2227528227
T. Prabhu,2314535926
G. Kumar,2439952915
D. Reddy,2566347344
Lee Guan,2704821503
A. Nozal,2766314586
Enrique Venta,2121650859
Irina Georgescu,2019718522
P. Priyanka,2104361959
Saggurthi KishorBabu,2225068821
B. Nikhitha,2229304450
V. Sagar,2302715605
Meng-Jia Wu,2705761881
Benjamin Gonzalez,2973718707
Mohammad Tootooni,2969729620
Alexander Tsesis,2708218068
Christopher Braun,2150004717
N. Ebenezer,2971517002
Pedro Cortés,3037182195
M. Prez-Ortiz,2750629640
D. Suju,2507623819
Catherine Putonti,2188176449
Seung-Chul Yoo,3023888979
Francis Nourie,672160398
A. Tapia,2948770353
David Shoham,2021507927
Richard Cooper,2105066742
Liping Tong,2233304982
Frederick Kaefer,185561940
Dana Garbarski,275441616
Francisco Martínez-Estudillo,3020381567
Tracy McMahon,2765585322
Desirée Navas-Campaña,2075765916
Mara Prez-Ortiz,2756693483
K. Lauffer,2227758100
V. Raghavan,2145776837
Laurynas Kalesinskas,2533636708
Elaine Orendorff,2566785069
Ronald Kizior,2973415886
Ronald Price,2892103878
L. Vanitha,1587433436
Patricia MacDonald,2555596157
Charles Lockwood,2556620610
David Ensminger,2028107749
