Satyajayant Misra,2112707457_https://scholar.google.com/citations?hl=en&user=KJPGePAAAAAJ
Enrico Pontelli,708809703
Jaime Ramirez-Angulo,2762184914
Jonathan Cook,2924253131
Tran Son,2138334042_https://scholar.google.com/citations?hl=en&user=7jKj_NcAAAAJ
Laura Boucheron,2042134504
Reza Tourani,2231779349
Deva Borah,712835307
Jim Cowie,2095866321
Phillip Leon,2152262615
David Mitchell,2164174891
Tom O'Hara,2310824954
Paul Furth,2123178359
Eric Johnson,2145111233
Charles Creusere,2395720535
Travis Mick,2224452317
Hong Huang,2202209977
Abdel-Hameed Badawy,2906903565
S. Baswa,59388774
Karen Villaverde,2020963589
Mingzhou Song,2124073498
Zachary Toups,2648989080
Gaurav Panwar,2639207374_https://scholar.google.com/citations?hl=en&user=9w4h34oAAAAJ
Jeffrey Teich,2295994310
Tiep Le,2109185992
Abderrahmen Mtibaa,2081609538
Sultan Alharthi,2653411891
Manikanden Balakrishnan,2167252713
Haizhou Wang,2473348210
Annajirao Garimella,2068482516
Huiping Cao,2123416858_https://scholar.google.com/citations?hl=en&user=M6UHVQwAAAAJ
Son To,2161144191
P.L. Leon,2104962206
Mai Zheng,2142985291
Vijendra Apsingekar,1961143991
Heather Pfeiffer,2098020650
Wei Tang,2505156839
Inna Pivkina,1974699890_https://scholar.google.com/citations?hl=en&user=wYZOUb4AAAAJ
Punith Surkanti,202523728
Stephen Helmreich,660579120
Michael Hout,2127059804
Zibin Tang,2106090079
Elbert Walker,2123067211
Brook Milligan,1991526562
David Voelz,1405085848
Megan Richardson,2167609464
Ping Hou,2159791148
Steven Sandoval,2137388922
Debra Peters,2245655585
Maziar Izadi,2100769767
Abdelrahman Elkanishy,2982630285
I. Padilla,2497646950
Kuldeep Kumar,2224032793
David Trafimow,216036206
Yehia Arafa,2868018110
Jennifer Kreie,97933226
Jeanine Cook,2195086906
Igor Dolgov,2241510169
Bryan Stewart,2292025738
Federico Campeotto,1978983506
Theresa Westbrock,449077664
Liang Sun,2336831012
Phan Tu,2160348299
S. Gupta,2572178101
Sukumar Brahma,2143041689
Mark Davis,2144814220
Abdessattar Abdelkefi,1970563727
Cheng-ming Guo,2483971045
David Farwell,1940861237
William Ogden,2169087764
Satish Ranade,1997322213
Carlos Urquidi,1860652829
Omar El-Khatib,1982399947
Charles Townley,2577561856
Javier Hernandez-Alvidrez,2894740269
A.P. Kosoresow,2197054380
Sri Pakala,2222421220
Chuan Hu,2179382044
Mostafa Hassanalian,2319508526
Nafiul Siddique,2117562512
Stephen Horan,2466707400
Richard Hills,2009752457
H. Tapse,1053910523
Boris Kiefer,2226060085
Guram Bezhanishvili,2149451795
Van Nguyen,2741525038
Zhidian Du,2110357922
Michael DeMers,2015416321
Shirin Pourashraf,2617329231
Ketan Mehta,2304097026
Clinton Jeffery,2894252184
Huiyan Zhang,2227215508
Chongbing Liu,2172081578
James Cowie,2987625011
Parth Nagarkar,2103531439
Kyung-Sik Seo,2122818832
Emad Saad,2476697692
Grace Smith-Vidaurre,2516565892
Hing Leung,2309600394
James Kroger,2167207022
Mahender Manda,2230126675
S. Sreepuram,2228857948
Kabi Bhattarai,2068297211
Alisa Gonzalez,2567453832
W. Xiong,2614425072
Nancy Alajarmeh,2023965790
Nadipuram Prasad,2208399280
Sasi Viswanathan,2158846521
P. DeLeon,2974130663
Skye Pazuchanics,2053586972
Qisong Hu,2223880168
Ahmad Golmohammadi,2510696809
Jeff Bauhs,2224635089
Philip Davis,2607844561
B. Palmer,2306562357
Rémi Zajac,2179952121
Son Tran,2712069405
M.S. Sawant,2149036438
Jeffrey Dage,2547697342
Muhammad Iqbal,2591665257
William Kluegel,2594756716
Arthur Karshmer,88416370
Ru-hai Wang,2974897191
S. Horan,2974819797
Frank Natividad,2693746867
Suresh Gautam,2302225047
Jamie Posey,2493877857
Qixu Gong,2950422988
H.A. Smolleck,2038928817
Michael Hyman,2116393696
K.T. Ng,2126961156
Alla Kammerdiner,634672443
John Mullen,2103280798
Hitesh Sharma,2488350164
Mohammad Qayum,2638275439
Guoliang Xue,2791203183
Om Gatla,2740388068
Dominic Simon,2422741084
Roopa Vishwanathan,2232062659_https://scholar.google.com/citations?hl=en&user=o6jDwowAAAAJ
Jinrui Cao,2509291332
Hansuk Sohn,2134848145
Jim Kroger,2305409329
Ram Srinivasan,2139691803
Gustav Verhulsdonck,9300110
Srivatsan Kandadai,2010997607
James McDonald,2117550495
E. Barany,2303361199
Z. Saifullah,2747355674
Kristin Glass,2160328270
Adrienne Lee,2116226695
Barbara Chamberlin,2115044806
Kevin Thompson,2420771157
William Graves,2003185045
Homa Aidinejad,1532239435
Joe Guthriee,2614177671
Xiaochen Tang,2566870149
Mardi Mahaffy,2295243318
Edin Sabic,2679660522
Derrick Rivera,2982446504
G. Alandjani,2530643352
Ron Zacharski,2401230438
Paula Barraza,2131775313
Ahmed Khalaf,2762183336
Abu Tayeen,2338039137
Nataraj Pragallapati,2808227892
Olaa Alsaedi,2404873526
Satishkumar Ranade,2583398595
Krisela Rivera,2146246131
J.S. Beasley,2271381395
O.F. Acikel,2090601006
Rachel Jensen,2112207447
Jessica Haebe,2690569151
Gerald Flachs,2154121458
Juris Reinfelds,262266913
Glen Throneberry,2568906038
Ruth Torres,2340937960
Kate Manuel,2620095365
R. Salazar,2567868036
R.A. Paz,2340681623
J.E. Cook,3009921822
Joerg Kliewer,3011303228
Frank Harary,65976662
Waleed Alkohlani,198601041
Yifan Hao,2150651315
S. Thoutam,1029707284
A. Peel,2106871315
W.E. Thompson,2698970894
Vimal Thilak,1572836056
Nancy Cooke,2146308919
Christopher Weaver,2236011479
Jerry Lodder,2111745290
Chris Fields,2461076406
Evelyne Viegas,2601306697
Karin Wiburg,2416579084
Deborah Russell,2503308282
David Pengelley,150732534
J.P. LeBlanc,2973574779
Ken Ramsey,2565146383
C. Durbha,778852149
Ahmad Jarrah,2713702954
Rajendra Patil,2147773527
Muhanad Manshad,2230209489
Lee Holguin,2118949399
J. Ramiriez-Angulo,3026911217
Ivan Mecimore,226112246
M Anderson,2973969929
Robert Rogers,2167302736
U Hsun,2229180118
Alejandro Roman-Loera,795321651
Nitya Thota,2059115785
Anurag Veerabathini,2789233760
Molly Molloy,2332844040
So Tran,2992551989
Gyoungil Lee,2230425629
Thilak Raju,2223712495
Yen-Chun Tsen,2225161905
Vishnu Kulkarni,2227467680
Peter Martin,2920469202
Russell Folk,2590309161
V. Szczepanski,2637446505
Roger Hartley,2193770023
Ye Ma,2242781218
Tochi Nwachuku,2947627580
Gerardo Sanchez,2782023342
Scott Underwood,2501063035
Mark DeYong,2207101140
Shakir Manshad,1541224843
Atanu Barai,2859368807
Timothy Breen,2584936053
Ben Wright,2214217844
K. Kottapally,1491046976
C. Ngo,2314205679
R. Reddy,2440565750
Jennifer Sheppard,2501762172
G. Anaya,2576366521
Ricardo Luna,2665274850
Francisco Natividad,2589287845
Talayeh Razzaghi,2229397424
Vojin Oklobdzija,2789669855
Yu-Feng Lee,2099087126
Brandon Chisham,3691920
Karlis Kaugars,2797511117
Hoang-Khoi Nguyen,2275535814
Dang-Vien Tran,2278314955
Wen Xu,2893745221_https://scholar.google.com/citations?hl=en&user=mK3EGEwAAAAJ
S. Ramakrishnan,2328172313
Simeng Wang,2545765414
N. Nirmalakhandan,2631195389
Alexa Doig,2896099118
Bryan White,2892727196
C.-W. Tao,2894530549
L.M. Kalyani-Garimella,352373941
Venkat Nammi,2231520281
Elam Curry,2126765445
Pu Xie,2131492869
Muhammad Hameed,2792822198
Sandy Geiger,2514358942
Ehsan Samiei,271151415
Jesús Trespalacios,2152910999
Laurence Creider,1973044043
Scott Ortegel,2225936330
P. Zuniga,2414341434
Javier Lopez-Lemus,2044391198
Djuro Zrilic,2760421767
Marlena Fraune,2232068142
J. Haebe,2164761451
T. Burgert,2226832724
J. Greenling,2226872485
K. Blair,2253147510
K. Arraki,2635948428
Thanh Nguyen,2782472835
H. Choe,2132152277
J.B. Jordan,2768569614
Alex Pogel,1221107672
Benjamin Althouse,2094630869
Susan Beck,2122520605
Hema Ramamurthy,2022755909
Avinash Ajane,2550638081
Rashmi Subramanyam,2572572522
Anindita Paul,2761176024
Tanner Juedeman,2766880814
Lonnie Ludeman,2974809691
Poom Pianpak,2896594492
Matthew Levi,2128842494
Carol Walker,2097968021
Julia Parra,2234117412
Minjoon Jun,2159106299
Rachel Gallagher,2144891858
Ngoc-Hieu Nguyen,2170465249
J.J. Pfeiffer,2122697149
Vien Tran,2117851472
Khoi Nguyen,2576428948
R. Shukla,2497389871
Hua Zhong,2788063588
Randall Findley,2466700763
Tonghui Wang,2152144685
Stephen Kanim,2178089700
Takahiro Wakao,2304714023
Xiuming Huang,2141607765
R. Jonnalagadda,2565014677
S.R.S. Garimella,2025194959
Wen-Ruey Hwang,2718914017
Aditi Akula,2231481217
Roger Chadwick,2143184759
Michèle Shuster,2169139835
Ralph Preszler,2598067200
Mohammad Haque,2574950734
Wiley Thompson,2132008489
Charles Creuserre,2265530505
W.P. Osborne,2220891286
Sowmya Myneni,2230687563
Hung Le,2110694448
Derek Partridge,2652507039
Betsy Stringam,2084374982
Haotian Gao,2627251036
Hung Dang,2121713742
E. Rojas,2953986791
Shameem Akhter,2275264420
James King,2097728188
Andrea Laliberte,744049667
Banavara Shashikanth,1969080166
Michael Giles,2096556114
Jan Amtrup,67514336
Wang Jin,2307642540
Rong Wang,2310053732
Yonggang Lu,2716715956
Dusan Jolovic,1489033747
Joseph Pfeiffer,2973414048
Nigel Sharples,2984559619
Mark Casper,2988402464
Deepika Vaddi,2007520973
Chaitanya Mohan,2974680411
Jing Zhang,2420878433
Cecilia Hernandez,2297992201
Arezoo Samiei,2782019020
Muhammad Dawood,2141579395
Ayatelrahman Elsayed,3006230926
Ammar ElWazir,3006649934
C. Lackey,2305579796
Ryan Christopher,2805582526
Dawn VanLeeuwen,1977040705
M. Dawood,2308599718
Donald Dearholt,1980049736
Venu Siripurapu,2223904485
G. Gonzalez-Altamirano,2840558231
M. Siddaiah,2346256268
David Hazzard,2091791944
Srikant Siddenki,2229259187
Thomas Shay,2008304965
J. Payne,2647525374
Michael Marks,2790297790
B. Kopp,2031620438
F. Ledesma,2798371001
Theodoros Alexopoulos,2714061193
Xeturah Woodley,2346526967
Beyan Negash,2729702482
Zhicheng Li,3019051967
Ayesha Nargis,2313039589
Juan Iglesias,2108319330
Riasat Khan,3026072754
Heike Lehnert-LeHouillier,198501931
Quan Do,2755258466
Chunkuan Chiang,2338511221
Nicole Vogt,2306965626
Amy Muise,2520231247
Vishal Nawathe,2226280301
I. Grau,2628251818
Cindy Pierard,2118489877
