David Maier,2064546257_https://scholar.google.com/citations?hl=en&user=80pKMyMAAAAJ
Suresh Singh,2112815815_https://scholar.google.com/citations?hl=en&user=-L50fhsAAAAJ
Feng Liu,2490243718_https://scholar.google.com/citations?hl=en&user=uiqXutMAAAAJ
Xiaoyu Song,2160937031
Nirupama Bulusu,2041865133_https://scholar.google.com/citations?hl=en&user=xpyAqbUAAAAJ
Andrew Black,2153681653
Marek Perkowski,2022554740
James McNames,1975173743
Wu-chang Feng,2712462531_https://scholar.google.com/citations?hl=en&user=jFVekyIAAAAJ
Maruti Gupta,2974265520
Wu-chi Feng,2660990294_https://scholar.google.com/citations?hl=en&user=qIqUlpcAAAAJ
Simon Niklaus,2604776439
Fei Xie,2135360538_https://scholar.google.com/citations?hl=en&user=ln3fTN0AAAAJ
J. Greenwald,2156945237
Jonathan Walpole,2062312280
Tugrul Daim,672054323
Kristin Tufte,2007010895_https://scholar.google.com/citations?hl=en&user=lruT2_UAAAAJ
Christof Teuscher,2923681159
A. Frank,2486014867
Lois Delcambre,169157075_https://scholar.google.com/citations?hl=en&user=QcKvr44AAAAJ
Susan Conrad,2142763862
Kevin Dyer,2107988936
Andrew Tolmach,2027002858
Sergio Antoy,64636911_https://scholar.google.com/citations?hl=en&user=xJHYjG4AAAAJ
Dick Hamlet,956716225
Yuzhen Niu,2115660061
David Raffo,670791393
Jim Binkley,2630821047
Malgorzata Chrzanowska-Jeske,2918184584
Robert Harmon,2294776303
Jin Li,2295839595
Vassilis Papadimos,94353296
Ed Kaiser,2223720369
George Lendaris,273251938
S Grover,2647409629
Charles Wright,2128805647
Thanh Dang,2123677598
Gerardo Lafferriere,1975687050
Tim Sheard,2109390351
Rolf Schaumann,2122081287
Ivan Sutherland,1941499373
Mahmoud El-Gohary,2169480113
Bruno Jedynak,320636146
Kai Cong,2161361534
Fan Zhang,2643501469
Li Lei,2104082723
Josh Triplett,2296379801
Garrison Greenwood,2110448548
W.R. Daasch,2915243249
Kathryn Mohror,2810317363
Warren Harrison,2331188959_https://scholar.google.com/citations?hl=en&user=IqqDQZsAAAAJ
Ehsan Aryafar,755052265
Melanie Mitchell,2160125451_https://scholar.google.com/citations?hl=en&user=k4gbv2AAAAAJ
Marly Roncken,2661428704
Kecheng Hao,2001435287
Karen Karavanic,2043094440
M. Gupta,2190612979
Mikael Baillif,2666362124
Richard Campbell,2169501873
D. Tsunami,2064498147
Susan Price,2150913617
V. Megler,1966356366
Si Lu,2909465500
John Kassebaum,2095660918
Akshay Dua,2190118304
Jill Castek,2779292045
Yujie Geng,2305281392
Wayne Wakeland,1981311679
Tim Bauman,2222760196
Danny Voils,2093864372
Chris Chambers,2100357112
Mohammad Ahmed,2149367304
Antonie Jetter,1985299840
A. Williams,2259089419
Michael Driscoll,2240088612
Dan Hammerstrom,2039376801
Sarah Mocas,302773524
Jens Bürger,2101510044
Alexander Hunt,2141473780
Erik Sutherland,2283815776
Naif Alzahrani,2610641436
Ki Ahn,2153708848
T.T. Shannon,2189729525
Hoang Le,2338053589
