Roy Yates,2131586974
Dimitris Metaxas,1991743105_https://scholar.google.com/citations?hl=en&user=a7VNhCIAAAAJ
Marco Gruteser,593974664
Wade Trappe,533826689
Hui Xiong,2153710278
Jonathan Eckstein,2155502033
Manish Parashar,2157372337_https://scholar.google.com/citations?hl=en&user=SCM35lMAAAAJ
Narayan Mandayam,312209368
Tomasz Imielinski,152915441
Yanyong Zhang,2143548513
Dipankar Raychaudhuri,2998429994
Shanmugavelayutham Muthukrishnan,2921339358
Badri Nath,2124176769_https://scholar.google.com/citations?hl=en&user=ZuCDNqwAAAAJ
Ivan Seskar,2899486074
Peter Meer,2568784767
Richard Martin,2170939009
Jaideep Vaidya,2164601541
Liviu Iftode,1982523417_https://scholar.google.com/citations?hl=en&user=CIh57tYAAAAJ
Dario Pompili,294912206
Ahmed Elgammal,1277270921
Vijayalakshmi Atluri,2100792061
Nicholas Belkin,682752941
Thu Nguyen,2145586043_https://scholar.google.com/citations?hl=en&user=sm9xJEkAAAAJ
Vladimir Pavlovic,2919676627
Tefko Saracevic,2344938256
Kristin Dana,2119341871
Alexander Borgida,2052199646_https://scholar.google.com/citations?hl=en&user=S5AaMfgAAAAJ
Athina Petropulu,169955903
Predrag Spasojevic,2119545717
B. Badrinath,2252377584
Martin Farach-Colton,246373776_https://scholar.google.com/citations?hl=en&user=2uHUSa8AAAAJ
Chirag Shah,2122808819
Nabil Adam,2300106300
Doug DeCarlo,2118364676
Haym Hirsh,2151078108
Miklos Vasarhelyi,90436209
David Cash,2806670307
Grigore Burdea,10237168
Larry Greenstein,2790805452
M.K. Karakayali,250084966
Richard Howard,2263189548
Sholom Weiss,2128066252
Ivan Marsic,757571
Shantenu Jha,2107509158
Jean-Camille Birget,2065861284
Emina Soljanin,2181782962
Mubbasir Kapadia,2142799468_https://scholar.google.com/citations?hl=en&user=xhkzmycAAAAJ
Amélie Marian,2653530345_https://scholar.google.com/citations?hl=en&user=hcqjUUQAAAAJ
Yongfeng Zhang,2169961027_https://scholar.google.com/citations?hl=en&user=A66WefUAAAAJ
Kostas Bekris,2779427059_https://scholar.google.com/citations?hl=en&user=gwC7rCUAAAAJ
Ping Li,2721445647
Yingying Chen,2163180513
Hoang Pham,2055250447
Janne Lindqvist,1980478382
Deborah Silver,2131773813
Gerard Melo,2134233121
Ivan Rodero,1974405431
Kiran Nagaraja,2162721228
Kien Le,2111558829
Zang Li,2109523615
Casimir Kulikowski,251505786_https://scholar.google.com/citations?hl=en&user=VwPMy18AAAAJ
Jingang Yi,2180093289
Salim Rouayheb,2160345733
Abhishek Bhattacharjee,2165414331
Javier Diaz-Montes,2121116676
Sangho Oh,2611601521
David Foran,1981845951
Anand Sarwate,1973314746
Alexander Kogan,2168534000
He Zhang,2561225792
Waheed Bajwa,1780617931
S. Alderweireldt,2776765517
Rebecca Wright,2142274643
Desheng Zhang,2145776018
Andrey Garnaev,1987296393
Paul Kantor,1771426591
Bernhard Firner,40566493
Tuyen Tran,2303579887
Pravin Shankar,2113707791
John Westbrook,2151549281
Yanchi Liu,2159798580
Pandurang Kamat,2135422209
Ulrich Kremer,2286609894
Luiz Ramos,2131510770
Sachin Ganu,2306201934
Saman Zonouz,1499886386
Eiman Elnahrawy,268812098
Matthew Stone,2130346631_https://scholar.google.com/citations?hl=en&user=3siz6_0AAAAJ
Chih-Hui Lai,2682556823
Zijun Yao,2229271911
Naftaly Minsky,6297940
Peng Yang,2697264264
Akash Baid,2009792819
M. Singh,2974557942
Tong Jin,2112710766
Helen Berman,2141068186
Hariharasudhan Viswanathan,2128169805
Xiaoyan Li,2306576371
Stephen Hanson,2302103718
Andres Quiroz,2656710958
Jiangyuan Li,2168147488
Atul Kanaujia,2053849370
Taliver Heath,2154522928
Vijay Atluri,2176159190
Santosh Nagarakatte,1774359112_https://scholar.google.com/citations?hl=en&user=J7H4N_4AAAAJ
Michael Alles,2167144081
Vivek Singh,2100300645
Myong Jeong,2118886345
Marilyn Tremaine,2133809093
Ciprian Docan,2291276888
Abolfazl Hajisami,2246805180
Rob Miller,2130595829
Gayathri Chandrasekaran,1553880687
C. Schmidt,2153392522
Ajay Basavanhally,2084775055
Jing Zhong,2565127200
James Abello,2143609536
R. Siracusa,2973924704
Julio Navas,2112566563
Yuchi Huang,2108077827
Moustafa AbdelBaky,2037673870
Feixiong Zhang,2120458777
Yizhe Zhu,2752847719_https://scholar.google.com/citations?hl=en&user=hPXUR0cAAAAJ
Zoran Gajic,1988538128
Pranjal Awasthi,2154019360
J.M. Holtzman,2973796348
Richard Mammone,2305562163
Spiros Papadimitriou,1984456616
Hou-Shin Chen,2275471875
Laleh Najafizadeh,2035458477
Yogesh Jaluria,1907248499
Bo Liu,3006206443
R. Vijayan,2219472810
Nicu Cornea,2016155585
Michael Lesk,225366896
Pengxiang Wu,2546832608
Qi Guo,2662773967
S. Bhatnagar,2974089584
David Case,2112456721
Carol Kuhlthau,2006678924
Sugang Li,2228030177
Gayatree Ganu,1774384278
Mustafa Uzunbaş,2020420394
Jian Liu,2117756991
Mengsong Zou,2302414559_https://scholar.google.com/citations?hl=en&user=q6YdBxIAAAAJ
Begumhan Turgut,2124063861
S.A. Grandhi,2973660903
David Coit,2116097226
Junming Liu,2226988312
Robert Moore,2160163929
Ke Ma,2310485709
Wenzhi Xue,2158221335
Nikhil Kasturirangan,2223719358
Janani Chandrasekaran,2225115932
Smriti Bhagat,2291721935
Michael Bushnell,1439373181
Babak Saleh,2163289017
Lin Zhong,2261651973
Siun-Chuon Mau,2297283421
Jingjin Yu,2128013860_https://scholar.google.com/citations?hl=en&user=jkRa2LEAAAAJ
Kang Li,2519941894
Funda Kivran-Swaine,25584339
Zhennan Yan,2047528376
Pi-Chun Chen,2689499568
G.C. Patton,2974159144
Oana Cula,1212811696
Xiaojun Tang,2129705453
Victoria Ungureanu,2032789467
Endre Boros,2118664252
Héctor Sussmann,2114268367
Marianthi Ierapetritou,1973433285
Sungjin Ahn,2525862771
Matteo Turilli,2557616512
Wenjia Yuan,2140784462
Shuhong Chen,2567228079
Luyang Liu,2275048972
Alexander Strehl,373247138
Yinglung Liang,2138807324
Xiaoxia Ren,2096261665
James Monaco,2135067723
Rajiv Gandhi,2113593554
Benedetto Piccoli,2006272134_https://scholar.google.com/citations?hl=en&user=ify5zKQAAAAJ
Hua Liu,2628417032
Michael Varga,2188008141
Jun Li,2559429647
Lu Han,2120906575
Eddy Zhang,2307243157_https://scholar.google.com/citations?hl=en&user=uL470LwAAAAJ
Ruilin Liu,2129014003
Casimir Kulikowsk,2231678383
Baozhi Chen,2114578044
Jingru Yi,2585054951_https://scholar.google.com/citations?hl=en&user=ieaWAcEAAAAJ
Xinyu Li,2431646814
Frank Sonnenberg,2550185528
Zhiqiang Tang,2737460472_https://scholar.google.com/citations?hl=en&user=szbvSJ0AAAAJ
Manish Singh,2096851206
Joel Shapiro,2478997767
Zhongmou Li,2158697087
Jia Xue,2563954888
Sunil Shende,2326154021_https://scholar.google.com/citations?hl=en&user=ddLsY7wAAAAJ
Fan Zhang,2780851041
Jerry Cheng,2967587195
V. Popescu,2008213086
Vincent Matossian,2156492464
Vidyasagar Sadhu,2516620693
Xinyi Cui,2283364744
David Daut,60802517
Zhenhua Jia,2366265368
S. Viswanathan,2305057004
Shubhangi Saraf,2251556661
Parul Pandey,2190721991
S.N. Gamt,2343231439
Feng Luo,2556778706
Guy Kortsarz,129921465_https://scholar.google.com/citations?hl=en&user=19qSWk8AAAAJ
Sophocles Orfanidis,2053159768
Weiwei Chen,2315344256
Mehmet Aktas,2098654853
Qiaoying Huang,2805362521
Wallis Reid,2276090446
Jiachen Chen,2230229086
Eric Allender,2091164281
B. Nath,2973974868
Ryan Beauchea,228232739
Matthew Mitsui,2226264982
E. Einahrawy,2341263640
Xuemei Zhang,2793273226
William Katsak,2045825987
Hui Qu,2897020762
Qingze Zou,2117485796
Jain Cai,2360981585
Dan Zhang,2656396013
Lawrence Rabiner,2020830328
Abhishek Chanda,2102720201
Qiang Ma,2246118604
P. Kang,2143900551
Mert Gurbuzbalaban,2342731328
Nina Wacholder,62449782
Zhihan Fang,2898260623
L. Sankaranarayanan,2089235286
Mohammad-Parsa Hosseini,2587978743
Yan Zhu,2682051292
Hernan Arango,2170486527
Leonardo Sobrado,2227424396
Yang Yu,2306531970
Yao Li,2303707254
Hongzhang Liu,2142624386
John Asmuth,2100780688
Nicolae Cecan,2227752088
Shreyasee Mukherjee,2227439141
Francisco Cuenca-Acuna,296649864
Myong-Kee Jeong,2127523094
Jonathan Chappelow,2063924127
Cun-Hui Zhang,2095669906
Zukang Feng,2110548782
Tayfur Altiok,2153171134
Marc Gamell,1980342681
Swastik Kopparty,2343463132
Binh Pham,2232435176
Zuohui Fu,2946305277
Meng Qu,2223048303
Mark Baker,2420020367
Gaetano Montelione,364296549
Apostolos Gerasoulis,193844840
Guang Wang,2904597155_https://scholar.google.com/citations?hl=en&user=DfHyVboAAAAJ
Konstantinos Kleisouris,114837943
H. Xie,2463636363
Ophelia Chesley,1214058160
Francesco Bronzino,2067950903
Wei-Kuang Huang,2193943130
Gradeigh Clark,2131483403
C.M. Christoudias,2575059101
Rares Boian,1968494001
Michael Saks,171944570
Md. Haque,2908121266
Fred Roberts,2123953239
Wenjin Chen,2116785171
Bingchen Liu,2645980989
Srinivas Devarakonda,1992616387
Parveen Sevusu,2227050094
Guangsen Zhang,2107546969
John Semmlow,2245314837
Michael Cole,2545432222
Ali Zamani,3012057335
Yulong Yang,2104787410
V. Shah,2630622215
Georgescu Georgescu,2640295103
Jiqun Liu,2739959914
A. Sampath,2160993472
Gorkem Kar,2229647809
Andre Cohen,2122893103
Wuyang Zhang,2639547214
Viet Nguyen,2442332670
S. Muthukrishnan,2190118346
D.G. Daut,2974801446
Mohammad Hajimirsadeghi,2290564875
Wen Gao,2570670906
Menglin Jiang,2123764709_https://scholar.google.com/citations?hl=en&user=NUcGFTkAAAAJ
Christopher Peery,2308779101
Aaron Bernstein,2590446495_https://scholar.google.com/citations?hl=en&user=N94spO0AAAAJ
Cagdas Karatas,2169669633
Jingjing Liu,2492001620
Vladislav Shkapenyuk,2973997117
Darja Krushevskaja,122680187
Long Zhao,2605168325
Jacob Feldman,2107012171
Ali Nouri,2114188927_https://scholar.google.com/citations?hl=en&user=jdW3f2kAAAAJ
Joseph Wilder,2164578163
Chaowei Tan,2165844384
P. Kumar,2113226568
John-Austen Francisco,2116587045
Henryk Iwaniec,2050789107
Anselm Spoerri,1306747195
Hao Zhu,2311862825
Jayant Silva,2177225328
Shijie Geng,2396430639
Mohsen Jafari,2100389106
Daniel Balouek-Thomert,2892981815
Ana Centeno,2148056639
Noshir Langrana,2152130529
Stephen Burley,1938804615
K.S. Meier-Hellstern,2973275457
E. Alonso,2973467982
Michael Sherman,2228642850
William Pottenger,2211641527
Xueyuan Zhao,2401115076
Ilker Hacihaliloglu,1960093542
Peter Hammer,2131491788
Xin Qi,2510980194
Melissa Romanus,1997367080
Shannon Agner,2062628948
David Lorenzi,2164827533
Abdeslam Boularias,134133163
Cheng-Few Lee,2148982096
Rebecca Jordan,2103690871
Kuo Chen,2166331934
James Flanagan,2431322009
Ronny Lim,2124126121
Martin Kesselman,2021508051
Ronald Jantz,2031553255
Louise Russell,2101576990
Shweta Sagari,2072634240
Rahul Shome,1996972890
Mangesh Gupte,2122129825
Bo Yuan,2631936129
Lezi Wang,2670943791
Mehdi Rahmati,2479203003
Athanasios Krontiris,325719160_https://scholar.google.com/citations?hl=en&user=HJVMVzwAAAAJ
Dimitri Metaxas,2982952508
R.H. Frenkiel,2701026957
Malihe Alikhani,2785391912
tomasz imielinski,https://scholar.google.com/citations?hl=en&user=fEYp6hEAAAAJ
Mario Szegedy,https://scholar.google.com/citations?hl=en&user=CDH0fO8AAAAJ
Jie Gao,https://scholar.google.com/citations?hl=en&user=P1CMmgEAAAAJ
Desmond Lun,https://scholar.google.com/citations?hl=en&user=fLLgLRMAAAAJ
L. McCarty,https://scholar.google.com/citations?hl=en&user=1NtRHc4AAAAJ
ALEXANDER PERRYMAN,https://scholar.google.com/citations?hl=en&user=ymSU6ksAAAAJ
Louis Steinberg,https://scholar.google.com/citations?hl=en&user=M_KHkDgAAAAJ
Shu Wang,https://scholar.google.com/citations?hl=en&user=ONUcQ2oAAAAJ
Suneeta Ramaswami,https://scholar.google.com/citations?hl=en&user=jDuPZLMAAAAJ
Liu Yang,https://scholar.google.com/citations?hl=en&user=i1_LQWYAAAAJ
Yu Tian,https://scholar.google.com/citations?hl=en&user=DxPjkDoAAAAJ
Peter Richter,https://scholar.google.com/citations?hl=en&user=XylRsfgAAAAJ
Andrew Kimmel,https://scholar.google.com/citations?hl=en&user=aZcnhf0AAAAJ
Yu Yang,https://scholar.google.com/citations?hl=en&user=-jvY0w8AAAAJ
Qian Sun,https://scholar.google.com/citations?hl=en&user=sgx-sXAAAAAJ
Sachin Saxena,https://scholar.google.com/citations?hl=en&user=Ml5gfFEAAAAJ
Chaitanya Mitash,https://scholar.google.com/citations?hl=en&user=6UhCCYgAAAAJ
Shahriar Shariat,https://scholar.google.com/citations?hl=en&user=KRVVzF4AAAAJ
Changkyu Song,https://scholar.google.com/citations?hl=en&user=4UgTYhUAAAAJ
Zhou Qin,https://scholar.google.com/citations?hl=en&user=5AQvJO8AAAAJ
Jeff Ames,https://scholar.google.com/citations?hl=en&user=NX9pr-sAAAAJ
Shuai Han,https://scholar.google.com/citations?hl=en&user=nGZ45wQAAAAJ
Alireza Naghizadeh,https://scholar.google.com/citations?hl=en&user=FZr2q1IAAAAJ
Nader Boushehrinejadmoradi,https://scholar.google.com/citations?hl=en&user=0NbEfA0AAAAJ
Yuxiao Chen,https://scholar.google.com/citations?hl=en&user=6PW8cyQAAAAJ
Kuo Zhang,https://scholar.google.com/citations?hl=en&user=3ZjUO10AAAAJ
Guangzhi Tang,https://scholar.google.com/citations?hl=en&user=0RTieCUAAAAJ
Ioannis Polykretis,https://scholar.google.com/citations?hl=en&user=LZDMNMcAAAAJ
Darshan Sonagara,https://scholar.google.com/citations?hl=en&user=wBLBXfQAAAAJ
Shiyang Lu,https://scholar.google.com/citations?hl=en&user=pDH5AcsAAAAJ
Vedant Choudhary,https://scholar.google.com/citations?hl=en&user=cy2MCj4AAAAJ
chintan dalal,https://scholar.google.com/citations?hl=en&user=8fsSkSAAAAAJ
Shahrzad Ziaee,https://scholar.google.com/citations?hl=en&user=J5w82ZcAAAAJ
Shaleen Garg,https://scholar.google.com/citations?hl=en&user=f06H_bgAAAAJ
Hemali Angne,https://scholar.google.com/citations?hl=en&user=laLjxGIAAAAJ
Zhichao Xu,https://scholar.google.com/citations?hl=en&user=LmLtV_kAAAAJ
