Jie Wu,2103022394_https://scholar.google.com/citations?hl=en&user=BVlfmXMAAAAJ
Xiaojiang Du,2161810700
Longin Latecki,214878226
Zoran Obradovic,2029694244
Slobodan Vucetic,2012499344_https://scholar.google.com/citations?hl=en&user=eG-C3JIAAAAJ
David Schuff,1583156880
Yimin Zhang,2110937481
Alexander Yates,2092976765
Huanyang Zheng,2157848923
Heng Fan,2428417126
Xingwei Yang,2119739083
Fan Yang,2891780186
Iyad Obeid,2061331793
Joseph Picone,2679668970
Susan Mudambi,2076184907
Youngjin Yoo,2114111629
Bo Ji,2231136024_https://scholar.google.com/citations?hl=en&user=9ILgtvAAAAAJ
Krishna Kant,2781020282_https://scholar.google.com/citations?hl=en&user=sME_06YAAAAJ
Rajiv Banker,739236157
Kathy Hirsh-Pasek,1496740239
Qingqing Cai,2691337793
Pei Wang,3034669918
C. Craige,2973839358
Pouya Ostovari,229982022
Richard Heiberger,2107849812
Kai Zhang,2600447970
Amitangshu Pal,2202463901
Yaxiong Zhao,2152766918
Zhuang Wang,2121236236
Yujie Gu,2121230210
Sudhir Kumar,2149898553
Rolf Lakaemper,287036659
Peng Chu,2890726042
Tianyang Ma,2153881589
Xin Li,2985382067
Ying Zhu,2879164017
Erkang Cheng,2118900078
Xubin He,2163428461
Jane Willis,3014732341
Burt Holland,2074551960
Sunil Wattal,2026758767
Min Xiao,2145269317
John Nosek,1806024273
Pengpeng Liang,2155717977
Nora Newcombe,573132631
William Wei,2166587306
Justin Shi,2171618525
Angelika Dimoka,204912313
Axel Kohlmeyer,2511108869
Thomas Shipley,2097401672
Ning Wang,2247096190
Eduard Dragut,2303543415_https://scholar.google.com/citations?hl=en&user=bEpmUQ0AAAAJ
Fei Huang,2309305744
Qiang Wang,2671769654
Munir Mandviwalla,98162730
Anduo Wang,2115165722
S. Lopez,2435131141
Elliot Koffman,70403356
Ping Huang,2769140692
Richard Souvenir,1272749583_https://scholar.google.com/citations?hl=en&user=1sMNiJIAAAAJ
Ying Dai,2954018656
Suzan Koknar-Tezel,1095099590
Rajorshi Biswas,2806892212_https://scholar.google.com/citations?hl=en&user=ikKG6R8AAAAJ
Yubin Duan,2885453530
Yang Chen,2785615909
Jiacheng Shang,2743314770
Robert Yantorno,736388449
Yu Sang,2496564267
Xueli Huang,2160407047
David Smith,2314523122
Meysam Golmohammadi,2481312915
Meng Yi,2652827980_https://scholar.google.com/citations?hl=en&user=X5wZCE8AAAAJ
Moussa Taifi,981331300
Wei-Shih Yang,2767620278
Zhuo Deng,2289316202
Liang Du,2294163270
Dennis Silage,2116538943
Qimin Yan,2097023665
Jeffrey Dennison,2988519530
Catherine Schifter,2111328356
Yu Pang,2780406416
Avinash Srinivasan,2299755366
Sijia Yu,2890225436
Ge Deng,2891574765
Sayaka Miura,2682971719
Karen Gomez,2740235842
Louise Huuki,2795980943
Tiffany Buturla,2806418044
Tracy Vu,2807367916
Feipeng Zhao,2098016808
Shanshan Zhang,2491309038
Hexin Bai,2889826829
Robert Aiken,226559003
Shuang Liang,2305426393
Vladimir Coric,1868080674
A. Harati,2151940361
M. Duarte,2106456848
Djordje Gligorijevic,2401352849
Yufeng Wang,2668027721
Jelena Stojanovic,2503405498
Adam Blaisse,694859109
Jeremy Mennis,669379072
Yuan Shi,2394735890
George Mathew,2298995401
Jamie Payton,2223979042
Michael Barnathan,210808227
Marc Sobel,2034055330
Benjamin Seibold,2342976092
Fauzia Ahmad,2116459268
Andrew Spence,2108864216
Haibing Ling,2223656702
C. Campbell,2782882749
Ammar Ahmed,2144534438
Tian Bai,2746364933
Claudia Smarkola,1832640782
Tong Liu,2899004329
B.P. Butz,3039741508
Danfeng Xie,2785475347
Vinit Shah,2784265448
Diane Bryen,2038487981
Aunshul Rege,2263330335
Saroj Biswas,2103076120
Shanyang Zhao,2164248479
Xiuying Wang,2099901352
Mark Friedman,2585058843
Nima Asadi,2626931551
Min-Seok Pang,2143736997
Philip Dames,2049119573
Kang Peng,2105497081
Frederic Murphy,2101091614
Jerry Ratcliffe,2244520541
Xi Cao,2129379779_https://scholar.google.com/citations?hl=en&user=8W6z4MQAAAAJ
Jimmy Williams,2168830315
M. Tansy,2645341076
Gary Blau,2078352332
Yu Wang,2442756498
Shuimei Zhang,2897757023
Gregory Teodoro,2160851469
Dusan Ramljak,2162921271
Suhan Jiang,2982551282
Nan Li,2696331731
Meng Ye,2746021026
Mary Gaffney,2139801976
Christian Wurst,2409936769
Fang Zhou,2248102225
Benjamin Robertson,2558809438
Zhijia Chen,2932436451
Ananth Iyer,2101892868
Roland Miezianko,2950248455
Kosta Ristovski,1206776755
Erik Cordes,1975532551
Dimitrios Mastrogiannis,2335666989
Jie Yang,2510400264
Bingyao Huang,2104041696
Parsaoran Hutapea,2185822577
Wonho Yang,2573656848
