Qi Tian,2901442558_https://scholar.google.com/citations?hl=en&user=61b6eYkAAAAJ
Kim-Kwang Choo,2318895841
Ravi Sandhu,2916378636
Shouhuai Xu,2170746593
Dakai Zhu,2154569489_https://scholar.google.com/citations?hl=en&user=DHruBmIAAAAJ
Mo Jamshidi,2148706770
William Winsborough,2048070806
Anthony Chronopoulos,2064378509
Yufei Huang,2189669021
Ram Krishnan,2095708842
Turgay Korkmaz,2119891203_https://scholar.google.com/citations?hl=en&user=yBuIVfIAAAAJ
Jianwei Niu,1995563868_https://scholar.google.com/citations?hl=en&user=WURkybsAAAAJ
Paul Rad,2224717615
Kay Robbins,2166480455_https://scholar.google.com/citations?hl=en&user=CJDsN9cAAAAJ
Xiaoyin Wang,2144673113
David Akopian,2234046965
Robert Castañeda,2156863821
Nikolaos Gatsis,336938940
Jaehong Park,2251558429
Tim Goles,312255022
Rajendra Boppana,1414578797_https://scholar.google.com/citations?hl=en&user=bNOQrU0AAAAJ
Nicole Beebe,2101292539
Stephen Kwek,1602612172
Zhenxin Zhan,2147802998
Brian Kelley,2107128930
John Prevost,2085714806
Gregory White,2113087812_https://scholar.google.com/citations?hl=en&user=yT6jxa8AAAAJ
Randall Salas,2282286078
Bo Tang,2260362449
Chunjiang Qian,2343504544
Jan Clark,2143059019
Farhan Patwa,2223169281
Mahmuda Ahmed,2146506198
Yuan Cheng,2165516901
John Quarles,2892685098_https://scholar.google.com/citations?hl=en&user=iM0tD2EAAAAJ
Junghee Lee,2703730704
Minghe Sun,2114678817
Carmen Fies,2256570406
Ali Tosun,2073375987_https://scholar.google.com/citations?hl=en&user=MPRuFPsAAAAJ
Hadi Arman,1513915269
Taposh Banerjee,2150702040
Hengheng Zhang,2639228359
Ali Khalajmehrabadi,2417313441
Junjie Cai,2120869416
Dang Nguyen,2601859616
J. Zhuang,2973612197
Kranthimanoj Nagothu,1818143968
Xin Jin,2104206027
Patrick Benavidez,1880175165
Zijing Mao,2132848182
Eugene John,2430759827
Mehdi Roopaei,131241109
Khalid Bijon,767978883
Ahmad Taha,2163017066
R. Whaley,2479022738
Charles Liu,2170150157
Hang Su,2431183550
Qi Li,2792612189
Palden Lama,2154556429_https://scholar.google.com/citations?hl=en&user=TRXZ5jsAAAAJ
Kyungmin Su,2142663449
