Eamonn Keogh,2170070822_https://scholar.google.com/citations?hl=en&user=slVcOQIAAAAJ
Michalis Faloutsos,166771321
Srikanth Krishnamurthy,2133578551
Bir Bhanu,2466350167
Amit Roy-Chowdhury,741756313
Wei Ren,2157918172
Stefano Lonardi,301234865_https://scholar.google.com/citations?hl=en&user=T1tFq2MAAAAJ
Frank Vahid,1358629123
Kadangode Ramakrishnan,2133259603
Sheldon Tan,2104535520
Vassilis Tsotras,8132329_https://scholar.google.com/citations?hl=en&user=fUTN90MAAAAJ
Walid Najjar,452601419_https://scholar.google.com/citations?hl=en&user=H0Y2wgUAAAAJ
Laxmi Bhuyan,2220804420
Rajiv Gupta,2104865906_https://scholar.google.com/citations?hl=en&user=6P4bGWAAAAAJ
Jay Farrell,2164493686
Xiaoyue Wang,2170860754
Bill Chiu,2163213301
Philip Brisk,114158945
Yingbo Hua,2309621912
Li Wei,2325104268
Tao Jiang,2619659646
Qiang Zhu,2312006013
Zhiyun Qian,2306560551
Marek Chrobak,625447375
Bi Song,2121440117
Fabio Pasqualetti,2055875777
Evangelos Papalexakis,1418764031
Ertem Tuncel,2035338367
Christian Shelton,2134435012
Nael Abu-Ghazaleh,718138408
Jesin Zakaria,2129110089
Bilson Campana,2125777994
Tanzirul Azim,2007230793_https://scholar.google.com/citations?hl=en&user=YQ72v64AAAAJ
Shaolei Ren,2104855337
Satish Tripathi,2118693514
Alexander Korotkov,2171244792
Zizhong Chen,2115844458
Lexiang Ye,2123231084
Ioannis Broustis,303348193
Michael Butkiewicz,2024940059
Vagelis Hristidis,238786035
Shailendra Singh,2254764464
V. Sundararajan,2723787180
Mart Molle,2123945763
Abir Das,2145358777
Xiaopeng Xi,2110982538
Heng Yin,2214002380_https://scholar.google.com/citations?hl=en&user=_1VlI00AAAAJ
Hamed Mohsenian-Rad,2332907845
Mahmudul Hasan,2306014400
Albert Wang,2202312967
Chinya Ravishankar,2098305302
Chin-Chia Yeh,2107817180
Yan Zhu,2678804180_https://scholar.google.com/citations?hl=en&user=Lrc9Vq8AAAAJ
Thomas Stahovich,237311555
Curtis Yu,2142485427
Pamela Bhattacharya,2170635155
Shruti Kasetty,2307014398
Liudmila Ulanova,2089139422_https://scholar.google.com/citations?hl=en&user=2u_I35UAAAAJ
Dhiman Barman,2797169465
Ahmed Kamal,2617962238
Nurjahan Begum,2157373250
Zhenqiang Ye,2126242963
Xin Huang,2656631286
Gang Chen,2621916380
Dimitris Papadopoulos,2167006157
Chong Ding,2168826361
Hoang Dau,2712909183
Jin Shieh,2101109093
Rameswar Panda,3001640187
Daniel Jeske,1191970778
Chengyu Song,2102139812
Robert Halstead,2160499414
Chuanjun Zhang,2126614981
Jiasi Chen,2231546934
Bing Hu,2105942667
Taeyoung Kim,2225432236
Cuixiong Hu,2227233761
Xin Liang,2410166921
Khaled Khasawneh,2339276583
Yifei Ding,2342796293
Zhi Guo,2097287499
Haifeng Li,2557518463
Jason Villarreal,2141372916
Nicholas Valler,1975627327
Matthew Barth,2159278339
Jawadul Bappy,2425174247
Hui Chen,2308294634
Haipeng Ding,2099870954
Samet Oymak,1915759842
Zeyu Sun,2479919282
Keval Vora,2230700504
Aggelos Vlavianos,3026452466
Curt Burgess,2122133372
Gloria Chatzopoulou,2027319533
Anastasios Mourikis,259655449
Lap Law,2764885291
Tianshu Wei,2157595456
Jianxia Ning,2159012990
Song Lin,2102541875
Eduardo Ruiz,2095858230
Ilya Dumer,2190308694
Zachary Zimmerman,2316597706
Gerardo Beni,2133056632
Ali Mohammadkhan,2224387749
Ahmed Eldawy,154112519
Shizhong Xu,1978061757
Harry Hsieh,2952773236
Dragomir Yankov,2162388936
Pu Liu,2308425786
Thomas Girke,1269712271
Guowu Xie,2945967578
Wagner Truppel,2303865141
Bowen Zheng,2223270208
Kevin Lund,2428887922
Xuejun Tan,2104733347
Lan Gao,2169178908
Indrajeet Singh,2272120253
Dorian Perkins,2227560145
Joobin Gharibshah,2770412902
Sharmila Subramaniam,2156205825
Themistoklis Palpanas,2939181720
Yihua He,2130000648
Donghui Zhang,2776245557
Nanpeng Yu,2307321102
Benjamin Arai,2011266887
Rui Ma,2279558702
Sazzadur Rahman,2133513913
Guangdeng Liao,2168469853
P. Visscher,2157323539
Niluthpol Mithun,2677538627
Cristian Soto,2096703012
Xue-Xin Liu,2126449154
Thomas Repantis,1995662454
Ting-Kai Huang,2776948473
Betul Buyukkurt,722192716
Xiaojing Chen,2305814205
Kishore Pusukuri,215441955
S. Nadimi,1850222205
Yan Mei,2105214666
Xiaoli Zhou,2123881574
Jirka Šimůnek,2088902009
Zongyu Dong,1980864463
Zao Liu,2098613233
Nitin Kumar,2252108923
Ahmed Atya,1234391164
Changhui Lin,2100417511
Peng Deng,2054936054
Adam Dou,2122211485
Sameer Kulkarni,2540397486
Mohammad Islam,2141458581
Daniel Wong,2229947289
Teodor Przymusinski,85587412
Alex Edgcomb,2015558413
Jeffrey McDaniel,2234912577
Fei Lu,2227613746
Nandita Nayak,2103127229
Adriano Macchietto,300388205
Yingqiang Lin,2170886104
Birendra Mishra,2144514664
Chen Zhang,2251204744
Sujoy Paul,2153792305
Hengyang Zhao,2648671023
Neal Young,1964247219
Ninad Thakoor,1979775269
J. Nayak,2943284292
William Grover,2502790583
Ece Gelal,43551732
Oben Tataw,1206031314
Vaishnavi Krishnamurthy,2493118515
Danhua Guo,2106897662
Natasha Raikhel,2624688618
Rajkumar Theagarajan,2737154600
Michael Pazzani,1996789426
Kai He,2196472786
Xiaoyin Ma,2227515709
M. Asif,2108029156
Hang Li,2669845901
Yongjian Hu,2230970712
Gareth Funning,2439668451
Dennis Jeffrey,2113855561
Tuan Dao,2227440610
Timothy Close,2139772978
Nader Senobari,2724474225_https://scholar.google.com/citations?hl=en&user=3WQL4-gAAAAJ
Hyoseung Kim,2172067394
Xukan Ran,2744115573
K. Doering,2124145966
Giacomo Baggio,2144340286
Hui Zhao,2250688528
Paul DiLorenzo,2020269341
Esmaeil Koruyeh,2808294225
Shitong Zhu,2794188138
Guoyuan Wu,2147157056
Xi Chen,2722064656
Calvin Phung,1969267890
Yiming Li,2077188490
Elliot Staudt,2053011100
Yale Paulsen,2018431911
Daphne Fairbairn,2053857226
Lin Lin,2584646087
Skyler Windh,2224391190
Shaocheng Wang,2259601468
Yannis Drougas,2311498453
Chen Huang,2297510147
James Borneman,2164369148
Zheng Fang,2306480016
Matthew Fast,2227475606
David Sheldon,2116479218
Daimeng Wang,2226039384
Yiyang Li,2170053884
Jinfeng Ni,2303452893
Yu Chang,2125720857
Aaron Seitz,2140905952
Sihuan Li,2569807504
Li Zhao,2747917646
Kenneth O'Neal,2610489870_https://scholar.google.com/citations?hl=en&user=nV4shjwAAAAJ
Linan Feng,2098852749
Chase Cook,2484944015
Laura Sales,2630169614
P. Liang,2712541562
Shiwen Cheng,2157777549
Sudhir Tauro,1269125538
Salar Rahili,1989812740
Hossein Akhavan-Hejazi,139007861
Edward Fernandez,2242102276
Azeem Aqil,2224617189
James Flegal,251412785
Sai Koduru,1272959516
Eric Peterson,2119384528
Dinesh Suresh,2126773751
Susan Cotterell,2158499436
Federico Pala,2024618664
Cengiz Ozkan,2097659161
Mihrimah Ozkan,2154068123
Ajaya Neupane,1983385086
George Papageorgiou,2233038811
Wojciech Jawor,2082468712
Jian Liu,2135150221
A. Vlavianos,2084375787
Hamed Bay,2018232840
Zafer Mutlu,2019707523
Zachary Favors,2019719124
Chueh Liu,2131524533
Kazi Ahmed,2501883603
Benjamin Sanders,2094589354
Mark Alber,2113584134
Scott Sirowy,394006665
Ergude Bao,2097890944
Lingling Jin,2101130852
Anlei Dong,2108211633
Jonathan Dautrich,2062931425
Marko Spasojevic,2132227688
Joe Khalife,2410595267
Mariam Salloum,2008964238
Mohammad Jahanian,2735630535
Yu Sun,2620427936
Mohammad Shokoohi-Yekta,2310806999
Leijie Wang,2162828675
Sheida Ghapani,230440276
Zhijia Zhao,2106795176
Jason Ott,2534268047
Amr Magdy,2014272076
Jose Medina,762627813
Karine Roch,1841977250
Brett Brotherton,2143987904
Duo Li,2131833328
Yiqun Cao,2310675772
Brian Crites,1826100198
Rachid Ounit,277783370
Tommaso Menara,2625265491
Tai Li,2770927095
Dhananjay Kulkarni,2223595629
Shu Zhang,2660563917
Doruk Sart,2223693510
Alec Gerry,1939170800
Amy Murillo,2103324095
Alireza Abdoli,2900372201
Hang Zhang,2679812675
Anirban Banerjee,2154128013
Ram Sharma,2224166991
Zhongjie Wang,2465323535
Ting-Yueh Jeng,2170517847
Eric Cheung,2070811505
Allen Mills,2775442946
Yang Gao,2306360952
Yuan Hao,2169241512_https://scholar.google.com/citations?hl=en&user=leBLMCMAAAAJ
Cheng Li,2513523721
Prerna Budhkar,2230819396
Bailey Miller,2154968401
Zhuo Zhao,2407695283
Ping Liang,2708084672
Nkenge Wheatland,1790578819
Moloud Shahbazi,2226206461_https://scholar.google.com/citations?hl=en&user=PZXFT78AAAAJ
John Baez,2112712442
Yi Hu,2442692396
Yang Zhao,2713917200_https://scholar.google.com/citations?hl=en&user=ckyQjb4AAAAJ
Ekta Gujral,2753375548
Jia Yu,2169776489
Sheriff Sadiqbatcha,2790988380
Feilong Zhang,2513707678
J. Tsotras,2285143226
Jason Erbele,2550503700
Li Tan,2302680670
Yuanlai Liu,2884543204
Ildar Absalyamov,666610880
Michael Rice,2107487366
Masoud Akhoondi,1996832054
Qiang Fang,2304318145
Jing Wang,2615513690
Christopher Curtis,2232932281
Omar Hussaini,2225279284
Robert Hanneman,2385629218
Zheng Fu,2113302939
Ruijing Shen,2164607580
Kaveh Kamgar,2774410424
Ilias Tsoukatos,2283540054
Kanok Boriboonsomsin,938539593
Nael Cse,2789833321
Hodjat Esfeden,2884703121
Vaibhav Katewa,2763817909
Chenkun Wang,2345177235
Ning Mi,2119396908
Karim Khalil,2102082748
Konstantinos Karydis,404101760
Roger Lake,2209286078
Mark Sueyoshi,2786591103
Chia-Keng Lee,2607130786
WeeSan Lee,2108864683
James Herold,2107635170
Hoang Nguyen,2302482537
Sahana Swarup,2165349373
Shalendra Chhabra,2583950131
David Swanson,2440018687
Yilei Xu,2111770539
Bo Zhou,2789518987_https://scholar.google.com/citations?hl=en&user=Vlc4KksAAAAJ
Andre Castro,2768491412
Hamidreza Nazaripouya,2063119736
Hoda Naghibijouybari,2765139815
Vahid Mardanlou,182648796
P. Patel,2301360190
Rui Xiao,2425866496
Megan Peters,2102120377
Sadrul Ula,2302994994
Amirali Darvishzadeh,2638542067
Michael Hamilton,2580373149
Xiaohu Chen,2621293305
Chih-Hsun Chou,2223511998
Xiaotao Zou,2113765762
Ashkan Sadeghi-Mobarakeh,2556433028
Jing Xu,2136461225
Joshua Morales,2605939082
Jude Ezeobiejesi,2561747483
A.R. Chowdhury,2973753580
Xinping Cui,2135615984
Zabdiel Luna,2232468722
Yuanqi Gao,2947223889
Milad Asgari,2587110078
Peng Wang,2635273726
Shaghayegh Gharghabi,2312731782
Dongdong She,2230801624
Yiming Chen,2225023148
Steven Jacobs,2501992388
Brandon Foggo,2585445682
Dongfang Zheng,2133126560
Tahmida Mahmud,2919993766
Mingchen Li,2925235494
Gianluca Bianchin,2288268465
Kimia Shamaei,2411075070
Vaibhav Ghadiok,2305177352
C. Baron,2437173353
KK Ramakrishnan,https://scholar.google.com/citations?hl=en&user=Da-s1FQAAAAJ
Vagelis Christidis),https://scholar.google.com/citations?hl=en&user=nKR2tGvMLFMC
Md Hasan,https://scholar.google.com/citations?hl=en&user=n5T5a5kAAAAJ
Bashar Romanous,https://scholar.google.com/citations?hl=en&user=w9SyBigAAAAJ
Dipan Shaw,https://scholar.google.com/citations?hl=en&user=0IrXfmsAAAAJ
Sakib Malek,https://scholar.google.com/citations?hl=en&user=4KYT7j0AAAAJ
Tin Vu,https://scholar.google.com/citations?hl=en&user=ZpTB-kkAAAAJ
Ahmad Darki,https://scholar.google.com/citations?hl=en&user=mL347H4AAAAJ
Umar Farooq,https://scholar.google.com/citations?hl=en&user=QsWn-r8AAAAJ
Amin Kalantar,https://scholar.google.com/citations?hl=en&user=mX2ixTgAAAAJ
Kennen DeRenard,https://scholar.google.com/citations?hl=en&user=NklG_L0AAAAJ
Monik Khare,https://scholar.google.com/citations?hl=en&user=FofP0PMAAAAJ
Yorgos Tsitsikas,https://scholar.google.com/citations?hl=en&user=YCZeYoQAAAAJ
Narges Shadab,https://scholar.google.com/citations?hl=en&user=bA7u0rQAAAAJ
