Mubarak Shah,2171354718_https://scholar.google.com/citations?hl=en&user=p8gsO3gAAAAJ
Kenneth Stanley,2147379936
Kien Hua,2151619241
Shin-Tson Wu,2124633401
Joseph LaViola,2101428169
Cliff Zou,1993035910
Mainak Chatterjee,2096410076
Damla Turgut,2271576228_https://scholar.google.com/citations?hl=en&user=bjX4jCkAAAAJ
Ali Borji,2136378688
Guo-Jun Qi,2237849324_https://scholar.google.com/citations?hl=en&user=Nut-uvoAAAAJ
Hassan Foroosh,83923842_https://scholar.google.com/citations?hl=en&user=vNHN42cAAAAJ
Ronald DeMara,2238630075
Ladislau Bölöni,2006285457_https://scholar.google.com/citations?hl=en&user=drG1_tsAAAAJ
Zhihua Qu,2160817425
Haroon Idrees,1909985789
Jun Wang,2721340352_https://scholar.google.com/citations?hl=en&user=wYNgwnMAAAAJ
Ulas Bagci,1162469211
Imran Saleemi,2152303915
Sumanta Pattanaik,2307074447
Gita Sukthankar,2041536743
Raj Mittra,2168933879
Mikel Rodriguez,2143828978
Ratan Guha,2006250858
Dan Marinescu,1972637237_https://scholar.google.com/citations?hl=en&user=YoLdEIIAAAAJ
Sebastian Gauza,95100294
Gerd Bruder,2008827756
Paul Scovanner,1217847022
Aziz Mohaisen,2136346182
Issa Batarseh,1994827614
Pamela Wisniewski,2109937275
Gary Leavens,2308881956
Avelino Gonzalez,2264305832_https://scholar.google.com/citations?hl=en&user=_ZNZWigAAAAJ
Khurram Shafique,2042955912
Peter Hancock,2341044899
Afshin Dehghan,2306269390
Michael Georgiopoulos,673942444
Annie Wu,2061813594
Brian Moore,2511422022
Greg Welch,2133801473
Min Wang,2427702592
David D'Ambrosio,1986573117
Kay Stanney,259704376
Liqiang Wang,2120472328
Linghui Rao,2104709056
Jason Gauci,1952100137
Wasfy Mikhael,293715001
Dong Zhang,2653448135
Travis Meade,2296564905
Cody Seibert,2224748809
Simon Sheu,2156505724
Nazanin Rahnavard,74913244
Chadwick Wingrave,45256254
Kangsoo Kim,2223029026
Marianna Penksy,2383431529
Syed Masood,2009068233
Yang Zhang,2740893868
Zhezhi He,2510157051
Sumit Jha,2099951540
Jingfei Kong,2147316610
Tai Do,2139029549
Shaahin Angizi,185994751
Zhibing Ge,2128160805
Sherri Sparks,2098453737
Atsusi Hirumi,2083449619
Mahdi Kalayeh,1970102660
Mohammad Ahmad,2236632827
Clint Bowers,2164103126
Shah Shah,212768877
Subhabrata Bhattacharya,2109677565
Ping Wang,2517335869
Ruo Zhang,2161531465
J.E. Cryer,2974685002
Haiqing Xianyu,1952119195
Fei Liu,2608551346_https://scholar.google.com/citations?hl=en&user=22ohn6AAAAAJ
Andrew Raij,2309972980
Jin Yan,2166566805
Steve Sutton,2122774779
Marwan Simaan,2233600571
Amar Mukherjee,2120814051
Ruibo Lu,2135220402
Zhenyue Luo,2122201708
James Driscoll,2478270040
Orlando Arias,2230070830
Erin Hastings,2136593156
Enrique Ortiz,2168342203
Yicong Tian,2232188503
Kuan-Ming Chen,2157116005
Murat Yuksel,2048383880
Mustafa Akbas,1711290318
Jimmy Secretan,2077392856
Yaser Fallah,2051692249
Adam Campbell,2406664783
Shafique Shafique,2223960592
Xinyu Zhu,2137476013
M.A. Tantaoui,27695981
Khurram Soomro,2125155376
James Jiang,2583765022
Shaojie Zhang,2253515772
Justin Pugh,2229310841
Jiann-Shiun Yuan,3001270941
Damian Dechev,1449342217
