Jiawei Han,2121939561_https://scholar.google.com/citations?hl=en&user=Kv9AbjMAAAAJ
Thomas Huang,2965058330
ChengXiang Zhai,2152766206
Svetlana Lazebnik,7233622
Pramod Viswanath,2147669519
R. Srikant,1985721919
Narendra Ahuja,2129011837
Klara Nahrstedt,159144305
Derek Hoiem,1917258602
Tarek Abdelzaher,1970017610
Wen-mei Hwu,1183556006
David Forsyth,2003447161_https://scholar.google.com/citations?hl=en&user=5H0arvkAAAAJ
Roy Campbell,2252067276
Tamer Basar,2899997753
Laxmikant Kale,2115450241
Arvind Ganesh,2098173140
Klaus Schulten,1983980497
Lui Sha,2900035843
Ralph Johnson,2159634021
Naresh Shanbhag,41212672
David Goldberg,2102678951
Josep Torrellas,2154776208
Venugopal Veeravalli,271959628
Deming Chen,2156129447
Gul Agha,2161553928
William Gropp,293862447
Minh Do,2153512210
Matthew Caesar,2136255416
Grigore Rosu,96492545
Robin Kravets,2048673625
Sarita Adve,2346116799
Zbigniew Kalbarczyk,2014593276
Marianne Winslett,2078136799
Julia Hockenmaier,77965061
Jennifer Hou,2028163177
Kevin Chang,2096749051
Ravishankar Iyer,2115084254
José Meseguer,2141313922
Darko Marinov,1702668839
Vikram Adve,1990061224
Martin Wong,2128862599
Olgica Milenkovic,699231691
William Sanders,2280265749
Romit Choudhury,2113505050
Nikita Borisov,2156971739
Mark Hasegawa-Johnson,2234370517
Indranil Gupta,2127422067
Carl Gunter,1683457605
Vaduvur Bharghavan,183784429
Karrie Karahalios,2307725321
David Nicol,2170784007
Douglas Jones,2151512862
David Padua,2123005755
Peter Young,2237559371
Alexander Schwing,1248235887
P. Godfrey,2050740851
Pierre Moulin,2199827992
Paris Smaragdis,1984479034
Michael Bailey,2300615266
Ian Endres,2137230463
Brian Bailey,2100582521
Yoram Bresler,1897748492
P. Madhusudan,2309229305
Micah Hodosh,1989030190
William Humphrey,2325738277
A. Dalke,2608498162
Yih-Chun Hu,2147022533
Ding Liu,2284260741
P Godfrey,2973749526
Tao Xie,1920070090
Mahesh Viswanathan,2161931206
Emad Tajkhorshid,144872388
Marc Snir,2282086102
Pavan Hanumolu,1888544288
John Stone,2122099291
Andrew Singer,2105028738
