Don Towsley,2639934423
W. Croft,2127889770_https://scholar.google.com/citations?hl=en&user=ArV74ZMAAAAJ
Andrew McCallum,2131293038_https://scholar.google.com/citations?hl=en&user=yILa1y0AAAAJ
Alexandre Passos,2123370898
Prashant Shenoy,2129693715_https://scholar.google.com/citations?hl=en&user=TciP6mcAAAAJ
Jim Kurose,1600468001
Arun Venkataramani,2093515963_https://scholar.google.com/citations?hl=en&user=9v2UD2QAAAAJ
Erik Learned-Miller,38845618_https://scholar.google.com/citations?hl=en&user=Li-BrU4AAAAJ
James Allan,2097030689
Brian Levine,2157465969_https://scholar.google.com/citations?hl=en&user=oHbIF48AAAAJ
Lixin Gao,2251223525
Andrew Barto,1997216218
Subhransu Maji,2681328136
Victor Lesser,2136177121_https://scholar.google.com/citations?hl=en&user=izMnGyMAAAAJ
Deepak Ganesan,1960698960_https://scholar.google.com/citations?hl=en&user=cbTB5-EAAAAJ
Dennis Goeckel,328458597
Weibo Gong,2118959496
R. Manmatha,2070575593
Ramesh Sitaraman,261571608
Wayne Burleson,324859191
Gerome Miklau,2302554261_https://scholar.google.com/citations?hl=en&user=mlafJ6wAAAAJ
Shlomo Zilberstein,348962114_https://scholar.google.com/citations?hl=en&user=q_n7d6EAAAAJ
David Jensen,2124028641_https://scholar.google.com/citations?hl=en&user=cjkgjggAAAAJ
Marwan Mattar,2050252305
Eric Learned-Miller,2976449055
Evangelos Kalogerakis,144194420
Yanlei Diao,2245676595_https://scholar.google.com/citations?hl=en&user=VghIYWEAAAAJ
J. Moss,2159697352_https://scholar.google.com/citations?hl=en&user=yYtaDFUAAAAJ
Tilman Wolf,2114555486
David Irwin,2130055274
Russell Tessier,2161549466
Mark Corner,2118225269
Emery Berger,2144133257_https://scholar.google.com/citations?hl=en&user=RaHaArkAAAAJ
Michael Zink,2000027662
Jiwoon Jeon,2154129452
Huaizu Jiang,2099560555
Andrew McGregor,2099571765
Israel Koren,2156909159
David Hosmer,2102544963
Aura Ganz,2101567759
Luke Vilnis,56040624
Limin Yao,2151403046
J. Yang,2250927587
Yuriy Brun,2108853658_https://scholar.google.com/citations?hl=en&user=YVfr3wwAAAAJ
Sandip Kundu,2111588147
Hang Su,2781318945
Xuerui Wang,2152778655
Sridhar Mahadevan,2133778237
Lori Clarke,2106467035_https://scholar.google.com/citations?hl=en&user=oFiuaXEAAAAJ
Qingyao Ai,2223502885
Leon Osterweil,2248607981
Hossein Pishro-Nik,287543543
Victor Firoiu,2950517281
George Avrunin,11791032
Benjamin Marlin,1559204946_https://scholar.google.com/citations?hl=en&user=ey960FIAAAAJ
Arvind Neelakantan,2498206862
Marco Duarte,2166685021
Aruni RoyChowdhury,2486156316
Thomas Heydt-Benjamin,2000007990
Neil Immerman,2036035498_https://scholar.google.com/citations?hl=en&user=DbZWZr8AAAAJ
Hamed Zamani,2143068131
Yeon-sup Lim,2165858729
Pan Hu,2776874468
Tsung-Yu Lin,2097449386_https://scholar.google.com/citations?hl=en&user=KyToxZoAAAAJ
Beverly Woolf,690524485
Shane Clark,2098447750
James Callan,2017816310
Yu Gu,2618752594
Xing Wei,2104221256
Maciej Ciesielski,2249495868
Liu Yang,2654709152
Roderic Grupen,1377371771
