Wei Ding,2642987223_https://scholar.google.com/citations?hl=en&user=cQ5Ox-8AAAAJ
Patrick O'Neil,2136822424
Elizabeth O'Neil,2154033516
Bo Sheng,2140736141
Xuedong Chen,2283538061
Gabriel Ghinita,141097756
Junichi Suzuki,2939204007
Duc Tran,2160735507
Klaus Schliep,2252430138
Xiaohui Liang,2143524577
Jeffrey Keisler,2082316500
Jiayin Wang,2118804505
Marc Pomplun,2125880058_https://scholar.google.com/citations?hl=en&user=k7cIJjUAAAAJ
Ping Chen,2666340926
Akram Bayat,2153459260
Apostolos Koutropoulos,62515316
Henry Lo,2169981815
Dan Simovici,114567545_https://scholar.google.com/citations?hl=en&user=Pun4WO8AAAAJ
Wei Zhang,2698718640
Peng Xu,2398930850
Pratyush Bharati,2109375465
Yang Mu,2106579702
Nurit Haspel,52273716
Robert Morris,2141101329
Tong Wang,3014502147
Jonathan Celli,671995741
Kourosh Zarringhalam,2343228727
Javid Sadr,2778579493
Prashant Shenoy,3012288197
Dung Phan,2119121018
Honggang Zhang,3037994107
Chung-Hsien Yu,2117356244
Michael Johnson,2142296215
Sally Wright,2318772911
Hui Liu,2135361264
Mohammad Hadian,2546783769
Cuong Pham,2256359287
Thamer Altuwaiyan,2546939933
Ilwhan Kim,2561893547
Khanh Nguyen,2128652848
Robert Cohen,2157948822
John Rouillard,2497621075
Roger Blake,2171701301
Greg Sun,2116404164
Changyang Li,2588326014
Chris Quigley,2600845433
Crystal Schaaf,2024437221
Teng Wang,3000701575
Jongwoo Kim,2123529910
Max Ward,2130974701
Bahar Akbal-Delibas,117790644
Deepak Ganesan,2779944951
Francesco Peri,2300556440
D. Towsley,2737588772
Amir Vajdi,2225311894
D. Tang,2705020677
C.M. Krishna,2798655803
Hamid Hamidi,2606580030
Haikun Huang,2588002279
Romilla Syed,2176747297
Davood Golmohammadi,336996949
Kui Du,2639285445
Joelle Skaff,2224642989
Dawei Wang,2308533282_https://scholar.google.com/citations?hl=en&user=Zvtx-xoAAAAJ
Robert Chen,2018008661
Daniel Haehn,3036628003
Filip Cuckov,2261477253
Charles Meyer,2119639720
Tianyu Kang,2779421410
D. Hart,2973700547
M. Greenberg,2974654463
Grant Rudd,2605262505
Kenneth Fletcher,2116479696
Molly Bletz,2087017202
Jipeng Qiang,2491643032
Arpita Joshi,2972447027
Pengyu Zhang,2892555122
Paola Leon,2990989846
G. Lakshmi,2121302629
Arthur Meacham,2227143168
