Colin Ware,2158434997_https://scholar.google.com/citations?hl=en&user=e6C_dHAAAAAJ
Andrew Kun,2791309292
O. Marcillo,2307436243
Wheeler Ruml,1978581454
Qiaoyan Yu,2167764325
Radim Bartos,2044102277_https://scholar.google.com/citations?hl=en&user=VgGq9i0AAAAJ
Laura Dietz,2343535024
Jordan Thayer,2128673820
R. Bergeron,2975218876
W. Miller,2098333762
Robert Russell,2169110334
Jaya Dofe,234441759
Philip Hatcher,2233081595
Zeljko Medenica,180880969
Alexander Shyrokov,1227944679
Rochelle Lieber,2140035107
Ethan Burns,2097058530
Lina Lee,2712230402
Kevin Short,2117711566
Peter Mitchell,2150855805
Caitlin Mills,2152878899
Filson Glanz,1968897250
Matthew Plumlee,2631824935_https://scholar.google.com/citations?hl=en&user=d9eZR_UAAAAJ
Kholekile Gwebu,2338034338
Jonathan Frey,2223017138
Jing Wang,2618346320
Michael Quinn,2623147560
Daniel Sabin,1996056060
Elizabeth Varki,139928695
Nicholas Kirsch,2309016022
Zhiming Zhang,2616549673
Edward O'Brien,2107860481
Se Yoon,2137035671
Larry Mayer,2244963823
Brian Calder,2001594324
Michel Charpentier,2158446348
Scott Kiesel,2134109888
L. Kraft,2132760105
Bence Cserna,2571647839
Marek Petrik,1979722320
Andrew Smith,2276271240
Richard Wallace,2923167474
Thomas Miller,2974768753
Kai Germaschewski,21691455
Steve Frolking,2076873897
Tevfik Aktekin,349275691
Mikkel Hagen,2140931168_https://scholar.google.com/citations?hl=en&user=uYvNhdMAAAAJ
Andrzej Rucinski,2310294178
Changsheng Li,2779378542
Douglas Vandemark,2488570207
Ryan Zarick,2009760148
Hoda Pahlevanzadeh,1802418081
May-Win Thein,1977647846
Christopher Wilt,2042398799
Patrick MacArthur,2228200390
Mark MacBeth,2009112061
Keith McGuigan,2123998340
L. Kistler,2291948677
Narendran Ganapathy,2464671596
Petra Varsanyi,2535048072
Tat Fu,2139496422
Igor Tsukrov,318602122
Matthew Hatem,2106873020
Christopher Neefus,1499958145
Kuan Zhou,2629104201
Yannis Korkolis,2018911249
Kurt Schwehr,2130320373
Lin Guo,2298132912
Alecia Magnifico,1501907319
Jonathan Tefft,2225513631
Seth Lemons,1995088154
K. Maynard,2304254086
Liang Wang,2508849999
Fan Gu,2692113716
Roland Arsenault,2584769413
Robert Jerard,244833897
Matthew Morena,2273786509
Wayne Decatur,1772916914
Thomas Butkiewicz,2805965632
Giuseppe Masetti,2136255719
Austin Dionne,2250645985
Mingju Li,2234981075
A. Grandy,2215170232
Reazul Russel,2606235416
Dmitri Garbuzov,2226366044
Bob Noseworthy,2224976411
Marko Knezevic,2228625613
Ted Sparr,2072279752
Virginia Garland,741475331
Paul Hubbe,2047735440
Raymond Greenlaw,2048099663
C. Mouikis,2311018480
Matt Magnusson,2616329566
Eleanor Abrams,2112095664
Omar Marcillo,2997096752
Yuri Rzhanov,2101592762
Tom Calvert,2986427629
W. Thomas,2160764435
Daniel Udwary,2407401007
Marc Rendino,2524670717
Shallee Page,2624880073
Hongzhan Huang,2797113450
Chumching Chen,2919969879
John Nevin,2149739635
Ranita Bera,2232327431
Michael Leighton,2153392011
Schwehr Kurt,2195274367
Meghan MacLean,2764343340
Eshan Dave,2026608010
Alexander Proussevitch,1785168682
Brett Gibson,2156412693
Chi-Sang Poon,2763700160
Harlan Spence,2071406799
Piyush Shrivastava,2884163256
Pilar Torre,2251217716
Anthony Westbrook,2286371477
Richard Lammers,1831721248
Alexander Prusevich,2016120689
Frederick Crane,2628244805
Sandra Hickey,1915168859
Qian Liu,2204610575
Niveta Ramkumar,2946926381
R.D. Bergeron,2673283126
Zhangbo Guo,2655725154
Bradford Larsen,2644061539
Adnan Eghtesad,2610361392
Katherine Derby,2224365810
S. Hussaini,2473019116
Luciano Fonseca,2180841681
Suzanne EdD,2911249416
Jordan Ramsdell,2229819155
Matthew MacManes,2309684533
Louisa Normington,2343599576
Taruna Schuelke,2352812768
Madison Clark-Turner,2773507066
Tianyi Gu,2134459497_https://scholar.google.com/citations?hl=en&user=cu7qkrgAAAAJ
Adam Villa,2146239494
William McDowell,2135724494
Barrett Rock,2035353204
David Blezard,9289847
Brad Kinsey,2051944349
Lara Gengarelly,2105849694
Momotaz Begum,2232117618_https://scholar.google.com/citations?hl=en&user=YP9KtBQAAAAJ
Wendy Girven,2599022284
H. Spaanenburg,2974351003
James Ryan,2098844961
Mahdi Al-Badrawi,2224890145
Mark McConnell,2032822196
John Mayer,2128993335
K. Chamberlin,2058125302
Himadri Basu,2569078471
Marieka Burg,2105029931
Lee Alexander,2111616745
Gary Lauten,2497476694
Janis Wolak,2040415116
Tao Huang,2531812361
Jason Legere,1988921214
Judson DeCew,2021063963
Charlotte Mandell,2430965667
Elizabeth Burakowski,1271204485
Joseph Dwyer,2516025806
Kevin Ihaddadene,2808326260
C. Li,2922011320
Russell Congalton,1621340929
Jean Atak,2075906954
Charles Elfe,2663416887
Jolie Wormwood,1982202131
Lisa Barrett,2969540102
Karen Quigley,3004996363
Mimi Becker,3037720532
Andrew Stevens,2228845645
Andrew Foulks,2020064469
Ian Gliser,3038350223
Shelby Smith,3038963676
D. Pineo,2974765426
Pruthvy Yellu,2945300732
Sajay Arthanat,133935559
S.A. Valcourt,1980936976
Zalan Fabian,2568928142
Shubham Chatterjee,2947256909
Shunyi Zhang,2467645677
Jennifer Halleran,2512235983
Radim Bartovš,2228455662
K.D. Ellis,2517871297
Timothy Barrett,2763911455
Austin Smith,2753902259
Daniel Savage,2129974889
Sylvia Weber-Russell,68756529
J. Xu,2155350510
E.R. Ramsey,2578695100
Jia Deng,2996662301
Brett O'Connor,1976966932
James Swan,2315353293
Rick Komerska,2438022791
Glen Rice,2135895650
Niels Widger,2259808964
David Noblet,2034188207
Timothy Carlin,2231434909
David Moss,2148479303
Judith Kull,2665958583
Ian Katz,2675119653
Jeremiah Johnson,2736946226
Barry Shore,2133695689
Sarah Creer,2790140322
Rachel Burdin,2083314889
Andrew Parker,2762251131
Jo Daniel,2231785311
David Kao,1983308292
Muge Komurcu,2224555775
Wendy Pothier,2947155833
Emily Poworoznek,454802464
Daniel Pineo,2086396309
Mohammad Ansari,2716319271
Eleta Exline,2335611519
Erol Aygar,2577780010
Jason Jeffords,2129095142
Patrick Kane,2207555052
Robert Mair,2065393148
Benjamin Wormwood,2323355000
Miranda Francoeur,2552536943
Rikki Miller,2607805189
Kristen Onos,2715279003
L. Lewis,2974039388
Karen Jourdenais,2720169453
Karen Jin,2810221571
Xiaoqiong You,2789248205
Eleanor Campbell,2904273579
Allisa Dalpe,2782314282
Dragos Maftei,2897596345
David Pilar,2974371302
Kejun Wu,2894253024
Richard Messner,2183197101
Lloyd Huff,2620302303
Adam Nucci,2106863134
Franklin Rudolph,2285930114
B. Dziurla-Rucinska,2636682030
Michael Carter,2718270453
Yaning Li,2116761451
Mona Khoshhesab,2586745309
Paul Ossenbruggen,1080314903
Harish Vashisth,1950627293
Adam Wymore,2435574380
Dev Dutta,2137899517
Sean Kramer,2642971987
Juan Florin,2122139150
Rick Brennan,2227005463
D. Blidberg,428528597
Nelson Barber,2342031469
Okhyun Ryou,2691472851
D.M. Moss,2973708500
Stanley Kowalski,2629488371
Jeffrey Sohl,1948711526
A. Venkatachalam,2211881333
R. Lieber,2979814506
Anne Gilman,2007070258
Serita Frey,2107081900
Christopher Bancroft,2053213645
Colin Frost,2136323641
Tejaswita Sharma,2749489749
Albert Pelhe,2089362054
Nevenka Kozomora,2276609985
Dennis Meadows,2789232582
Yifei Luo,2735021361
Gang Chen,2583941028
Jerry Marceau,2228970151
Massimo Stefano,2207391332
Ricardo Medina,2128189155
John Pokoski,2040803973
Shep Lt,2192890276
Paul Latham,2225551322
Stephen Scalera,2697125079
Steven Chappell,2462609273
Rosabel Deloge,2795043646
Ricky Miller,2499380855
Daniel Bolan,2506692376
Iago Hale,2062616200
