Vassil Roussev,2052838702_https://scholar.google.com/citations?hl=en&user=dOcAjLEAAAAJ
X. Li,2643919226
Irfan Ahmed,2307582566
Lodovico Marziale,327338360
Huimin Chen,2714732962
X.R. Li,2310538421
Joe Sylve,2335534750
Kenneth Walsh,2104561141
Reza Rezaie,2577160537
Vesselin Jilkov,2033711633
Minhaz Zibran,2025312662
Shengru Tu,2775384453
Rakibul Islam,2481672660
Mahdi Abdelguerfi,100461504
Andrew Case,2114175282
Andrew Cristina,2984057551
Candice Quates,332852405
Stephen Ware,2147384711
William Johnson,2472635964
Stephen Winters-Hilt,2048792992
Jane Murray,2110710808
Peter Politzer,2268157480
Tamjidul Hoque,2125680007
Yu Liu,2631203584
Weilie Zhou,2130291421
Joan Wiemann,2126421908
C. O'Connor,2973637177
Dimitrios Charalampidis,2131125888
Hyunguk Yoo,2147649119
Sandra Hartman,2101717881
Kristen Johnson,2618083632
Robert Martell,2526990804
Shaikh Arifuzzaman,2080997510_https://scholar.google.com/citations?hl=en&user=_DSRMYIAAAAJ
Shane McCulley,2314272340
X Li,2692989179
Jeffrey Ledet,2232068513
Jing Ma,2664833576
Nikolaos Xiros,1570478421
Brian Horton,2503506510
Sehun Oh,2224097868
Timothy Bourg,2278753877
Cherie Trumbach,1577843743
M. Mata,2291709130
O. Gallet,2480665498
A. Loup,2797216364
M. Ruth,2348086746
Guorong Xu,2117205941
Allison Luzader,2465256606
Saranyan Senthivel,2568420283
Zhanlue Zhao,2637857561
Jobaidur Khan,2131418934
Ting Wang,3002246912
Pranita Deshpande,2917894315
G. Yaralov,2817823352
Md. Hoque,2934500546
Carey Stapleton,2440594400
Aleksandar Zoranic,2108809001
Christopher Stelly,2744999735
Rachelyn Farrell,2561022711
Pat Lane,2461542851
Avdesh Mishra,2136778654
Ming Yang,2308831723
Manish Bhatt,2106718108
Arjun Joginipelly,665650480
Sneha Sudhakaran,2278747002
Larry DeCan,2243037237
Dinah Payne,2149367939
Ryan Pitre,2089899897
Anwer Bashi,2104101353
Jack LeBien,2770434941
Janak Dahal,2269301939
Edward Garcia,2917680624
Xiangfeng He,2974651355
P. Rastgoufard,2973989620
Jiande Wu,2631487405
Andres Barreto,2311006652
Vivek Shanmughan,2717327658
Zhiguo Zhang,2145623954
Alvaro Varela,2652296468
David Hui,2145865238
Rastin Rastgoufard,1926960482
Feng Lin,2443672674
Salman Javaid,2469999608
Phani Vadrevu,3011566391
Ben Samuel,2778661804
Parviz Rastgoufard,1288582312
Xiao-Rong Li,2650947769
Yun Gao,2405732765
Julie Givaudan,2226788061
Edit Kaminsky,2244480303
Charlie McChesney,2042401923
Chen He,2764679294
Anil Yelundur,299735574
Ning Li,2681056205
Geoffrey Wiggins,2181439233
Zhao Yang,2560893632
Carl Baribault,2281817212
Lizhe Xu,2717036664
Shrey Dhungana,2791881163
