Ron Vetter,2222749672_https://scholar.google.com/citations?hl=en&user=3R6Z44YAAAAJ
Karl Ricanek,2157736267
Hyunbum Kim,2222803512_https://scholar.google.com/citations?hl=en&user=WMLyqiYAAAAJ
Ann Stapleton,2297659140
Jeffrey Ertzberger,2274710673
Cuixian Chen,2938984960
Jeff Brown,2123765266
Clayton Ferner,1168279735
Mahnaz Moallem,1917175995
Judith Gebauer,2401047589
Ray Pastore,2578028194
B. Shipman,2315550701
Lorraine Lee,2101940994
Gene Tagliarini,608650462
Amelia Moody,2123146922
Gayathri Mahalingam,1994511391
Michele Parker,2136302320
Amrutha Sethuram,2041597671
Yishi Wang,2154589596
Curry Guinn,2110542226
Deborah Deale,1121100350
Jeffrey Cummings,2571730719
D. Tucker,2225328111
Linda Mechling,2189165262
Sridhar Narayan,2191842775
Troy Kling,2900159653
George Schell,2060202247
Daniel Ivancevich,2557762081
L. Schaupp,2045451066
Caroline Courter,2509254833
Shelby Morge,1994107914
Bryan Reinicke,2071185156
M. Kline,2438720161
Yaw Chang,2346559074
Benjamin Barbour,2065722328
Matthew Ratliff,2305375704
Sarah Watstein,2603245993
Colleen Reilly,2100034342
Sue Cody,2155086172
Anthony Habash,2171157164
Dylan McNamara,2122667766
Gabriel Lugo,2106340335
Russell Herman,2304836716
Charles Ward,2320416467
James Reeves,2475857352
Katharine Daniels,2262428371
Jerry Parnell,2660269534
Lisa Williams,2987405272
Kimberly Thompson,2731046416
A. Albert,2109645283
Angelia Reid-Griffin,2346020551
Philip Smith,2901337131
Susan Simmons,1988347437
Sudip Mittal,2218568255
Frederick Bingham,2147397593
Nisha Srinivas,3018987178
Allen Rawls,2095675465
David Hines,2099367115
Stuart Borrett,33175507
Cem Canel,2011262844
Minoo Modaresnezhad,2302705483
Lucas Layman,2895894743
Devon Simmonds,2251925710
Tom Janicki,2144887126
Elizabeth Baker,2806190565
Dennis Kubasko,2196177325
Joel Bloch,2488950390
Holley Long,1966815257
Caroline Werther,2899547964
Ulku Yaylacicegi,69752482
Cory Callahan,2811201373
Jack Gowan,2126269067
Stacy Mitchell,2165562010
Michael Mallin,2093641381
Joanne Halls,2599985218
S.I. Dworkin,2973491463
Jason Vandeventer,2223695408
Yang Song,3006684992_https://scholar.google.com/citations?hl=en&user=x3bT0-0AAAAJ
N. Cortale,2530061652
Susan Ivancevich,2501395955
Dave Hiltbrand,2880797669
Nathan Lindsay,2107821622
Garrett Neilson,3009725777
Chris Velado,1994045751
Joseph Williams,2567932989
C.E. White,2571112427
Rebecca Kemp,2987880992
Mark Galizio,268754381
Anne Pemberton,2139076362
D. Simmonds,2974568594
Selin Benli,2223873896
Andy Herrmann,2225927481
Gur Adhar,1206056864
Belén Ribeiro-Navarrete,2791473197
Stephen Hill,2508875366
Jeeyae Choi,2428159889
Tyler Loftis,1973541465
Cara Sidman,2078416502
Peter Fritzler,2200165976
Beth Allred,2073493975
Barry Wray,2425949234
Vance Durrington,2277052090
Howard Coleman,2097912785
Michael Komisin,2136009792
Rebecca Brown,2426309597
Marcee Steele,2122442504
Carol Heinrich,2162410032
RuthAnne Kuiper,2171948744
William Kerler,2644653564
Rebecca Scott,2103259291
Darin Penneys,2307553213
Vonzell Yeager,2137735278
Sue-Jen Chen,2150998616
Emma Ruesch,3017943839
Jonathan Stephens,3030921941
Sean Roginski,3032097776
William Edwards,2277425511
Arlene Hanerfeld,1987017279
Susannah Benedetti,2158061498
Edna Mory,2306001416
Amy Garrett-Dikkers,2616922130
Indranil Ghosh,2520973477
Allison Toney,2285742768
Jeffrey Brudney,332232754
Matthew Gayford,2639758267
Sabarish Babu,2919387296
Cuixain Chen,2228238552
Fara Elikai,1375950294
Tom Downen,2411739377
Ashley Foster,2704315731
Chris Boehnen,2314432510
Jason Saragih,2917087824
Tamara Walser,1891412964
Robert Keating,2233639126
Gulustan Dogan,3007376523
Valerie Watkins,2495715327
Howard Kleinberg,1630365540
Gretchen Casterella,2898188859
Subramanyam Kasala,2479827959
William Sterrett,2113927178
Amanda Blakely,2108142839
Daisyane Barreto,2264265365
Sheri Conklin,2821220723
Hengameh Kermani,2163213740
Dale Cohen,2136375916
Madeline White,2742394488
Katherine Barker,2745060767
Lance Cummings,2517428604
Julie-Ann Scott,2171340497
Jean Snider,2426231853
Eric Patternson,2470089678
Danielle Butts,2116146362
Rebecca Hayes,2520792163
Sarah Giersch,2086009934
Debra Saunders-White,2565934477
Karen Hill,2502125334
Amy Dikkers,1984681091
Somer Lewis,2099130255
Angelia Griffin,2552554550
David Macurak,49430585
Laurie Patterson,2171489231
A. Tagliarini,2195885358
Colin Taper,2174247558
Lizza Igoe,2342447835
Elizabeth Irvin,2411925130
Tammy Ivins,1751270756
Edward Caropreso,1634902753
Devin Simpson,2548381824
Richard Huber,2107399862
Elizabeth Gazza,1980921519
Richard Dillaman,2003619933
Lisa Coats,2602194681
Elizabeth Snead,2441120173
Daniel Heywood,2592083932
Wesley Williams,2594227096
Madeleine Bombeld,240164515
Ashley Webb,2496067330
M. Wood,2979225237
Robert Burrus,2132394878
Peter Schuhmann,2194173034
Jale Aldemir,2197976771
Jeff Hill,2729963979
Jennifer Summerville,2594750466
William Roden,3007397805
Chris Gordon,2491485917
Jerome Hoskins,2497362363
Caitlin Boninti,313860159
Gary Miller,2554161048
Robert Hoon,2554207158
Eric Harris,2488875985
Marcella Fredriksson,3011062509
Rebecca Sawyer,2322100547
Sarah Mueth,2967869414
Karan Smith,2153730631
Ginger Rhodes,3036745306
Jessica Cook,2938827672
Stephanie Turrise,2336547875
Anthony Atkins,2914217112
Stacy Bourgeois,2154372614
Lynn Shay,2315366334
Denise Isibel,2750204812
L. Rosen,2127580644
J. Gowan,2915201719
Steven Fontana,2527006750
Narayan Sridhar,2604746783
Robin Brooks,2489516970
Daniel Pfohl,2662430784
Daniel Palmer,2484443873
Eileen Brown,2681350135
Kris Walters-Herring,2567349918
Sherman Hayes,2578140344
Rebecca Warren,2682738344
Patricia Comeaux,1576958990
Brian Kinard,2525776544
Gregory Loftis,2331642179
Melissa Smith,2532350773
William Shipman,2014747410
Brian Bullard,2312679262
Rose Rahiminejad,2566124932
Howard Rasheed,2139073851
Joel Mintzes,2074068847
Ladd Kochman,2503733022
Uday Tate,2598199416
Lyle Scott,2224240840
Mark Lanter,2231599334
Ashley Young,2543195360
Kelli Slaten,2602942744
Rodney Earle,2550666407
Dan Noonan,2204478735
Dijana Jakelić,2157176115
A. Nelson,2645208454
Lucas Gillispie,2081432521
Allred Beth,2346190896
Kari Siko,2596718496
John Osinski,2116394042
Jeff Ertzberger,2397543802
John Anderson,2501142437
Paul Shotsberger,273649779
Patrick Plusnick,2232102978
Harry Smith,2422822663
Dean Spitzer,2170174793
Anping Wu,2291055510
Edward Becker,2489690473
Thomas MacLennan,2499434237
E.A. Olszewski,2659263259
Steve Robinson,2254317137
Gerry Gingrich,2705967390
JoAnn Seiple,2898752767
Fletcher Norris,2223838414
Toni Pence,https://scholar.google.com/citations?hl=en&user=Yqy0H2oAAAAJ
Brittany Morago,https://scholar.google.com/citations?hl=en&user=xg9bYVgAAAAJ
