Mohammed Atiquzzaman,2084220482_https://scholar.google.com/citations?hl=en&user=CPqBDqUAAAAJ
Le Gruenwald,2188709943
Ali Imran,2156924262
Hazem Refai,1552244439
Samuel Cheng,2164800642
Sridhar Radhakrishnan,2190411520
Mark Yeary,2136558167
Stamatios Kartalopoulos,2108397372
Pramode Verma,2142792079
Krishnaiyan Thulasiraman,2085175251
Bin Zheng,2106074135
Theodore Trafalis,51275299
Joseph Havlicek,2107616039
Amy McGovern,2110730349
Shaojian Fu,2095649049
Janet Allen,2125443933
Robert Zmud,2916331651
Lei Ding,2280791740
Farrokh Mistree,2918832336
Kelvin Droegemeier,2167491240
Hasan Farooq,2292098937
Xianbo Chen,2141056306
Lijuan Cui,2170052839
Cecelia Brown,2169584523
Chris Weaver,2209975384_https://scholar.google.com/citations?hl=en&user=SrIEIUgAAAAJ
Guifu Zhang,3020883681
Choon Tang,2137784602
Hong Liu,2303122823
Dean Hougen,2212436358
Andrew Fagg,709094649
Nathan Goodman,2132328264
Henry Neeman,1990426443
Tao Zheng,2283970191
Sudarshan Dhall,1992304862
Kurt Marfurt,2421130133
John Antonio,2110764425
Kash Barker,2163997080
James Sluss,2096479532
Christan Grant,2128843494
Matthew Jensen,2149528315
Deniz Eseryel,31433332
Mohamad Kalaa,2225153144
Horst Severini,2920705877
Walid Balid,2226734388
June Abbas,2131805904
Hassan Moradi,2258512468
Ming Xue,2039322169
Yong-Mi Kim,2687455652
Mayssaa Rifai,2121465754
Cinna Soltanpur,2365413564
Yang Hong,2107074686
Naim Bitar,2191335366
Maxine Tan,2166416258
Ahmad Asghar,2787403216
Abu Shahriar,2146362820
Jerry Crain,2112342321
Qi Cheng,2951060502
Barbara Greene,2167264340
Ning Nan,2116552348
Michael Richman,2137931737
Xun Ge,2159194676
Zahed Siddique,2125931530
Kuang-Hua Chang,2120894248
Djebbar Tiab,107147512
Karen Rupp-Serrano,211181510
D.S. Zrnic,2303669698
John Jiang,2172126175
Yahia Tachwali,2223376274
Alexandra Durcikova,2242434636
Nafise Barzigar,2037622849
Caleb Fulton,2055659341
Morteza Heidari,2775799752
David Miller,2606695226
Robert Palmer,2781386540
Anita Vallur,2285123917
Jin-Song Pei,2251050538
Aminmohammad Roozgard,1967086764
Dayong Zhou,2105999315
Radhika Santhanam,2156539922
Matthew Gately,2033840076
Monte Tull,2057177480
Xiangming Xiao,2317604966
Traci Carte,1653073106
Jizhong Zhou,2147933667
Frances Wen,2941398276
Michael Nelson,2183181792
Ronald Barnes,2256826782
Yuchen Qiu,2099829063
Nikhil Punekar,2099166579
Kun Lu,2337852176
Rex Page,2103228995
Maryam Falahpour,2005765243
Sarah Robbins,2123363209
Jerald Brotzge,2169720690
Laku Chidambaram,1690196379
Deborah Trytten,2208218595
Ziho Kang,2256652489
Chuong Nguyen,1962805822
Yiming Xu,2355434270
Scott Wilson,2099259715
K. Tang,2547024022
R. Mulholland,2974309114
Karen Antell,2646972966
Keith Brewster,2127253589
Umair Hashmi,2600251075
Jaymie Turner,2569658929
Brian Shults,2655448261
Suliman Al-Hawamdeh,2201623419
Robert Crane,2592157424
R. Price,2095527359
Edward Cokely,759867789
Guofa Shou,2685908179
Jonathan Palmer,2950196172
Si Wu,2700113319
Amy Bradshaw,2306634420
Wei Wang,2694694302
Fadi Basma,1926561016
Pedro Diaz-Gomez,189837794
Douglas Powell,2121733529
Jeffrey Basara,2023227305
Eli Bridge,264221914
Yaqing Gu,2170050096
Anand Nellippallil,2480457382
Robert Huck,2134709770
Mohammad Yousuf,2602955780
Yunzhi Wang,2806174621
Marc Wood,2629608141
Derek Rosendahl,2017665602
Yan Liang,2775614067
Dee Wu,2707890999
Yan Zhai,2135483331
E. Petrich,2974848551
Siraj Muhammad,2640605621
Daniel Weber,2137820925
Jonghyun Kim,2295719892
Christina Kulp,2130465312
Nick Mould,2047632065
Shaya Karimkashi,1600730922
Jinwei Dong,2914247749
Joshua Southerland,2166988278
Michael McInerney,674398115
Faranak Aghaei,2035795309
Wallace Koehler,2134819321
Jerzy Bodurka,2262334737
Yong-Jin Lee,2953691880
Aravind Mohanoor,2043098705
Gopichandh Danala,2590054809
Thomas Steele,2169010114
Shiblee Sadik,2165192556
Teresa Shaft,556691951
Christopher Williams,2895498065
S. Lakshmivarahan,3021279142
