Reza Rejaie,58212359_https://scholar.google.com/citations?hl=en&user=dgRIYXIAAAAJ
Allen Malony,2079969273
Sameer Shende,2176533867
Dejing Dou,2040419331_https://scholar.google.com/citations?hl=en&user=qBHsQ04AAAAJ
Jun Li,2415431803
Stephen Fickas,2335794901_https://scholar.google.com/citations?hl=en&user=9qA78uUAAAAJ
Daniel Stutzbach,2798657073
Nazanin Magharei,52465036
Joanna Goode,2241192054
Daniel Lowd,1519336086_https://scholar.google.com/citations?hl=en&user=IrcFO1AAAAAJ
Sarah Douglas,2154278045_https://scholar.google.com/citations?hl=en&user=ecPAWS8AAAAJ
Anthony Hornof,227084865
Virginia Lo,2974677625
Hank Childs,2166896707_https://scholar.google.com/citations?hl=en&user=1SJPBDAAAAAJ
Kevin Huck,2007606144
Matthew Ginsberg,2992815504
Thien Nguyen,2222712748
Lei Jiao,2618503114
Z. Segall,2973833888
Ramakrishnan Durairajan,2223288495_https://scholar.google.com/citations?hl=en&user=6jzveA4AAAAJ
Boyana Norris,2122080520_https://scholar.google.com/citations?hl=en&user=prJFPwUAAAAJ
Holly Paddock,2016616568
Amir Rasti,2029050925_https://scholar.google.com/citations?hl=en&user=fUGvU0oAAAAJ
Alan Morris,2311300964
Zena Ariola,2200399310
Michal Young,2190417233_https://scholar.google.com/citations?hl=en&user=rhogjK0AAAAJ
Mojtaba Torkjazi,1022436681
Masoud Valafar,1032776977
Javid Ebrahimi,2309072058
Haishan Liu,2151397689
Robert Bell,2487175567
Tim Halverson,1976432497
Fernando Gutierrez,2143402716
Kathleen Scalise,2156931995
Nicholas Chaimov,2304634039
Janice Cuny,2780925509
Patrick Phillips,2167216244
Ceri Slyke,1994381487
Toby Ehrenkranz,2015401190
Douglas Hintzman,2251092215
Hao Wang,2677970164
Joe Pletcher,2098417786
David Rowland,3025535694
Aroon Nataraj,2005709723
Jolinda Smith,2111285875
William Harvey,2618424272
Patrick Bartlein,2002127920
David Hulse,2133889499
Reza Motamedi,2038905922_https://scholar.google.com/citations?hl=en&user=D4nXt-cAAAAJ
Robert Frank,2520193513
Yvonne Bradford,1995440148
James Kress,2473007886
Yinchu Zhu,2531891382
Thanh Nguyen,2904756023_https://scholar.google.com/citations?hl=en&user=6fpZnQIAAAAJ
Arthur Kirkpatrick,2949896944
Scott Biersdorff,232425412
Brice Kuhl,2130930246
Don Tucker,2109892816
Paul Downen,1836388904
Hannah Pruse,1984954527
Chad Wood,2567637096
Andrzej Proskurowski,40662170_https://scholar.google.com/citations?hl=en&user=eDfh3LcAAAAJ
Arthur Farley,2127025240
J. Schneider,2183134604
Monte Westerfield,2090949039
McKay Sohlberg,277253005
Wyatt Spear,2259713660
Kathleen Lindlan,231298304
Shanyu Zhao,2681264227
Susan Sokolowski,2811411774
Vikash Agarwal,2305307950
Meredith Gall,2124277558
Shad Stafford,2157926178
B. Nitzberg,2690787628
V. Lo,2973585991
Reimer Behrends,2086796058
Amir Veyseh,2767340308
Zhen Wu,2160723152
Scott Biersdorf,2519510242
Dayi Zhou,2973540475
T. Heiber,2638766861
Mingwei Zhang,2754369717
Shiwoong Kim,2140913677
James Marr,2229184551
Douglas Howe,2103005038
Hedda Schmidtke,2065229497
David Ozog,2045266052
Leif Karlstrom,1912268251
Bryce Newell,2607516604
Richard Taylor,2120526659
Nisansa Silva,2920751959
Michael Raymer,2013865587
Shangpu Jiang,2162476018
Yuhong Liu,2973564145
Carol Hixson,2250329055
Nicole Swann,2047995035
James Crawford,2104822504
Nicholas Allen,2168625451
C.G. Dickey,2222481176
J. Suruda,79557114
Jason Sydes,2237855229
Bahador Yeganeh,2743446602
Talmy Givón,2011764142
Kurt Windisch,1235627700
Robert Lim,2401394329
Elizabeth Breakstone,1992232033
Barbara Jenkins,2552969683
Stuart Faulk,1024103463
Skyler Berg,2159284500
Andrew Baker,2660329282
Anita Christie,2156337123
Daya Wimalasuriya,2091371380
Steve Fickas,2566503713
Michael Posner,2059411455
Eric Purpus,2021049520
Han Qin,2097049275
Christopher Bone,2132735627
Takayuki Usui,2497402976
Anant Mithal,2028751896
Ulrich Mayr,1953033658
Atsushi Kikumoto,2053004675
Heidi Dixon,2141015157
Michael Guidero,2282978195
Devkishen Sisodia,2589360046
Mohammad Monil,2214430155
Mark Horney,2074097424
Brian Westra,2151502135
Brenton Lessley,2136298941
Jiawei Rong,2016539801
Sergei Turovets,2055387565
Thaddeus Thompson,2974490391
Ghulam Memon,2112321175
Bei Li,2684739369
Sudhanshu Sane,2756523270
Kim Sheehan,2156331687
Spike Gildea,2117451699
Srinivasan Ramesh,2747379442
Sara Weston,2310369037
Phil Howson,2021990418
Xiao Xiao,2603860799
John Conery,2006714338
Seth Lewis,2137634399
John Postlethwait,338144998
Thomas Desvignes,874744473
Rob Hoselton,2421202708
Emily Tanner-Smith,290618944
Tyler Nichols,2225791386
Li Li,2950786038
Luke Maurer,2224010041
Matthew Sottile,2280448499
Max Skorodinsky,2922410669
Kevin Wymelenberg,2376132774
Julie Sykes,3036719413
Jay Gondek,2260709835
Alexander Rockhill,2995706488
Erik Steiner,2584590614
Benjamin Nelson,2161868073
Lara Letaw,68478461
Vsevolod Kapatsinski,1253024110
Stephen Frost,2113878618
Jonathan Newman,2223332469
Andrew Marcus,2161997936
Steven Hackstadt,251489695
Harold Westlund,1234729097
Lumin Shi,2941359966
Ryan Leonard,2652348090
Stephen Banse,2832189271
Cody Jarrett,2874217610
Kristin Robinson,2924516446
A. Salman,2151524902
Aurèle Mahéo,2044526587
Robert Mauro,2226859041
Lev Zakharov,2172784278
Ray Nunnally,2297752782
Gerald Tindal,260507151
Daniel Miller,2426147579
Aaron Parecki,2669561132
Melissa Redford,2000242580
D.L. Atkins,2973761545
Scott Brooks,2754449352
K. Windisch,2973782977
Melissa Baese-Berk,2335950398
Nafisa Chowdhury,2143901756_https://scholar.google.com/citations?hl=en&user=twCHUYgAAAAJ
Kai Li,2295403498
Doug Simpson,2231541378
Ben Mood,2974183410
Anthony Kay,2167534198
Marjorie Woollacott,1990406225
Yashar Ahmadian,1922941836
Sabrina Toro,2157287673
Kevin Glass,2165342830
Matthew Robison,2105547148
Tyler Kendall,2508248236
Brian Gravelle,2899756612
Sabin Kafle,2556492344
Samuel Pollard,2660410492
Nicole Marsaglia,2626068395_https://scholar.google.com/citations?hl=en&user=yecBWGoAAAAJ
Evan Tick,24897256
Roba Binyahib,2637079906
Eugene Luks,2470953425
Li-Shan Chou,2125479164
William Clinger,1781323080
Trudy Cameron,2147464267
Joe Jager,2287494924
Mark Watson,2548862532
David Tyler,2156008907
Terry Takahashi,2114958523
Moorthy Huck,2619208254
Thomas Payne,2609803655
Sara Riazi,2583800006
Fatima Terrazas-Arellanes,331838308
Soheil Jamshidi,2898517052
Michael Kuhn,2115165280
Phan Luu,1955160057
Gina Griffiths,2111141829
Viet Lai,2904180225
