Huseyin Arslan,2141789269
Alan Hevner,14410813
Lawrence Hall,2159848645_https://scholar.google.com/citations?hl=en&user=AKHplAUAAAAJ
Ken Christensen,2300985365
Miguel Labrador,2167462052_https://scholar.google.com/citations?hl=en&user=TpatQDgAAAAJ
Sudeep Sarkar,2167730221_https://scholar.google.com/citations?hl=en&user=xX2D9FQAAAAJ
Ravi Sankar,2222627537
Chamara Gunaratne,2097975469
Les Piegl,2273607934
Nagarajan Ranganathan,2120216119_https://scholar.google.com/citations?hl=en&user=vn2nkdAAAAAJ
Oscar Lara,2157091791
Abraham Kandel,2115569417
Rangachar Kasturi,1956387186_https://scholar.google.com/citations?hl=en&user=EFB9ZuwAAAAJ
Kwang-Cheng Chen,2123706386
Douglas Nelson,2096778673
Tansel Yucelen,65874292
Richard Gitlin,2235142715
Jay Ligatti,1998594138
Adriana Iamnitchi,1970903821_https://scholar.google.com/citations?hl=en&user=BfrPSGIAAAAJ
Srinivas Katkoori,228450644_https://scholar.google.com/citations?hl=en&user=LBBlksAAAAAJ
Nasir Ghani,2170943016
Yi-Cheng Tu,2306077690
T. Yucek,313882329
Yao Liu,2107409051_https://scholar.google.com/citations?hl=en&user=gGbT21EAAAAJ
Ismail Butun,1435892074
Hisham Mahmoud,1984977795
Salvatore Morgera,2118379428
Wilfrido Moreno,2108282219
Vladimir Uversky,111492307
Anol Bhattacherjee,2777992404
Satrajit Basu,2112333838
Xinming Ou,2081037127_https://scholar.google.com/citations?hl=en&user=faldcbwAAAAJ
Padmanabhan Soundararajan,2082974159
Radouil Tzekov,709221504
J.L. Casper,2986977202
Rajiv Dubey,2147288786
Vasant Manohar,1994811739
Cathy McEvoy,2160541616
Kevin Woods,2119181234
Yasin Yilmaz,2121502140
Laurence Clarke,2126072177
Sanjukta Bhanja,2099643889
Serhan Yarkan,2792254082
G. Jean-Baptiste,1997524391
Michael Coovert,699293668
Manish Agrawal,2064609425
Matthew Boonstra,2122778183
Zhuo Lu,2120406486
J. Garofolo,2949065893
J. Chang,2162973934
Jennifer Burke,2154987037
Myung Kim,2106298965
Donald Berndt,2068577551
Michael Heath,2162342231
Hao Zheng,2661581262_https://scholar.google.com/citations?hl=en&user=W1V0wXcAAAAJ
Kyle Reed,2129542227
Saurabh Kotiyal,1235987816
Yuping Li,2173214771
Murad Khalid,2117634355
Alessio Gaspar,2122184071
Sean Barbeau,2048081075
J.L. Burke,2424294609
M.E. Sahin,2130719621
Matthew Morrison,2169980551
Prodip Hore,2114781713
Redwan Alqasemi,2223593478
Eren Balevi,2566817655
Evren Bozgeyikli,129520080
Ozgur Yurur,1792302424
Sabih Guzelgoz,71641221
Benjamin Gruenwald,2065328269
Lingling Fan,2159341058
Ann Barron,2106282204
Thomas Sanocki,395118905
Berker Pekoz,2419310608
Sagar Pandit,2165252336
Thomas Weller,1981030139
Rahul Paul,2586252014
Robert Gillies,2200847216
Ertugrul Guvenkaya,58185402
Gabriel Arrobo,2103803069
Fengguo Wei,2423139976
Jacqueline Reck,2163318083
Rafael Perez,2290636580
Philip Winters,2168158427
Sriram Chellappan,2133569284_https://scholar.google.com/citations?hl=en&user=T1P0XnIAAAAJ
Sergiy Fefilatyev,222434092
Peter Mouton,2002612719
John Skvoretz,670901035
Kaiqi Xiong,2130289381
Yongqiang Huang,2424008106
Uday Murthy,2269810446
Drazen Jukic,2618513288
Ehsan Arabi,2510040605
Kaushal Chari,2019413524
Joseph Fogarty,2096546742
Balaji Padmanabhan,2117146407
Alfredo Weitzenfeld,2892835101
Longfei Wang,2255208570
Nevine Georggi,2073439522
R.P. Velthuizen,269306995
Nataša Jonoska,2172806755
Phyllis Jones,2111181900
J. McBrien,2345860864
Steven Eschrich,1628300007
David Paulius,2809880593_https://scholar.google.com/citations?hl=en&user=aMxXkWkAAAAJ
JungWon Yoon,2307732949
A. Bensaid,2343880691
Samuel Hawkins,2320711698
Orhun Uzun,2140572922
Gokhan Mumcu,1988679126
Paul Rosen,2125847861_https://scholar.google.com/citations?hl=en&user=6iv6AEcAAAAJ
Ghada Zamzmi,2551676932
Mustafa Erturk,2642941122
Koustav Bhattacharya,2116184449
Dmitry Goldgof,193618192_https://scholar.google.com/citations?hl=en&user=yQS_n0gAAAAJ
Yun Lin,2213177924_https://scholar.google.com/citations?hl=en&user=iXsRhoUAAAAJ
Dawn Riddle,2034156574
Yufeng Wang,2605391134
Adam Schenker,2059160373
Zhixin Miao,2117501578
Loni Hagen,2124586250
Ian Markwood,2498975633
Tao Wang,2583573406
T. Gill,2122039120
Martin Silbiger,1240961610
Kurt Kramer,2156686380
Imrul Kayes,1264413446_https://scholar.google.com/citations?hl=en&user=ApVhRzEAAAAJ
John Ferron,2082047799
Rahul Tripathi,2117384309
Glenn Smith,2135552335
Song Fang,2096328966
Nikolai Samteladze,2223559601
Robert Banfield,2102169363
Thomas Ketterl,1491101871
B. Victor,2124929736
James Studnicki,2211530795
Fillipe Souza,2559301882
Jae-Won Jang,2304774318
Maria Kallergi,2050927319
Attila Yavuz,2098645130
Sarah Langevin,2131882334
Kemal Davaslioglu,187713914
Z. Ankarali,2230219130
Yang Liu,2303557422
Anas Tom,2228241190
Domenico Coppola,2920095349
Robert Clark,2319443189
Rekha Govindaraj,2226709093
Xiang Zuo,2097516279
Marvin Andujar,2124908712
Ching-Yen Li,2287290416
Donald Ray,2471390020
Ali Demir,2529683857
Rosann Collins,2165461534
Joni Downs,2133309701
Karen Gosche,2302856327
Sheikh Islam,2793265697
Triparna Vreede,731681699
K. Dogan,2571486746
Lihua Li,2174150025
P.M. Kanade,2308067902
Moez Limayem,681380642
Mohamed Elkourdi,2413627529
Alireza Chakeri,1851363231_https://scholar.google.com/citations?hl=en&user=CdvYk8kAAAAJ
Martin Llofriu,832121949
Ajay Joshi,2098486845
James Andrews,2139437930
Jinfang Niu,2139377603
íScar Lara,2500795015
Kadriye Dogan,2568896432
Chris Tsokos,2124110592
William Armitage,2096033803
Nabeel Sulieman,2615461751
Eric Winsberg,586247037
Xuan Le,2305064035
Yun Chen,2310605893
Emanuel Donchin,2005012993
LeEtta Schmidt,2131513878
Kaushik Dutta,2100490814
Dmitry Cherezov,2516443729
Ruiliang Pu,2100271980
Stephanie Carey,2140045663
Mustafa Yilmaz,2222583793
F. Murtagh,1855188467
Jeremy Cohen,2134248744
Robert Gramacy,3015474844
Zekeriyya Ankarali,2540805006
Vyas Krishnan,2343870892
H. Woodcock,2095548017
Kevin Pratt,2159704365
Mehran Kermani,2950633126
Lal Bozgeyikli,264056906
Fred Mannering,436190340
Russell Kirby,2421424942
Lynn Fletcher-Heath,2586781381
Susana Lai-Yuen,1454530553
Ismail Uysal,2442913035
Tina Hohlfeld,682563599
N. Hanchate,2973379733
Grisselle Centeno,2151559249
Bingxiong Lin,2166907560
J.E. Scharf,2686093179
Yangxin Huang,2112572077
Anna Pyayt,2310171595
David Fenstermacher,2304615821
Marc Lajeunesse,1817877987
Barbara Lippincott,2028128146
Cagri Cetin,2461334695
Selahattin Sarsilmaz,2738933222
Ramiro Ramirez,2225880858
Audrey Powers,2101763982
Robert Karam,2509045108
Roger Milton,2560991150
Jeanine Sam,2562907575
William Buchanan,2565690498
Sagar Samtani,2222194882
Lisa Meloncon,128376149
Y Arbel,2648804234
Terri Ashmeade,1974651369
A. Puri,2502750468
M. Kontitsis,2724075959
Grandon Gill,2137881295
William Kearns,2184745853
Daniel Majchrzak,2087599042
David Clark,2117028195
Fatemeh Disfani,321647846
D.H. Quintela,2143311477
M. Castillo-Effer,2222265573
Yuhua Gu,2149088285
Harvey Hyman,2563119339
Wei Zhu,2641054763
Santosh Aditham,2230243195
Jeffrey Krischer,2594850431
Christopher Doss,2632497103
Horst Bunke,3021363099
Steve Downey,2163216550
Matthew Lewandowski,2171761748
Chao He,2112193928
Autar Kaw,737555090
Stuart Hart,2345018128
Mehmet Celebi,2262530037
Carol Borchert,690090436
Adrian Johnson,2310814503_https://scholar.google.com/citations?hl=en&user=6IGQ8x4AAAAJ
C. Castro,2319838096
Asim Mazin,2115587651
K. Yoshigoe,2781117270
Matthew Mullarkey,2573502244
Amanda Smith,2342086439
Balebail Raj,2591938387
Kristin Fargher,2597172813
David Aguilar,2420059677
John Korecki,2028043896
Frederick Stilson,1861815576
Liuquin Yang,2226457693
Ashley Gray,2585754629
Sathyanarayanan Aakur,2748992142
Kenneth Ramclam,1251062981
Areej Yassin,2114097470
Barnali Dixon,2506796441
Peter Fabri,1138986804
Mohamed Rahouti,2766125902
Xuejun Sun,2139561432
Pratool Bharti,2224882077
Gang Liu,2612180074
Kandethody Ramachandran,2955757487
A. Demir,2225687114
scar Lara,2223401482
Abe Kandel,2195287933
Gladis Kersaint,1977621825
Jonathon Parker,2312612398
Kester Duncan,2163883665
Sameera Horawalavithana,2743223372
Gert-Jan Vreede,2605518152
J. Craighead,2688723887
Del Nagy,2485494567
Jayita Das,2193946246
Xiaopeng Li,2635619517
Matt Torrence,1159942061
Faeik Rabee,2614557362
Volha Smarodzinava,2150117301
Nazli Siasi,2803839082
Srikar Reddy,2104796700
Drew Oliver,2226993843
F. Blanquicet,331971704
Dzung Tran,2521335367
Renhao Liu,2564841144
V. Mahalingam,2329134157
Shyamala Doraimani,245002795
R.K. Namballa,2314831448
N. Candade,1574195046
Lu Lu,2344220634
Sanghoon Park,2140692933
Anand Kumar,2304539467
M. Erturk,2229482636
