Carl Kesselman,2045278166
Andreas Molisch,656047448
Ramesh Govindan,2102043890_https://scholar.google.com/citations?hl=en&user=ZTkRs84AAAAJ
Shrikanth Narayanan,2171036777
Bhaskar Krishnamachari,1600658949_https://scholar.google.com/citations?hl=en&user=JHJozAYAAAAJ
Viktor Prasanna,2088826626
Michael Neely,2120554317
Cyrus Shahabi,240820708_https://scholar.google.com/citations?hl=en&user=jEdhxGMAAAAJ
C.-C. Kuo,1250704735
Wei Ye,2222217153
Ewa Deelman,220773886
Gaurav Sukhatme,2025826031_https://scholar.google.com/citations?hl=en&user=lRUi-A8AAAAJ
Maja Matarić,2075666580
Antonio Ortega,2118429164
Gerard Medioni,707607996
Massoud Pedram,2963161222_https://scholar.google.com/citations?hl=en&user=FHiQmOoAAAAJ
Stefan Schaal,1966777347
Cauligi Raghavendra,2123889396
Barry Boehm,2068686281_https://scholar.google.com/citations?hl=en&user=EyAD66UAAAAJ
Ramakant Nevatia,2029719710
Konstantinos Psounis,340493376_https://scholar.google.com/citations?hl=en&user=Nir4aJAAAAAJ
Robert Scholtz,2236343854
Yolanda Gil,2145802646
Craig Knoblock,1991211814
Fei Sha,2050254073_https://scholar.google.com/citations?hl=en&user=8rttV7kAAAAJ
Daniel Marcu,1853234685
Kevin Knight,2330030585
A. Avestimehr,2046032532
Nenad Medvidovic,2023055819_https://scholar.google.com/citations?hl=en&user=kqW_-2gAAAAJ
Laurent Itti,17594925_https://scholar.google.com/citations?hl=en&user=xhUvqK8AAAAJ
Ulrich Neumann,1890083705_https://scholar.google.com/citations?hl=en&user=MHet2VoAAAAJ
Ram Nevatia,2974730915
Urbashi Mitra,2947953701
Kai Hwang,2612957084
Yan Liu,2240541904_https://scholar.google.com/citations?hl=en&user=UUKLPMYAAAAJ
Emilio Ferrara,2147903670_https://scholar.google.com/citations?hl=en&user=0r7Syh0AAAAJ
Jerry Mendel,2096170287
Jonathan Gratch,2014229073_https://scholar.google.com/citations?hl=en&user=HF448PMAAAAJ
David Kempe,2137221145_https://scholar.google.com/citations?hl=en&user=fNvryVUAAAAJ
Paul Thompson,2114138198
Ann Chervenak,2082033547
Ansuman Adhikary,2137809503
Kristina Lerman,2149625712
Panayiotis Georgiou,2118032982
Gaurang Mehta,2098098239
David Traum,693463813
Karan Vahi,1968817782
Xiang Ren,2129405715_https://scholar.google.com/citations?hl=en&user=_moJlrIAAAAJ
Sunil Narang,2100243203
Murali Annavaram,2222324055
Richard Leahy,1995808116
Bart Kosko,159915552
Hao Li,2568707374
Paul Debevec,1987673751
Songze Li,2138036051
Theodore Berger,1905076021
Mark Bolas,2304236279
Qian Yu,2646818230
Leana Golubchik,260572119
Peter Danzig,205853394
Sven Koenig,2989326021_https://scholar.google.com/citations?hl=en&user=tpoh43QAAAAJ
Sungbok Lee,2164935972
Daniel O'Leary,1967273415
William Halfond,50273855
Sandeep Gupta,2101920584
Andrew Howard,2251873519
Stefan Scherer,2144354409_https://scholar.google.com/citations?hl=en&user=rbGxNYwAAAAJ
Ching-Gung Liu,2122073589
Suya You,1965596584
Albert Rizzo,2134484892
Karl Czajkowski,2092533523
C.-C.J. Kuo,2776100380
Jim Blythe,2014907840
Rui Miao,2137387371
Gideon Juve,2155173628
Fabio Silva,2306867961
Dong Song,2104743830
Hossein Hashemi,1968333261
Neda Jahanshad,1177309716
Petros Ioannou,2199848306
Gurmeet Singh,2179265492
José Ambite,278377883
Paul Bogdan,2069357657
Xuehai Qian,2680204463
Ilias Diakonikolas,205749973
Melvin Breuer,2103926088
Rafael Silva,2126530752
Wei-Min Shen,2254167782
Manish Jain,2296123770
Amir Avestimehr,313669066
Ugur Demiryurek,319304351
David Pynadath,264197688
Arthur Toga,1994040240
Alexander Sawchuk,1968646968
Peter Beerel,158713766
Yuan Shi,2222972036
Ding Li,2120320279
Narayanan Sadagopan,1277472308
Alice Parker,2155742462
Mei-Hui Su,2491228139
Gang Lu,2181847896
Gareth James,2166879084
Keith Chugg,2159999100
Rahul Jain,2108534987
Shahram Ghandeharizadeh,326002240
Mark Humayun,2192446051
Ann Majchrzak,1806104199
Vasilis Marmarelis,137578261
Yao-Yi Chiang,2111322799
Paul Rosenbloom,237745248_https://scholar.google.com/citations?hl=en&user=SeW3bhwAAAAJ
Emily Mower,1985975974
Alan Willner,2150508863
Yong Chen,2614235213
Abe Kazemzadeh,1970049113
Rui Wang,2308746502
Leonard Adleman,2009176085
Zhen Zhang,2150972246
Jiyang Gao,2631902216
Shahin Nazarian,2102455862
Andrew Gordon,2167086501
Zhenheng Yang,2691653030
Tim Hawkins,2146645727
Greg Steeg,1808124004
Shishir Bharathi,2244331424
Evan Suma,392277740
Omar Sawy,2607813471
Anton Leuski,226556901
Mahta Moghaddam,2147986686
Jonathan Pearce,2095894975
Seon Kim,2156064568
Jeffrey Draper,2151469753
T. Kumar,2797419221
Bistra Dilkina,2252452800
Varun Ratnakar,2059913085
Alistair Stewart,2148136170
James Pita,2150520636
Qing Xie,2127732416
Mahdi Soltanolkotabi,1973466393
Timothy Pinkston,32065925
Ari Shapiro,2130627583
Dennis McLeod,2097719264
Ron Artstein,169588456
Andrew Jones,2162205457
Yuan Li,2722173443
Mats Rynge,975051260
Belinda Lange,2311223983
S. Qin,2165795673
Maheswaran Sathiamoorthy,313946723
Gerald Loeb,2145981845
Ali Khoshgozaran,243340819
