Thang Dinh,1982323184_https://scholar.google.com/citations?hl=en&user=M5W9tuUAAAAJ
Carol Fung,2137007656
Bartosz Krawczyk,2032775676_https://scholar.google.com/citations?hl=en&user=0GrFcZsAAAAJ
Kweku-Muata Osei-Bryson,344684931
Hong-Sheng Zhou,2315871956
Milos Manic,2022764246
Wei Cheng,2648838891
Eyuphan Bulut,2159754049_https://scholar.google.com/citations?hl=en&user=wvvIyOwAAAAJ
Yuichi Motai,1891148370
Zhifang Wang,2527204137
Alberto Cano,2123697688_https://scholar.google.com/citations?hl=en&user=8f_w4HQAAAAJ
Kasun Amarasinghe,2140097548
Krzysztof Cios,2010675024
Preetam Ghosh,2123638769_https://scholar.google.com/citations?hl=en&user=S30uT7YAAAAJ
Vojislav Kecman,225348373
Ruixin Niu,1966476626
Allen Lee,2158578300
Daniel Marino,2564646294_https://scholar.google.com/citations?hl=en&user=NApnr40AAAAJ
Sherif Abdelwahed,2079600535
Guanying Wu,2160288087
Dianne Pawluk,2017935590
Wei Zhang,2687149073
Manoj Thomas,2139974352
Jacqueline Corcoran,2291787453
Victoria Yoon,1926259822
Dong Lee,2293648252
Kostadin Damevski,2204197178
Lukasz Kurgan,561628745_https://scholar.google.com/citations?hl=en&user=zXw_54AAAAAJ
D. Young,2936293745
Kevin Ward,2142988225
Wanyu Zang,2893977833
Bridget McInnes,2122366258
Peter Aiken,335265768
Weijun Xiao,2722298799
Mohamed Gad-el-Hak,2223092805
Hugh Eaves,2022723854
Roja Eini,2885764930
Ding-Yu Fei,2650388300
Hannaneh Pasandi,2916577077
Kellie Archer,2131324226
Ju Wang,2973724578
Qi Li,2573366510
Dean Krusienski,2903037274
H. Weistroffer,2098032925
Wei Yang,2610369980
Peter Uetz,706561411
Lemuria Carter,2163802615
Raied Salman,2170570267
Jones Pe,2430344988
Dandan Huang,2423057983
Seyyed Elyas,2222843479
Jean Gasen,254673778
Ohjin Kwon,2489529206
Rosalyn Hargraves,2018267762
Tamer Nadeem,2785627507_https://scholar.google.com/citations?hl=en&user=0ltdcO4AAAAJ
Supriyo Bandyopadhyay,2101258025
Min Li,2597890382
Jason Merrick,2158821390
Heinz Weistroffer,2179281280
Silviu-Alin Bacanu,2020325409
Shanshan Chen,2939901280
Wenan Chen,2124310459
Changqing Luo,2311187966
Geoffrey Hubona,258918929
Esther Hughes,2136799974
Robert Klenke,231418791
Nahian Siddique,2223066324
Jingyang Lu,2678170023
Michael Neale,2128537590
Jayasimha Atulasimha,82304725
Mir Athari,2666736725
Rebecca Smith,2163451061
Carl Elks,2807295710
Hamidreza Sadeghian,2692548805
Carolyn Norman,2116467116
Jeffrey Williamson,2286398791
Ravi Rastogi,2132869410
Glen Kellogg,2021070944
Bhanu Kamapantula,2017260183
Ahmed Abdelzaher,2112988961
Sumana Sharma,2127162021
B.W. Murrill,2651867300
T. Bigdeli,1932466392
Brien Riley,2116983095
Donghyung Lee,2148370585
Ayman Fanous,2169658744
Vladimir Vladimirov,2298991683
Charles Cockrell,2007141054
Aashish Dhungana,2769528912
V. Kini,2777157511
Danail Bonchev,3037836049
W. Miller,2157644560
Mikhail Dozmorov,2494801124
Carleton Garrett,2465376589
Sam Henry,2106741431
Avory Bryant,2727781796
Puxiao Han,2223571281
Rudy Muller,2513779280
Richard Costanzo,2289613859
Alen Docef,2180288863
Richard Redmond,2211908302
Robert Dilworth,2112600414
Tri Nguyen,2594098295
Chathurika Wickramasinghe,2787635512
Nasibeh Zohrabi,2227030192
Kimberle Jacobs,2420915582
James Coffey,2111616682
Matthew Piper,2618221943
Connor Howe,2692285393
Youngbin Kim,2801177160
Katie Tieu,2801457008
Nastassja Lewinski,781818661
Fatih Yucel,2799641149
Robert Strack,2167659866
Darlene Unger,2110920131
Seyran Saeedi,2915009378
Ryan Patton,2526147072
Ravi Hadimani,2080609197
Rashelle Hayes,2136913079
Martin Murphy,2175526824
James McCollum,2226873143
Eric Henderson,3016427688
Siyong Kim,2904394390
Patrick Headley,1979422620
Subhash Narula,2015972125
Rosalyn Hobson,2193281632
Gregory Buck,2148534116
Jimmy Ghaphery,2019593919
Puru Jena,1973598982
Jacob Berlier,2229060467
Dat Nguyen,2128359530
Ayan Biswas,2306231714
Christopher Oldfield,2765288674
Brandon Simon,2888456735
Benson Wier,1848839111
Yijie Huangfu,2001844661
David Wheeler,2414011591
Stephen Fong,2230560253
Jie Wu,2307464069
Abu Badruddoza,2414787495
Bradley Webb,2141535483
Chris Chatzinakos,2606211340
Kenneth Kendler,579136145
Mariza Andrade,2923115049
Lauren Linkous,2803467622
Christopher Gough,2143679932
Hermine Maes,2149140436
Heather Guiffre,2411838994
Erik Test,2139713890
Roshanak Markley,2493404119
Seungjong Oh,2552710422
David Primeaux,2165988977
Jonathan DeShazo,2116352271
Mengqi Ren,2805525137
Ugochukwu Etudo,2318326962
Tuyet Duong,2577477598
George Kasper,2440901197
Riki Gottlieb,2223057145
Jorge Gonzalez-Lopez,2754938779
Jill Hardin,2158338442
Dapeng Liu,2586660562
Donna McClish,2065324292
Morgan Stuart,2230916838
Amanda Gentry,2104903834
Joo-Heon Shin,2572313871
Yasar Ozcan,2110815992
Tomasz Arodz,2589885744
Yang Tang,2122840662
Donald Mikulecky,2502293281
Leon Avery,2126644185
Young-Jai You,2185664050
Thomas Gallagher,2436605060
Craig Larson,2158501118
Doraiswamy Sundar,2402022294
Willard Robinson,2402257910
John Fenn,2168590209
Jeff Elhai,2256105721
Tal Simmons,2980504881
Elisabeth Weiss,2121739656
Prasad Polur,298147944
Brad Geltz,2908098257
Sumit Jha,2503421910
José Dulá,1231307668
Kendall Giles,2138741575
Edwin Oord,233821471
Victoria Hribar,2229298364
Nazanin Mirshahi,2110238971
Joseph Nalluri,2025481148
J. Brooks,2148558718
Robert Rugg,2100080358
Jill Stover,2614806606
Ronald Merrell,1848440343
Ashraf Tantawy,2916828887
Margaret Henderson,2143257699
Georgios Bakirtzis,2766786021
Patrick Sivils,1229351050
Vernell Williamson,2162026926
Jean Zhang,2792946984
Manziba Nishi,2603726396
Ibrahim Guven,2154221054
Bettina Peacemaker,442957451
Robert Perera,2166914247
Simina Vasilache,2001164945
Clint Cuffy,2740104481
David Burch,2135730266
James Bowman,2109315296
David Simpson,2163905919
Ashley Manis,2570080703
Steven Hernandez,2897041771
Charles Smith,2156310418
Karolina Aberg,2012350169
Shaunna Clark,2148023863
Robin Chan,2166965559
Gaurav Kumar,2208797797
Mohammad Hattab,2587733837
Laura McClelland,2160549778
Andriy Mulyar,2982368201
Xiaolu Cheng,2807774157
Lemont Kier,1176010432
Xiaoming Zhao,2619809543
J Harris,2568201620
Branson Murrill,2102009204_https://scholar.google.com/citations?hl=en&user=APzthiwAAAAJ
Steve D'Souza,2225279619
Richard Atkinson,2098908835
David Holdford,18079384
W. Jones,2117512340
Julie Arendt,2807561639
Yiqiang Ding,2674250720
Kyle Ferber,2147503047
Amita Chin,2810357329
Julie Petro,2027949763
Justin Owen,2208927831
Jenna Czarnota,1916697733
John Stansfield,2622863087
Hayder Alwan,2667473422
Emma McCamey,2982234478
K.-M. Osei-Bryson,2974585634
Adam Morrissett,2909341100
H Ozgen,2662482134
Yan Yang,2539802620
Jeanne Schlesinger,2123012429
Carol Hampton,2628461553
Kay Sommers,2763828614
R. George,2202340203
R Hobson,2974433326
R Alkhasawneh,2974626441
Aliakbar Panahi,2980832878
Leila Ghaedi,2535906833
David Sarrett,2641217472
Tom Arodz,2947944751
Melanie Buffington,2084293992
John Layne,2399362366
Qing Zhou,2506168051
