Elke Rundensteiner,2289414603_https://scholar.google.com/citations?hl=en&user=iIFHZ1UAAAAJ
Neil Heffernan,542498001_https://scholar.google.com/citations?hl=en&user=dmCZvnsAAAAJ
Mark Claypool,2098182950_https://scholar.google.com/citations?hl=en&user=KsSGzrQAAAAJ
Berk Sunar,662498110
Craig Wills,2102441918
Kaveh Pahlavan,2229809538
Ning Cao,2085535374
Yishuang Geng,2112980304
Matthew Ward,2102429099_https://scholar.google.com/citations?hl=en&user=EMOe15MAAAAJ
Thomas Eisenbarth,2200657679
Deniz Karakoyunlu,1422082756
Diane Strong,2161878503
Gregory Fischer,2126208367
D. Brown,2141339065
Sergey Makarov,2071087122
Xiangnan Kong,2204127537
Joe Zhu,2983787258
Joseph Beck,2943286438
Alexander Wyglinski,3037233206
Xinming Huang,2114332200
Sujith Gowda,2166930069
Soussan Djamasbi,1566279334
Emmanuel Agu,2022714697_https://scholar.google.com/citations?hl=en&user=Ke6ex0wAAAAJ
Yanhua Li,2160296268
Robert Kinicki,263341535
Gorka Irazoqui,2082933840
Andrew Clark,3037478682
David Brown,2165591090_https://scholar.google.com/citations?hl=en&user=WMGFmzgAAAAJ
Candace Sidner,2021642843_https://scholar.google.com/citations?hl=en&user=j8ULfMsAAAAJ
George Heineman,234843172_https://scholar.google.com/citations?hl=en&user=5vAwdfoAAAAJ
Gregory Noetscher,2151522274
Charles Rich,2892873888_https://scholar.google.com/citations?hl=en&user=zCeJN3UAAAAJ
Mehmet Inci,1982714127
Michael Pedro,2280733497
Michael Demetriou,1716930021
Yunxing Ye,2118938127
Randy Paffenroth,2044178424
Mohamed Eltabakh,2034638176_https://scholar.google.com/citations?hl=en&user=KBiBATkAAAAJ
Daniel Dougherty,2105290673
Carolina Ruiz,2149401507_https://scholar.google.com/citations?hl=en&user=xuOJUqsAAAAJ
Susan Landau,2952127064
Yitzhak Mendelson,2097270400
Halit Suay,300341316
Cristina Heffernan,2172101161
Guanqun Bao,2161451797
Mingzhe Li,2111472147
Taskin Padir,103978109
Phong Le,2103236914
Makoto Wased,2224176964
Dalin Tang,2266108579
Korinn Ostrow,2103489346
Jacob Whitehill,2267111533
Zhenyu Yang,2251126415
