Andrew Campbell,2126914009_https://scholar.google.com/citations?hl=en&user=rthco5oAAAAJ
David Kotz,2043852209
Reza Olfati-Saber,341001588
Emiliano Miluzzo,629700729
Ronald Peterson,2118547253
Sean Smith,2121197119_https://scholar.google.com/citations?hl=en&user=eCv3gnMAAAAJ
Daniel Peebles,2129796489
Xiao Zheng,2281965544
Kristof Fodor,2090504220
Xia Zhou,2137035885
George Cybenko,2204331920
Robert Gray,2120463413
Rui Wang,2664584285_https://scholar.google.com/citations?hl=en&user=OnSubtoAAAAJ
Keith Paulsen,2991834762
Tianxing Li,2124232567_https://scholar.google.com/citations?hl=en&user=fsnA2skAAAAJ
Brian Pogue,2295982203
James Haxby,2472211370
Mu Lin,2074433760
Sergey Bratus,2032667876
Yaroslav Halchenko,2308590913
Patrick Tsang,2146038147
Kenneth Baker,2155221358
Yougu Yuan,2647583839
Ilya Abyzov,339524610
Weihong Wang,2635700594
James Ford,2224379931
Alin Popescu,2138001793
Xing-Dong Yang,2125695339
Z. Butler,2973499737
Ethan Berke,2280440711
Wojciech Jarosz,1965721900
Mark Montague,2156368310
Alessandro Bergamo,2154383845
Shahid Ali,2253208068
Ye Xu,2617979223
Prasad Jayanti,2000404277
Lisa Fleischer,2098179069
Fridon Shubitidze,2079281519
Dan Peebles,2973364020
Daniel Rockmore,53499937
Paul Meaney,2992411815
Kofi Odame,1676198990
Xiaochao Yang,2161945782
Stephen Powell,2133934899
Jason Stauth,1819571292
Eugene Santos,2121858145
Ryan Halter,1986480900
Vincent Berk,2145764876
Emily Cooper,2100543761
Kevin O'Neill,2144925287
Saeed Hassanpour,2119212345
V. Subrahmanian,2947545988
Libo Song,2170258385
Sheng Zhang,2307138417
Afra Zomorodian,2037633499
Jun Gong,2532468807_https://scholar.google.com/citations?hl=en&user=F_g4ujgAAAAJ
Tianyu Wang,2231180322
Frank Davidoff,2765779754
Thomas Bao,2232217636
Laura Ray,2073869547
Zhao Tian,2505224485_https://scholar.google.com/citations?hl=en&user=oKtQIxIAAAAJ
Irma Shamatava,2050725412
Barry Lawson,2145430440
Amit Chakrabarti,2152399136_https://scholar.google.com/citations?hl=en&user=LjP106QAAAAJ
Chuankai An,2101806717
Ashwin Ramaswamy,2126866659
Ajit Appari,2005797384
Stephen Taylor,2892647271
Emily Whiting,1983908091
Scott Davis,2121441962
David Roberts,2467303676
Songbai Ji,2102522713
Jeff Kiralis,1982217726
Joseph Skinner,2134801789
Anna Shubina,2131468278
Xun Shi,2151760349
Shari Pfleeger,2306014047
Nils Nieuwejaar,1538295778
Deeparnab Chakrabarty,2101230383
James Carmichael,2510630364
Michael Rosa,2637362672
Yuting Cheng,2476731088
Thomas Cormen,40955404_https://scholar.google.com/citations?hl=en&user=V5FJ6pIAAAAJ
J. Guntupalli,1772723120
Bruno Korbar,2712905519
Stephen Kanick,1975372724
Dana Williams,2163642074
Venkataramanan Krishnaswamy,2062205213
Xiaobo An,2232348165
Shireen Geimer,2095097817
Peter Winkler,2100665674
Paul Thompson,2439458958
Loris Bazzani,2057452903
Laura Flashman,2145434218
Alexander Hartov,2863408055
Susan McGrath,2170219575
Michael Liljenstam,2974122934
Juan Fernández,2579437132
Sarah Lord,2161681692
Amro Farid,2233005246
Shruti Agarwal,2727389278
John Marchesini,1995258414
Christopher Masone,2871320949
James Dobson,2123779796
Jonathan Elliott,2158642843
Mohammad Baig,2012458327
Vijay Kothari,2227111177
Shudong Jiang,2124017302
Alex Hartov,2012277649
Reid Smith,2500595115
Weichen Wang,2227773382
Varun Mishra,2425001506
Kapil Kesarwani,2029229885
Mary Flanagan,2289517902
Yi Ouyang,2154954583
Andrew Connolly,2105542472
Emily Scherer,1992232452
Justin Pearlman,2141492017
William Nelson,2132036853
James Moor,2143277590
Xiaoyao Fan,2167469580
Lindsay Whaley,2305378595
Lisa Marsch,2305663934
Jonathan Fisher,2341725679
Chris Bailey-Kellogg,1212806720_https://scholar.google.com/citations?hl=en&user=-cwEbxUAAAAJ
John Molitor,2777832109
Peilin Hao,2227171860
Chongyang Bai,2946397216
Greg Ward,2722152671
Timothy Pierson,2510164005
Meiyuan Zhao,2691873833
Travis Peters,2231931223_https://scholar.google.com/citations?hl=en&user=a7I-1XYAAAAJ
Yuhang Wang,2973891099
Rahul Sarpeshkar,37386730
Anusha Sirigiri,2871572796
Aaron Fiske,2099797054
Nikita Dubrovsky,2129543275
Jie Tan,2125921710
John Strohbehn,1989064415
Athina Panotopoulou,2228890184
Tianlong Yun,2222488607
P. Jalalkamali,2974610919
N.F. Sandell,2973982373
Jason Wei,2912693601
Michael Casey,2103610382
Jeffrey Taube,2202038882
Devin Balkcom,1988279064_https://scholar.google.com/citations?hl=en&user=w1OP2yAAAAAJ
Prashant Anantharaman,2663836877
Metin Akay,2673680643
Karim Ahmed,2554817005
Jonathan Bredin,2099010437
Tian Zhou,2116970934
Lorenza Viola,2096599649
Keli Sun,2309304677
Charles Sullivan,2148167838
John Wilkinson,2143295129
Kizito Masaba,2891348343
Jun Han,2638197227
Chrisil Arackaparambil,152906001
Christian Darabos,217907087
Anup Joshi,2773050147
Deqing Li,2150367114
Yan Zhao,2597415486
Robert Savell,1965195463
Andrés Markham,2413223236
Andrea Olofson,2592773800
Matthew Suriawinata,2594137437
Allen Miraflor,2712361901
Catherine Nicka,2737536573
U. Deshpande,2148877056
Sravana Reddy,2096530943
Yu-Han Lyu,2101493063
Shayan Mirjafari,2890026726
Omen Wild,2193597302
Brian Premore,1981932521
Matthew Pallone,2044203802
Subhadra Srinivasan,2294274513
Shene Eisenam,2275571010
Pino Audia,1965690510
Guofei Jiang,2629475677
Angeline Andrew,2135663015
B.J. Premore,2973899596
Geoffrey Davis,2138257372
Rebecca Shapiro,2118021370
Margaret Fanning,2085821900
William Kerr,2102348503
Jennifer-Lynn Demers,2040977334
Linda Wilson,2430580938
Robert Holt,2101613980
Clayton Okino,2304406843
Josh Stabiner,2539950527
A. Barsamian,2973359244
Margaret Karagas,7933754
Ron Peterson,2812409806
Matteo Castello,2296294950
Daniel Himmelstein,2052570088
Justice Amoh,2069214602
Keren Tan,2407284324
Yueh-Ching Teng,2125966517
David McClatchy,2002077505
Mohammad Takhti,2228010092
A. Bezman,2046406116
Michael Henson,1932501735
Jonathan Denning,1981042388
M.E. Johnson,2714405866
John Voight,2121169180
Amar Das,2127025244
Song Ye,2152636134
Francis Kennedy,2122100264
David Gladstone,2299183964
E. Goetz,2649424590
Dingkun Du,2168634986
Benjamin Priest,2612026007
Minh Phan,2151087375
Nicholas Willey,2646210549
Katya Pelekhov,1528377812
James Hughes,2106685484
Jeffrey Fielding,2106905267
Bradley Nelson,2947562724
Andrea Borsic,273247706
Jiawei Ou,2162990606
B. Knorr,2973941357
Rachel Brian,2163725340
Alisha DSouza,2150460758
Gevorg Grigoryan,2118976325
Jiang Gui,2111329518
Peter Andrews,2144232864
Y. Yuan,2973363089
Christopher Levey,2024883883
Janani Sriram,2042708846
Benedikt Bitterli,2222889779
Kevin Wright,2141339535
Maksim Bolonkin,2611359021
Zishuang Ye,2104590688
Robert Santulli,2021021998
Marc Seltzer,2321885060
Mary Hynes,2595216530
Scott Dynes,1980035074
Sara Sinclair,2169133986
E.M. Friets,2496416938
Chris Polashenski,2305869374
Subigya Nepal,2961028432
Jay Dunlap,2132420794
Xhengyi Le,2224749012
M. Akay,2984193251
Chiara Pulice,2256404232
Jihwang Yeo,2308040728
Elizabeth Carpenter,2940777678
Tilmann Steinberg,2082504692
D. Goodwin,2973342119
Bennet Vance,2108681872
Fabio Drucker,2229873577
S. Taylor,2894224040
Jed Dobson,2973242456
Xinran Xiao,2124693201
Weifu Wang,2129341140
Naofumi Tomita,2800621516
Xi Xiong,2634954679
Peter Tse,2276681620
Hamid Ghadyani,2310152041
Alireza Soltani,2474383156
Te-Yen Wu,2980470426
Yihao Feng,2765681163
