Xiuzhen Cheng,2703395736_https://scholar.google.com/citations?hl=en&user=O1yGhH0AAAAJ
Nan Zhang,2916870565
Mona Diab,2124289572_https://scholar.google.com/citations?hl=en&user=-y6SIhQAAAAJ
Suresh Subramaniam,2101114716
Timothy Wood,2246238692
Tarek El-Ghazawi,727931705
Tian Lan,2306581369
H. Huang,2118806834
Taeyoung Lee,2272276615
Wenjing Duan,2049315673
William Money,2154329443
Stephen Kaisler,330074869
Raymond Pickholtz,2089729290
Guru Venkataramani,1923566553
Wei Zhang,2664585899
Hyeong-Ah Choi,2948210831
Guyue Liu,2227736104
James Hahn,2170428709_https://scholar.google.com/citations?hl=en&user=m0BU16YAAAAJ
Poorvi Vora,1833901106_https://scholar.google.com/citations?hl=en&user=OBiA-IAAAAAJ
Hongjuan Li,2096762117
Mohamed Al-Badrashiny,2252233035
Thomas Mazzuchi,345131722
Milos Doroslovacki,139898571
Arwa Alrawais,2276530714_https://scholar.google.com/citations?hl=en&user=gbbXNf4AAAAJ
John Sibert,361874762_https://scholar.google.com/citations?hl=en&user=YhTlF0QAAAAJ
Abdou Youssef,2107536430
Abdulrahman Alhothaily,2274717897
Rahul Simha,2041154165_https://scholar.google.com/citations?hl=en&user=w_JgGZIAAAAJ
David Grier,2079121037
Shahram Sarkani,2006057191
Andrew Thaeler,148017399
A.Y. Teymorian,2032862513
Branimir Vojcic,288257250
Sanjay Jain,2147839890
Lance Hoffman,2118800365_https://scholar.google.com/citations?hl=en&user=n3LNFXQAAAAJ
Bhagirath Narahari,2071182472
B.R. Vojcic,2974911611
Vikram Narayana,2098871566
Volker Sorger,1851163249
Marius Linguraru,2919920671
Robert Pless,2029857874
Ruinian Li,2230147610
Fan Yao,1984215225
Mona Zaghloul,1969904504
Samuel Kotz,1995514038
Fang Liu,2666404566
Stefan Popoveniuc,185483315
Rachelle Heller,2104315591
Diana Burley,1990995016
Maotong Xu,2547515968
Alonso Patron-Perez,305752325
Chung Park,2104751250
Ron Chiang,2261640801
Simon Berkovich,1216427531
Lorien Abroms,1118391484
Xin Jin,2301372681
Murray Loew,1939368286
Gabriel Parmer,1976552024
