Ian Akyildiz,37595673
Gregory Abowd,620732773
Geoffrey Li,2131748517
Wenke Lee,2155626625_https://scholar.google.com/citations?hl=en&user=nfkH5V4AAAAJ
Ling Liu,2125988131
Thad Starner,2038762803
Mostafa Ammar,2130907696_https://scholar.google.com/citations?hl=en&user=OT79Y9UAAAAJ
James Rehg,2211579681_https://scholar.google.com/citations?hl=en&user=8kA3eDwAAAAJ
Devi Parikh,2223275083
Won-Yeol Lee,2154258268
Le Song,2113868374
Dhruv Batra,2098683697
Karsten Schwan,1984042107
Irfan Essa,574770096
Ellen Zegura,2068860363_https://scholar.google.com/citations?hl=en&user=Z6EHuGcAAAAJ
Hongyuan Zha,2099091510
John Stasko,2087252583
Calton Pu,2117427889_https://scholar.google.com/citations?hl=en&user=Vbv-JEwAAAAJ
Maysam Ghovanloo,2223491282
Sung Lim,2160929926
Alessandro Orso,1989715328_https://scholar.google.com/citations?hl=en&user=wCfYkMkAAAAJ
Shantidev Mohanty,2974236968
Frank Dellaert,264739863
Constantine Dovrolis,1945437555_https://scholar.google.com/citations?hl=en&user=sfuwsSwAAAAJ
Elizabeth Mynatt,18171182
Richard Fujimoto,2108052934
Chin-Hui Lee,2982155971
Magnus Egerstedt,2236942756
Raghupathy Sivakumar,2123053077
David Bader,2148365076
Greg Turk,2130761626
Gordon Stuber,270568614
Aaron Bobick,313510708
Hyesoon Kim,2284606743
Saibal Mukhopadhyay,2124047594
George Riley,1965900668
Abhijit Chatterjee,2133787252
Abhishek Das,2786888888
Lu Lu,2673077779
Faramarz Fekri,246792483
Ye Li,2149613736
Richard Vuduc,211035554
Alexandra Boldyreva,2033462817_https://scholar.google.com/citations?hl=en&user=8mHLyRoAAAAJ
Justin Romberg,2094707210
David Dagon,160465655
Mary Harrold,2984677931
Haesun Park,2913216944_https://scholar.google.com/citations?hl=en&user=G6kA1CMAAAAJ
Matthieu Bloch,2125234544
Sudhakar Yalamanchili,2162262175
Jimeng Sun,2110385854
Manos Antonakakis,321442596
Blair MacIntyre,2108490771
Rebecca Grinter,504046652
Jun Xu,2622407443_https://scholar.google.com/citations?hl=en&user=mHwonDEAAAAJ
Paul Hasler,2308932803
Douglas Blough,2205702229
Hsien-Hsin Lee,2147887293
Taesoo Kim,2135529837
Santosh Vempala,2045140648
Umakishore Ramachandran,2953732948_https://scholar.google.com/citations?hl=en&user=J1tqbNAAAAAJ
Amy Bruckman,254181745
Yucel Altunbasak,254430587
Dimitri Mavris,348801705
Raheem Beyah,2303677599
Ghassan AlRegib,2131162844
W. Edwards,2166870691
Janet Kolodner,2153576674
Mark Riedl,2124757846
Saamer Akhshabi,2047905714
James Hays,2161412237
Russell Mersereau,2174483819
Tucker Balch,326461717
Jacob Eisenstein,2142862529
Brandon Lo,2096667389
Guotong Zhou,2154614300
Mary Ingram,2118632190
Ramprasaath Selvaraju,2531025681
Ronald Arkin,326359912_https://scholar.google.com/citations?hl=en&user=WSN7T_YAAAAJ
Arijit Raychowdhury,2698663285
Wenrui Zhao,2155045270
John Barry,2114373274
Hyojoon Kim,2524860905
Moinuddin Qureshi,2793005190
Anthony Yezzi,2132004154
Ravikumar Balakrishnan,2141328616
Charles Isbell,2106580818
Charles Kemp,2157551874
Omer Inan,2132647186
Mustaque Ahamad,2219865830
Hanjun Dai,2169951634
Ada Gavrilovska,209847963
Weiyang Liu,2720092133
Monirul Sharif,2157994666
Duen Chau,2024561599_https://scholar.google.com/citations?hl=en&user=YON32W4AAAAJ
Wassim Haddad,1895878494
Gabriel Rincon-Mora,696964746
Panagiotis Tsiotras,340659962
Ayanna Howard,2114983378
David Anderson,2141504079
Matthew Wolf,2134769804
Byron Boots,2032963921
Ashok Goel,2136709864_https://scholar.google.com/citations?hl=en&user=VjNg25EAAAAJ
Gee-Kung Chang,2170724443
Constantinos Dovrolis,279439568
Alenka Zajic,1970619422
Hua Wang,2617988008
Manos Tentzeris,275101596
Greg Eisenhauer,2160013155
Yangfeng Ji,2153992776
Munmun Choudhury,2123618928
Madhavan Swaminathan,2274762825
John Copeland,2234608059
Shamkant Navathe,2065325028_https://scholar.google.com/citations?hl=en&user=_Z12v2IAAAAJ
May Wang,2140911930
Steven McLaughlin,2180601146
Patricio Vela,2117226903
James McClellan,882174062
George Nemhauser,2053669609
C. Liu,2097175707_https://scholar.google.com/citations?hl=en&user=i28fU0MAAAAJ
Milos Prvulovic,1957571941_https://scholar.google.com/citations?hl=en&user=A_j_baAAAAAJ
Arno Schödl,214487199
Carl DiSalvo,318381181
Russ Clark,2119084818
Sue Long,2664905213
S. Mohanty,2973389999
Alexander Gray,2112810595
Anirudh Ramachandran,2955418028
Stefan Lee,2131064080
James Meindl,2235812700
Bruce Walker,2147601847
James Clawson,2110215375
Waymond Scott,2131598052
Farrokh Ayazi,64203156
Jarek Rossignac,2038767835_https://scholar.google.com/citations?hl=en&user=Q3KRC5gAAAAJ
Henry Owen,2140884861
Spyros Reveliotis,246502883
Vincent Mooney,2152317832
Maribeth Gandy,2070485308
Yi-an Huang,2154482821
Alan Porter,2222081490
Fumin Zhang,2112713030
Edward Choi,2524090778
Yong Zhu,2708988361
Biing-Hwang Juang,2806243324
Zsolt Kira,245481763
Rahul Basole,2072553995
Srinivas Aluru,672311968
J. Laskar,2148017102
Dong Woo,2228863599
Robert Orr,2611834020
Christopher Rozell,2324089765
George Vachtsevanos,2159700737
Shauvik Choudhary,2114387183
Shreepad Panth,2078180463
Jennifer Hasler,2304687200
Mehrdad Farajtabar,1198110563
Steve Webb,2126590519
Vijay Madisetti,42805117
Vytautas Valancius,301313648
Sarita Yardi,2136728825
Henry Carter,2293192240
Evangelos Theodorou,2036040901
Young-Joon Lee,2169301460
Paul Royal,2109808317
Nathan Chenette,2210739261
Brian Magerko,1972560732
Chaz Lever,2512262295
Ismail Kasimoglu,1981744157
Neha Kumar,2170733727
Mark Davenport,2167541979
Cong Xiong,2150427574
