Kyoungwon Suh,2100178834_https://scholar.google.com/citations?hl=en&user=V44e9xAAAAAJ
Mary Califf,1698300791_https://scholar.google.com/citations?hl=en&user=jTUvYSAAAAAJ
Maochao Xu,2751430668
Billy Lim,2103632464
Matthew Nelson,2149165609
Paul Garris,1971320806
Yongning Tang,2994106666
Chung-Chih Li,2661869960
William Yurcik,2974329961
Daniel Covey,2812246176
Amy Chou,2019181402
Pruthikrai Mahatanankoon,2310710952
Cheri Simonds,2157832370
Anita Foster,2269576283
Thomas Critchfield,157472003
Christopher Howard,2123867315
Tibor Gyires,2267111611
Douglas Twitchell,2147473544
Eric Ramsson,2035254146
David Daberkow,2303429401
Yuezhe Li,2216931905
Rishi Saripalle,2308517514
Caleb Carr,2234804703
Lydia Kyei-Blankson,294339682
Byron Heidenreich,2427434191
Karen Douglas,2135887202
J. Cutting,1981941531
Jihad Qaddour,741622080
Anu Gokhale,2632492734
Jianwei Lai,2690633772
Douglas Schuweiler,2225976268
Martin Bobak,2295704644
Xing Fang,2286508260
Amit Shesh,2193636087
Mary Goodwin,2145933841
Bruce Stoffel,2090661552
Dallas Long,2127259054
Larry Brumbaugh,300526330
L. Zigerell,2665865459
James Mai,2097236449
Robyn Seglem,2567291764
Toni Mlis,2319586932
Douglas Love,2531291839
Robert Rariden,2316225162
Avimanyu Datta,2243294622
Elahe Javadi,2063810530
Rebekka Gougis,2477607405
Carl Wenning,2063380957
Joaquin Vila,2096001158
David Stern,2461479054
Olcay Akman,2008692616
Bryan Hosack,2082194958
Paul Vogt,2290435025
Balaji Rajagopalan,2691738918
Chu Jong,2701269957
Jean MacDonald,2483792794
Toni Tucker,2112872508
Sercan Sengün,2144603596
Rebekka Darner,941083278
Catherine O'Reilly,2683111850
Barbara Beccue,185186025
Gregory Ferrence,236310720
Kristin Carlson,2617113609
Angela Bonnell,2114216098
Janet Hartman,2115596723
Norma Presmeg,2082236061
Alycia Hund,2125267184
S. Pakdeeronachit,2547415116
Mohamed Nur-Awaleh,294598765
Epaminondas Rosa,2513041084
Nathan Mortimer,1992460444
H.J. Wen,2437141690
Gary Klass,2493204399
Joan Schuitema,3017645425
Jennifer Sharkey,2665533436
Rodney Custer,2406902407
Laura Erskine,2462797331
Thomas Schambach,364824072
S. Patton,2132791583
Elizabeth Schobernd,9640478
Margaret Erthal,2479756737
Glen Sagers,2177605015
J.D. Hartman,2973900100
R.G. Rathnam,2479834933
Justin Johnsen,2514378095
Sharon Wetzel,2550571694
Christopher Runyan,2943900696
Mitchell Russell,2944682357
Margaret Steffensen,1896090209
Puangpen Intaraprawat,2564799426
Kate Edler,1980670714
Eros DeSouza,1965671632
Matthew Fleming,2571205844
Joseph Hilgard,2129409304
Nathan Hartman,1999308034
Abdelmounaam Rezgui,2904976771
Eltayeb Abuelyaman,2668908139
Shawn Hitchcock,1865482756
W. Yurcik,2973234075
Malcolm Davies,2436476390
Kenton Machina,212209786
Angela Haas,2745178167
Jake Brownell,2226069745
Wei Hu,2963596014
Xiaotong Guo,2963763124
Kent Walstrom,1233707015
Thomas Portegys,2325127708
Ann Beck,2167158191
Jim Cunningham,2097787414
Mehdi Sookhak,2966819123
I. Jawahar,2657059532
David Doss,2114028389
Cary Supalo,2797358027
Annie Sungkajun,2988453594
Xian-He Sun,2659031427
S. Byna,2964350959
Kevin Meyer,2113905768
Julie Murphy,2598430040
John Dossey,2071101581
Julia Stoner,2124226692
Marcia Dennis,2137409621
Howard Parette,2200283449
Cynthia Langrall,345036601
B. Elango,2688567950
Yi-hsiang Chang,2910343301
Lucille Eckrich,1263177279
John Rugutt,1820573306
Vanette Schwartz,2106107566
Sean Higinbotham,2930791642
Ryan Wexler,2933075438
Brandon McDaniel,2126770233
Cara Rabe-Hemp,1869210922
Raleigh Parrott,2168319675
Sandra Roe,2003475964
Emily Watts,2237646328
Nicole Uphold,2290565760
I.K. Jalozie,2228407113
A. Bakirdan,2228887658
Rena Shifflet,2296768444
Jessica George,2316789829
Carroll Varner,2572812169
Carol Chrisman,2396017374
James Wolf,2154750614
Jamie Wieland,2581392604
William Hunter,2108779468
Chad Buckley,2135881141
Kathleen Conley,2783710598
Dean Sanders,2161805784
Anne Shelley,2206557101
Christopher Hamaker,1898740376
Darci Harland,1973797458
Yousra Javed,2307286417
Craig McLauchlan,2082865321
Lisya Seloni,2314092491
Rex Rowley,2306604109
Lee Brasseur,2304966939
David Leech,2714733184
Anuradha Gokhale,2787186816
Joshua Wondra,2603120473
Nerida Ellerton,1990123790
John Fendrich,2225882818
Jeffrey Wagman,2119079965
B. Smith,2591249127
Mark Slama,2020949672
Kevin Celuch,294431639
Vamsidhar Guntamukkala,2305671473
Yvonne Unrau,2307369272
R.A.C. Barbour,2482587359
Vishal Midha,2466885543
B. Beccue,2973654691
Sandy Roe,2583669098
R. Martin,2304243086
Benjamin Oberts,2551150208
Jack Hourcade,2907485023
Jeffrey Hecht,2252178568
Roger Day,2987160681
Olusegun Obafemi,2201272589
Galen Crow,2117784056
Yangxuan Wu,2290047303
James Cox,2768764397
Steven Taylor,2420115046
Edward Mooney,2096695778
Yolanda Johnson,2726078186
Pamela Hofbauer,2730836343
S. Anandikar,2477510823
Stacy Mowry,2940366456
Beatrice Smith,2336308896
Amy Green,2531820521
Chad Kahl,2126131287
Ron Fortune,2692815088
Alan Bates,2152762013
Nancy Latham,2317964461
Cassandra Mattoon,2565756203
Sarah Ennis,2724483924
Alexander Anderson,2167178198
Lisa Hoffman,2527907392
Janet Cook,2232413058
Jase Teoh,2721318012
David Loomis,2101111847
Satoko Kora,2745948244
Bahae Samhan,2738920495
Mira Park,2136912620
Do-Yong Park,2154080673
Robert Lee,2431418502
Ronnie Jia,2085020279
Joel Strong,2303762770
Nancy Novotny,2560573701
Devyn Crawford,2326478331
Anthony Hofer,2668414100
Ian Campbell,2507213303
Linn Sennott,2059911052
Lane Crothers,2288437101
Gary Ames,2188810180
Woojung Chang,2124137340
Sally Gibson,2601809427
Rebecca Hayes,2167656645
Emily Jones,2138934618
Carrie Courtad,2275838496
Leah Nolan,2935990964
Wesley Skym,2936440023
Mitchel Stengel,2939197850
Anna Wright,2939692276
David Donnick,2939927487
Navid Rajabi,2745903677
D. Leonard,2497464303
Dan Brown,2907243479
Stephen Hunt,2142317769
Brent Simonds,2079661840
Masoud Hemmasi,2067874913
Lee Graf,2136951458
Klaus Schmidt,2516462936
Shobit Kasliwal,2564429022
Maureen Brunsdale,2036978409
Matthew Aldeman,2940287563
Sumesh Philip,3015332795
Kenneth Berk,2096691588
Eric Thill,2200900404
David Anderson,2661513453
Steve Croker,2119025000
Kathleen Ball,2148503380
Doug Twitchell,2187516249
David Wallace,2884521543
Trefzger Joseph,2240888231
Miles Linda,2247285821
H. Meadow,2916412478
Eric Willey,2512578940
Hiren Nagar,2687058333
Bill McMillin,2234881486
Renee Mandelbaum,2275713551
Andrew Beaty,2280752886
Rita Bailey,2138309773
Phil Parette,2986427482
J.A. Vila,2974407467
James Kalmbach,2639756927
Louis Reifschneider,2093592827
Peter Kaufman,2143074359
Kristina Kaufman,2336058227
Dent Rhodes,2587509148
Anna Smith,2574183765
George Nora,2104132950
Joshua Kocher,2317757830
Carrie Stafford,2426557271
Barbara Bohling,2652885143
Jill Attaway,2056174579
Cheri Toledo,2294467866
Douglas West,2167043957
James Alstrum‐Acevedo,2511228502
Joseph Johnston,2340883779
Charles Woods,3023905272
Arleen Saluja,2484779286
Rachel Sparks,3021186302
Kara Baldwin,3023919981
Rick Valentin,2988069650
Tara Kaczorowski,2725372035
Shane Hanson,2538134864
Zach Buckley,2969064556
Shashank Sethi,2967023965
Akshay Jadoun,2968349674
Alberto Pena,2699052557
Linda Haling,2398453560
Rebecca Spears,2402607970
Angela Yon,2916457477
Adel Al-Bataineh,2073829374
Syeda Zain,2999266116
Haiyan Xie,2711780951
Richard Hunter,2572625532
Traci Carte,2982717717
M. Clements,2098752309
Andrea Bruck,2576378253
Lisa Szczepura,93819147
Wei Shi,2990334251
Harshit Choudhary,2991157398
Heather Donnelly,2167594593
Temba Bassoppo-Moyo,2249970157
Delvis Dore,2140998090
Lacey Addison,2412302677
Van Ms,2551100109
Corinne Zimmerman,2251253247
David Casper,2309470509
Dishant Tailor,2656817011
Brandon Nelson,2307522510
Brigette Smith,2550770276
Reyhana Pippins,2554856524
Caroline Craig,2321872622
Theodore Branoff,2816266067
Mark Langer,2427138338
