Jonathan Maletic,316323994_https://scholar.google.com/citations?hl=en&user=n9_W4kYAAAAJ
Ruoming Jin,2691650501_https://scholar.google.com/citations?hl=en&user=lNQmMTMAAAAJ
Mikhail Nesterenko,2575507071
Katherine Rawson,1952204097
John Dunlosky,1839660265
Ye Zhao,2174886271
Adnan Vora,2138765838
Javed Khan,2146720820
Ning Ruan,2275463487
Mark Miyashita,2098095208
Marcia Zeng,2131141763
Yin Zhang,2112981592
Gokarna Sharma,2161173016
Yuri Breitbart,1985207418
Romil Shah,2135753207
S. Kulkami,2584662555
Natalia Dragan,2038944282
Paul Wang,2106360706
Xiang Lian,2081778406_https://scholar.google.com/citations?hl=en&user=xvrh8YMAAAAJ
Sue Wright,2480206640
Austin Melton,2051821906
Angela Guercio,2116930235_https://scholar.google.com/citations?hl=en&user=6LcqhvAAAAAJ
Jamie Seeholzer,1973530830
Feodor Dragan,664281783
Joseph Salem,2705663282
Sindhu Karthikeyan,2419954609
David Robins,2096634820
Murali Shanker,2122287832
Chao Ma,2354263023
Arvind Bansal,2581361809_https://scholar.google.com/citations?hl=en&user=LcDL4RsAAAAJ
Johnnie Baker,2156268029
Yingyu Wu,2647716434
Jong-Hoon Kim,2211621107_https://scholar.google.com/citations?hl=en&user=FdTOhw0AAAAJ
Laura Bartolo,2153300905
Athena Salaba,1723228550
Hui Hong,2142421267
Jason Holmes,2620164600
Mark Hooft,707101774
Mehdi Ghayoumi,1462107000
Annette Kratcoski,1965975326
Catherine Smith,2133079437
Kenneth Burhanna,2656849110
Albert Ingram,2151971641
Kenneth Batcher,2041308508
Robert Smith,2120414507
Lin Liu,2311408071
Shehnaaz Yusuf,2118157506
Miriam Matteson,2553763506
Robert Walker,2234789467
Augustine Samba,2086166849
Irvin Cardenas,2766625177
Karl Kosko,2014701013
Michael Hu,2620120617
Dianne Foreback,2256539069_https://scholar.google.com/citations?hl=en&user=KLexhgsAAAAJ
Marvin Troutt,692984334
Shamal Al-Dohuki,2561350039
Abdulkareem Alali,2193513608
Farah Kamw,2565375641
Cheng-Chang Lu,2102802223
Sevim McCutcheon,2102378770
Cathy Lowe,2124812941
Kambiz Ghazinour,1139919548
Will Meilander,2038123672
Reem Alsuhaibani,2224055060
Xiaoke Huang,2227536330
Pratim Datta,2250738494
Brian Castellani,1982761296
Denise Bedford,2084147487
Susan Miller,2099339363
Qiang Guan,2156471281
Jason Schenker,2262641266
H. Peyravi,2974135506
Kay Downey,2051981960
Lesley Hathorn,2046064666
Jordan Adamek,2161436560
Drew Guarnera,2575723024
Peter Wittenburg,2920866960
Menzo Windhouwer,2921877370
Marc Kemps-Snijders,2922411071
Xiao Zou,2656512597
Naser Madi,2230875818
Richard Ferdig,716710940
Julaine Clunis,2599460428
P. Morrison,2241463302
Roman Panchyshyn,594024949
Corey Bryant,2806237872
Thomas Clouser,1970607190
S. Neal,2973251500
Zheye Wang,2647654095
Margaret Maurer,2137106404
Saikat Dey,2230344130
Norbert Kajler,2712045968
Jerry Potter,1984536359
Thomas Bodnovich,2582945015
Mehmet Aydar,2225605714
Christina Haas,2136703222
Saleh Almugrin,2173445093
David Sheets,2685315967
Mandy Munro-Stasiuk,1091173505
Ashutosh Nandeshwar,2299248502
Kiersten Latham,2123693182
Elena Novak,2097977164
Robert Clements,1900899506
Margarita Benitez,2107659351
Yi Zhou,2311198884
Erica Lilly,2436648697
Jeffrey Child,2012414087
James Blank,2334366106
Isabel Lacruz,2120090971
John Updegraff,1578025561
Sonali Kudva,2097412157
Bridget Mulvey,2005634054
Michael Sutton,2401439049
Joe Clark,2137710811
Karen Gracy,678154705
Gregory Shreve,1993310041
Bonita Simoes,2145104879
Edith Scarletto,2250208528
Ikpe Akpan,2474516449
Jayakrishnan Ajayakumar,2553589397
Hai Dinh,2583478109
Paul Fehrmann,1494458509
Fatema Nafa,2274819589
Vanessa Earp,1840055628
Ryan Miller,2165709534
Thomas Froehlich,2053573437
Rajeev Rajaram,2000678845
Tom Klingler,2099016738
Manas Hardas,3037976012
Zhi Yuan,2008778328
Fan Chen,2311504889
Christopher Was,2224779358
Joseph Muscatello,2306228211
S. Hurley,2311812478
Karen MacDonald,2148747144
Pavan Poudel,2762663785
Geoffry Howard,2183970923
Kelsey Vitullo,2926140129
R. Muhammad,2229501077
Aisha Aljohani,2728515511
Cynthia Peterson,2429462844
Alfred Guiffrida,2287910773
Lois Buttlar,257396748
Elizabeth Richardson,2158289352
Neil Wells,2577348695
Roger Fidler,2654856108
Dirk Remley,1712971241
Rodney Feldmann,2140401145
Michael Kreyche,184463292
Brian Bartman,2230524993
Michael Ball,2135611143
Hassan Peyravi,2025211170
Simon Gray,2150830094
V Berardi,2336533726
Stephen Fountain,1892469077
Qingping Tao,2623855653
Lothar Reichel,2130841280
Jennifer Fisette,2011635573
Michael Beam,2653279388
Amal Babour,2479213771
Shishir Rai,2897085084
Rania Aboalela,2343827219
L. Volkert,1586092847
Sajid Shaikh,2154989038
Lindy Brewster,2261835351
Jennifer Salamon,2667154798
Rashid Muhammad,2150542763_https://scholar.google.com/citations?hl=en&user=K8aBJ4AAAAAJ
J.M. Stott,2973615592
M. Mikusa,2576886796
X. Zou,2937186171
X. Lai,2938986419
David Zhu,2395104073
Robin Alvares,2152541077
Jacquelyn Taylor,2505931241
Lynne Rowan,2574878291
Susan Grogan-Johnson,2577135921
Omar Alaql,2229305973
Omar Tahboub,2092608062
Lala Hajibayova,828000448
C. Leangsuksun,2915501984
S. Scott,2973901216
Zhong Guo,2099856077
Connie Fleet,2148516924
David Fresco,2012257332
Scott McCallen,1988885026
Paul Farrell,2111262643
Cindy Kovalik,615678777
Laurence Skirvin,1965963034
A. Samba,2973887873
David Larwin,18593724
C. Asthagiri,2343532974
J. Baker,3001021588
Michael Carl,2099616802
Feng-Ru Sheu,1986645088
Y. Drabu,2973456928
Mary Hricko,497398438
Chanjuan Chen,2925662874
Michelle Park,2934364620
