Hari Balakrishnan,1998464616
Antonio Torralba,2157095084_https://scholar.google.com/citations?hl=en&user=8cxDHS4AAAAJ
Anantha Chandrakasan,1990504404
Robert Morris,2112752255_https://scholar.google.com/citations?hl=en&user=in6eBIwAAAAJ
Alex Pentland,1967546095
William Freeman,2112716162_https://scholar.google.com/citations?hl=en&user=0zZnyMEAAAAJ
Samuel Madden,2916978384
Aditya Khosla,2011491954
M. Kaashoek,2779384724
David Karger,2305153757_https://scholar.google.com/citations?hl=en&user=2vQRGrYAAAAJ
Muriel Medard,2056275757
Dina Katabi,194212017
Frédo Durand,2130226629
Srinivas Devadas,855547412
Ronald Rivest,695545146
Rosalind Picard,687641213
Tomaso Poggio,693931197
Michael Stonebraker,1998938290
Joshua Tenenbaum,2149572011
Daniela Rus,2223948068_https://scholar.google.com/citations?hl=en&user=910z20QAAAAJ
Hiroshi Ishii,2096221143
Moe Win,2465043653
Aude Oliva,2291917982
Gregory Wornell,90593849_https://scholar.google.com/citations?hl=en&user=bSpGhYcAAAAJ
Eytan Modiano,165625497
James Glass,2154846939_https://scholar.google.com/citations?hl=en&user=pfGI-KcAAAAJ
Robert Miller,2104582966_https://scholar.google.com/citations?hl=en&user=e-c3R8QAAAAJ
Tommi Jaakkola,340253981
Joseph Paradiso,295984705
Charles Leiserson,2137029746
Devavrat Shah,2155470367
Ramesh Raskar,2140705446
Jonathan How,1902127369
Martin Rinard,343541395
Nickolai Zeldovich,1150986126
Saman Amarasinghe,2083359406
Tim Berners-Lee,2308609296
Regina Barzilay,2080327427
Cynthia Breazeal,1971545919
John Guttag,120651226
Nancy Lynch,2180706138
Polina Golland,289127100
Barbara Liskov,2084056563
John Leonard,2166738359
Edward Adelson,219819714
Pattie Maes,2991967981
Douglas Reynolds,2121974799
Dimitri Bertsekas,2302225927
Frank Dabek,1270708332
Vivienne Sze,2093716610
Carlo Ratti,2113839928
Piotr Indyk,22135093_https://scholar.google.com/citations?hl=en&user=oOwNKsAAAAAJ
John Tsitsiklis,80220757
Douglas Couto,2068353407
Chris Stauffer,2135883365
Asuman Ozdaglar,278189939
Mitchel Resnick,2131840961
Sanjay Sarma,2170183435
Seth Teller,2288600129
Alan Willsky,270055802
Wojciech Matusik,122968414
Henry Lieberman,2277246337
Anant Agarwal,2282754113_https://scholar.google.com/citations?hl=en&user=E6XXUFcAAAAJ
Benjie Chen,2167618102
Yu-Hsin Chen,2212861991
W.E.L. Grimson,1535162499
Aleksander Madry,2137713989
David Clark,2135387429_https://scholar.google.com/citations?hl=en&user=9s9o-JcAAAAJ
Jeremy Kepner,2136907378
Silvio Micali,699581604
Daniel Aguayo,2150144059
Deb Roy,2101508713
Leslie Kaelbling,299753924
John Jannotti,2203489810
Mohammad Alizadeh,2309837544
Vinod Vaikuntanathan,330291328_https://scholar.google.com/citations?hl=en&user=a8jIPIkAAAAJ
Sertac Karaman,2256959503
John Bicket,2103433756
Dimitris Tsipras,2494958262
Nicholas Roy,2103369886
Tomas Lozano-Perez,187031812_https://scholar.google.com/citations?hl=en&user=gQOKAggAAAAJ
Stefanie Jegelka,1987539784
Russ Tedrake,2011368981
Hariharan Rahul,56628844
Daniel Engels,2110463499
Blaise Gassend,2088238220
John Fisher,2484619393
Una-May O'Reilly,1990919272
Chris Schmandt,2042299866
James DiCarlo,1928096670
Jean-Jacques Slotine,2011752965
Richard Lippmann,2137172369
Natalie Rusk,1160897842
Shafi Goldwasser,1728759264
Fadel Adib,2085731619
Vijay Gadepally,2056870915
Bret Hull,2111303790
Nicolas Pinto,2158761193
Robert Gallager,323942172
Charles Sodini,2224622632
A. Lippman,2876165774
Constantinos Daskalakis,2090235954_https://scholar.google.com/citations?hl=en&user=iTv2cOgAAAAJ
Lizhong Zheng,2154908575
Hae-Seung Lee,2153571960
Isaac Chuang,2068494769
Daniel Jackson,2120858950
David Reed,2106623899
Anit Chakraborty,2226139295
Erik Demaine,380982395_https://scholar.google.com/citations?hl=en&user=6Ff2c8wAAAAJ
Brian Williams,2103347707
Jenny Yuen,2147829853
Munther Dahleh,2021577339
Dwaine Clarke,2127166649
Walter Bender,2568838204
Armando Solar-Lezama,2166621873
Adrian Vladu,1836612366
Thomas Quatieri,2108101369
Rodney Brooks,2288122487
Julie Shah,2113881035
Peter Szolovits,29903417_https://scholar.google.com/citations?hl=en&user=1LuGqFQAAAAJ
Joanna Kulik,2122640195
Suvrit Sra,2469620852
Allen Miu,2031244135
Yury Polyanskiy,1517225460
Yang Zhang,2693706507
H. Asada,2164307765
Danial Lashkari,2116090630
Luca Daniel,2163749263
Arvind Arvind,253507310
Thomas Malone,2016338364
James Fujimoto,2422154356
Aleksandar Makelov,2691945906
C. Papageorgiou,2309506784
Mark Klein,2250868479
Brooke Cowan,2125227694
Wade Shen,2893019528
Tim Kraska,2078839115
Evelyn Eastmond,2074634672
Lorenzo Rosasco,2028927923
Randall Davis,2098416792
Song Han,2233699872
Neil Gershenfeld,223988576
Vincent Chan,2137892754
Ling Bao,2166594248
Stuart Madnick,300074472
Anuradha Annaswamy,2033067284
Rex Min,2097312699
Kalyan Veeramachaneni,161637196
Emery Brown,2163292319
John Maloney,2126119073
Hueihan Jhuang,1910798826
Andrew Lippman,2289110775
Stephen Weis,2985552910
Albert Reuther,2020288819
Berthold Horn,2099167516_https://scholar.google.com/citations?hl=en&user=uWsBKQ0AAAAJ
Steven Johnson,2157199530
Josh Tenenbaum,2491818998
Lewis Girod,2020172126
Rajeev Ram,2109667898
Guy Zyskind,2028820818
Richard Wang,2157065641
Stephanie Seneff,2200470702
David Sontag,2138531792
Ali Jadbabaie,341688178
Mitesh Suchak,2061969711
Adrian Dalca,984316331
Yonatan Belinkov,2279044859
Andrew Ilyas,2765406420
James Orlin,277888803
Hongzi Mao,2226634444
Greg Little,2156768364
Catherine Havasi,2081823336
Hang Zhao,2097349611
Roger Mark,2155871323
Kent Larson,2144129976
Eric Rosenbaum,2201032309
Tien-Ju Yang,2630402700
Shyam Chidamber,1982082877
Anish Athalye,2738073824
Tom Leighton,2128744112
Bonnie Berger,2315546843
Logan Engstrom,2767978228
Ming-Zher Poh,1831104229
Eugene Shih,2108314971
Daniel Weitzner,429071702
Michael Carbin,2027875234
Ron Weiss,2101389519
Bradley Kuszmaul,226482126
Daniel Sanchez,2462569573
David Gifford,2222853225
W. Grimson,430561134
Harold Abelson,2241592855
Vladimir Bychkovsky,2170555936
A. Sinha,2129796910
Jacob White,2169919654
Alice Wang,3014949757
E. Osuna,2234248490
Conor Madigan,2037082877
Phillip Isola,2077136294
Jay Silver,2227996644
Benjamin Moss,2079034591
Amon Millner,2156524597
Jaeyeon Jung,2950134804
Lalana Kagal,238619296
Madars Virza,2197587818
Howard Shrobe,217108747
Nathan Ickes,2076607774
Maxwell Krohn,2626412071
Aiguo Lu,2222576651
Patrick Jaillet,1812487863
Denis Daly,2169677979
Yusuf Aytar,2303941553
Boris Katz,2146601931
John Joannopoulos,2335990857
Zachary Kabelac,2121390190
Peter Michaleas,161218164
David Bau,1834486472
Alberto Rodriguez,2133056414
Tao Lei,2608314227
Upendra Shardanand,1569998941
Ted Selker,311136497
Neville Hogan,2108970986
M. Dijk,2574421861
Richard Braatz,2264498544
G.E. Suh,2859307517
Luca Carlone,95560969
Xiangyao Yu,2128284562
Jean-Philippe Brunet,2269568183
Arvind Thiagarajan,2060501585
Charles Blake,1963742825
Guha Balakrishnan,2310406161
George Moody,2150951582
Evan Jones,2114793034
Shibani Santurkar,2765803305
D.L. Tennenhouse,2992472902
Ankur Moitra,2101788098
Emil Sit,2005445772
Vikash Mansinghka,2943479946
Michael Cusumano,1977341107
Fabian Roth,2102205782
Estibaliz Garrote,2121167421
Mihai Ibanescu,266609616
Dara Entekhabi,115135237
Athicha Muthitacharoen,1554803164
Wei-Ning Hsu,2098476571
Wenhan Dai,2172145262
Joel Dawson,2129151267
Jason Rennie,2056112739
Judith Donath,719789796
Matthew Hubbell,1970669103
Miguel Ferreira,2227876091
Li-wei Lehman,1973262018
Michael Georgas,2071857220
Sinan Aral,2138429372
Hu Lee,2140137683
Robert Freund,2046455523
Chengkai Zhang,2223328708
Micah Johnson,2146166864
Jeremy Lilley,2122904286
Elliot Schwartz,2143286473
William Adjie-Winoto,98317090
Pedro Torres-Carrasquillo,1977711400
Leo Celi,2116171563
Ikaro Silva,2345779776
Michel Goraczko,2529192728
Andrew Prout,2231767088
Chansup Byun,2427893444
Jun-Yan Zhu,2112232458
Leah Buechley,1430130186
William Arcand,246260051
Michael Jones,2140427449
William Campbell,3014724687
Domitilla Vecchio,2116158632
Kamal Youcef-Toumi,2195515212
Eric Lehman,2149310137
Bryan Reimer,2025090343
Barun Singh,2307359726
John Sterman,1325623567
Maximilian Nickel,2152648595
Daniel Lewin,2425148897
Michael Watts,2243282374_https://scholar.google.com/citations?hl=en&user=mL4MovgAAAAJ
Antonio Rosa,2237425079
Fan Long,2115906623
F. Girosit,1534776105
Erik Brynjolfsson,1968209981
Nikhil Naik,2105455257
Alan Edelman,2472388376_https://scholar.google.com/citations?hl=en&user=QVBIKh4AAAAJ
Brian Chen,2425751185
Silas Boyd-Wickizer,104979558
Hugh Herr,2080432154
Chuang Gan,2112762928
Russ Cox,2279462466
Douglas Sturim,2009268734
Duane Boning,2470650186
Dorothy Curtis,2111500301
Jason Miller,2679510901
Arthur Berger,2157946501
Javier Hernandez,2157372683
Brian Silverman,1897823993
Robert Cunningham,2125948329
Alan Oppenheim,1981943968
Larry Rudolph,2000056369
K.W. Forsythe,2097850213
Josh McDermott,2113099356
David Bestor,2232392350
Nancy Leveson,2150992688
Eric Klopfer,2283371822
Daihyun Lim,2104847706
Siddharth Samsi,2139018926
Zhijian Liu,2892088535
V. Bove,2114517636
Hugo Liu,2097628444
Saurav Bandyopadhyay,2144565672
Jose Bohorquez,2133686282
Eric Grimson,2311152712
Bill Bergeron,2223609191
Peter Gloor,2011912922
Charles Yee,2223098800
Alexandros Moukas,357583631
Manolis Kellis,https://scholar.google.com/citations?hl=en&user=lsYXBx8AAAAJ
rodney brooks,https://scholar.google.com/citations?hl=en&user=BCGgwlEAAAAJ
Sangeeta Bhatia,https://scholar.google.com/citations?hl=en&user=L-SoYz8AAAAJ
Marc Baldo,https://scholar.google.com/citations?hl=en&user=lq0KNv8AAAAJ
Srini Devadas,https://scholar.google.com/citations?hl=en&user=-yrzguMAAAAJ
Fredo Durand,https://scholar.google.com/citations?hl=en&user=NJ9c4ygAAAAJ
Pablo Parrilo,https://scholar.google.com/citations?hl=en&user=s_IPfEYAAAAJ
Steven Robbins,https://scholar.google.com/citations?hl=en&user=zqMVpQQAAAAJ
Bruce Tidor,https://scholar.google.com/citations?hl=en&user=0YlwI5MAAAAJ
Chris Peikert,https://scholar.google.com/citations?hl=en&user=PiZymREAAAAJ
Stefan Washietl,https://scholar.google.com/citations?hl=en&user=M-U-KOQAAAAJ
Qing Hu,https://scholar.google.com/citations?hl=en&user=SpC-lucAAAAJ
Robert Altshuler,https://scholar.google.com/citations?hl=en&user=nqi8ERgAAAAJ
Ronitt Rubinfeld,https://scholar.google.com/citations?hl=en&user=pZhZndYAAAAJ
