Aparna Varde,74820909_https://scholar.google.com/citations?hl=en&user=jELwrO0AAAAJ
Dajin Wang,2973592858
Jing Peng,2900533026
Jerry Fails,50122257
Anna Feldman,2161073352
Stefan Robila,75084740
John Wang,2140734347
Michelle Zhu,2102777786
Kathryn Martell,2168867317
Amal Kaluarachchi,2342440724
Ross Malaga,2128256808
Xu Du,2224830322
George Antoniou,2185697915_https://scholar.google.com/citations?hl=en&user=Ifk4QE4AAAAJ
Boxiang Dong,3013103615
Handanhal Ravinder,2291279684
Katherine Herbert,2110438662
Qiyang Chen,2153244868
Steven Shapiro,2104834385
Dawei Li,3013937750_https://scholar.google.com/citations?hl=en&user=VAfUqAwAAAAJ
James Yao,2114102047
Chelsey Hill,2896800269
James DiGabriele,24473655
Michael Pawlish,2020472414
Ram Misra,2126114039
David Townsend,2120848662
Manish Puri,2799122419
Natasha Abner,2576421212
S. Aparna,2223398728
Eileen Fitzpatrick,2166619265
Melinda Knight,2121310597
Kimberly Hollister,1965364993
C. Coutras,2631785280
Mark Chopping,1669508773
Eric Forgoston,2310001090
Eileen Murray,2577624722
Greg Mallet,2224842212
Manuel Roldan-Vega,2228509851
Ghazi Abuhakema,2403659101
Mark Berenson,2068100361
Reem Faraj,2937663335
Debjani Roychoudhury,2224519288
Mary Mallery,848753586
Ying Cui,2503009791
Susana Juniu,181344550
Danlin Yu,2888602788
Jorge Lorenzo-Trueba,2008127196
Silvia Romero,2115847959
Sara Isola,2226698751
Siobhan McCarthy,2602158174
Andreas Koeller,2130978780
Nicole Bryan,2097707685
Andrew DeStefano,2228578685
Emin Arikan,2971847081
Richard Peterson,2134724640
Amir Golnabi,2001701313
David Phillips,2313488363
Michael Jones,2112401479
Stanislav Mamonov,2304510244
M. Kousoulis,2222541368
Chunguang Du,3037788553
William Anderson,2946130576
Zu-Hsu Lee,2158750616
Andrew Wiese,2196670439
Valerie Ho,2558111333
Dorothy Deremer,2020777642
Christopher Leberknight,2345796959
Ruben Xing,2101788876
Joanna Leontaris,2397833284
Wobbe Koning,2223738165
Patrali Chatterjee,2109138595
Spencer Kordecki,2227695669
Christopher Loeschorn,2229165652
David Dymko,2231090076
Zill Christian,2669493591
Robert Friedman,2787169473
Caroline Dadas,1973966573
Joanne Quinn,2629453845
Jiayin Wang,3005632755
Diane Liporace,2782881003
Jonathan Howell,2181500876
Chandana Chakraborty,2139177441
Jason McManus,2105897522
Erin Krupa,2966802780
Alan Oppenheim,2488175632
A. Koeller,2974430949
