Yann LeCun,2053214915
Rob Fergus,2166320536_https://scholar.google.com/citations?hl=en&user=GgQ9GEkAAAAJ
Theodore Rappaport,2403298526
Shu Sun,2470140333
Matthew Zeiler,2087742686
Sundeep Rangan,2160671624
Mathew Samimi,2088165165
Elza Erkip,283611775
Yaniv Azar,2401558350
Rimma Mayzus,2266930103
Jocelyn Schulz,2288662124
Hang Zhao,2309902251
Felix Gutierrez,2962677364
Kevin Wang,3037029358
Joan Bruna,2148877438
Yevgeniy Dodis,1259442811
Ramesh Karri,2127968234
Alexander Tuzhilin,2057138063
Kyunghyun Cho,2462121670
Nasir Memon,2140730868
Ralph Grishman,157725375_https://scholar.google.com/citations?hl=en&user=blwKAkUAAAAJ
Foster Provost,2158932634
Yong Liu,2577728620
David Eigen,2132040654
Panagiotis Ipeirotis,94049422
Keith Ross,2297273366_https://scholar.google.com/citations?hl=en&user=RhUcYmQAAAAJ
George MacCartney,177877772
Yao Wang,2940547699
Julian Togelius,3022308787_https://scholar.google.com/citations?hl=en&user=lr4I9BwAAAAJ
Shivendra Panwar,2275493933
Dennis Shasha,2082974086_https://scholar.google.com/citations?hl=en&user=UQ9Ws6wAAAAJ
Yann Cun,2226714033
Ken Perlin,1124562777_https://scholar.google.com/citations?hl=en&user=TGRPKRIAAAAJ
Fu Huang,2312111295
Zhong-Ping Jiang,2111460500
Eero Simoncelli,2060435928
Quanyan Zhu,2707810849
Samuel Bowman,1967404238
Juan Bello,2138022576_https://scholar.google.com/citations?hl=en&user=PMHXcoAAAAAJ
Yuanpeng Liu,2200059463
Lakshminarayanan Subramanian,2102680016_https://scholar.google.com/citations?hl=en&user=sNeVyqoAAAAJ
Cláudio Silva,2150576810
Christoph Bregler,38970831
Jinyang Li,2138256162_https://scholar.google.com/citations?hl=en&user=MrWIWNwAAAAJ
Sixin Zhang,2762609165
Torsten Suel,702140476_https://scholar.google.com/citations?hl=en&user=eQUn8ugAAAAJ
Denis Zorin,2080123422_https://scholar.google.com/citations?hl=en&user=cagVT0AAAAAJ
Justin Salamon,2194463949
Juliana Freire,2116519607
H. Chao,2153264707
Victor Shoup,2294259183_https://scholar.google.com/citations?hl=en&user=H4cQsHAAAAAJ
Michael Mathieu,2513087722
Anindya Ghose,2095776928
Jefferson Han,2132825097
Leon Axel,2032861547
Brenden Lake,1987690699
Chao Liang,2114111547
Siddharth Garg,2228985983
Marco Mezzavilla,2425949961
Sainbayar Sukhbaatar,2035043562_https://scholar.google.com/citations?hl=en&user=ri1sE34AAAAJ
Pei Liu,2306154491
Oded Regev,1841450864_https://scholar.google.com/citations?hl=en&user=3-gk0ioAAAAJ
Jian Liang,2309467082
Oded Nov,2101239765
Alex Wang,2798400918
Adam Meyers,2171197817
Jonathan Adelstein,2012625720
Richard Cole,2251197075_https://scholar.google.com/citations?hl=en&user=p2ttvlEAAAAJ
Daniel Sodickson,2013599625
David Goodman,2124665635
Olga Sorkine,243551654
William Greene,1811599563
Adriana López-Alt,348144399
Damon McCoy,2119260523_https://scholar.google.com/citations?hl=en&user=pT8-2f0AAAAJ
Robert Grimm,2164693876
Daniele Panozzo,2051708436
Davi Geiger,2251237390
Yang Xu,2640227992
Christopher Poultney,1946898929
Amanpreet Singh,2798944024
Brian McFee,1690634799
Vasant Dhar,2184282108
Nikita Nangia,2609518292
Babak Ardekani,1972753256
Qin-Fan Zhu,2973729524
I-Tai Lu,2147145832
Eric Humphrey,2102655021
Justin Cappos,2006892651_https://scholar.google.com/citations?hl=en&user=COE6KUgAAAAJ
Ahmed Khalifa,2558678681
Andy Nealen,2810878501
Murphy Stein,2150714616
Kyle Cranmer,2340506356
Alex Brodskiy,2031172474
Martin Davis,2612977855
Hung-Hsiang Chao,2340474599
Oner Orhan,2121529129
Ivan Selesnick,2082646264
Husrev Sencar,2308500891
Sha Hua,2100822645
Michael Pinedo,2098907448
Andrea Toselli,3020894457
James Clifford,2101949831
Mikael Henaff,2125286321
George Logemann,1993200149
Yu Jiang,2160804204
Thomas Wies,280909809
Todd Gureckis,358209969
Harish Doraiswamy,1258037689
Natalia Levina,1266608764
Nikolay Archak,301499733
Xiwang Yang,2161939984
Fernando Chirigati,2034529969
Rachel Bittner,2080319709
Xi Chen,2704209241
Linda Moy,2135215972
Feilu Liu,2973913138
Ernest Davis,2140299171_https://scholar.google.com/citations?hl=en&user=tLO-x-IAAAAJ
Michael Walfish,2048602404_https://scholar.google.com/citations?hl=en&user=FVTgmOwAAAAJ
Maurizio Porfiri,1970273277
Shervin Minaee,2092908241
Yair Sovran,230427096
Nizar Habash,2025107431
Aurojit Panda,2132478116
Brendan Dolan-Gavitt,2009152752
Bud Mishra,2110661079_https://scholar.google.com/citations?hl=en&user=kXVBr20AAAAJ
Joseph Turian,2036062915
Russell Ford,2120725851
Farhad Shirani,2123365767
John McDonnell,2143309664
Kang Xi,1975402219
