Ying Wu,2440350627_https://scholar.google.com/citations?hl=en&user=zAlz89wAAAAJ
Randall Berry,2144921091
Alok Choudhary,2147783234
Aggelos Katsaggelos,1984946061_https://scholar.google.com/citations?hl=en&user=aucB85kAAAAJ
Michael Honig,2180159281_https://scholar.google.com/citations?hl=en&user=n-fN1Z0AAAAJ
Yan Chen,2189746349
Dongning Guo,2309996749
Gokhan Memik,51898421
Peter Dinda,2089460557_https://scholar.google.com/citations?hl=en&user=9m3beGEAAAAJ
Yonggang Huang,2135245605
Wei-keng Liao,2161046949
Fabián Bustamante,2131176044
Peter Scheuermann,797615088_https://scholar.google.com/citations?hl=en&user=nvKQ7JQAAAAJ
Noshir Contractor,2056937161
Kenneth Forbus,2047970220_https://scholar.google.com/citations?hl=en&user=IdRYT-8AAAAJ
Barry Nelson,2132391089
Elizabeth Gerber,2151752518
Ankit Agrawal,2160807299
Bryan Pardo,2127628744_https://scholar.google.com/citations?hl=en&user=vxEKYqsAAAAJ
Brent Hecht,1985391146
Uri Wilensky,2000828294_https://scholar.google.com/citations?hl=en&user=3UlRWD8AAAAJ
Darren Gergle,2043473106
Aleksandar Kuzmanovic,1654525798_https://scholar.google.com/citations?hl=en&user=Q_zh52YAAAAJ
Hai Zhou,2161883515
Jack Tumblin,2225054393
Jorge Nocedal,2070638347
Thrasyvoulos Pappas,2306305392_https://scholar.google.com/citations?hl=en&user=FdtIIgkAAAAJ
Michael Horn,2293509280_https://scholar.google.com/citations?hl=en&user=_yO5SYkAAAAJ
Jason Hartline,1121013121_https://scholar.google.com/citations?hl=en&user=AdAd4QIAAAAJ
Kristian Hammond,2616952818
Hui Ding,2310874565
Nitish Keskar,2337946745
Michael Peshkin,253928778
Todd Murphey,52271632
Joe Mambretti,738246931
J. Colgate,2045926442
Kevin Lynch,2108273839
Lawrence Birnbaum,2111389276
Zhichun Li,2162051124
Levi Hargrove,2121985001
Yuan Luo,2678991133
Doug Downey,2900483961
Seda Memik,39770751
Larry Hedges,2068247473
Kathy Lee,2145321431
John Rogers,2168500091
Roger Guimerà,1954994128
Xitao Wen,2126217688
Genchev Genchev,274498248
Oliver Cossairt,2305450980
Randy Freeman,2166080015_https://scholar.google.com/citations?hl=en&user=5aSyxnkAAAAJ
Russ Joseph,2142198960
Allen Taflove,77487822
Hongyu Gao,2114036563
Ramanathan Narayanan,2169349384
Aaron Shaw,2143224217
Pan Du,2303103318
Robert Fourer,53502998
Luke Rasmussen,2124032726
Prithviraj Banerjee,2004361871
Ann Ragin,2007570970
Nikos Hardavellas,1969377669
J.E. Colgate,57437213
Anne Piper,2274943353
Jennie Duggan,2095556346
Diana Palsetia,210558056
Jennifer Pacheco,2123116136
Zhaoran Wang,2115173548
Daniel Edelson,2077759459
Eric Perreault,2040798049
Steven Franconeri,102385966
Changxin Shi,2135629901
Sven Olsen,2116132828
