Patrick McDaniel,2056207806_https://scholar.google.com/citations?hl=en&user=AMGqrI0AAAAJ
Guohong Cao,2167398159
Aylin Yener,2103865925
Mahmut Kandemir,2787830380
Wang-Chien Lee,2143778659
C. Giles,2124749556
Anand Sivasubramaniam,2167092868_https://scholar.google.com/citations?hl=en&user=JWXlepgAAAAJ
Jia Li,2242053196
Sencun Zhu,2170715427
Mary Irwin,2123342649
Chita Das,2153510845
Thomas Porta,697457595
Bhuvan Urgaonkar,146153597
Vijaykrishnan Narayanan,2944480053
Damien Octeau,173245051
Mary Rosson,151371205
Ritendra Datta,2174636882
Prasenjit Mitra,2918741256
Z. Celik,2250297608
N. Vijaykrishnan,2016554098
John Carroll,2144459651
Dongwon Lee,2141172858
Machigar Ongtang,309368212
Kaya Tutuncuoglu,61022234
George Kesidis,336502892_https://scholar.google.com/citations?hl=en&user=g-WedwYAAAAJ
Stephen McLaughlin,2099177293
Trent Jaeger,2181741781_https://scholar.google.com/citations?hl=en&user=LpwdzeEAAAAJ
Anna Squicciarini,2310372355
Robert Collins,2431339895
Narayanan Vijaykrishnan,2943878792
Alan MacEachren,192858880
Masatoshi Nei,2302581886
Vishal Monga,2087399380
Timothy Simpson,2121561944
Daniel Kifer,2049563562
Jing Zhao,2510571624
Asok Ray,2151873659
Akhil Kumar,2101253922
T. Porta,1994251058
Mao Ye,2617455009
Douglas Werner,2134876391
Ingrid Jakobsen,2917988277
Mohsen Kavehrad,2134673135
Viveck Cadambe,192568081
Jack Sampson,2136895992
Phillip Laplante,721327506
Qian Wang,2295174063
Xiang He,2168146135
John Yen,2109919604
Joseph Schafer,2143672425
David Miller,2276725173
Ender Tekin,2163448912
Dinghao Wu,2106073932
Qiang Duan,2122982041
Ting He,2247608262_https://scholar.google.com/citations?hl=en&user=g9yS74gAAAAJ
S. Sundar,2983825756
Soundar Kumara,2079810293_https://scholar.google.com/citations?hl=en&user=ZdpizmQAAAAJ
Zhenhui Li,2098136913
Jing Yang,2688138019
Heng Xu,2112987176
Yanxi Liu,2105004346
Kenneth Merz,2647799126
Hosam Fathy,2244645476
Shekhar Srikantaiah,2010609058
Dongkook Park,2165392386
Constantino Lagoa,2029253075
Anton Nekrutenko,99770489
Ram Narayanan,2147756210
V. Narayanan,2985877832
Zheng Zhang,2985305659
Yi Yang,2584844440
Piotr Berman,2108020103
Joshua Schiffman,2301877732
C.L. Giles,2192434796
Aleksandra Slavkovic,211233220
Xiaoxia Wu,2619425093
Mehdi Kiani,2128339259
Seth Blumsack,2097630783
Réka Albert,2275925217
Swaroop Ghosh,2168881548
Dejin Zhao,2102707969
Alexander Klippel,2028535944
Ahmed Zewail,2222047669
Hojjat Mousavi,2060022684
Conrad Tucker,2099240893
Anthony Robinson,2118636684
Frank Ritter,2110662864_https://scholar.google.com/citations?hl=en&user=i6-z9acAAAAJ
Russell Barton,1979265378
Amitayu Das,2125871147
Minghui Zhu,2111524761_https://scholar.google.com/citations?hl=en&user=d1O4KssAAAAJ
Shashi Phoha,2278948235
Kyle Williams,2124644202
Gang Tan,2176475713_https://scholar.google.com/citations?hl=en&user=JP0dqTEAAAAJ
Bo Zhao,2307592195
Xinyu Xing,2282059511
Zhaohui Wu,2708527874
Tao Zhang,2708982487
Liangzhong Yin,2146233725
Robert Owens,2170509132
Smitha Sundareswaran,2010153410
Susan Land,2102677054
Suhang Wang,2122735199
Parag Pendharkar,94169025
David Hunter,2163276726
Huaxiu Yao,2781037521
Xingjie Liu,2141742294
