Jennifer Rexford,1998722161_https://scholar.google.com/citations?hl=en&user=07ds-DAAAAAJ
H. Poor,2029230138
Kai Li,2166597129_https://scholar.google.com/citations?hl=en&user=9MSpWOUAAAAJ
Larry Peterson,2144500278
H.V. Poor,2973269230
Dorin Comaniciu,2054682710
Jia Deng,2608828817
Margaret Martonosi,1972692845_https://scholar.google.com/citations?hl=en&user=tgYsFS0AAAAJ
David Walker,2161850330
Niraj Jha,2219120753
Sharad Malik,2156970971
Jianxiong Xiao,2396181419
Sergio Verdu,1970488825
Edward Felten,234653941_https://scholar.google.com/citations?hl=en&user=watx0IAAAAAJ
Michael Freedman,2144033718_https://scholar.google.com/citations?hl=en&user=BFE6IQwAAAAJ
Shuran Song,2095742376
Sanjeev Arora,2159007752_https://scholar.google.com/citations?hl=en&user=RUP4S68AAAAJ
Adam Finkelstein,2136484952_https://scholar.google.com/citations?hl=en&user=a959F6AAAAAJ
Sampath Rangarajan,2171138797
Szymon Rusinkiewicz,1936126667_https://scholar.google.com/citations?hl=en&user=RaScARwAAAAJ
Arvind Narayanan,2121998336
Ruby Lee,2331811076_https://scholar.google.com/citations?hl=en&user=odeKATgAAAAJ
Srimat Chakradhar,725555775
Guofei Jiang,2962946347
J. Kilian,2989412135
Andy Bavier,255178747
Sun-Yuan Kung,2305051311
David August,2185216079_https://scholar.google.com/citations?hl=en&user=Wov5tYoAAAAJ
F.T. Leighton,2807524525
T. Shamoon,2987746202
Cole Schlesinger,2109790392
Ting Wang,2158929182
Karthikeyan Sundaresan,2024846517
Warren Powell,2221300944
Visvanathan Ramesh,2140766645
George Miller,2122820242
Andrew Appel,2120329599_https://scholar.google.com/citations?hl=en&user=wC_ntLYAAAAJ
Naomi Leonard,1450221304
Sunghwan Ihm,2146407039
Elad Hazan,2139423477
Christian Bienia,951368644
Paul Cuff,1632888954
Naveen Verma,2146479061
Bede Liu,2166256125
Aarti Gupta,2129619966
Sanjeev Kulkarni,2169100448
Paul Prucnal,252132724
Perry Cook,2127663426_https://scholar.google.com/citations?hl=en&user=ajVR5gEAAAAJ
Christiane Fellbaum,2156989404
Yuanzhi Li,2494239144
Christopher Monsanto,2018400077
Vivek Pai,2303316918
Haifeng Chen,2571838709
Linguang Zhang,2304177752
Philip Ji,2421330107
Neda Cvijetic,289203784
Jaswinder Singh,2157116051
Srihari Cadambi,2040600316
Prateek Mittal,2122368622
Peter Ramadge,1809247296
Yong Wang,2620352331
Philo Juang,2079794533
Sean Gerrish,1991286651
Narayan Prasad,2105480995
Rajesh Mahindra,1898197237
Daniel Rubenstein,2152835565
A.R. Calderbank,2789752059
Mark Braverman,2068669492
Hisashi Kobayashi,2133123494
Hui Zhang,2779422269
Yuanqing Lin,2146751981
Robert Tarjan,350567680_https://scholar.google.com/citations?hl=en&user=lazJixIAAAAJ
Ying Zhao,2677475248
H. Seung,2103030332
Kenji Yoshihira,2077558138
Honghai Zhang,2101677011
Andy Zeng,2514427603
Aleksey Golovinskiy,2003767571
Samrat Ganguly,2212448269
Stephen Pacala,106693520
Hidekazu Oki,2118780942
Mike Wawrzoniak,9514989
Srivaths Ravi,2296024563
Robert Socolow,2462416468
Lei Xu,2585220660
Cezary Dubnicki,2306585574
Eric Cosatto,250543944
Neil Vachharajani,2082860902
Ruoheng Liu,2952923285
Bernard Chazelle,2076086827
Wongun Choi,2134797497
Jianqing Fan,2116537159
Hans Graf,2121371359
Emmanuel Abbe,2060888668
Ankitkumar Patel,2133408385
Malay Ganai,2117247149
Guosen Yue,2036402263
Matthew Miller,2117973668
Sachin Ravi,2751309129
Naga Katta,1558944726
