Kaushik Roy,2109882579
Elisa Bertino,717547165_https://scholar.google.com/citations?hl=en&user=EfuT9RoAAAAJ
Ninghui Li,2165412067_https://scholar.google.com/citations?hl=en&user=XpHwrPsAAAAJ
David Love,2102908355
Edward Delp,1983184564
Anand Raghunathan,1992871312
Dongyan Xu,2133101947_https://scholar.google.com/citations?hl=en&user=CQcd1cQAAAAJ
Bharat Bhargava,2121378700
Y. Hu,2138966024
Walid Aref,220758600_https://scholar.google.com/citations?hl=en&user=vX45evgAAAAJ
Irith Pomeranz,1578068263
Mikhail Atallah,1984264859_https://scholar.google.com/citations?hl=en&user=uc8_eH0AAAAJ
Xiaojun Lin,2111424030
Saurabh Bagchi,2162745679
Yung-Hsiang Lu,2098567766
Xiangyu Zhang,2157206324_https://scholar.google.com/citations?hl=en&user=PXbu1wIAAAAJ
T. Vijaykumar,2306393460
Karthik Ramani,617201418
David Ebert,2136127216
Chris Clifton,2158488542_https://scholar.google.com/citations?hl=en&user=C_cWJIkAAAAJ
Ramana Kompella,229044414
Eugene Spafford,171783842
Jennifer Neville,2124572662_https://scholar.google.com/citations?hl=en&user=6CTPn44AAAAJ
Sonia Fahmy,2243053366_https://scholar.google.com/citations?hl=en&user=UEFIltYAAAAJ
Abhinav Pathak,2106192829
Avinash Kak,1140258848
Ananth Grama,245679212
Jan Allebach,270302827
Sunil Prabhakar,2119765128_https://scholar.google.com/citations?hl=en&user=hQazr50AAAAJ
Sanjay Rao,2229565761
Charles Bouman,2075286745
Eugenio Culurciello,1978227857
Rudolf Eigenmann,2075111996
Peggy Ertmer,2043272311
Dong Ye,2647224255
Chih-Chun Wang,2136092506
Bedrich Benes,2093959614_https://scholar.google.com/citations?hl=en&user=2VvQrz0AAAAJ
Tiancheng Li,2243114470
Luo Si,2127260490_https://scholar.google.com/citations?hl=en&user=xqEfATIAAAAJ
Suresh Jagannathan,2141982898_https://scholar.google.com/citations?hl=en&user=bqkhX54AAAAJ
David Gleich,2148810670
Vijay Raghunathan,2075183362
Vaneet Aggarwal,2164637126
Arif Ghafoor,2117267428
Sang Park,2115324272
Cheng-Kok Koh,2113422618
James Krogmeier,2271601855
Antony Hosking,732573042
Daniel Aliaga,2302828272_https://scholar.google.com/citations?hl=en&user=Bj5YOnYAAAAJ
Juan Wachs,2140123806
Michael Zoltowski,288631871
E.J. Coyle,2991758321
Gesualdo Scutari,308309720
Eberhart Eberhart,2196779961
Samuel Midkiff,2129574738
Kihong Park,2024583159
Seema Bandyopadhyay,2104036549
Susanne Hambrusch,2133492747
Hong Tan,2123307573
Milind Kulkarni,2577640676
Advait Dixit,1999659335
Aniket Kate,2105472947
Yung Shin,2099641919
Michael Powell,2105551230
Wei Gao,2680291451
Dan Jiao,2168834712
Zhiyuan Li,2694229945
David Landgrebe,94223898
Debabrata Mohapatra,2688597807
Vivek Mhatre,3037923005
Gerhard Klimeck,1625055017
Tracy Braun,1992632055
Priyadarshini Panda,2225812279
Victor Raskin,2158066918
Bin Yao,2654475710
Song Zhang,2554677328
Eric Matson,2167880401
Christoph Hoffmann,2101987817
Yuan Qi,2115766665
N.B. Beck,3037261589
Yunbo Zhang,2969630499
Robert Proctor,2167703162
Raymond Wolfgang,2120840083
Shreyas Sen,2152352685
Gregor Richards,2586534196
George Chiu,2024012818
Pedro Irazoqui,1922966927
Arnab Raha,2286009099
Vinay Chippa,1237363120
Amit Agarwal,3037187032
Elias Bareinboim,237352020
Mithuna Thottethodi,1226389745
Xiaohui Hu,2473136846
Keinosuke Fukunaga,2290671913
Carol Song,2122289672
Jeffrey Siskind,273196668
Richard Freund,1910414597
Douglas Comer,2149828693_https://scholar.google.com/citations?hl=en&user=b2f-PjYAAAAJ
Shreyas Sundaram,2149248345
Walter Gautschi,39424420
Jianghai Hu,2155892620
Voicu Popescu,2152709933
Timothy Newby,2138348437
Shiqing Ma,2256244641
Daniel DeLaurentis,2085321559
Pablo Zavattieri,2042644298
Shimon Nof,62490246
Michael McLennan,2099601646
Yu-Wei Sung,2142303985
Weining Yang,2106658620
Mohamed Nabeel,2029140199
Fengqing Zhu,2105083634
Qun Ni,2162031032
Wojciech Szpankowski,2006075200
Byunghoo Jung,2158413543
Bhaskar Sarma,2228352328
Wahbeh Qardaji,2016128592
Mark Johnson,2524203671
Ning Ding,2305884538
Rohan Gandhi,2171516942
John Rice,2119205101
Jibang Liu,2480196905
Melba Crawford,2136583837
Ji-Won Byun,2158359481
Felix Lin,2155488343
Abhishek Chaurasia,2557836622
Chris Gates,2973865816
Salmin Sultana,2151263966
Ashish Kamra,2020215628
Supriyo Datta,2230504608
Rick Kennell,1985861194
Jonghoon Jin,2115978197
Aravind Mikkilineni,2000099560
Satish Ukkusuri,2294323226
Julia Taylor,2099899086
Tiark Rompf,183407993
Thomas Hacker,2028772503
Abhilash Jindal,1995169852
Bin Shen,2310329050
Ashish Ranjan,2228895361
Jeremiah Blocki,2122410992
Inseok Hwang,2807190259
Seung-Jai Min,2145058551
Berin Martini,2950934815
Jongho Won,2223514127_https://scholar.google.com/citations?hl=en&user=R1rGWCIAAAAJ
Kunhyuk Kang,2120933568
Sumeet Gupta,2542996985
C.S.G. Lee,2103412035
Hrishikesh Jayakumar,2134680328
Darcy Bullock,2167649486
Qihua Wang,2120314860
Melissa Dark,2140246710
Pedro Moreno-Sanchez,1978972664
Nicolo Michelusi,1692595148
Mung Chiang,2143724125
Wen Jiang,2556488920
Vijay Pai,2129780294
John Sutherland,2101098473
Okan Ersoy,2110968138
Wen-Chuan Lee,2740095653
Syed Hussain,2103232485
Robert Givan,1987443768
Nadra Guizani,2520255172
Liqiong Wei,2778836029
Yingqi Liu,2740252202
Xin Sun,2569758023
Shirley Dyke,2234413813
Johnny Park,2119674544
King-Sun Fu,2422903718
Gintaras Reklaitis,101555852
William Cleveland,2209779839
James Lehnert,2155884681
Syed Sarwar,2245180429
William Chappell,2119339820
Yousra Aafer,50856585
Kerem Camsari,308548735
Jian Zhang,2569629010
Alejandra Magana,2128684031
Juraj Vanek,2501919121
Gopalakrishnan Srinivasan,2339388044
Kevin Hoffman,2100911148_https://scholar.google.com/citations?hl=en&user=KJssLHoAAAAJ
Jeffrey Karpicke,259040152
Vinayak Gokhale,2030001121
Aayush Ankit,2531733834
Alex Pothen,1459957267_https://scholar.google.com/citations?hl=en&user=_Fah5fwAAAAJ
Y.C. Hu,2121629964
Sangpil Kim,2559052779
Daniele Midi,2086082441
Keith Frikken,2951337581
Shovan Maity,2604338598
Nicoletta Adamo-Villani,20707519
