Christopher Manning,2149153931_https://scholar.google.com/citations?hl=en&user=1zmDOdwAAAAJ
Andrew Ng,2104401652
Li Fei-Fei,3029572595_https://scholar.google.com/citations?hl=en&user=rDfyQnIAAAAJ
Nick McKeown,218283174
Jure Leskovec,1878631932_https://scholar.google.com/citations?hl=en&user=Q_kKkIUAAAAJ
Leonidas Guibas,356043702_https://scholar.google.com/citations?hl=en&user=5JlEyTAAAAAJ
Dan Boneh,201828038_https://scholar.google.com/citations?hl=en&user=MwLqCs4AAAAJ
Andrej Karpathy,46106380_https://scholar.google.com/citations?hl=en&user=l8WuQJgAAAAJ
Michael Bernstein,1974803209
Hector Garcia-Molina,237419955
Andrea Goldsmith,2082044953
William Dally,2037541505
Stephen Boyd,2107142044_https://scholar.google.com/citations?hl=en&user=GExyiRkAAAAJ
Zhiheng Huang,2955107314
Sean Ma,2501619776
Bernd Girod,263819940
Jennifer Widom,671527850_https://scholar.google.com/citations?hl=en&user=zdKmnYwAAAAJ
Sachin Katti,2130290287
Mark Horowitz,2113577245_https://scholar.google.com/citations?hl=en&user=e7V7-gEAAAAJ
Guru Parulkar,2778937179
Dan Jurafsky,2089131864_https://scholar.google.com/citations?hl=en&user=uZg9l58AAAAJ
Christos Kozyrakis,713250648
Rajeev Motwani,2034912444
Pat Hanrahan,2225733586
John Cioffi,2123424715
Percy Liang,2171686691_https://scholar.google.com/citations?hl=en&user=pouyVyUAAAAJ
Mark Musen,2169034151
Silvio Savarese,2968407423_https://scholar.google.com/citations?hl=en&user=ImpbxLsAAAAJ
Sebastian Thrun,2075956027
John Mitchell,2125383417_https://scholar.google.com/citations?hl=en&user=1_kJPIEAAAAJ
Jeffrey Ullman,2289364316_https://scholar.google.com/citations?hl=en&user=wUJ2bXgAAAAJ
Philip Levis,2052109716_https://scholar.google.com/citations?hl=en&user=I_YsXU4AAAAJ
Marc Levoy,2073891704_https://scholar.google.com/citations?hl=en&user=gbVh3PEAAAAJ
Neal Parikh,2107416806
Mendel Rosenblum,2102969555
Kunle Olukotun,1999838320_https://scholar.google.com/citations?hl=en&user=IzXDyR8AAAAJ
Christopher Potts,2114426036_https://scholar.google.com/citations?hl=en&user=3j08YoAAAAAJ
Natalya Noy,2021138233
Trevor Hastie,254766753
Balaji Prabhakar,2108719851
Emmanuel Candès,2280654194
Justin Johnson,2345205178
