Jeffrey Andrews,2133260760
Robert Heath,2472343218
Alan Bovik,310679509
Brent Waters,2131229705
Raymond Mooney,2167433806_https://scholar.google.com/citations?hl=en&user=p9RsPG4AAAAJ
Peter Stone,2147180669_https://scholar.google.com/citations?hl=en&user=qnwjcfAAAAAJ
Inderjit Dhillon,2033403132
David Pan,2033707519
Joydeep Ghosh,2148168557
Jake Aggarwal,2112183790
Sriram Vishwanath,1964777801
Alexandros Dimakis,1253426111
Constantine Caramanis,1969487857
Sanjay Shakkottai,83166806
Lili Qiu,2121935375_https://scholar.google.com/citations?hl=en&user=16posrQAAAAJ
Lizy John,2107445173
Risto Miikkulainen,1968686581_https://scholar.google.com/citations?hl=en&user=2SmbjHAAAAAJ
Sarfraz Khurshid,2103685797
Brian Evans,2219461331
Don Batory,2030271208
Mohamed Gouda,2264808178_https://scholar.google.com/citations?hl=en&user=GRGOG1AAAAAJ
Andrew Whinston,139594551
Jacob Abraham,2222350550
Mike Dahlin,2051666199
Lorenzo Alvisi,2292936287
Yale Patt,127822908
Keshav Pingali,651843436_https://scholar.google.com/citations?hl=en&user=02UU6wgAAAAJ
Robert Geijn,226597869
Yin Zhang,2428856460
Simon Lam,2142037325
Gustavo Veciana,2166325329
Ufuk Topcu,2166645686
Emmett Witchel,2307943801_https://scholar.google.com/citations?hl=en&user=k4oSgRkAAAAJ
Earl Swartzlander,2250630164
Nan Sun,2162981722
Matthew Lease,2123681105
Andreas Gerstlauer,98620466
William Mark,2123305672
G. Veciana,1981470804
Philipp Krähenbühl,1978515735
Sujay Sanghavi,2040505518
Mattan Erez,2164478634
Steven Peters,2146355321
Chia-Chih Chen,2143438229
Eric Price,2169182952_https://scholar.google.com/citations?hl=en&user=UE6z_m8AAAAJ
Vladimir Lifschitz,2107253246
Lu Xia,2421992045
Nur Touba,155815696
Aloysius Mok,2115117899_https://scholar.google.com/citations?hl=en&user=M6urChQAAAAJ
Calvin Lin,2188667897_https://scholar.google.com/citations?hl=en&user=VDMARucAAAAJ
Yijun Qiao,2104198172
Eshar Ben-Dor,2171449970
Qiaoyang Ye,2140231460
Lawrence Cormack,338748626
Mandar Kulkarni,2099975850
Harrick Vin,2020627909
Michael Orshansky,1892315810
Anish Mittal,2139530731
Tianyang Bai,2122579007
Qixing Huang,2166170891_https://scholar.google.com/citations?hl=en&user=pamL_rIAAAAJ
François Baccelli,58999047
Isil Dillig,61468710
