Vladik Kreinovich,2423819275_https://scholar.google.com/citations?hl=en&user=iern2agAAAAJ
Christopher Kiekintveld,2083274779
Yoonsik Cheon,2001849669
Michael McGarry,2088825478
David Novick,2130558693_https://scholar.google.com/citations?hl=en&user=XfQ7rDoAAAAJ
Ryan Wicker,2207456663
Patricia Teller,618576870
Xiujun Li,2306966778
Olga Kosheleva,2998276059
Olac Fuentes,2426151402_https://scholar.google.com/citations?hl=en&user=NdcgT00AAAAJ
Wei Qian,2924583946
David Espalin,1656940426
Mireya Perez,2412552081
Steve Roach,2110281572
Efrain Aguilera,2466400271
Ann Gates,2161206911_https://scholar.google.com/citations?hl=en&user=SfdnQ60AAAAJ
Rudy Salas,2129489704
Homer Nazeran,1934902976
Carol Kelley,2125726801
Wenqing Sun,2702596594
Paulo Silva,2142397118
Tzu Tseng,2125579297
Nigel Ward,2109077142_https://scholar.google.com/citations?hl=en&user=ncnkwCMAAAAJ
Eric Freudenthal,1979875793
Kenneth Yang,2107960290
Ricardo Pineda,2489656503
Natalia Villanueva-Rosales,2620219567
Shirley Moore,2158446791
Steven Gutstein,2088680247
Mo Mahmood,2176677447
Iván Gris,192528665
Paras Mandal,2239790547
Edson Estrada,2304792130
Emily Haltiwanger,2506064096
M. Hossain,2120864034
Deana Pennington,2135297258
Diego Rivera,2138761419
José Hurtado,2302168379
Noe Hernandez,2155761986
Martine Ceberio,2048810581
Alejandro Vega,2153938551
Leonardo Salayandia,2240123290
Sarala Arunagiri,1227477624
Geovany Ramirez,2164026436
Adriana Camacho,2133417700_https://scholar.google.com/citations?hl=en&user=lMztfYgAAAAJ
Joe Lorkowski,1933653094
Tzu-Liang Tseng,2791665168
Surya Madhira,1970009608
Mario Gutierrez,2622094907
Eric Smith,2344500506
Roberto Araiza,2225980853
Kallol Bagchi,1974389031
Godwin Udo,53372045
M. Mahmood,2161822345
Oscar Mondragon,2000409398
Luc Longpré,687412612
Sergio Cabrera,2615162549
Thompson Sarkodie-Gyan,1994765941
Anthony Ortiz,2772420982
