Robert Jacob,673017202_https://scholar.google.com/citations?hl=en&user=FWjqglcAAAAJ
Matthias Scheutz,2305052248_https://scholar.google.com/citations?hl=en&user=5yT3GScAAAAJ
Karen Panetta,2140651022
Remco Chang,2023608286
Samuel Guyer,2084000320
Sameer Sonkusale,1969320100
Fiorenzo Omenetto,68867946
Shuchin Aeron,2297222210
Marina Bers,2490346258
Eric Miller,2185561068
David Kaplan,2123614274
Soha Hassoun,1970410708_https://scholar.google.com/citations?hl=en&user=tR5MNfkAAAAJ
Gregory Crane,2056997645
Kathleen Fisher,2134374908_https://scholar.google.com/citations?hl=en&user=8mi-oYYAAAAJ
Usman Khan,2137094843
Sergio Fantini,2171298354
Michael Levin,2527624094
Roni Khardon,639666141
Mai Vu,2344340045
Bruce Panilaitis,1998744398
Mark Brenckle,2062293447
Miaomiao Yang,2142679690
Angelo Sassaroli,1222095953
Elizabeth Kazakoff,1591585886
Zemin Zhang,2099026779
Amanda Sullivan,2156945027
Misha Kilmer,2004884729
Alva Couch,1251186077_https://scholar.google.com/citations?hl=en&user=7oJoP0IAAAAJ
Michael Trakimas,131646306
Holly Taylor,2132333140
Tad Brunyé,43713446
Barry Trimmer,2210092165
Louise Flannery,2094624042
Thomas Arnold,2224855800
Daniel Afergan,1907778215
Eric Wharton,2082207227
Ning Hao,1953361607
Chris Rogers,2129322615
Nagaraj Holalkere,3025190391
Chen Gao,2113708931
Hugo Akitaya,2507540710
Megan Strait,2940547522
Joseph Noonan,2147533099
Kevin Small,2538918524
Donna Slonim,2201429319_https://scholar.google.com/citations?hl=en&user=i3pEsbgAAAAJ
Yue Wu,2618273771
Judith Stafford,2212582611
Ethan Danahy,47060787_https://scholar.google.com/citations?hl=en&user=hrIMhFgAAAAJ
Ray Jackendoff,1990829728
Keith Noto,1964319870
Gabriel Wachman,1202501558
Lynn Hlatky,596048258
Paul Trow,2778157556
Samuel Hincks,2015434631
Fahad Dogar,2427405855
James Murphy,2620377667
Ana Soto,2110746400
Philip Hahnfeldt,725220776
Vasanth Sarathy,2252585324
Babak Moaveni,2019941200
Nauman Khan,2099968487
Amanda Strawhacker,2125452083
Nathan Ricci,2154143949
Clare Lamont,2153856503
Michael Hughes,2107595349
Daniel Kasenberg,2693441047_https://scholar.google.com/citations?hl=en&user=gdiodfwAAAAJ
Alison Babeu,5874657
Jivko Sinapov,105898155
Valencia Koomson,2000606171
Kris Powers,2423551715
Lenore Cowen,1234911434_https://scholar.google.com/citations?hl=en&user=TarR6_8AAAAJ
Steven Chapra,1967813120
Arash Samani,2054606014
Shahan Nercessian,2077722218
Diane Souvaine,145047672_https://scholar.google.com/citations?hl=en&user=QTRDjTUAAAAJ
Maryanne Wolf,2237880457
Brian Tracey,2055036130
Jeffrey Foster,2155210674_https://scholar.google.com/citations?hl=en&user=QWPwfsgAAAAJ
Jingjing Liu,2260949924
Norman Ramsey,1503553503_https://scholar.google.com/citations?hl=en&user=7QTGa98AAAAJ
Lauren Branchini,2952463212
Sam Safavi,2102540684
Taritree Wongjirad,2884872097
Krysta Chauncey,1846770371
Ali Mirvakili,2277933834
Lisa Pinals,238939940
Valencia Joyner,2063029292
Carlos Sonnenschein,1950609940
Mollie Elkin,2138087481
Robert D'Angelo,2051418269
Dylan Cashman,2889337117_https://scholar.google.com/citations?hl=en&user=OJt8vkcAAAAJ
Anoop Kumar,2223005520
Matthew Falagas,243040054
Irene Georgakoudi,162563852
Abigail Mosca,2893565376
Bridget Almas,2098615192
Evan Krause,2168409062
Bertan Hallacoglu,111931331
Chenguang Xi,2125066922
Douglas Blackiston,1246978527
William Messner,62791873
Jason Rife,2110694412
Bradley Oosterveld,2468110281
Kevin Smith,2916947965
Vildan Tanriverdi,2222498739
Andrew Jenkins,2503687704
Susan Santangelo,2420322641
Stacey Ecott,2223552090
Meera Punjiya,2462588391
Tomoki Shibata,2134739772
Qianwen Wan,2226617848
Aaron Gardony,66259812
Alireza Alizadeh,2495671607
Nigel Jacob,2138680717
L. Constantine,2911593445
Felix Gervits,2565428620_https://scholar.google.com/citations?hl=en&user=DP3jcx0AAAAJ
Mark Hempstead,1998375094
Xiaozhe Hu,2235435259
Aleksandar Stankovic,1973951155
Yijun Zhao,2135745075
Adam Storeygard,2336273220
Osama Haq,2343255665
Long Bao,2228845687
Ronald Thornton,2235541283
Robert Chavez,2462925447
Hua Tao,2147673727
Justin Hollander,2138133075
Aniruddh Patel,2789991543
Phillip Holcomb,2124472827
L. Romero,2146625640
Nicholas Dodman,2121961528
Ben Shapiro,2630713675
R. Agarwal,2320846358
Alexei Degterev,2217828532
Kyongbum Lee,2120960230
Christopher Lo,2689965047
Ranjani Saigal,2162278481
Shafiqul Islam,2160149565
Matthew Ahrens,2229005492
Ariel Cohen-Goldberg,255073095
Linda Abriola,113721275
R. Crouser,2056114343
James Kebinger,1463922793
Linda Tickle-Degnen,7853673
Srijith Rajeev,2894339739
Feng Zheng,2320262879
Marc Chiarini,2166736787
Cassandra Donatelli,2744629925
Masoud Sanayei,1931051360
Tara Kola,2406389527
Brian Swahn,2016497626
Tyler Frasca,2678603470
Nancy Leland,1974487737
Stephen Morrison,2974236323
Kurt Oleson,2404528896
John Wong,2153175204
Ravenna Thielstrom,2901602370
Bruce Boghosian,2421642460
Guoqing Fu,2105170844
Federico Boschetti,2289238409
Jose Ordovas,2140576050
Cody Canning,2119748264
Saad Farooq,2223647574
Stephanie Gottwald,2318687361
David Small,2422163516
Gina Kuperberg,2000806519
Bradford Navia,2111703441
Hyejin Im,2192088511
Dan Preston,2154538681
Aleksandra Kaszowska,2803544423
Yuan Wang,2768009287
Nathan Birnbaum,2816567466
William Lenk,2096345142
Monica Berti,2013376716
Jian Guo,2140265329
Lisa Cerrato,2164711134
Hao Cui,2530345566
Anselm Blumer,2041363645_https://scholar.google.com/citations?hl=en&user=4esyQS4AAAAJ
Michael Gilfix,2322539110
Xue Zhang,2797857793
Fridrik Larusson,1977665167
Yun Miao,2520232209
Fred Resnic,2303809884
Hwa Chang,2112812913
Quan Lin,2546741375
Helen Zhao,2548622369
Samuel Polk,3029097897
James Adler,2113503089
Dylan Portelance,756008628
Matias Korman,2140429713
Amy Thurber,2047545021
Taylor Malone,2125818963
Jason Wilson,2123463090
Marvin Xavierselvan,2937622622
Jörg Schuler,2288645674
Ethan Tu,3040025061
Paul Stark,2571208906
Alison Jones,2118449215
James Nichols,2620415022
Giovanni Perotto,2606970039
Yizhan Sun,2103248363
Naomi Rosenberg,2127513931
Paul Lehrman,2147403753
Andrew Williams,2951933044
Adel Malek,2116514651
Renato Nakagomi,2071126570
Esther Avendano,2305342300
Stanley Ip,2475356888
Constantin Berzan,174065528
Misha Eliasziw,2618882452
Whitney Crooks,2166430387
Gabrielle Vukasin,2643747183
Maeve O'Sullivan,2973948887
Giordano Ferreira,2122657528
Priscilla Briggs,2224364549
Eric Tytell,2015112361
Amar Bhidé,2136033276
Samuel Thomas,2301369948
Joseph Sanford,2182362364
Heather Burte,2026369326
Christoph Börgers,338785295
Sepideh Sadeghi,2707505626
Brian Gravel,2026174142
Ran Xin,2673282515
Heather Urry,281821510
Ali Muftu,2183043584
Lawrence Wong,2782438115
Sean Kelley,2511197889
Robert White,2152716160
Jenny Aker,2132573262
Lucia Speroni,2116421020
Zhiyi Liu,2120267831
Yedi Wang,2962430932
Piers Echols-Jones,2588480760
Elise Deitrick,2231099291
Patrick Florance,2193081481
Christopher Barnett,2550472247
Elizabeth Newman,2726027832
Meera Thiagarajan,2610373608
Linda Jarvin,2308740976
Chris Swan,2311615345
Francine Lalooses,268299940
Danilo Marchesini,2342724171
Tad Bruny,2742425920
Carla Brokley,2513603343
Diogenes Nunez,2508693468
R. Lomasky,983907605
Weitong Ruan,2230615163
Anne Sauer,2111808987
Shishir Rao,2572878928
Meia Chita-Tegmark,2934076225
Chirag Sthalekar,1864394453
Rahul Rajendran,2397621528
Nikolai Schwertner,39151712
James Schmolze,111884242
Amanda Baryshyan,2003070265
Gary Leisk,2053859503
Frank Saunders,2169401622
Bess Dawson-Hughes,1997804270
Elena Naumova,2059851128
Jordi Albo-Canals,2010267912
John McDonald,2438353672
Clifford Wulfman,1856302976
Olaf Dammann,300765464
Mark Pitkin,2055053019
Jerome Kassirer,70904115
Anzu Hakone,2564798630
Bilal Ahmed,2470180175
Harvey Zhou,2223970898
Matthew Finkelman,2110765342
Aaron Tietz,2222554270
Brad Oosterveld,2974451860
Matthew Aernecke,561477673
Juanita Mathews,2410912730
Carly Brodley,2974215908
Nathan Majumder,2517329580
Lisa Gualtieri,2892590435
Lucas Finn,2154883936
Wilson Mertens,1884415017
Elena Rybak-Akimova,2030280959
Elena Jakubiak,2760893690
Yisu Wang,2515601425
K Kamath,2751291389
Antje Danielson,2131405850
Julia Gouvea,2199206670
Sungkil Hwang,2108594508
Jake Crawford,2745551022
Guangtao Ge,2671900536
Marie-Claire Beaulieu,2111410510
Chengchen Guo,2155673491
Chunmei Li,2618028981
Monica Toft,2899059350
Vincent Fitzpatrick,2994300881
Robert Jacobs,2497651544
Hojatollah Nejad,2731727489
Gabriel Weaver,2192887108
Insoon Yang,2973393670
Maxim Dokukin,1819692807
Sarah Gunnery,2546336647
C. Chang,2262051229
Arturo Parrales-Salinas,2508990913
Raymond Nickerson,2127549793
Danielle Kong,2400018190
Garth Griffin,2154028889
Saurav Acharya,2344946304
Dimitra Pouli,2026637571
David Hammer,2145135500
Bo Fan,2466458556
Kristen Tgavalekos,137680467
Jason Liu,2226023763
Richard Chechile,1541714628
Laura Pavlech,2159813212
Ruiling Gao,2233114749
R.E. Schoonmaker,3039164897
John Hart,2096682914
David Buckingham,2771605864
Fernando Ona,2080718492
Nicola McKeown,2157715204
Marissa Shams-White,2214355113
Kenneth Chui,2268258115
Aviva Must,286018297
Mona Yousofshahi,265080523
Kamath Shreyas,2621770447
Mamoon Raja,2182509433
Eric Quinto,2431859024
Rafia Malik,2894673058
Sai Das,2131956652
Zhenying Luo,2159338132
Lara Vujovic,1906646141
Victoria Floerke,2031890261
Daniel Hannon,2158236598
Taining Zhang,2921557331
Aditi Wagh,2434521757
Faith Ocitti,2888462819
Christopher Pietras,2888476908
Christopher Cannizzaro,2127207342
Diana Montagu,2755375851
Marianna Eddy,2104987737
Hussain Elkotby,2346581946
Andrew Gallant,2098263488_https://scholar.google.com/citations?hl=en&user=GqyM58kAAAAJ
Junjun Xia,2099906691
Alena Borisenko,2921756248
Edwin Jain,2997105702
Jody Azzouni,56001867
Jodie Moreau,2146858346
Robert Cook,2186481391
Caleb Helbling,2538949955
Panos Papaspyridakos,1896255656
Mingming Song,2571310248
Wenwen Huang,2155146683
Kim Miller,2478059810
Nina Dinjaski,2624800911
William Rice,3037575001
Z. Wallace,2886726244
Jordan Lueck,3007306905
Saeed Majidi,2110546587
Charles Mace,2135450719
Erin Sanders,2584451643
Sarah Bradner,2738205152
Casey Culligan,2852692509
Margarita Parasi,2230964199
Douglas Weaver,2973594691
Horn-Yeu Shiaw,234672034
Nicholas Frank,2136879805
Yurii Moroz,2015324582
Daniel Karlin,1964371592
Roger Tobin,2309400603
Jesse Sipple,1991772435
Joel White,2145360093
John Kauer,2171134590
Alice Tang,2146900334
S. Sughrue,2511538979
J. Queenan,2511826196
