Feng Chen,2601749234_https://scholar.google.com/citations?hl=en&user=KOQ-SSYAAAAJ
S. Ravi,2642923999
T.M. Vaughan,2814320846
Xunyu Pan,2637677354
Shengkun Li,2904291663
Chang-Ming Chang,2568699593
Tolga Soyata,267116101
Tomek Strzalkowski,383848825
Giri Tayi,96976259
Jianwei Zhang,2422265929
Teresa Harrison,2143580678
David Andersen,2290199555
Daniel Rosenkrantz,250841333_https://scholar.google.com/citations?hl=en&user=RNHJqvcAAAAJ
Mei-Hwa Chen,2692532645_https://scholar.google.com/citations?hl=en&user=P1s523UAAAAJ
Pradeep Atrey,2188720830
Saggi Nevo,2284928537
Donald Ballou,1257056487
Paliath Narendran,3037940566
Sharon Dawes,2402359266
John Justeson,338331177
Nick Webb,2759845696
Charalampos Chelmis,3018003643
Petko Bogdanov,2247548115
Hany Elgala,38370567
Huahai Yang,2667099228
Mariya Zheleva,1961821186
Deborah Andersen,2126948262
Richard Johnson,2250253224
Sanjay Goel,2127809852
Yiming Ying,2800659857
Jeong-Hyon Hwang,2760905887
Liyue Fan,2109596318
Eliot Rich,2149677621
Oezlem Uzuner,3000445381
InduShobha Chengalur-Smith,1274697557
Luis Luna-Reyes,380148263
Daphney-Stavroula Zois,2005307290
Xing Zhang,2691117062
Mengfan Yao,2775075457
Richard Stearns,2102135011
Nobuyuki Shimizu,2170755595
José Gil-García,2394753286
Dai Pan,2232320179
Baojian Zhou,2617071723_https://scholar.google.com/citations?hl=en&user=FWQHIYgAAAAJ
Jonathan Muckell,1352609367
Hilda Hardy,2110623448
Yelin Kim,2228268380
Dola Saha,2225691266
Mohamadhadi Habibzadeh,2756961598
Xin Wang,2701880632
Kimberly Colvin,2105290483
Mila Gasco-Hernandez,2739616432
Greg Maher,2191959586
Fan Ping,2055161766
Rebecca Mugridge,1233097200
Mary Casserly,1921735437
Harry Hunt,2123053512
Andrew Haas,2440733172
Dan Willard,1813998250
Dan Tao,2739888716
Jagdish Gangolly,2480453834
Kevin Knuth,91443964
Natalie Dowell-Mesfin,2852944547
Chunpai Wang,2783048450
Aveek Dutta,2112076735
Hadi Habibzadeh,2735760532
Sue Faerman,1969309068
Liu Ting,2590993394
Harold Pazer,2190786148
Rui Li,2719321959
Annalisa Scimemi,2260878380
Mary Ullen,2178108652
Shaghayegh Sahebi,2145025370
Laura Cohen,2139285290
Seokjoo Chang,2114721876
Xinyang Zhang,2237817942
Boris Yamrom,2763660858
Recai Yucel,2461288961
Fangqun Yu,2138296540
Gan Luo,2124172222
Michael Lesnick,1965464829
Ingrid Fisher,2152961751
Amirreza Masoumzadeh,2092484008
Laurie Feldman,2130139090
Mei Chen,2909663210
Victor Asal,693858401
Laura Jiao,2255788360
Alana Elia,2257019702
Jiyeon Lee,2790674710
Reza Behnagh,2938597370
Abebe Rorissa,355833877
Dianna Newman,2495224272
Yasitha Liyanage,2901228203
Sedef Uzuner,2318698493
Omid Shishvan,2911727005
Xiaojun Yuan,2668493393
Monette Khadr,2898683861
F Mary,2514875804
Alan Zemel,2207418741
Varun Chandola,2798732762
Min Wu,2179370723
Darlene Judson,2306191655
Jane Kessler,2171725858
Ersin Dincelli,255621201
Suryadipta Majumdar,2435069960
Salvatore Belardo,2204469277
Hyejin Park,2789522291
Derek Werthmuller,2065156557
Robert Bangert-Drowns,1391084232
Elaine Bergman,2098956721
Maqsood Careem,2899088661
DaphneynStavroula Zois,2919820330
Wendy West,2201743305
Carol Germain,2113970793
Greg Bobish,884185762
H.L. Pazer,2973859720
D.P. Ballou,2974774331
Donna Canestraro,1802109174
Felippe Cronemberger,2998114191
Chinwe Ekenna,261117751
Nancy Poehlmann,729339711
Serdar Erbatur,3019875884
Padmavathi Iyer,2807060528
Timothy Larock,2635036402
Ian Davidson,3006390496
Michael Ferguson,2226311667
Yanqing Sun,2930977212
Jana Hrdinova,2004610053
Adil Alim,2549712871
Mohammed Gharawi,799952116
Mahdi Najafabadi,2789816089
Ben Placek,2048526609
Ahmed Hussein,2792805583
Jana Makedonska,725796341
Dongwan Ryu,2287473087
Theresa Vaughan,2947504038
C.A. Schneider,2404029054
James Mower,2147269490
G.B. Burke,2949135118
Brian Burke,2954894433
Carson Tao,2747050862
Heather Miller,2118198029
Xujiang Zhao,2907479997
