Chunming Qiao,2114691006_https://scholar.google.com/citations?hl=en&user=uqLD3qYAAAAJ
Jing Gao,2096731881_https://scholar.google.com/citations?hl=en&user=Ftj1h4cAAAAJ
Venu Govindaraju,2102146905
Chang Chen,2107695993_https://scholar.google.com/citations?hl=en&user=w2HXPUUAAAAJ
Lu Su,2148733542
Barry Smith,2471866511_https://scholar.google.com/citations?hl=en&user=icGNWj4AAAAJ
Sargur Srihari,2069509258
Murat Demirbas,2116057004_https://scholar.google.com/citations?hl=en&user=plv0rRQAAAAJ
Duygu Sarikaya,1787511002
Liang Zhao,2607676807
Shambhu Upadhyaya,2109843937_https://scholar.google.com/citations?hl=en&user=9XFx3VMAAAAJ
Atri Rudra,2147385210
Jan Chomicki,1973119209_https://scholar.google.com/citations?hl=en&user=twwFv3QAAAAJ
Hung Ngo,2100461916
Wenyao Xu,2129407551_https://scholar.google.com/citations?hl=en&user=dvvN6qsAAAAJ
Michael Langberg,2021725938
Rohini Srihari,2099189041_https://scholar.google.com/citations?hl=en&user=Uttu9kkAAAAJ
Sheng Zhong,2156174431
David Lonie,2082887399
Eva Zurek,2014310385
Zhi Sun,2128770514
Changyou Chen,2156460610
E Rhodes,2685561726
Junsong Yuan,2102662993
Jinhui Xu,2106386560
Marco Gaboardi,2011529081
John Tomaszewski,2151760088
Werner Ceusters,2006648639
Raj Sharman,2169437600
Vipin Chaudhary,2218130385
H. Rao,2797238173
Tevfik Kosar,1767238779
Chaowen Guan,2631065284
Thomas Furlani,2141177573
Kemper Lewis,2147527991
Rajiv Kishore,2080953399
Nicholas Mastronarde,2321562969
Steven Gallo,2110110550
Murat Bayir,2110959063
Ramalingam Sridhar,2262933276
Guangxu Xun,2223419831
Bharat Jayaraman,1448804557_https://scholar.google.com/citations?hl=en&user=MwIL3roAAAAJ
Chen Song,2096521631
Houping Xiao,2303863390
Sreemanananth Sadanand,1968473446
Sergey Tulyakov,1633195977
Wenjun Jiang,2245637756
Srirangaraj Setlur,2922900251
Abani Patra,2149000215
Alan Ruttenberg,486501413
Chenglin Miao,2229046948
James Llinas,2101870864
Yavuz Yilmaz,2108167545
Stuart Shapiro,2142879822_https://scholar.google.com/citations?hl=en&user=628Jn7UAAAAJ
Gholamhosein Sheikholeslami,2065786411
Xiaoyi Li,2230170377
Robert DeLeon,1747965720
David Doermann,2403031544
Matthew Jones,2493312115
Chuishi Meng,2116340933
Kang Li,2697100403
G. Sanders,2166150971
Geoffrey Challen,3029435525
Lei Ding,2131430839
Oliver Kennedy,2246760597
Ran Xu,2108055350
Mahmoud Khamis,2106395173
Alexander Diehl,2538104506
David Mark,2273967268
Tarunraj Singh,2120942608
Yaqing Wang,2775727888
Venkat Krovi,375886257
Shujie Liu,2686121570
Hung Ho,2157809065
Arun Vishwanath,2029546100
Xiaoyun Wu,2308758599
Wei Chen,2688117282
Shi Li,2487686230
Jingyuan Fan,2227544887
Muyuan Li,2145758739
Stephen Rudin,2301695390
Lukasz Ziarek,210727077_https://scholar.google.com/citations?hl=en&user=Bi8bhC0AAAAJ
Zhixin Shi,2162694884
Daniel Bednarek,2469606379
Kenneth Hoffmann,2302182132
Michalis Petropoulos,2156412118
Aosen Wang,2223971760
Pradipto Das,2153482658
Li Sun,2299849262
Rahul Rai,2144165324
Bhargava Kota,2507849976
Harish Srinivasan,1987707945
Di Wang,2785586084
