Syed Jafar,2132264901
Gene Tsudik,465425324
Charless Fowlkes,263994822_https://scholar.google.com/citations?hl=en&user=yLQF4mkAAAAJ
Nikil Dutt,2186960687
Padhraic Smyth,2137074633_https://scholar.google.com/citations?hl=en&user=OsoQ-dcAAAAJ
Sharad Mehrotra,2201039448
Mark Steyvers,499903789
Pierre Baldi,2060797211
A. Swindlehurst,398504104_https://scholar.google.com/citations?hl=en&user=ibAcKWwAAAAJ
Richard Taylor,2113585066_https://scholar.google.com/citations?hl=en&user=h9t7KCcAAAAJ
Ramesh Jain,2133201272_https://scholar.google.com/citations?hl=en&user=wOYUPpwAAAAJ
Paul Dourish,847797360
Hamid Jafarkhani,166913908
Athina Markopoulou,261565236
Chen Li,2589970869_https://scholar.google.com/citations?hl=en&user=BRMbGhgAAAAJ
Nalini Venkatasubramanian,2103663503_https://scholar.google.com/citations?hl=en&user=qfCah3sAAAAJ
Michael Goodrich,2135853928_https://scholar.google.com/citations?hl=en&user=sSS9gSoAAAAJ
Michael Franz,2061291788
Cristina Lopes,2132640881_https://scholar.google.com/citations?hl=en&user=FaY_RgsAAAAJ
Daniel Gajski,2037667845_https://scholar.google.com/citations?hl=en&user=yWq4pKEAAAAJ
Nader Bagherzadeh,2346600198
Michael Carey,2157114695
Alfred Kobsa,624549756_https://scholar.google.com/citations?hl=en&user=0nBysEcAAAAJ
Kwei-Jay Lin,2101757531
Gloria Mark,2095721151
Krishna Gomadam,2709419701
Fadi Kurdahi,141221653
David Newman,1994620265_https://scholar.google.com/citations?hl=en&user=3z-mSpYAAAAJ
Xiaohui Xie,2107390275_https://scholar.google.com/citations?hl=en&user=1CR0meYAAAAJ
Rina Dechter,294129211
Payam Heydari,1792629420
Gillian Hayes,2100054443
Stanislaw Jarecki,1760644356_https://scholar.google.com/citations?hl=en&user=TJ-7eZwAAAAJ
Xiangxin Zhu,2112357127
Pai Chou,2169874281
Alexander Ihler,233042646
Alexandru Nicolau,2144832383
André Hoek,2136863642
Bonnie Nardi,2015738512
David Redmiles,311754748
Ahmed Eltawil,2023215278_https://scholar.google.com/citations?hl=en&user=XzW-KWoAAAAJ
David Eppstein,2002613147_https://scholar.google.com/citations?hl=en&user=QSY7ufMAAAAJ
Arthur Asuncion,2116484384
Carter Butts,1966616662_https://scholar.google.com/citations?hl=en&user=-VGAs1cAAAAJ
Tatsuya Suda,2178080365
Daniel Billsus,2186721938
Sameer Singh,2279876130
Mohammad Faruque,2165653901
Bill Tomlinson,2168399751
Ender Ayanoglu,1887290506_https://scholar.google.com/citations?hl=en&user=nhZG4PQAAAAJ
Minas Gjoka,370163450
Alexander Veidenbaum,293007071
Tao Yu,2202110290
Vinayak Borkar,1900516000
Jean-Luc Gaudiot,2179981456
Eric Mjolsness,2137719454_https://scholar.google.com/citations?hl=en&user=tqF2ld4AAAAJ
Sandy Irani,2100980789_https://scholar.google.com/citations?hl=en&user=dBhm_oIAAAAJ
Walt Scacchi,2135597515
Rainer Dömer,1990780337
Ray Luo,2141016931
Jeffrey Krichmar,2278981413
Aditi Majumder,2157725157
Hamed Maleki,2128170864
