Mario Gerla,563121846
Mani Srivastava,2098642314_https://scholar.google.com/citations?hl=en&user=X2Qs7XYAAAAJ
Lixia Zhang,2170506047_https://scholar.google.com/citations?hl=en&user=CZyWk8kAAAAJ
Amit Sahai,2159933393_https://scholar.google.com/citations?hl=en&user=gqB23VMAAAAJ
Jason Cong,2132574706
Songwu Lu,2126325751_https://scholar.google.com/citations?hl=en&user=PVdTviYAAAAJ
Nils Homer,2229427589
Bob Handsaker,2298051088
Behzad Razavi,1945316493
Rafail Ostrovsky,1482108584_https://scholar.google.com/citations?hl=en&user=UvFrX04AAAAJ
Song-Chun Zhu,2343632159
Miodrag Potkonjak,2133515444
Gregory Pottie,223307443
Judea Pearl,2248165042_https://scholar.google.com/citations?hl=en&user=bAipNH8AAAAJ
Asad Abidi,2231035325
Paulo Tabuada,344454045
Jeff Burke,2149676819
Majid Sarrafzadeh,2462175941
Suhas Diggavi,2330476625
Lei He,2460773992
Saurabh Ganeriwal,2068972709
Carlo Zaniolo,2028117853_https://scholar.google.com/citations?hl=en&user=f8FjAtMAAAAJ
Adnan Darwiche,457026902_https://scholar.google.com/citations?hl=en&user=NzyvbZoAAAAJ
Mau-Chung Chang,2153071290
Danijela Cabric,720283679
Rajive Bagrodia,2293596591
Richard Wesel,207271325
Leonard Kleinrock,253749410
Ying Wu,2152507340
Peter Reiher,2048307374
Andreas Savvides,2925284856
Puneet Gupta,2227702268
Mark Hansen,2113904178
Dae-Ki Cho,2155786483
Dejan Markovic,2046679008
Lara Dolecek,2954182603
Richard Muntz,2033368653_https://scholar.google.com/citations?hl=en&user=e9OxXgwAAAAJ
Junghoo Cho,2167033418
Todd Millstein,294596595_https://scholar.google.com/citations?hl=en&user=u_tOExoAAAAJ
M. Schaar,2209779034
Abeer Alwan,2123614648
Glenn Reinman,2015889253_https://scholar.google.com/citations?hl=en&user=59zyQMYAAAAJ
Stanley Osher,2241451362
Wei Wang,2981772981_https://scholar.google.com/citations?hl=en&user=UedS9LQAAAAJ
Sasank Reddy,2147492871
Bingjun Xiao,2145401356
Steve Horvath,2162563896
Yahya Rahmat-Samii,2215694265
Jason Hsu,3003778717
Ram Kumar,2250352694
Junhua Mao,2158809342
