Richard Han,2128661168_https://scholar.google.com/citations?hl=en&user=v1h6k2oAAAAJ
Dirk Grunwald,2310158707
Leysia Palen,2171737383_https://scholar.google.com/citations?hl=en&user=x0OsogEAAAAJ
Martha Palmer,2135488253_https://scholar.google.com/citations?hl=en&user=pxc_-XYAAAAJ
Gerhard Fischer,2176357113_https://scholar.google.com/citations?hl=en&user=NJSK64sAAAAJ
Shivakant Mishra,2110219690_https://scholar.google.com/citations?hl=en&user=0RMteS0AAAAJ
Fred Glover,2166861808
Mahesh Varanasi,1850677971
Sriram Sankaranarayanan,2142544221_https://scholar.google.com/citations?hl=en&user=V8RKLEsAAAAJ
Lucy Pao,2202725056
Qin Lv,2154485217
Fabio Somenzi,208756671
Li Shang,2097057433
Michael Mozer,703940632
Thomas Landauer,2114332599
Michael Eisenberg,2104102455
Michael Schwartz,2124765833
Eric Keller,2114156951
Wayne Ward,2239292060
Gary Yee,2227170035
Mark Wade,2133827856
Darrell Laham,2093470763
Tamara Sumner,1964528081_https://scholar.google.com/citations?hl=en&user=NScglmAAAAAJ
Clayton Lewis,2137078213
Nikolaus Correll,2036547830_https://scholar.google.com/citations?hl=en&user=OfYf-DMAAAAJ
Kadri Hacioglu,2202307745
Dragan Maksimovic,2140594629
Sangtae Ha,2161928135
Kenneth Anderson,2099995698
Shaun Kane,2107871967
Lijun Chen,2111804024
Fabio Pavanello,2957145231
Gary Hachtel,1982291508
Dennis Akos,2178590273
Tom Yeh,2104162850
Hui Dai,2183613115
Manuel Laguna,2248610804
Daniel Dincklage,1710037390
Aaron Clauset,1443137112_https://scholar.google.com/citations?hl=en&user=e7VI_HcAAAAJ
Eric Frew,2072199805
Chinmay Vaze,170842688
Kun Li,2126272434
Manish Vachharajani,2222121255
Sophia Liu,2154193963
Clarence Ellis,2991967251
Dejan Filipovic,2105399225
Peter Polson,22865827
Casey Fiesler,2505059990
Yunwen Ye,2894249055
Melinda Piket-May,113793395
Youjian Liu,2267833030
Aaron Bradley,2114446004
Caleb Phillips,2141059573
Richard Byrd,2113812912
Kyu Koh,2097586362
Mike Gartrell,932428962
David Mastronarde,338697164
David Webb,2155380023
Michael Hannigan,2040988981
Stefan Leyk,99585740
Kurt Worrell,2708710116
Michael Paul,2218946639
Dennis Heimbigner,287873699
Chenhao Tan,2131562809
Mark Gross,2155651480
Lorraine Ramig,2001274867
Rafael Frongillo,2011044364
Brian Shucker,2072143351
Ryo Suzuki,2953844690_https://scholar.google.com/citations?hl=en&user=klWjaQIAAAAJ
Jianliang Xiao,2115614380
Richard Hall,2235885013
Jeff Rose,2174197284
Bryan Pellom,202702011
James Carlson,2574177129
Bor-Yuh Chang,2100802414_https://scholar.google.com/citations?hl=en&user=wg3lXyYAAAAJ
Scott Peckham,2072446958
Aaron Beach,2132191464
Michael Neufeld,2121867451
Jennifer Knight,2118013514
Paul Marshall,2305410973
Lee Becker,2234426109
Philip Ogren,1164247981
Walter Kintsch,103109707
David Beeman,2046139890
Srilatha Manne,2167172507
Pavol Černý,2333280080
Halley Profita,2022009348
Jason Laks,2029343942
Arafat Sultan,2129322869
Artur Klauser,2142797323
Elizabeth Bradley,2205849023_https://scholar.google.com/citations?hl=en&user=s4duj0sAAAAJ
Sidney D'Mello,2012641152
J. McIntosh,1975559130
William Emery,1983723519
Jeeeun Kim,2239013658
Steve McCormick,2964997647
Dale Lawrence,2128245591
Abigale Stangl,2229191080
Robin Burke,2122091461
James Kremer,2518028871
Mans Hulden,2177549942
Daniel Szafir,1974181417
Henry Tufo,2000756334
Andrzej Ehrenfeucht,196135556
Cathleen Wharton,2115081570
Tam Vu,2113796895
Per-Gunnar Martinsson,1994948623
Nisar Ahmed,2161938128
Melissa Dawe,2138436846
Kurt Maute,1997962529
John Bennett,2779660169
William Waite,698499504
