Scott Leutenegger,2035235546_https://scholar.google.com/citations?hl=en&user=UDOTNC0AAAAJ
Mohammad Mahoor,2961381384
Rinku Dewri,1431152258
Amin Khodaei,2008436097
Mario Lopez,2101190285
Sina Parhizi,2226603582
Hossein Lotfi,2137284999
David Gao,2158532539
Kimon Valavanis,49782907
Matthew Rutherford,2012664709
Anneliese Andrews,2155336655
Ali Mollahosseini,2778577857
Paul Sutton,2153367045
Xiaoxiao Dai,2915814729
Michael Levine-Clark,1947527911
Anastasis Petrou,2248889772
Jeffrey Edgington,2057478338
Stephen Haag,2095426916
Ramakrishna Thurimella,388405374
Wenzhong Gao,2757706428
Mohammad Matin,2221772965
Jing Li,2617933849
Chris GauthierDickey,376856486_https://scholar.google.com/citations?hl=en&user=S_xJNRQAAAAJ
Sarah Glaser,2124611951
Bruce Pennington,325803406
S. Mavadati,376400879
Hadi Rezaeilouyeh,162691686
Peter Sokol-Hessner,1950239783
Andrew Erhart,2287191561
Hayley Brooks,2984004031
Melissa Akaka,155675909
Ziping Wu,2125442101
Xiao Zhang,2307685539
Bradley Davidson,2118428846
Daniel Pittman,2130651997_https://scholar.google.com/citations?hl=en&user=ncLwojgAAAAJ
Nikolaos Galatos,231300117
Hojjat Abdollahi,2566096546
Richard Quine,134476285
Gareth Eaton,2102379000
Krystyna Matusiak,2660010792
Vahid Rezaei,2275377697
Wisam Eltarjaman,288451133
George Edwards,2193299645
Prasad Annadata,236430510
Paul Rullkoetter,226605494
Margareta Stefanovic,2290839140
Esther Gil,2156376687
Young Lee,2136428002
Jun Zhang,2111240748
Hailin Wu,2124893997
Abdulaziz Almalaq,2783505094
Jingwei Chen,2902081119
Rafael Fajardo,2155121699
Yi Gu,2295831073
Peter Laz,1970164028
Hosein Golshan,2546439227
Ahmed Gario,14701459
D.M. Martin,2428019040
Mahmoud Abdelgawad,2226888183_https://scholar.google.com/citations?hl=en&user=YMjijN0AAAAJ
Meng Wu,2183688530
Anthony Fulginiti,2743256831
R. Godzdanker,2124550168
Susan Meyer,2100134337
Mohammed Al-Bow,2227929942
Joshua Fishburn,2229666703
Carlos Lara,2519146584
Yishi Lee,2288783522
Qiao Li,2307943304
Saba Bakhshi,2228570171
Karen Xie,2754290762
Alireza Majzoobi,2561304518
Sandra Eaton,2097131886
Michelle Salvador,2226539544
Jun Hao,2223164957
Kerstin Haring,1970244601
Nazanin Zaker,1491774347
A. Andrews,2225804320
Ayoob Alateeq,2008580063
Salah Alharbi,2746214034
Saleh Alharbi,2747040498
George Rinard,1978541496
Shimelis Assefa,1983091814
Rebekah Colby,2313001347
Deborah Mitchell,2170486545
Mary Stansbury,2143431746
Weihang Yan,2225951411
Janice Keenan,2096849361
Huanghao Feng,2223191501
Goncalo Martins,2159485435
Mark Baldwin,2132031866
Sada Narayanappa,2048247786
Gaurav Ghare,99054125
Michael Brittain,2168726498
Ivan Fetch,228322531
David Martin,2602640758
Eugene Walls,2608814885
Michail Kontitsis,1357643177
Rotimi Aderohunmu,2658574042
R.R. DeLyser,2282321608
Ramakrisha Thurimella,2974362569
Shea-Tinn Yeh,2668691478
Christopher Brown,2151331419
Kellie Keeling,1976929738
Thayne Walker,2758107987
Qing Liu,2251314315
S. Liao,2974423754
Marvin Hamstad,2983166665
Sarah Easley,2426104179
Kang Li,2111964331
Sam Povilus,229233120
Salah Boukhris,2222892960
J. Blumer,2155242002
Albert Rosa,2160063611
Julia Varnell-Sarjeant,2062644787
Valerie Bartelt,2599361919
Mark Tseitlin,2124914498
Jordan Mohler,2739998773
Allistair Moses,1988475435
Ahmed Alshammari,2152159955
Saleh Albdran,254993762
Richard Colby,2318120837
K.Y. Lee,2974406062
Yván R,2225355145
Ibtisam Mohamed,2226041362
H Kargar,2016845274
Petr Vojtěchovský,786986354
Tianqi Gao,2757329474
Sylvia Hall-Ellis,42916771
Kevin Veon,2223482583
Donald Bergh,2104212001
George Vachtsevanos,2798311389
Timothy Sweeny,2395992847
Theresa Alarid,2321786420
Carisa Sullivan,2510693940
Ryan Buller,2222518643
Ali Besharat,1635839467
Charles Vogel,2130218810
Douglas Clements,2483466963
Moohammad Mahoor,2974257263
Wendell Chun,2565803834
Katharine Hales,2540623516
Ahmed Alhaddad,2541110283
Theresa Conley,2108002238
Katie Varney,2136677184
Kalyani Fernando,2509217142
Brittany Robinson,2600218762
Bronwen Maxson,2631852569
Samantha Audsley,322806521
Tianlu Gao,2567652146
Izabella Stuhl,2281473933
Andrew Urbaczewski,2221502918
Ronald Prather,2604039576
J.R. Evaristo,2232451259
R. Scudder,2630432559
C.G. Dickey,2336551029
Daniel McIntosh,2122816734
A. Newton,2148293130
Gabriel Graitzer,2226002974
Ryan Elmore,2592328684
Keith Lance,2637220219
Xiaoting Yang,2223757538
N. Suryakumar,2554434254
G. Edwards,2683394267
Don Bacon,2324137050
Zening Li,2951958093
Laura Buchanan,2111524071
Salwa Elakeili,2230847202
Qiang Lu,2563420072
Anamika Barman-Adhikari,1396804713
Dalila Megherbi,2309597963
J. Huff,2149081451
Joseph Kraus,2153937366
Kyoungsook Lee,2541910155
