Yuguang Fang,2156348848
Jose Principe,2112831471
Jian Li,2285167256
Dapeng Wu,2111410017
Shigang Chen,2250268227
Panos Pardalos,1979746700
José Fortes,2235659282
My Thai,2096623292
Prabhat Mishra,2146855006_https://scholar.google.com/citations?hl=en&user=ZlhpUZoAAAAJ
Tao Li,2684568264
Sanjay Ranka,2155894599
Renato Figueiredo,2104262328
Sartaj Sahni,2097687781_https://scholar.google.com/citations?hl=en&user=gMQWxE0AAAAJ
Baba Vemuri,336558674
Warren Dixon,2169134641
Alan George,2106748168
Mark Tehranipoor,1976116216
Selwyn Piramuthu,2436453499
Kevin Butler,2113955458
Ann Gordon-Ross,2040514387
Janise McNair,2136505385
Prabir Barooah,2044385214
Ahmed Helmy,1963774796
Domenic Forte,2198607828
Swarup Bhunia,2093524222
Patrick Traynor,2282884927
Greg Stitt,2116678611
George Casella,2056153991
Zhi Li,2734609572
Tan Wong,2077480904
Mauricio Tsugawa,2019956023
Hongqiang Zhai,2042403472
Herman Lam,2167008332
Andrea Matsunaga,1982075926
Anil Rao,2136325408
Paul Gader,51632609
Anand Rangarajan,2031572747
John Shea,2106517149
Benjamin Lok,2120433680
Haniph Latchman,2125950550
Abdelsalam Helal,2098949901
Markus Schneider,2146069521
Sean Meyn,2125528825
John Harris,2180248751
Paul Fishwick,428385884
Raphael Haftka,2044138323
Yier Jin,2166126725
Michael Patterson,2103638623
Ye Xia,2143628419
Yuanpu Xie,2225222645
Fang Zhu,2303600296
Gerhard Ritter,2092925238
Nolen Scaife,2983463683
Joseph Wilson,2134344181_https://scholar.google.com/citations?hl=en&user=BJAXIbQAAAAJ
Changhua Cao,2096692264
Parisa Rashidi,1909679631
Jing Xu,2643330010
Tarik Yardibi,88410480
Xinxin Liu,2122986420
Rizwan Bashirullah,1670626250
William Mann,2120646641
Zizhao Zhang,2404776622
Luzhou Xu,2131632134
Kristy Boyer,2005415998_https://scholar.google.com/citations?hl=en&user=HWSuYAEAAAAJ
Y. Kaddoura,2304693510
