Tianming Liu,3005528714
John Miller,2109843474_https://scholar.google.com/citations?hl=en&user=K7j2Uk8AAAAJ
Roberto Perdisci,140829034_https://scholar.google.com/citations?hl=en&user=M_soLLcAAAAJ
Michael Hannafin,2578575038
Richard Watson,2128964823
Elena Karahanna,270263451
Prashant Doshi,2137660656_https://scholar.google.com/citations?hl=en&user=3PkyzawAAAAJ
Hugh Watson,2131300409
Robert Woods,2136554737
Sharan Merriam,2113560052
I. Arpinar,2032404813_https://scholar.google.com/citations?hl=en&user=6BiT5oMAAAAJ
Hamid Arabnia,14074586_https://scholar.google.com/citations?hl=en&user=g86VLOUAAAAJ
Thomas Reeves,2123651675
Suchendra Bhandarkar,2776022507_https://scholar.google.com/citations?hl=en&user=WjrtwJgAAAAJ
Kang Li,2129973628
Xi Jiang,2095729705
Krys Kochut,305833888
Swapna Oundhakar,243957731
Jonathan Arnold,2296058731
Lakshmish Ramaswamy,2183807529_https://scholar.google.com/citations?hl=en&user=I6RpLrkAAAAJ
Hanbo Chen,2145519429
Abhijit Patil,2126231514
Krzysztof Kochut,1970529409
Jim Leebens-Mack,2275026435
Shu Zhang,2599652775
Dale Goodhue,2504258693
Wen-Zhan Song,2119657708
Feng Wang,2428066800
Henry Schaefer,2140108544
Marie-Claude Boudreau,2168467640
J. Lathem,2156362550
Justin Turney,2142390238
Sheng Li,2618462548_https://scholar.google.com/citations?hl=en&user=DEncVcYAAAAJ
Ping Ma,2620516043
Angela Maduko,701838935
Kaarthik Sivashanmugam,2012348606
Khaled Rasheed,2150489435
Yu Zhao,3037828558
William York,2163989050
Eileen Kraemer,716564155
Shelby Funk,2565446006
Zion Tse,1225914550
Lloyd Rieber,60413498
Robert Bostrom,2302943154
Wesley Allen,2163958573
Kyle Johnsen,2164651172
René Ranzinger,2255402169
Christopher Thomas,2140893539
Robert Springer,2130290322
Maciej Janik,2141506115
Janette Hill,2152235870
ChanMin Kim,2131378406
Milad Makkie,2480698404_https://scholar.google.com/citations?hl=en&user=gufWUb8AAAAJ
Shannon Quinn,2517111332_https://scholar.google.com/citations?hl=en&user=4EjRiycAAAAJ
Theodore Kopcha,2012677517
Chris Halaschek,180410866
Michael Covington,2947706516
Fangyu Li,2115521065
Ying Xu,2519854947
Javad Mohammadpour,1993839492
Wei Zhang,2694040468
Walter Potter,2135631992_https://scholar.google.com/citations?hl=en&user=GDkG3T4AAAAJ
Younghee Woo,2130225919
Ikseon Choi,2116546872
Maria Hybinette,347854277
Saravanaraj Ayyampalayam,1932569067
Marguerite Madden,2108874658
Nicole Oldham,2150382875
Kyu Lee,2158358121_https://scholar.google.com/citations?hl=en&user=z5BeNQkAAAAJ
Liming Cai,2102373467_https://scholar.google.com/citations?hl=en&user=xj8uYUUAAAAJ
Ralph Steuer,662084252
Fan Deng,2003374161
Debabroto Chatterjee,2127609075
Jessica Kissinger,724186775
Robert Branch,2161195904
Bradley Barnes,2222518411
Donald Nute,2167746919
Keith Poole,2146774721
Martina Greiner,2138218835
Ismailcem Arpinar,349438396
Matthew Perry,2111668379
Cheolwoo Park,2278956728
Leonidas Deligiannidis,2950843090
William Kretzschmar,1535288892
John Harney,2162180258
Maria Valero,2721437993
Michael Cotterell,1946010296_https://scholar.google.com/citations?hl=en&user=Kh7mlU8AAAAJ
Haibo Zhao,2223944547
L. Miller,2102952440
Le Guan,2600701014_https://scholar.google.com/citations?hl=en&user=gz-6ugcAAAAJ
Russell Malmberg,127962498
Thiab Taha,2204328652
Arash Fard,2161945548
Matthew Wicker,2766478397
Andrew Seila,62636401
Qinglin Dong,2430258236
Jaxk Reeves,2159739133
Liang Liu,2311090732
R. McClendon,2436536228
Yi Hong,2195127690
Lynne Billard,1979474666
Javad Velni,2607572971
Aryabrata Basu,2188735715
Robert Vandenberg,52074652
Wade Sheldon,2134370767
M.B. Beck,2514494497
