Zhu Han,2116008403
Ioannis Kakadiaris,17842523_https://scholar.google.com/citations?hl=en&user=36SCzI0AAAAJ
Miao Pan,2122647425
Ioannis Pavlidis,2150285675_https://scholar.google.com/citations?hl=en&user=E3oBkwwAAAAJ
Zhigang Deng,2109528705_https://scholar.google.com/citations?hl=en&user=Um2XpzkAAAAJ
Carlos Ordonez,2165938062_https://scholar.google.com/citations?hl=en&user=W9YkIcoAAAAJ
Wynne Chin,2242222897
Omprakash Gnawali,2214380352_https://scholar.google.com/citations?hl=en&user=1INvq7wAAAAJ
Albert Cheng,2096153387_https://scholar.google.com/citations?hl=en&user=cBzNurgAAAAJ
Jehan-Francois Paris,2172850497
Yanru Zhang,2155671309
Shishir Shah,2123313229_https://scholar.google.com/citations?hl=en&user=gJ3JGSsAAAAJ
Blake Ives,2160064358
Yunan Gu,2124749288
Jose Contreras-Vidal,2009706242
Thamar Solorio,143758417_https://scholar.google.com/citations?hl=en&user=Gmjwy-IAAAAJ
Rakesh Verma,2118989996_https://scholar.google.com/citations?hl=en&user=va3JOtYAAAAJ
Nicolaos Karayiannis,109109034
Ricardo Vilalta,2124474760
Aron Laszka,92711084
Lennart Johnsson,2048461753
Edgar Gabriel,2121272056_https://scholar.google.com/citations?hl=en&user=_82EhT4AAAAJ
Gangbing Song,2140695177
Gopal Pandurangan,2075576330_https://scholar.google.com/citations?hl=en&user=xJyMo0MAAAAJ
Christoph Eick,715851671_https://scholar.google.com/citations?hl=en&user=qfCKBuoAAAAJ
Saurabh Prasad,2329196703
Driss Benhaddou,105618330
Jaspal Subhlok,1984066730_https://scholar.google.com/citations?hl=en&user=casX4XgAAAAJ
Huaqing Zhang,2223037045
Arjun Mukherjee,2154911241_https://scholar.google.com/citations?hl=en&user=wUNpA_sAAAAJ
Kirill Larin,2107775997
Pradeep Buddharaju,1530360002
Xin Fu,2299880778
Lei Xu,2484096628
Karolos Grigoriadis,2039055434
Mohammad Esmalifalak,45091082
Xiaojing Yuan,2104666524
Lin Chen,2655519104
Lanchao Liu,2129863398
Ji Chen,2428549537
Ziyi Liu,2167238573
Zhimin Gao,2164925221
Badrinath Roysam,281043459
Nam Nguyen,2166726994
B. Liu,2974688517
George Zouridakis,110635851
Yonghong Yan,2279020891
Lei Huang,3009529272
Jia Meng,2035120284
Bernard Robin,2118361313
Demetrio Labate,132489353
Zhibo Chen,2140957555
Nikolaos Tsekos,319925419_https://scholar.google.com/citations?hl=en&user=hNpIWJAAAAAJ
Kyeong-An Kwon,2223333230
Rengan Xu,2122833874
Zhou Yuan,2157575138
Nhung Nguyen,2105136005
Yang Lu,2581890946
Yongtian He,2108537448
Jin Fei,2076630324
Shou-Hsuan Huang,2129771855_https://scholar.google.com/citations?hl=en&user=hPY6T7gAAAAJ
Norman Johnson,2168729939
Erte Pan,2224033758
Nikolaos Sarafianos,2072536064
David Jackson,2266791476
Guanbo Zheng,2304099392
Yingchun Zhang,2169819924
Olin Johnson,2499859974
Guoning Chen,2104469161_https://scholar.google.com/citations?hl=en&user=EVaSxlkAAAAJ
Deniz Gurkan,1934156892
Xiang Xu,2422870228
Uday Kurkure,1491255826
Rose Faghih,815141490
Carlos Garcia-Alvarado,2016997139
Atilla Kilicarslan,2070034247
Yuichi Fujiki,2030256441
Gino Lim,2151511095
Jamison Day,2154463916
Jonathan Dowdall,2092742661
Marek Rusinkiewicz,2941114649
Ben Jansen,2118928937
Krešimir Josić,916728490
Robert Wiley,2499273770
Binh Le,2136686349
Nolan Shah,2600838081
Yuhua Chen,2132873306
Trieu Luu,2308845044
Ning Situ,1940564560
Aaron Becker,2708016083
Antonio Martinez-Alcántara,1508617562
Efren Ballesteros,2471686895
Jehan-François Pâris,1344703474
Ricardo Lent,2114885971
Wellington Cabrera,2142995581
Chen Feng,2296353642
Sai Errapotu,2548640546
Xiaoning Dong,2096212258
Hyongki Lee,2143956050
Manos Papadakis,1934104974
Jesus Cruz-Garza,2074014783
Wei-Chuan Shih,2127883287
Khuong Vu,2147124751
Santi Thompson,2104382558
Tayfun Tuna,2074600557_https://scholar.google.com/citations?hl=en&user=ZIKTbD0AAAAJ
Tian Tian,2160382774
Jingyi Wang,2528329078
Li Sun,2605037669
Nuri Ince,2125388398
Justin Brantley,2188286086
Manmohan Singh,2317282721
Xiaonan Tian,2243689715
Jiefu Chen,2674113897
Xinyue Zhang,2902406869
Gustavo Aguilar,2760463383
Deepak Eachempati,338819441
Prasha Shrestha,2141450334
Hung Nguyen,2310577628
Chunhua Liao,2951642985
Kevin Nathan,2141210724
Qin Gu,2172948597
Suresh Khator,2273577836
Dinesh Majeti,2043771405
Ali Arab,2049455590
Mohamad Chaarawi,288429664
