Philip Yu,2125104194_https://scholar.google.com/citations?hl=en&user=D0lL1r0AAAAJ
Bing Liu,2244698799
Minqing Hu,2118242737
Ouri Wolfson,2175821055_https://scholar.google.com/citations?hl=en&user=zGSP_osAAAAJ
Houshang Darabi,2170212313
Clement Yu,3001175075_https://scholar.google.com/citations?hl=en&user=buju2sYAAAAJ
Pat Banerjee,2283106435
Daniela Tuninetti,1627473319
Nitin Jindal,2104817295
Daniel Bernstein,2572778377
Natasha Devroye,2306427395
Jakob Eriksson,2129658448
Isabel Cruz,2136308466
Robert Sloan,2144488289_https://scholar.google.com/citations?hl=en&user=2tUoA-wAAAAJ
V. Venkatakrishnan,2036717930
M. Corson,2691172918
Tanya Berger-Wolf,107058130
Andrew Johnson,2193668785_https://scholar.google.com/citations?hl=en&user=s8e4QnsAAAAJ
Dan Schonfeld,2015959519_https://scholar.google.com/citations?hl=en&user=3czLfNYAAAAJ
Ajay Kshemkalyani,57686267_https://scholar.google.com/citations?hl=en&user=2jRpisYAAAAJ
Neil Smalheiser,151281703
Bokai Cao,2131202988
Yunhong Gu,2136549490
Lei Zheng,2575172844
Barbara Eugenio,2166954283
Chun-Ta Lu,2787678132
Bo Xu,2256520336
Daniel Sandin,1258240770
Xiaowen Ding,2167078172
Ugo Buy,170738217
Rashid Ansari,2460603605
A. Sistla,711546218
Junsheng Cheng,2095638953
James Biagioni,1984222178
Chenwei Zhang,2558611428
Luc Renambot,3037631143
Vahid Noroozi,2602517610
Guan Wang,2152311907
Yanhong Zhai,2159716272
Tom Moher,2179221810
Mark Grechanik,2048808281
Alex Leow,2061530058
Lichao Sun,2778556826
Robert Kenyon,2130640042
Shuo Ma,2222711293
Lenore Zuck,2048787978
Ahmed Shabana,1919057760
Maxine Brown,2167821236
Hu Xu,2274019935
Prithvi Bisht,1965174876
Brian Ziebart,217392467_https://scholar.google.com/citations?hl=en&user=_JjIgGcAAAAJ
Shuai Wang,2441217776
Tomas Gerlich,2043664744
Shuyang Lin,2096615129
Bharath Sundararaman,2678863413
Mojtaba Soltanalian,330946746
Chris Kanich,1998523212
Zhichun Zhu,2158141693
Stellan Ohlsson,2523556758_https://scholar.google.com/citations?hl=en&user=qdZZe9IAAAAJ
Ning Jin,2305538373
Xiaoxiao Shi,2134782470
Cosmin Stroe,2088007559
Yuchen Zhao,2147878578
Huayi Li,2100281165
Lance Long,2124038328
Geli Fei,2133167487
Hulya Seferoglu,2306797969
Aris Ouksel,2267600295
Arthur Nishimoto,1921831694
Peter Nelson,2162036314
Bhaskar DasGupta,2119364997_https://scholar.google.com/citations?hl=en&user=fGcKnpIAAAAJ
Sol Shatz,188044605
Qingbo Hu,2105415358
Arkalgud Ramaprasad,2034870152
R.M. Tanner,2159941132
Victor Mateevitsi,2643535349
Weixiang Shao,2151340973
Prasad Sistla,1998854163
John Lillis,2166037431_https://scholar.google.com/citations?hl=en&user=3oyf5I4AAAAJ
Zhuo Wang,2628746584
Chayant Tantipathananandh,136769063
Jie Lin,2140977986
David He,2129381312
Andreas Linninger,314733848
A. Musa,2304713581
Fazle Karim,2229077872
Leilah Lyons,2141889649
Somshubra Majumdar,2792184862
J. Westland,356588418
Mary Watson-Manheim,2035250284
Timothy Merrifield,2231110281
Lin Li,2423074595
James Patton,2916744141
Sudip Mazumder,2138130010
Shantanu Dutt,2648249491
Congying Xia,2770334269
Olusola Ajilore,1989617473
Dale Reed,2110373930
Krishna Bharadwaj,1914876233
Mike Louw,2030108538
Erdem Koyuncu,2001564904
Danilo Erricolo,249873807
Shun Chen,2754740126
Piotr Gmytrasiewicz,333250019
Milos Zefran,2809951237
Guixiang Ma,2565732364
Jianguo Zhang,2809281974
Besma Smida,2140035180
L. Abusalah,2973624294
Flavio Antonelli,2164542939
Yang Dai,2112185802
Fengjiao Wang,2153251044
Daniel Graupe,2294125101
James Pellegrino,2172038432
Tuan Dang,2010885274
Mayank Lahiri,1972593125
Anushka Anand,2088213256
Vivek Venkataraman,2108796501
Jan Verschelde,2061730595_https://scholar.google.com/citations?hl=en&user=tjoaLx0AAAAJ
William Sunna,2117001169
Daniel Ayala,2105484634
Ye Liu,2788617333
Shmuel Friedland,2020213886
Wenjing Rao,2105672327
Alan Verlo,2089439808
Tadao Murata,2158879727
Arun Maiya,2047163468
Jinghua Ge,2108026856
G. Marai,387219559_https://scholar.google.com/citations?hl=en&user=xPCVtawAAAAJ
H. Sivakumar,1993739750
Hu Cao,2113638660
Abhinav Kumar,2190848417
Byungil Jeong,2143646669
Oliver Yu,2584267680
Richard Magin,2573743587
Alessandro Febretti,2307988041
Yixiu Huang,2131542745
Jia Li,2516368377
Huiyong Xiao,2470970785_https://scholar.google.com/citations?hl=en&user=vFLIAO0AAAAJ
Cornelia Caragea,334769912
Sungwon Nam,2102662799
Nick Green,2470127035
Sadegh Milajerdi,2751874384
Cristian Luciano,2151058718
Wei Zhou,2100275069
Laurie Quinn,2102398621
Deborah Blecic,1947379643
Lifeng Jia,2119878330
Michael Sabala,1978724372
Wanzhi Zhang,2161496005
Jie Liang,2130409799
Huabei Yin,2133388832
Yan Xie,2306613063
Anastasios Sidiropoulos,2044332342
Leland Wilkinson,2098682828
Susan Goldman,2125120834
Junlan Yang,2892584241
Ratko Jagodic,77797958
Tang Liu,2151142387
Rigel Gjomemo,2986681002
Nazari Skrupsky,1903676836
Nianzu Ma,2786853935
Craig Barnes,2116710602
Xiaorui Sun,2775887540
Xinwei Hong,2304967157
Lin Chen,2717745616
Maria Roussos,2129915212
Christina Vasilakis,711117751
Mohammad Khan,2225062599
Boaz Super,206542798
Balajee Vamanan,318265295
Andrew Jarosz,2133372309
Kimberly Lawless,2291661571
Bob Sloan,2696628099
Alexander Gutfraind,233341921
Zhiyu Cheng,2618854151
Naveen Krishnaprasad,2400257567
Shuang Liu,2309594202
Louis Kauffman,1408981130
Ivan Brugere,2776108021
Ting Huang,2321582198
Bowen Dong,3029141989_https://scholar.google.com/citations?hl=en&user=1ysXF9sAAAAJ
Hyejung Hur,2120562255
Jason Polakis,2532383874
Kyoung Park,2631719788
Lev Reyzin,2201721716
Aynaz Taheri,2127220291_https://scholar.google.com/citations?hl=en&user=w7uAYBMAAAAJ
Rachel Harsley,2226921335
Xin Li,2985645639
Yao Li,2228755178
Xi Xu,2107167304
Andrew Burks,2753905854
Yiwei Song,2602080986
Shahin Khobahi,2885318932
Eric He,2108582089
Sandra Groote,1975025401
Robin Mermelstein,2776564969
Stephen Checkoway,2639473500
Andrew Boyd,2130849370
György Turán,2071417576
Karyn Jonas,2481956129
Johnson GadElkarim,737184737
Rajiv Shah,2436383854
Jeremy Kun,2080862275
Anthony Faiola,1786598578
Mahadevabharath Somayaji,2174740473
Shaika Chowdhury,2784921537
Sara Shahi,2228035580
Sybil Derrible,333413116
Faisal Bashir,1993830669
Murthy Ganapathibhotla,2280740596
Kristine Lee,2752830770
Piergiorgio Uslenghi,2051022395
Fei Dong,2146551212
Jezekiel Ben-Arie,697477573
Yasaman Keshtkarjahromi,2227917183
Amit Trivedi,2147946689
Min Shen,2308070197
Diana Maamari,210179027
M. Scott,2706778142
Sahisnu Mazumder,2741096420
Josephine Dorsch,2593714219
Narueporn Nartasilpa,2428046749
James Lin,2197890216
Mehrdad Alizadeh,2227348469
Andre Kajdacsy-Balla,705375895
Jiawei Zhang,2915961549
Peter Snyder,2594125857
C. Ranganathan,2688651816
Moyin Li,2692385695
Ta-Yuan Hsu,2113733411
Chris Scharver,2315625458
Rajvikram Singh,2153177010
Sanjeev Jha,2160529459
Zhiwei Liu,2898937947
Steven Jones,2489919996
Sarah Millermaier,261633834
Yiwen Sun,2608879622
Yuxuan Xing,2283274164
Brian Slattery,1872863817
Jing Wang,3002840987_https://scholar.google.com/citations?hl=en&user=xGchzdgAAAAJ
Anirudh Vallabhaneni,2075274780
Tao Wang,2686478285
John Shuler,2127715284
Brenda Silva,2126220182
Robert Sandusky,1511487438
Arindam Bose,2703330243
Jon Solworth,2309926570
Emanuelle Burton,2572667890
R.V. Chan,2137857097
