Benyuan Liu,2167774889_https://scholar.google.com/citations?hl=en&user=s2n1-HMAAAAJ
Guanling Chen,2252785806_https://scholar.google.com/citations?hl=en&user=-4aVBKAAAAAJ
Yan Luo,2913798692
Holly Yanco,115698233_https://scholar.google.com/citations?hl=en&user=3WEijrIAAAAJ
Baochen Sun,2039399843
Fred Martin,2118534354
Georges Grinstein,403640012
Martin Margala,252844298
Anna Rumshisky,2324027522
Luvai Motiwalla,2061909182
Leo Pipino,2674188626
Munjal Desai,2121556332
Peter Avitabile,1981581816
Vinod Vokkarane,2283079059
Anwar Saipulla,40750114
Katherine Tsui,2158508143
Bo Yan,2703797204_https://scholar.google.com/citations?hl=en&user=yBNVF1cAAAAJ
Tingjian Ge,2185270649_https://scholar.google.com/citations?hl=en&user=XRGH69EAAAAJ
Gerald Kaiser,2307660183
Nan Li,2645881331
Alexey Romanov,2424838394
Chang Liu,2489884972
Jesse Heines,135821201_https://scholar.google.com/citations?hl=en&user=K9wOrRIAAAAJ
Christopher Niezrecki,276892689
Asil Oztekin,2516038176
Cindy Chen,2108286876
Hengyong Yu,2114517584
Mikhail Medvedev,2056041012
Xiao-Bai Li,2574646806
Peng Hou,2303294788
Hongwei Zhu,2965961377
Jialun Qin,2142702585
Mark Sherman,2234643307
Samadrita Chowdhury,2901875410
Joyita Dutta,2157122071
Adam Norton,1997450751
Sohan Purohit,2167977075
Ke Huang,2281855873_https://scholar.google.com/citations?hl=en&user=4ysXLSoAAAAJ
Yinjie Chen,2467387679
Dalila Megherbi,734281183
Jennifer Carr,2109375720
Jeremy Plante,2101918804
Peng Xia,1997442727
Chunhui Zhang,2250715487
Xiaoxiao Ma,2166564485_https://scholar.google.com/citations?hl=en&user=-u6c_T4AAAAJ
Qinggang Yue,2170009418
Zhongli Liu,2299040758
Donald Brown,2309726947
Anna Rogers,2834961402
Amit Deokar,2208077009
Gena Greher,1968654625
Sean McSheehy,2087123824
Peilong Li,2118208610
Hong Yu,2618403744
Jay McCarthy,2182256858_https://scholar.google.com/citations?hl=en&user=imyMtsYAAAAJ
Eric Murray,2154015422
Hongda Yin,2126551125
Julie Harvie,2050203962
Yanbo Zhang,2583281509
Hang Liu,2175473121
Oliver Ibe,606245376
Harshavardhan Achrekar,2077567679
Adam Butland,2576472478
Chunxiao Chigan,2069400164
Tong Sun,2518581853
Zhuo Qian,2119570303
Juzi Zhao,2303176770
Jay Weitzen,2293879653
Tzu-An Song,2941221372
Fan Yang,2895803731
Peter Potash,2250905348
Oren Segal,2103078481
Mark Micire,2004201235
Feissal Damaa,2563111122
Tingshu Hu,2165407399
Haim Levkowitz,37293949
Daniel Brooks,2100678053
Dylan Davis,2320442463
Kathleen Sheldon,2481160586
Melissa Morabito,2174755153
Pengfei Zhang,2769705773_https://scholar.google.com/citations?hl=en&user=CIDjqxYAAAAJ
Stuart Smith,2405134766
Karen Daniels,2171581222
Patrick Hoffman,2139383520
Louis Thibault,2416363615
Sarah Kuhn,2152703539
Kenneth Marx,1975573980
Ning Zhang,3037082270
Hyun Kim,2965794102
Seung Son,2163302748
Timothy Cook,2161892132
Arash Deylamsalehi,2224214701
Pegah Afsharlar,2308856101
Xiang Ding,2697963722
Christopher Hayes,2572273934
Kavitha Chandra,2130208240
Jia Wang,2770708681
John Sharko,2205375130
Piti Piyachon,2224066352
Susan Faraji,2105078791
Fei Li,2953756455
Thanuka Wickramarathne,2164750655
Yang Gao,2683041700
Nasibeh Nasiri,2131884249
Olga Kovaleva,2890592256
Lei Li,2304367156
Adam Russell,2309830852
Steven Tello,2006637969
Xian Pan,2162537366
Honghao Wang,2496488426
Zupei Li,2520220426
Maria Brunette,3018969004
Ronald Pickett,1973210805
Marlon Alcantara,2736512024
A. Pillai,2471151258
Mufeed Mahd,2052662447
Marian Williams,2164524747
M. Baier,2109844167
Zheng Fang,2460613095
Chen Xu,2345128642
Aral Sarrafi,2334463565
Anna Yaroslavsky,1989251424
Peter Jermain,2792540546
Xin Feng,3037283888
William Gauvin,1494547011
Xiaoban Wu,2717401013
Chike Abuah,2789431972
Samson Mil'shtein,1982984562
Christopher Chipman,2313110431
Xinzi Sun,2971248279
Charles Saulters,2223677418
Paul Laidler,2490402774
Alex Ruthmann,2973848880
Wego Wang,2487311629
Derrell Lipman,2113205952
Jim Jeffers,2803737113
Nat Tuck,2172618325
Jing Xu,2548532417
Eric McCann,2140928308
Rui Liu,2306230588
Jordan Allspaw,1206870415
Chao Gao,2618141206
Karen Roehr,2010504587
Xuanming Liu,2690541973
Christopher Nonis,1497148091
David Willis,2136634755
James Sherwood,2253522183
Yuanliang Meng,2342834540
Varun Garg,2884375232
A. Shendye,2121713521
Edward Chen,2498230287
Alexander Gee,2289563000
Hualiang Zhang,2211538681
Samed Maltabas,1388263653
Weisong Liu,2910207210
James Kuczynski,2504388007
Sarita Bassil,2285582198
S. Mil'shtein,1963993729
Jianping Zhou,2149097437
Deniz Khateri,2754388568
Dan Hestand,2017014059
Yelena Rykalova,2772781516
Amanda Courtemanche,2229189949
Fidegnon Fassinou,1987888602
Aydin Dirican,2223725727
Cagatay Ozmen,2227156052
Qilei Chen,2619984522
F. Rahman,2355843185
Meng Ma,2749872162
John Buford,1963948107
Nancy Selleck,2490535828
ByungGuk Kim,2307397591
Chris Warren,2146320610
Timothy Marinone,1990989915
Richard Serna,2147033778
Loura Costello,2155045094
Danjue Chen,2153800416
Lloyd Rutledge,2792316723
Jean-Francois Millithaler,2518609619
Zheng Li,2191668617
Michael Black,2158946540
Juliette Rooney-Varga,2291947851
Michele Putko,2616455544
Juheng Zhang,2098842711
Ioannis Raptis,1696107781
Anil Gaihre,2912667388
Hao Zhang,2667281036
Naiyana Tansalarak,36240613
Jie Yang,2589669063
David Pinkney,2089724201
Abraham Shultz,2127100116
Hieu Nguyen,2295349806
Robert Parkin,2106077792
Yan Cui,2444066490
Yan Gu,3007219480
Bowen Zheng,2604710685
Sensong An,2605345533
Hang Li,2795776060
Hong Tang,2910602864
Mohamad Asl,2341688257
Subhajit Chakrabarty,2191563310
Robert Dirkman,1971944984
Peyman Poozesh,1487448295
Yongyi Ran,2611869964
Bodo Reinisch,2103333914
Julie Blumenthal,3018994844
Yao Yao,2482403365
Thilo Schondienst,1497744490
A.J. Elbirt,2305896566
Terry Griffin,3014467582
R. Medina,2974107800
E.J. Knapp,2974525346
Clayton Fowler,2944665890
Andrew Dufilie,2027752545
Yana Weinstein,2570531347
Jing Ni,2964120091
Michael Lunderville,135568249
Joshua Kraunelis,256226516
Swathi Kurunji,376341631
Timothy Ficarra,1969038069
Bhanu Kaushik,2060743202
A.R. Teel,2635680562
Kuoching Feng,2126728688
